00-00	Deklarasaun Mundu Nia Ba Direitus Ema Nia
18-01	Ema hotu iha direitu ba liberdade ho hanoin, neon ho relijaun, nia direitu iha mos liberdade atu troka nia relijaun, nia fiar, liberdade mesak ka ho komunidade iha publiku ka privadu, hatudu nia relijaun nia fiar iha hanorin, hahaluk loro loron, harohan nor tuir loron bot.
19-00	Artigu 19
19-01	Ema hotu iha direitu ba liberdade ho nia opiniaun, espresaun; direitu ida ne'e liberdade atu rai nia opiniaun la iha interferensia, atu buka simu, fo informasaun, hanoin, iha media lalika hare ba fatin hela nebe.
20-00	Artigu 20
20-01	Ema hotu iha direitu ba liderade atu halibur hakmatek ho mos asosiasaun.
20-02	La bele obriga ema atu tama iha asosiasaun ida.
21-00	Artigu 21
21-01	Ema hotu iha direitu atu tama halu parte iha governu nia rai, tama los deit ka tuir representantes ema foti.
21-02	Ema hotu iha direitu atu tama simu iha servisus publiku iha nia rai.
21-03	Vontade povu nia tenki hahu iha hun ho autoridade governu nia; ida ne'e tenki halu iha tempu ho eleisoens tebes ne'be universal ho votu, halu votasaun secreta nor tuir votasaun nebe hatudu halu tebes.
22-00	Artigu 22
22-01	Ema hotu hanesan membru sosiedade nia, iha direitu ba seguransa sosial iha realizasaun, husi nasaun nia forsa ka coperasaun internasional, tuir organizasaun ho riku rai idak nia, iha ekonomia, sosial ho direitus kulturais, ba nia dignidade nos mos livre desenvolvimentu ba nia personalidade.
23-00	Artigu 23
23-01	Ema hotu iha direitu atu serbisu, livre atu halu hili serbisu, tuir los condisoens serbisu nia, satan hasoru desempregu.
23-02	Ema hotu, la diskriminasaun, iha direitu atu simu osan hanesan serbisu nia halu.
23-03	Ema hotu nebe serbisu iha direitu atu simu osan los atu ba nia ho nia familia moris ho dignidade humana, fo tulun tan, se preciza, tuir tane husi protesaun sosial.
23-04	Ema hotu iha direitu atu halu ka tama iha uniaun atu satan nia interese.
24-00	Artigu 24
24-01	Ema hotu iha direitu atu deskansa ho halimar, tuir oras ba serbisu nia, loron ferias nia ho selu.
25-00	Artigu 25
25-01	Ema hotu iha direitu ba moris diak ba saude, nia isin diak mos ba nia familia, nos mos hahan, roupa, uma, tratamento doutor nia, serbisus sosiais, iha seguransa se nia la serbisu, moras, isin at, katuas, ferik, la hetan moris sasan nebe nia la iha kontrol.
25-02	Inan ho labarik ki'ik iha direitu atu simu tulun ho tane espesial. Labarik hotu moris ho aman, ka la iha aman, hotu tenki simu hanesan tane sosial.
26-00	Artigu 26
26-01	Ema hotu iha direitu ba educasaun. Educasaun tenki saugati, iha eskola primaria no hahu eskola. Eskola primaria tenki obrigatoriu. Educasaun teknika ho profesional tenki jeralmente halu ba ema hotu, educasaun tersiaria tenki halu ema hotu bele tama tuir meritu.
26-02	Educasaun tenki halu ba desenvolvimentu tomak ba ema nia personalidade, atu halu makas liu ba respeitu ba direitus humanus no mos liberdade fundamental. Educasaun tenki foti hatene, toleransia ho belun ba rai hotu, rasa ka grupu relijan, tenki lori nafatin ba oin hahaluk Nasoens Unidas nai atu rai damen.
26-03	Inan ho aman iha direitu ho prioridade atu hili educasaun oin sa maka bele fo ba sira nia oan.
27-00	Artigu 27
27-01	Ema hotu iha liberdade tama iha vida kultural komunidade nia, hakarak artes no mos iha avansu siensia ho nia benefisio.
27-02	Ema hotu iha direitu atu satan intereses moral ho material sai husi sientifico, literariu ka produsaun artitistica nebe nia mak autor.
28-00	Artigu 28
28-01	Ema hotu iha direitu ba orden sosial ho internasional, nebe direitus ho liberdades tau iha Deklarasaun ida ne'e bele halu tuir tomak.
29-00	Artigu 29
29-01	Ema hotu iha obrigasaun ba komunidade nebe nia mesak desenvolvimentu nia persinalidade ne'e tomak bele.
29-02	Atu tau nia direitus ho liberdade, ema hotu tenki sujeita ba deit limitasoens lei hatete, atu tane no mos hare direitus, liberdades ema seluk nia, hasoru rekerimentos ba moral, ordern publiku, sasan geral iha sosiedade democratica.
29-03	Direitus ho liberdades ne'e, iha fatin labele halo kontrario hahaluk ho prinsipios Nasoens Unidas nia.
30-00	Artigu 30
30-01	La iha buat ida iha Deklarasaun ida ne'e bele interpreta ka hatete ba rai Estadu, ida, grupu no ema ida iha direitu atu halu ativadade, ka halu buat ruma hasoru atu halu at direitus ho liberdades tau iha ne'e.
