00-00	ÃDUNIYA KULU BƆRƆ DAAMA BEIYANIYOM
14-01	Daama di su go n daabu dee a bara nna bɔrɔ wii ɔu binɛ daa bɛrɛkɛtɛ fɔ yo ka ãduniya zamaa mariga beeri hoŋu.
15-00	ASARIYA WEICINI GUNTƐ (15)
15-00	Bamɛi kulu hima a ma gonna dimi.
15-01	N su hini ka hoŋu bɔrɔ sɛ a dimi takii bɔŋɔ.
16-00	Asariya weicini iduntɛ (16)
16-00	Dee bɔrɔ kǎ tɔ balaga a sii nna ma dimi nna adiini fisɔu wei nna haru sɛ domi daama fɔ di nɔ n kulu gonna za n hiije waati hali n fefeiyom saa.
16-01	N su hini ka hiije hɔu ka a na ci nna n bɔrɔ hinka kulu bakasinɛ.
16-02	Iyaali ya bara zaamani safu ci cirici a ganna nɔ gominanti ga a cɛruma.
17-00	Asariya weicini iyentɛ (17)
17-00	Bamɛi, n bɔŋɔ̌ fɔ nɔ, noo zamaa nɔ, daama gono wɔ gonna duuri.
17-01	A sii n ma bɔrɔ gaŋa a duuri takii bɔŋɔ.
18-00	Asariya weicini iyaakuntɛ (18)
18-01	Bamɛi kulu gonna daama lasabu, ga, diayom kuna nna adiini ganayom ga n binɛ ba hini ka baaru n bɔŋɔ fɔ ɔu noo zamaa ko ga loo zaŋa ka a sawa noo sɛ.
19-00	Asariya weicini ɛgantɛ (19)
19-01	Bamɛi kulu gonna lasabu nna senni daama. A sɛ ganna nɔ bɔrɔ su ba hɛifɔ senni ɔu lasabu ko dirigoyom hɛi ka a binɛ ba senni kulu hini ka sei ba mani.
20-00	Asariya warankantɛ (20)
20-00	Bamɛi kulu gonna kummayom nna igwe kuna gonoyom daama.
20-01	N su bɔrɔ tilasi igwɛ fɔ kuna wuroyom.
21-00	Asariya waranka cinifɔntɛ (21)
21-00	Bamɛi gonna daama a ma wuro a kwaara senni kuna a bɔŋɔ ɔu a barani ka a fisɔu.
21-01	Bamɛi kulu afɔ bɔŋɔ gonna daama a ma gwei tɛ a kwaara gominanti sɛ.
21-02	Hɛi ka zamaa zaa ya bara kwaara yiiko. Zaayom di mo bara ka nna a tɛtɛ biri.
22-00	Asariya waranka cini hinkantɛ (22)
22-01	Ni ka kulu n gono zamaa kuna hima nɔ n ma gonna zamaa di naanɛ daama. A ma du kǒ bara n bukaata mǒ biyayom zaa almani nna taadayo daama duuri hini ga hɛiyo wɔ kulu nna kwaara zaama gaabi nna binɛ gɔrɔ ka sinɛ hɛinnɔ kwarayo ŋwɛnɛ alkawali hini ga. Ka simma nna zaŋa ka mɛtɛ yaasi kwaara fɔ fɔ na ŋwɛnɛ almani siriyani.
23-00	Asariya waranka cini hinzantɛ (23)
23-00	Bamɛi gonna daama a ma gwei ka ǎ baa fisɔu. Ya nɔ binɛ n ga a cɛruma nna gwei zaŋɛi.
23-01	Bamɛi munaafinsi baasi gonna gwei ka n tɛ banayom daama.
23-02	Ni ka n gwei tɛ kulu gonna banayom dei-dei daama ka a ba tɔ ni n ma n ŋwɛnɛ iyaali kɔtɔ nna bɛɛrɛ bɔŋɔ.
23-03	Bamɛi gonna daama a ma gweiteeriyo zogi taayom igwɛ safu jisi a binɛ ba hini ka a bɔŋɔ dam a fɔ ŋwaani ku na a bɔŋɔ bukaata fansayom ganna.
24-00	Asariya waranka cini taacintɛ (24)
24-01	Bamɛi gonna gwei hinanzobu nna hɔɔrɛ daama gwei kɛiyaniyom zaka nna gwei hinanzobu kuna banayom saa nna saa.
25-00	Asariya waranka cini guntɛ (25)
25-00	Bamɛi gonna jisiri daama ka a ba hini ko ga ŋwɛnɛ alaafia nna a iyaali kulu cɛruma nna, zaa ŋwaari, taafɛ, fuu nna baabuyom. Dee a bara sariti ya du ni ɔu binɛ gwei ya sara musiiba ya na n zeeri, zeenɛ nɔ, dee binɛ arooba fɔ ka a na ci n saabu a bara tilasi n ma duwa tɛɛ mako daama.
25-01	Wei kunu kweiyo, koo ŋwɛɛrayo gonna tɛɛmako nna kulayom daama. Koo kulu ka nna hɛi hiije bɔŋɔ, ka du ka nam nŋa ka n hɛi hiije si bɔŋɔ nn kulu gonna kulayom daama.
26-00	Asariya waranka cini iduntɛ (26)
26-00	Bamɛi gonna couyom daama. Couyom di ma du ka bara tilasi faala bɔŋɔ za coubugu cɛɛnɛ ka kwei sasa wantɛyo kammɛ gwei dendeniyom coubugu nŋa cɛrɛ hima n ma feeri bamani. Coubugu beeri n ma nŋa feeri nuŋu ka a hima.
26-01	Couyom di ma bara hɛifɔ ka a mɔɔ feeriyom nna jiri ma nufi daama duuri hini ga a ma ci saabu suuru nna kwaasitɛrɛ ma tɛɛ dimiyo nna adiiniyo binni laakari kaniyom nna wadaata ma tɛ bamɛi sɛ.
26-02	Nyaa nna baabɛ gonna daama n ma couyo ka n baa fisɔu n kõyo sɛ.
27-00	Asariya waranka cini iyentɛ (27)
27-00	Bɔrɔ kulu gonna daama a ma wuro a dimi taada kuna ka a hukumsi.
27-01	Bamɛi gonna daama taadayo kuna a ma a kaayom taago liiba ŋwaa; tila kaayom nɔ, ɔu hɔɔrɛ taagɔ.
28-00	Asariya waranka cini iyaakuntɛ (28)
28-01	Bɔrɔ kulu gonna daama a ma tɛ hɛi ka kwaara nna kwaara binni, nuŋu birijiyom ma si. Laakari kaniyom nna bɔŋɔ mɛiyom mo gono zaŋa ka nna beiyani bɔrɔ ãduniya daama tila kuna a ma duka bara mɔɔriyantɛ.
29-00	Asariya waranka cini ɛgantɛ (29)
29-00	Bɔrɔ gonna tilasiyo zamani ka kuna a gono. Zamani di ka kuna a fɔlɔnku bɔrɔ tɛrɛ nna a jirima hini ka tɛ.
29-01	A daama nna a bɔŋɔ mɛiyom looyom kuna nɔ sariya tikitɛ a sɛ a ma duwa ko bɔrɔ cinniyo daama nna n bɔŋɔ mɛiyom bei n sɛ. Macɛrɛsɛ mo gono bamɛi sɛ.
29-02	N su ba hini ka daama nna bɔŋɔ mɛiyo di loo ka na cii zaŋa ka yaasi ãduniyakwaara diyayo marigayom na a jisi.
30-00	Asariya waranzantɛ (30)
30-01	Beiyaniyom wɔ looyom ga siriya fɔ sii ka a ba nam kwaara fɔ su safu fɔ dee binɛ bɔrɔ ma tunu ka kɔɔnɛ ko ceeji gãnna zamaa ma daama duuri nna bɔŋɔ mɛiyom di ka n dam tila kuna saabu.
