00-00	AKAKITEANGA KI TE KATOATOA I TE AU TIKAANGA TANGATA
16-02	Ko te puna, te tango natura o te iti tangata, e, e tikaanga tona ki te paruru anga a te katoatoa e a te Basileia.
17-00	Atikara 17
17-00	E tikaanga to tetai uatu tangata kia riro ei ‘atu apinga koia anake ua me kore ra koia e tetai ua atu.
17-01	Auraka rava tetai uatu tangata kia akangere taukore ia i tana au apinga.
18-00	Atikara 18
18-01	E tikaanga to tetai uatu tangata kia ‘anga manako, akavangakau, e te irinaki akamori ma te tamanamanata kore ia; tei roto i teia tikaanga te mana kia taui i tona irinaki anga me kore ra akamori anga, e, e mana tamanamanata kore ia tona kia akaari i tona irinakianga me kore ra akamorianga na roto i te apiianga, akonoanga, pureanga e te arikianga, koia anake ua me kore ra kapiti ki tetai atu i te ngai o te katoatoa, me kore ra te ngai kare no te katoatoa.
19-00	Atikara 19
19-01	E tikaanga to tetai uatu tangata ki tona uaorai manako e te akaari manako; tei roto i teia tikaanga ka rauka iaia i te mou i tetai uatu manako ma te kore e tamanamanata ia e te kimi, ariki e te akakite i te au tu kite e te manakonako anga na roto i te ravenga akakite anga tuatua ma te kore rava e akakena ia.
20-00	Atikara 20
20-00	E tikaanga to tetai uatu tangata kia rave i tetai uipaanga e te taokotaianga ‘au ma te kore e tamanamanata ia.
20-01	Auraka tetai uatu tangata kia maro ia kia piri ki tetai taokotaianga.
21-00	Atikara 21
21-00	E tikaanga to tetai uatu tangata kia piri ki roto i te kavamani o tona enua, na roto iaia uaorai me kore ra na roto i tona au mata tei iki tamanamanata kore ia.
21-01	E tikaanga aiteite to tetai uatu tangata kia piri aia ki te angaanga na te katoatoa i roto i tona enua.
21-02	Ko te anoano o te iti tangata te tango ia o te mana o te kavamani; ko teia anoano kia akaari ia na roto i te au ikianga tau i te au tuatau i akataka ia, e ko teia au ikianga kia rave ia i raro ake i te ikianga aiteite na te katoatoa, e te ka rave ia na roto i te ikianga muna me kore tetai uatu tu akatere anga ikianga tamanamanata kore ia mei tei reira.
22-00	Atikara 22
22-01	E tikaanga to tetai uatu tangata, i te mea e, e mema aia no tetai iti tangata, ki te paruru anga i tona oraanga e ki te akatupu anga, na roto i te tauta anga a tona Basileia e te Taokotaianga o te au Basileia e kia tau ki te au akanoonoo anga e te au puapinga o te reira Basileia, no te kimianga puapinga, noo anga ma te au peu oraanga tei anoano pakari ia no tona tu rangatira e te akatupu anga tamanamanata kore ia i tona tu tangata.
23-00	Atikara 23
23-00	E tikaanga to tetai uatu tangata kia angaanga, e kia iki i tana angaanga, ki te au turanga tau e te meitaki no te angaanga e ki te paruruanga i te tuatau angaanga kore.
23-01	E tikaanga to tetai uatu tangata kia tutaki akaaiteite ia no te angaanga aiteite, ma te kore rava tetai akaraanga papakitai.
23-02	E tikaanga to tetai uatu tangata tei rave i tetai angaanga ki tetai tutaki anga tau e te meitaki ei akapapu nona e no tona puna tetai oraanga tei tau ki te turanga ngateitei o te tangata, e kia akarava ia te reira, me anoano ia, na roto i tetai au ravenga ke no te paruruanga oraanga meitaki.
23-03	E tikaanga to tetai uatu tangata kia akatupu e kia piri ki roto i tetai uatu putuputuanga no te paruru anga i tana kimikimi anga puapinga.
24-00	Atikara 24
24-01	E tikaanga to tetai uatu tangata ki tetai tuatau akangaroi anga e te tamataora anga, kapiti ia ki tetai au akakotinga anga tau o te ora angaanga e tetai au tuatau orote tutaki ia.
25-00	Atikara 25
25-00	E tikaanga to tetai uatu tangata ki tetai turanga oraanga tau ma te meitaki nona e no tona puna, kapiti ia te kai, kakau, ngutuare e te paruruanga maki ma tetai au angaanga tau tei anoano ia no te oraanga meitaki; e te tikaanga ki tetai paruruanga i te tuatau angaanga kore, maki, paruparu kopapa, takaua, ruaine me kore ra tetai uatu tu ngere i vao ake i tona mana akaaere.
25-01	E tikaanga to te au metua vaine utuutu tamariki e, to te au tamariki, ki tetai tiaki anga takake e te tauturu.  Ko te tamariki katoatoa noatu e kua anau ia ki roto me kore ki vao ake i te noo anga akaipoipo o nga metua, kia oronga ia kia ratou tetai paruru anga aiteite.
26-00	Atikara 26
26-00	E tikaanga to te katoatoa ki tetai apiianga.  Kia tutaki kore ia te apii i te tuatau akamata anga e te akatumu anga.  Kia ture ia te katoatoa ki te apiianga akamata anga.  Kia rauka ngoie ua ki te katoatoa te apiianga kimi raverave oonu e te apiianga kimi kite oonu, e kia akatuera aiteite ia te apiianga teitei atu kia tau ki te tu marama.
26-01	Kia akatano ia te apiianga ki te akatupu anga ki te openga o te tu tangata e ki te akamatutu anga i te akangateitei anga no te tikaanga tangata e te tu rangatira tumu.  Kia akatupu te reira i te marama, te akakoromaki e te pirianga taeake i rotopu i te au Basileia, iti tangata me kore ra te au putuputuanga akamori, e kia akamaata atu i te au angaanga a te Taokotaianga o te Basileia no te akamou anga i te ‘au.
26-02	Tei te metua te tikaanga mua i te iki i te tu apiianga te ka oronga ia ki ta ratou tamariki.
27-00	Atikara 27
27-00	E tikaanga to tetai uatu tangata kia piri tamanamanata kore ia ki roto i te au peu oraanga o tetai iti tangata, kia mataora i te au peu karape e kia piri ki te au kite marama ou e te au meitaki o te reira.
27-01	E tikaanga to tetai uatu tangata ki te paruruanga a te au puapinga kopapa e te tau tei rauka mei roto i tetai uatu kite ou, tata anga tuatua me kore tetai peu tana uaorai i anga.
28-00	Atikara 28
28-01	E tikaanga to tetai uatu tangata kia noo ki roto i tetai tu oraanga iti tangata e te oraanga i rotopu i te au Basileia tei akatupu ki te openga, te au tu tikaanga e te tu rangatira i tata ia i roto i teia Akakiteanga.
29-00	Atikara 29
29-00	E atinga ta tetai uatu ki te noo anga tangata tei roto anake ua i reira te rauka anga tamanamanata kore ia e te akatupu anga ki te openga o tona tu tangata.
29-01	I te taangaanga anga ia i tona au tikaanga e te oraanga tamanamanata kore ia tei raro ake te tangata tatakitai i te au akakotinga anga ua i akataka ia e te ture no te akakoroanga okotai no te akapapu anga i te arikianga no te akangateiteianga i te au tikaanga e te oraanga tamanamanata kore ia e te rauka anga o te au umuumu anga tau no te oraanga meitaki e te oraanga ‘au e te tu oraanga puapinga no te katoatoa i roto i te nooanga iti tangata i ta ratou uaorai aka’aereanga.
29-02	Auraka rava kia riro te taangaanga anga i teia au tikaanga e te oraanga tamanamanata kore ia ei patoi anga i te au akakoroanga e te au turanga irinaki anga a te Taokotaianga o te au Basileia.
30-00	Atikara 30
30-01	Auraka rava tetai uriuri anga aiteanga no teia Akakiteanga kia aka anau mai no tetai uaatu Basileia, taokotaianga tangata me kore, tetai uaatu tangata, i tetai tikaanga kia rave i tetai ua atu angaanga me kore kia akatupu i tetai angaanga no te akakoroanga kia takore ia tetai uaatu o te au tikaanga tangata e te oraanga tamanamanata kore ia i akamou ia i roto i teia Akakiteanga  nei.
