00-00	MASH AINTSTI IWIAKMAU AYAMPRUMATI
02-02	Nusisan achuar mash nunkanam niisha pujuiniaausha, ni juntri umirin asar, maanitiuk, kajernaitsuk, mai meték ayamprunikiar pénker pujusartin aíniawai.
03-00	Umiktiniun iniakmauri kampatam (Artículo 3)
03-01	Mash aintsti takakji iniu iwiakrriauri, akan pujustin nuya pénker wainkamu atiniutji
04-00	Umiktiniun iniakmauri yachintiuk (Artículo 4)
04-01	Aintsti kajerkamu nuya iniarmau pujustin atsaji nuka pénker surimkamuiti.
05-00	Umiktiniun iniakmauri Uwej (Artículo 5)
05-01	Yaksha asutramu, epenmiau, nuya yajasmauwa ainin jismau achatniuitji
06-00	Umiktiniun iniakmauri Irúk (Artículo 6)
06-01	Mash aintsti iniu takakji tuwinsha páant nekamu nuya kirakmamu atiniutji
07-00	Umíktiniun iniakmauri jimiaruk (Artículo 7)
07-01	Umiktin kirakjai jismasha mash metekraitji nuya mash ayamprukmau atin yash menankichmau achatniuiti.
08-00	Umiktiniun iniakmauri mena (Artículo 8)
08-01	Mash aintsti iniu ayamprumaktin takakji juunt iruntramunam nuya ayamkar iniu ayamprumaktin kirakmamun uminiachmati.
09-00	Umiktiniun iniakmauri Ipiak (Artículo 9)
09-01	Yaksha kakarmajai achikiar jea tanishmarmaunam epenmiau nuya asutramu archátnuiti.
10-00	Umiktiniun iniakmauri maiwej (Artículo 10)
10-01	Mash aintsti iniu ayamprumaktin takakjimetekrak anturnaikiatin nuya umirnaikitin tura aintsan wari chicham akuisha penker nekarnaiya iwiaratin.
11-00	Umiktiniun iniakmauri maiwej kichik (Artículo 11)
11-01	Mash aintsti iniu takakji ayamprumaktin warinsha najanachu arinink nankamir tsanumamu akur, umiktin kirak najanamu ayamprutmaji, pant nekamu nuya penker iwiarama juakat tinia.
11-02	Umiktin kirakjai jisam warish atsau wainiatur yaksha pase umakmau atsutnuiti nuya aintsan nuna pase najanatin atsawai.
12-00	Umiktiniun iniakmauri Maiwej jipiar (Artículo 12)
12-01	Yaksha nii iwiakmaurin, nii weurijiai ni jeent pujau nuya tuwinsha pujau pase umakmau nuya aintsan kajerkamu awatramu achatnuiti nuna ayamprutmaji umiktin kirak najanmauka.
13-00	Umiktiniun iniakmauri maiwej kampatam (Artículo 13)
13-01	Juu nunkanmanka mash aintsti iniu takakji ankan ii wakeramu wekasatin, irastin nuya aintsan ii pujustin wainkatin.
13-02	Mash aintsti iniutakakji yajaa nunkanam irastin, ii nunkencha nuya aintsank irasar iniu nunken waketkir pujustiniun.
14-00	Umiktiniun iniakmauri maiwej yachintiuk. (Artículo 14)
14-01	Tuwinsha turachkunka yajaa nunkanmasha uwempratin takakji aya neachmau kajerkamu nuya apapekmau akur.
14-02	Juu ayamprumamuka umiktin kirak nuya juunt iruntrau chichamen umikchata tachamuiti, antsu chicham iwiarmaman uwemtikramji.
15-00	Umiktiniun iniakmauri maiwej uwej (Artículo 15)
15-01	Mash aintsti takakji iniu pujamuri nekamu atín.
15-02	Yaksh niniu suritkamu atsui nii pujamu nunkanam nuya aintsan yajaa nunkanam pujustin.
16-00	Umiktiniun iniakmauri maiwej Irak (Artículo 16)
16-01	Uchi natsmaru nuya nuwa nawanmaru nii nuwatnaikiar pujustlnlun yaksha suritkashtiniuti, antsu niniuka nuwatnaik warasar pujustin nuya ni tsaniakmaurijai ajapnayatin nuka nii inintin ainiawai.
16-02	Antsu ninki anajmanirmaujai penker anturnainiak nuwatnaikiatin awai
16-03	li weuka arutam amasmawiti nuya shirmaiti juuiwiakmaunum tura aintsan takakji iniu ayamprukmau atin juu iwiakmaunum nuya juu nunkanam.
17-00	Umiktiniun iniakmaueri maiwej jimiairuk (Artículo 17)
17-01	Mash aintsti takakji iniu, iniuk nuya mashnau jimiastin,
17-02	Yaksha ni takakmau takustin suritkamu atsawai.
18-00	Umiktiniun iniakmauri maiwej mena (Artículo 18)
18-01	Mash aintsti iniu takakji ankan inintimratin, nuya arutam umirkatin tura aintsan iniuka awai iik yapajniatin yash tachamaitiatur ii inintimtairincha nuya arutam umirkatniunmasha turakur páant awajkitn iniuk tura mashnum nekamu arat tusar.
19-00	Umiktiniun iniakmauri maiwej ipiak (Artículo 19)
19-01	Mash aintsti iniu takakji ankan ii inintimmau nuya chichaktin nuya aintsan mash aintsti inintinmau pase ·umakmau nuya ekekar etseramu atsutnuiti.
20-00	Umiktiniun iniakmauri mai nawe (Artículo 20)
20-01	Mash aintstí iniu takakji akan iruntratin nuya shiram kawenkar chicham iwiarmau
20-02	Yash utsukchamuiti kich iruntramunam wetiniun.
21-00	Umiktiniun iniakmauri mai nawe kichik (Artículo 21)
21-01	Mash aintsti iniu takakji ii nunken juunt naamkatin nusha iruntrau chichamejai.
21-02	Mash aintsti iiniu takakji tuwisha takakmastin nusha juu nunkanam paant nekamu
21-03	Aints iruntrau kakarmarijiai juuntri naamkatin jeaji. nuu kakaram susamuakur nekas juntri atatji, tura aintsan ii inintimmau iniaikiatnuiti.
22-00	Umiktiniun iniakmauri mai nawe jimiar (Artículo 22)
22-01	Mash aintsti iniu takakji juu iwiakmaunum pujau asar penker wainkamu atin tu asamti penker wainkamu atiniutji kich iruntrarusha yainmau warasar pujustatji mash yainmau akik chichamnum, nuya penker pujustin turakur emkir wetin ii iwiakmaurin.
23-00	Umiktiniun iniakmauri mai nawe kampatam (Artículo 23)
23-01	Mash aintsti iniu takakji takakmastin wari takata wakeraji nuwi takakmakur warasar pujaji turakur takatrinchau pujatsji iiiwiakmaunum:
23-02	Mash aintsti iniu takakji, yash menankichmau mai metek akik wainkatin aji
23-03	li takakmamunam penker nuya mai metek akikmau atinuiti turakur ii weujisha warasar pujustin tura aintsan penke kakaram uyumakrinkia iruntrau yainmau aartinuitji
23-04	Mash aintsti iniu takakji iruntratin nuya iruntraunam achikiatin iniu ayamprumaktasar.
24-00	Umiktiniun iniakmauri mai nawe yachintiuk. (Artículo 24)
24-01	Mash aintsti iniu takakji ayamratin, warastin akan amaunum nuya aintsank takakmastin nuya ayampratin kintia tesarmau atiriuiti.
25-00	Umiktiniun iniakmauri mai nawe uwej (Artículo 25)
25-01	Mash aintsti iniu takakji penker pujustin ii weujai timia nekaska yurumkanam, ewejmaknum, tsuamatiniam, jea takustin nuya mashnum yainmau atinuiti tura aintsan junmasakrin, wajemawakrin nuya ii namanken pasemarakrin yainkmau atin takakji.
25-02	Nuwa wakentin nuya uchi niniun takakui penker wainkamu nuya yainmau atin nuya aintsan mash uchi niniun takuiniakui penker wainkamu atin nuatnaikiar nuya ikian pujusarakiamu akusha.
26-00	Umiktiriiun iniakmauri mai nawe iruk (Artículo 26)
26-01	Mash aints niniun takuiniakui unuimiartin tura aintsan akikmatkachmau unuimiatnumka unuimiatinuiti nuya aintsan mashnum niniun takakui uchi, natsa, juunt unuimiatiniam unuimiartiniun.
26-02	Unuimiartinka takakui nii penkerin, aintstikia unuimiakir weakur iwiarnaji ii penkerin nuamtaik aintsti arantuniktin, warutam kich aints nuya kich iruntrau irunkuish tuke. arantukmau atinuiti tura aintsar takakmakir weakur juunt nunkanmaya iruntraru yaiminiúash paant awasatatji.
26-03	liniu aparinkia niniun takakui nii wakeramunam uchirin unuiniartin
27-00	Umiktiniun iniakmauri mai nawe jimiairuk (Artículo 27)
27-01	Mash aintsti iniu takakji ii wakeramujai pujustin irutkamunam, irutkamu chichame umiakur warinmash mash yainmau atatji takat nuya unuimiartin chichamnum.
27-02	Mash aintsti iniu takakji warinmash yainmau atin, inintimmaunum nuya aintsan takatnum turasha juu takatnum unuimiartin, kirák najankatin nuya takakmati chichamnun turakur ii nurintin najanartatji.
28-00	Umiktiniun iniakmauri mai nawe mena (Artículo 28)
28-01	Mash aintsti wakeraji iniu ayamprumaktin páant nekamu ati mash nunkanam nuya yaja nunkanmasha.
29-00	Umiktiniun iniakmauri mai nawe ipiak. (Artículo 29)
29-01	Mash aintsti umiktin takakji irutkamu arantuktin ii penker tsakartiniun suramu asakui.
29-02	liniu umiakur warasar pujakrisha tuke umiktinuitji umiktin kirak najanamuka turakur páant nekamu atátji kich aintsush arantakur warasar pujustatji tura aintsaík aintsun umintikniush nuya aints iruntraush waramtikji
29-03	liniu warasar pujamuka anajmarar wari takatash najanmau atsawai antsu yaja nunkanmaya iruntraru inintimmauka aintsnau páant awajsata tamauwiti.
30-00	Umiktiniun iniakmauri kampatam nawe. (Artículo 30)
30-01	Juu takat emtikmauka pase inintimchamuiti antsu juu takatka aintsti Inlu takakmau páant awajsamu nuya arantukmau ati mash nunkanam tamauwiti.
