00-00	[missing]
01-00	Статья 1
01-01	Бәнде” ӈанасанә” ӈәтукәнды” нендя”туо” ӈонә хонсы хелиде” ӈиле мәнәй (правай). Сытыӈ хонды” ӈиле ӈонда ӈонә сяру, дүзытәндыӈ ихүтүӈ нягәә” сүөарусә”.
02-00	Статья 2
02-01	Курәдите ӈанаса хонхиты мынту ӈиле мәнү”тү (правайтү) ӈонә няндябсатү, хозүтүө” ӈануо Декларациетәны, нисы сәӈүрә”: курәди ӈанасанә” тансәгәтә иммә, курәди сябыты кухуо, куодүму кәтти ны, курәди ӈиле ӈәтумиамуо сиәдеты, курәди ӈуодя хүнтүрүбсязы иӈу, курәди политикә ӈәзу камяӈу, курәди ӈанасанә тансәдя иӈу ӈонә курәди ӈәтумиамуонту сиәр: ӈүня” кәтти мәӈкәә” иху” тагәбтәә” ирити, имидити.
02-02	Тәндә комәәны ниби” нягәә сәӈүрә” хунсә” политический, ӈиле мәнәнтәнунты иттүо (правовой) ӈонә международный моунты статусәдя, кунини нилыӈы ӈанаса нисы сәӈүрә” хундялтуо кәтти камя”лутуо тәндә” моу”.
03-00	Статья 3
03-01	Курәдите ӈанаса хонты ӈиле мәнә (право) нилыбсядя, няндябсадя ӈонә нинту” ментизибсятыдя.
04-00	Статья 4
04-01	Сылыгалите нибити нягәә сиба”тәру”, сиба”тәрубса ӈонә тамтарубса сиба”тини нинту кунитены нягәә кәрҫу.
05-00	Статья 5
05-01	Сылыгалите нибити мынту хоси”тәры”, сиба”тәру”, хеттибтыгуйли” нәмбәниизә.
06-00	Статья 6
06-01	Курәдите ӈанаса, кунитены нибити ӈуо”, хонхити нягәә ӈиле мәнә (право) ӈиле нилутыниимәны
07-00	Статья 7
07-01	Бәнде” ӈанасанә” хелиде” законатәны ӈонә хонды” ӈиле мәнә (право) нисы сәӈүрә” нинту” хелиде” ӈизисибся”дя итүо” тәндә законәтәны. Бәнде” ӈанасанә” хонды” ӈиле мәнә (право) хелидемәәны ӈизи”силинягәтыӈ дискриминациегәтә, нинту” ӈәзү”лутүө ӈануо Декларациетәны ӈонә хунсә курәдите номү”тәтуо тәрәди дискриминациядя кәрҫу.
08-00	Статья 8
08-01	Курәдите ӈанаса хонты ӈиле мәнә (право) ӈизи”сибся- нимәәны ӈиле мәнүнтү (правайтү) бәнтуны иттүо” суда”тини каӈгә мәнтизилибити” ӈиле мәнүнтү (правайтү), куниә” ӈәзүлүӈантә” конституциетәны кәтти законәтәны.
09-00	Статья 9
09-01	Сылыгалите нибити мынту камя”лу” ӈанасанәйгитә хунде, мәрки”тәры”, хундямтялыры” ӈонә сиба”тәру”.
10-00	Статья 10
10-01	Курәдите ӈанаса, ӈанузүмтүкүся ӈиле мәнүтү (правайтү) ӈонә ӈанузүмтүкүся уголовный сиәрәмты, хонты ӈиле мәнә (право) мелызәсыәдиәзы сиәрты катемәрунагәту ӈәзи”тәтыә ӈонә няндя”туо судәтә.
11-00	Статья 11
11-00	Курәдите ӈанаса, лага”тарутуо курәдикүө сиәртәны, хонты ӈиле мәнә (право) ӈизи”сиси сиәркали исямту тәә түбә каӈгә сыты сиәрту ӈәтәурусүзү” законә ӈәзүтүө судәтә, кунини сыты ӈизи”силисизи”.
11-01	Сылыгалите нибити мынту ӈомтәбтуру” нинту” мелызасыәдейты сиәрниизә, тәтти сиәр ихү” сыты ӈиле тандеты кәрҫутини нинту номбә кәрҫудя иттүо. Нибити мынту тәндә кәрҫуниизә тетуа ани”әмәны кәтти бәзәтуомәны хоралу” тәндә дялыгәтә каӈгә иху мелызәмәә тәтти кәрҫу.
12-00	Статья 12
12-01	Сылыгалите нибити мынту хүтүтә” хунсә ӈанаса корҫәтә кәтти ӈиле тандетә, нибити мынту ментизи” тәндәты мазә, тәндәты тиидятуо” хотүрә кунсыны иттүо” кәрҫу”, Курәдите ӈанаса ӈизи”силибити мынту законатәны тәрәди” ментизибсягитә.
13-00	Статья 13
13-00	Курәдите ӈанаса дөзүрхүтү мынту тәмәәны кунимәны кәрбуӈу, нилыбити мынту курәдите хутиәзы моунтәны.
13-01	Курәдите ӈанаса хонты ӈиле мәнә (право) дүбәәнантибити курәдите моу, ӈиле ӈәтумиамуо моумту, тәгәтә хонты ӈиле мәнә (право) хурсәбса кәрҫу моунтудя.
14-00	Статья 14
14-00	Курәдите ӈанаса хонты ӈиле мәнәмты (право) хууләбити лүӈкүрүбсянәзәмты хунсәә” моу”мәны ӈонә хонты мәнә тороубтуса тәндә лүӈкүрүбсянә.
14-01	Тәтти ӈиле мәнә (право) серәрыгәтызә” тәә түхоны, каӈгә тәнерибся кәрҫу тохитәны нинты ӈуо” политический сиәр,кәтти лыку дүөайтетуо неру” ӈонә дямәләкә” кәрҫу” Сунә 5уомтумәә” Тандей (Объединенный Нация).
15-00	Статья 15
15-00	Курәдите ӈанаса хонты ӈиле мәнә (право) гражданстводя.
15-01	Сылыгалите нибити мынту койры” гражданствогали ӈонә кәрбүбүтү нутумәә” гражданствамту.
16-00	Статья 16
16-00	Нимбымтыә” куодүму” ӈонә ны” хонды” ӈиле мәнә (право), нисы сәӈүрә” курәди ӈанасанә тансәгәтә иммә”, курәди сябытыӈ ӈәзу, курәди ӈуодя тялирӈү”, ӈуомтаса кәтти мяйзасы, мелызәсы ӈиле тандемту. Сытыӈ хонды” хелиде” ӈиле мәнә” (права”) ӈуомтаса кәтти мяйзаса, ӈуойтены нилыбся ӈонә тарумса түхоны.
16-01	5уомтәбса кәрҫу мынту ихүтү мелызәмәә ӈонә ләбкузәбту- муо сиття” кәйзә ӈуомтәтугәй.
16-02	Тансә тәттирә ӈануо ӈонә мәӈәзә обществә хелыә, куниә ӈизисилибити мынту обществатә ӈонә государстватә.
17-00	Статья 17
17-00	Курәдите ӈанаса хонбити мынту (право) ӈиле ӈалирә” кәтти ӈу”озә ӈалирә” хунсәй ӈанасанәй нану.
17-01	Сылыгалитендә нибити мынту (право) ментизили” тәндә” ӈалирә”.
18-00	Статья 18
18-01	Курәдите ӈанаса хонты ӈиле мәнә (право) нендя”туомәны сынерырся, сяру ӈонә ӈиле тандету ӈуо (религия); курәдите ӈанаса хонсызә хүнтүрүбся тәрәди ӈуодя, курәди хуйӈы, хонсызә ӈиле камя”туо манү”тәбса, ӈиле ӈәтумиамуо” хүнсерәә” кәрҫуодей.
19-00	Статья 19
19-01	Курәдите ӈанаса хонты ӈиле мәнә (право) нендя”туо манү”тәбсадя, дебтазабса тәндитиӈ кангә кәрбуӈу; тәтти мәнә (право) тәзү”тәту нендя”туомәны дебтазабса манү”тәбсатү, курәдите дүрымы”, буозу” нисы сәӈүрә” курәдите государственный границедя.
20-00	Статья 20
20-00	Курәдите ӈанаса дөзүрхүтү мынту куниа кәрбуӈу: курәдите хетәгәә” ӈунүоза”дя, ӈанасанә ӈунүбсанә”дя (ассоциаций).
20-01	Сылыгалите нисизи” хүтү”тәру” ассоциациетә мәнәнту нисы тәлибтири”.
21-00	Статья 21
21-00	Курәдите ӈанаса хонты ӈиле мәнә (право) управляйрмүнтә моунтәнынты кәлүбтүмәә” ӈанасанәй таккәмәны.
21-01	Курәдите ӈанаса хонты ӈиле мәнә (право) денсидемәәны хунсәйнану ӈәйбәумунтә ӈиле моунты государствә” службатәны.
21-02	5анасанә” тансә мәнә ихүтү мынту нягәә правительство ӈузабса тохи; тәтти мәнә нәтәрәбтугуйхүтү мынту хүөти” мелы”сырытыә” натү”дятини, курәди” мелы”сырыбитиӈ мынту тиидялутуо” голосованиентәны кәтти хунсәәмәны кунини голосовайрся ӈанаса хонсызә ӈиле мәнә.
22-00	Статья 22
22-01	Курәдите ӈанаса, общество терә ихүтү, хонты ӈиле мәнә (право) социальное обеспечениедя ӈонә хунсәә” правә”дя, тәзу”тәтуо” няндятуо бәзуатәбса сыты ӈиле мәнүтү (правайтү) экономический, социальный ӈонә культурный сунәнтини ӈанасанәй танде” ӈонә международный сүөарубса курәдите государство таккәмәны.
23-00	Статья 23
23-00	Курәдите ӈанаса хонты ӈиле мәнә (право) ӈәйбәузадя, няндя”туо натярубса ӈәйбәузадя, тәны кунини кәрбуӈу, нягәә ӈонә неими” ӈәйбәузату ситтямәны иттүодя ӈонә ӈизи”силибити мынту ӈәйбәузагали иттүо кәрҫугәтә.
23-01	Курәдите ӈанаса, нисы хундялтарыби”, кәмүзүхүтү мынту хелиде денси”, хелиде ӈәйбәузаниизә.
23-02	Курәдите ӈанаса кәмүзүбүтү мынту нягәә ӈәзи”тәтыәә мазайсүө кәтти денси ӈәйбәузатуниизә, куниәә”мәны нягәй нилыбиазәә тандетунану кәтти ӈонәнту ӈонә хелы”сылибиазәйзә нягәй хунсәй социальный обеспечениятәны нилынягәты.
23-03	Курәдите ӈанаса хонты ӈиле мәнә (право) ӈунүнтәбса ӈәйбәузә” сунә” (союзә”) тиитәсы тәндә” сунәти” (союзәнди”) ӈизи”синягәты ӈиле мәнүтү.
24-00	Статья 24
24-01	Курәдите ӈанаса хонты ӈиле мәнә (право) ниибтүгуйсядя, хүтүдя ӈиле мәнә (право) тәни ӈәйбәуза” дялы кәри ӈонә денси хонтыә хүө бәухү” ниибтүгуйся.
25-00	Статья 25
25-00	Курәдите ӈанаса хонты ӈиле мәнә (право) тәрәди нилудя: ӈомсу”, дембиа”, леккырә” ӈәтәубса ӈонә хунсәә” нилыбся кәрҫу”дя, курәди ихүтү нягәә нягәә нилыбсяты ӈонә тандеты нягәй нилыбся дязыкү, хонты ӈиле мәнә хелы”сырынягәты нибити ӈәйбәу”, дярәзыкәбити, мусанумхүтү, сырумхүтү, бәйка”имхүтү кәтти иниа”имхүтү, басагалимхүтү ӈонә ӈәтумхи” хунсә” кәрҫу” нинту” хезытытыә” сыты сәмырыгәтәты.
25-01	Немы ися коныбся ӈонә дяхүрка ибся хонәйти” ӈиле мәнә (право) ӈәзүлүнагәтуӈ ӈонә хелы”сылинагәтыӈ. Бенде” нүо”, ӈәтумтыә” ӈуомсуоде тандәтәны кәтти нинту” ӈуомсуоде тандәтәны, хонхитыӈ мынту хелиде ӈизисибся.
26-00	Статья 26
26-00	Курәдите ӈанаса хонты ӈиле мәнә (право) хозатәбсанимәәны. Тенымтыгуйхи” мынту денсигали, тәтти кәрҫу мәӈәзәмәәны ментизити нерәбтәә ӈонә бәнде” дязыкүдя иттүо тенымтыгуйся. Нерәбтәә тенымтыгуйся ихүтү мынту бәнди”дя итүо. Техника ӈонә ӈәйбәузадя иттүо тенымтыгуйся ихүтүӈ мынду” бәнде”ти” түүтәрутуо”, ани”ә, бәнтуо тенымтыгуйся хелидемәәны түүрүбүтү мынту бәнде” кәрбутуоти”.
26-01	Тенымтыгуйся ихүтү мынту хезытытыә бәнде” ӈанасанә сәмыры бозуатәбсадя ӈонә ӈукәгимти”куйтиә бәндети нягәй тенырыбся, хүся”лубса, дильситибся ӈонә тенынбся ӈиле ӈанасанә мәнә” мәӈәзәмәәны няндябсянимәәны иттүо”. Тенымтыгуйся ихүтү мынту хелы”сытыә нятүӈ сәмәры теныбся, сүөарубся бәнде ӈанасанә” дүтымәны, курәдите нибити ӈуо” сяхытиӈ кәтти хүнтүрүбсянутүӈ ӈуодя, хелы”сыбити мынту Сунә 5уомтумәә” Тандей (Объединенный Нация) камя”са нягимтүгутүой кәрҫуй.
26-02	Нүо” деди” хонты” ӈиле мәнә (право) натярса, кунини тенымтыгуйсизитә” сиәнә” нүотиӈ.
27-00	Статья 27
27-00	Курәдите ӈанаса тороубүтү мынту ӈанасанә” танде культурный” нилутәны, нялтәбити мынту хүнсерәй кәрҫуодейдя участвовайрхүтү мынту научный прогрессетәны ӈонә тороубтугуйхүтү тәндәты ӈүнязү”.
27-01	Курәдите ӈанаса хонты ӈиле мәнә (право) ӈизисибсядя сәмырыты, мәненсәкүтү, куниә” иӈу” научный, литературный кәтти художественный ӈәйбәузатинунту, курәди” сыты ӈиле мелызасыәдейти.
28-00	Статья 28
28-01	Курәдите ӈанаса хонты мәнә (право) социальный ӈонә международный ӈәзи”тәбсадя, курәдитәны ӈиле мәнә” (права) ӈонә няндябса”, хозүтүө” ӈануо Декларациетәны, бәнде” дүлсырыбитиӈ мынту.
29-00	Статья 29
29-00	Курәдите ӈанаса хонты мәнә” (обязанности), нондитыә” ӈанасанә танде нерәны, кунини ӈиле сәмырыты няндя”са бозатәсузә.
29-01	Мелы”сыса ӈиле мәнүтү (правайтү) ӈонә няндябсатү, курәдите ӈанаса нонсубтырибити мынту тәәтүхораны, каӈгә сыты мелысыкәсытә тәрәди кәрҫу, нинтыә нөльхү”күрү” законәтәны ноӈхәмәны иттүотуниизә ӈонә дүөайтетуо ӈанасанә” тандей нягәй ӈәзүлүбсямтуӈ ӈонә миттәбсямтыӈ бәнсә маа хутеемтыӈ ӈонә нягәй нилыбсябтыӈ демократический обществатәны.
29-02	Мелы”сыбся тәндә” ӈиле мәнә” (права”) каӈкәгалите нибитиӈ мынту Сунә 5уомтумәә” Тандей (Объединенный Нация) неру” кәйнимәәны коны”.
30-00	Статья 30
30-01	Маагалите ӈануо Декларациетәны иттүо нибити мынту дебтуру”, милитиә мантә курәдикүө государствотә, сунә”тә кәтти ӈанасанә” сунә”тә кәтти бәзәлтуо” хорү”ти правә мелысынагәтыӈ тәндә ӈәйбәуза, хезы”тытыә сымбабтыгуйсядя правә” ӈонә няндябса”, хозүтүө” ӈануо Декларациятәны.
