00-00	Insan Hakların Cümlä Deklaratiyası
04-01	Kimsey diil lääzım tutulsun esirliktä ya serbestsiz durumda; esirlik hem esir satılması hiçbirtürlü kabledilmeer.
05-00	Yazı 5
05-01	Kimsey diil lääzım zeetlensin, zorlaştırılsın yada cezalandırılsın zulumca eki insan şanını aşaalayan davranışlan.
06-00	Yazı 6
06-01	Herbir insanın, nerdä da o bulunsa, var hakı daava subyektı olarak tanınmaa.
07-00	Yazı 7
07-01	Herbir insan kanona karşı denk hem herkezin, bir ayırıntısız, var birtakım hakı kanonnan korunmalı olmaa. Hepsi insannarın birtakım hakı var bu Deklaraţiyayı bozan diskriminaţiyadan hem bölä diskriminaţiya fitlemesindän korunmalı olmaa.
08-00	Yazı 8
08-01	Herbir msanııı hakı var legal millet daavalarından haklarını efekivli geeri almaa, eer kostituţiya ya kanon tarafından ona verilän haklar korunmazsalar.
09-00	Yazı 9
09-01	Kimsey yok nasıl zakonsuz zorlan kapansın, tutulsun yada erindän kaldırılsın.
10-00	Yazı 10
10-01	Herbir insanın haklarını hem borçlarını belirtmäk için hem ona çıkarılan kabaatlamanın sebepli olup-olmadıını göstermäk için var hakı, cümlä birtakımnık temelindä, ıstemäa onun daavası bakılsın açık hem dooruluk kurallarına uygun olarak baalı olmayan hem tarafsız olan sudta.
11-00	Yazı 11
11-01	Herbir kabaatlı bulunan insanın hakı var kabaatlı sayılmamaa, eer onun kabaatı zakona görä açık araştırmaklan ortaya çıkarılmadıysa hem ona hertürlü korunma kolaylıı verilmediysä.
11-02	Kimsey yok nasıl cezalandırılsın ölä bir cürüm (zakona uymayan iş) yapması içiıı yada yapmaması için, eer yapıldıı zamanda o cürüm naţional zakonnarına görä hem halklararası haka görä cezalanan kabaat sayılmadıysa. Hem yok nasıl kabaatlıya verilsin taa aar ceza, nekadar vardı nasıl verilsin o vakıtta, açan cürüm yapılmış.
12-00	Yazı 12
12-01	Kimseyin yok nasıl kanonsuz karışılsın kendi kişi hem aylä yaşamasına, kanonsuz dokunulsun onun eviııä, onun Yazışma saklılıına yada onun kıymetinä hem adına. Herbir insanın var hakı kanonnan korunmalı olmaa bölä karışmalardan eki bölä dokunmalardan.
13-00	Yazı 13
13-01	Herbir insanın var hakı serbest er diiştirmää hem herbir devletin sınırlarında kendisinä oturmak eri ayırmaa.
13-02	Herbir insanın var hakı çıkmaa memlekettän, bu sırada kendi memleketindän da, hem dönmää memleketinä.
14-00	Yazı 14
14-01	Herbir insanın var hakı sıkıştırmalardan başka memleketlerdä koruntu aaramaa hem o koruntuyu kullanmaa.
14-02	Bu hak yok nasıl kullanılsın, eer sıkıştırma yapılırsa gerçektän politikaya baalı olmayan bir kabaat için yada Birleşmiş Milletlär kurulun neetlerinä hem prinţiplerinä karşı gidän işlär için.
15-00	Yazı 15
15-01	Herbir insanın var vatandaşlık hakı.
15-02	Kimseydän yok nasıl kanonsuz alınsız onun vatandaşlıı yada onun hakl kendi vatandaşlıını diiştirmää.
16-00	Yazı 16
16-01	1.Yaşlarını dolduran adamnarın hem karıların var hakı, hiçbir sınırlamasız soy, milletlik ya din üzerinä, evlenip aylä kumıaa. Onnarın hakları birtakım evlenirkän, evlenmektä bulunarkan hem ayırılarkan.
16-02	Evleıımäk olabilir sade karşılıklı iki tarafın bütün serbestliinnän hem kayıllıınnan.
16-03	Aylä— cümlenin bir natural hem ana kısımı hem onun var hakı cümlä hem devlet tarafından korulu olmaa.
17-00	Yazı 17
17-01	Herbir insanın var hakı mal saabisi olmaa tek başına yada başkasınnan birliktä.
17-02	Kimseyin elindän zakonsuz mal diil lääzım alınsın.
18-00	Yazı 18
18-01	Herbir msanın var serbestli düşünmäk, üz hem din hakı; bu haka girer serbestlik diiştirmää kendi diııini ya inandıklarını hem tutmaa kendi dinini ya inandıklarını tek başına ekİ başkasınnan birliktä, halka açık üürenmää, duva etmää hem din ritual adetlerini kullanmaa.
19-00	Yazı 19
19-01	Herbir insanın var hakı serbestli fikirlerinä hem onnarın serbestli açıklamasına; bu haka girer serbestlik engelsiz kendi fikirlerinä uymaa hem serbestlik aaramaa, kabletmää hem daatmaa bilgi hem fıkir hertürlü hem devlet sınırlarına baalı olmayarak.
20-00	Yazı 20
20-01	Herbir insanın var hakı uslu toplantı hem kuruluş serbestliinä.
20-02	Kimseyi yok nasıl zorlaştırmaa girsiıı nesoy-sa kurııluşa (asotiatieyä).
21-00	Yazı 21
21-01	Herbir insanın var hakı pay almaa kendi devletin kullanmasında doorudan yada seçilmiş vatandaşlann aracılıınnan.
21-02	Herbir insanın var birtakım hakı kendi memleketindä devlet izmetinä giräbilmää.
21-03	Halkın isteyişi lääzım olsun önderlik kuvedin temeli; bu isteyiş laazım belli edilsin periodik hem falş olmayan seçimnerdä, angıları lääzım yapılsınnar universal hem birtakım seçim hakınnan, saklı kiyat atmaklan yada başka denk maanalı, kiyat atmanın serbestliini koruyan formalarlan.
22-00	Yazı 22
22-01	Herbır insanın, cümlä azası olduu için, hakı var sotial yardımına hem onun saygılıın yardımnı olması için hem kişiliin serbestli ilerlemesi için lääzım olan ekonomika, soţial hem kultura hakların gerçekleştirmesinä national yardımnarı hem milletlärarası işbirlii yolunnan hem herbir devletin yapılışına hem kaynaklarına uygun olarak.
23-00	Yazı 23
23-01	Herbir insanın var hakı çalışmaa, serbestli iş ayırmaa, dooru hem uygun iş kolaylıklarında çalışmaa hem işsizliktän korunmalı olmaa.
23-02	Herbir insanın var hakı hiçbir ayırıntısız birtakım iş için birtakım ödek kabletmää.
23-03	Herbir çalışan insanın var hakı almaa dooru hem kanaatlı ödek, angısı eter insanca yaşamaa ona hem onun aylesinä hem angısına, lääzım olduynan, eklener başka sotial yardımnarı.
23-04	Herbir insanın var hakı kurmaa profesıonal birlikleri hem girmää profesional birliklerinä kendi intereslerini korumaa deyni.
24-00	Yazı 24
24-01	Herbir insanın var hakı dinnenmä hem boş vakıda, bu arada çalışma günün akıllıca sınırlanmasına hem periodik ödekli izinina (otpuskaya).
25-00	Yazı 25
25-01	Herbir ınsanın var hakı ölä yaşamak uuruna, bu sıraya girer imeesi, giyimi, evi, saalık bakımı hem lääzım olan soţial izmetleri, angısı lääzım olêr korumaa saalıını hem varlıını, kendisinin hem aylesinin, hem hakı yardımsız kalmamaa işsizlik, hastalık, sakatlık, ihtärlık yada başka olabilirli durumda, açan o kendisinä baalı olmayan sebeplär üzerinä geçinmesi için kaynaksız kalabilir.
25-02	Analık hem uşaklık vererlär bir ayırı bakım hem yardım hakı. Hepsi uşaklar, duuan evliliktä ya evlilik dışında, lääzım kabletsinnär birtakım sotial yardımı.
26-00	Yazı 26
26-01	Herbir insanın var üürenmäk hakı. En az başlantı hem genel üürenmäk lääzım olsunnar ödeksiz. Başlantı üürenmäk lääzım olsun hepsi için. Tehnika hem zanaat üürenmesi için yol lääzım açık olsun herkezinä, üüsek üürenmäk tä lääzım hepsi için birtakım açık olsun herkezin becerdimä görä.
26-02	Üürenmäk lääzım ön versin insan kişiliin dolu ilerlemesmä hem da insan hakların hem temel serbestliklerin taa büük saygılanmasına. Üürenmäk lääzım yardım etsin karşılıklı annaşmak, saburluk hem dostluk olsım hepsi miiletlär, soy hem din grupaların arasında hem yardım etsin Birleşmiş Kurulun barış koruma çalışmalarına.
26-03	Ana-bobanın var üstün hakı kendi küçük yaşlı uşaklarına üürenmäk forması ayırmaa.
27-00	Yazı 27
27-01	Herbir insanın var hakı serbestli pay almaa cümlenin kultura yaşamasında, hoşlanmaa incä zanaatlan, pay almaa bilim ilerlemesindä hem faydalanmaa onun hayırlarınnan.
27-02	Herbir insanın var hakı korunsun onun moral hem material interesleri, kaynaklanan oııun yaptıı bilim, lıteratura ya artistik yaratmalarından.
28-00	Yazı 28
28-01	Herbir insanın var hakı ölä bir soţial hem halklararası düzenä, aııgısında bütün haklar hem serbestliklär, sıralanan bu Deklaraţiyada, gerçek olabileceklär.
29-00	Yazı 29
29-01	Herbir insanın cümlä karşısında borçları var, sade cümledä olur gerçeklensin kişiliin serbest hem bütün ilerlemesi.
29-02	Haklarını hem serbestliklerini gerçekleştirärkän herbir insana sade ölä sınırlama yapılabilinir, angısı kanona göra uygıılanmış saade neetlän gerçekleştirmää aalemin haklarının hem serbestliklerinin tanınmasını hem saygılanmasını hem da demokratik toplumunda dooru moral ısteklerinä, cümlä düzeninä hem cümlä yaşamak bolluuna uygun olması için.
29-03	Bu hakların hem serbestliklerin gerçekleştirilmesi hiçbirtürlü diil lääzım aykırı gitsin Birleşmiş Milletlär Kurulun neetlerinä hem prinţiplerinä.
30-00	Yazı 30
30-01	Bu Deklaraţiyada bişey yok nasıl yorumnansın osoy, sansın bir devletä, kişi grupasına yada ayırı kişilerä veriler hak ölä bir çalışmada bulunmaa, angısı önnendiriler bu Deklaraţiyada sıralanan hakları hem serbestlikleri yok etmää.
