00-00	ᓯᓚᕐᔪᐊᕐᒥᐅᑦ ᓇᓗᓇᐃᖅᓯᐅᑎᖓ ᑭᓇᒃᑯᑐᐃᓐᓇᐃᑦ ᐱᔪᓐᓇᐅᑎᖏᑦ
02-01	ᑭᓇᒃᑯᑐᐃᓐᓇᓕᒫᑦᑎᐊᑦ ᐱᔪᒃᓴᐅᑕᐃᓐᓇᑦᑎᐊᖕᒍᕗᑦ ᑕᒪᐃᓐᓄᓕᒫᖅ ᐱᔪᓐᓇᐃᑎᓂᒃ ᐊᒻᒪᓗ ᐃᓱᒪᖅᓱᕈᓐᓇᐃᑎᓂᒃ ᐃᓕᖕᒐᓂᓕᐅᖅᑕᐅᓯᒪᔭᕇᖕᒪᑕ ᓇᓗᓇᐃᔭᐅᑎᖃᑦᑎᐊᑦᖢᑎᒃᓗ ᑖᒃᑯᑎᒎᓇᖅ, ᐊᔾᔨᐅᙱᖃᑎᒌᖕᓂᓕᕆᓗᐊᙱᓪᓗᑎᒃ ᓇᓪᓕᐊᒍᑐᐃᓐᓇᖅ, ᓲᕐᓗ ᓇᓂᕐᒥᐅᑕᐅᓂᕐᒥᒃᑎᒍᑦ, ᐅᕙᓂᖃᑎᒌᙱᓐᓂᕐᒥᖅᑎᒍᑦ, ᐊᕐᓇᐅᓂᖕᒍ ᐊᖕᒍᑕᐅᓂᖕᒐ ᐃᓱᒪᒋᓇᒍ, ᐅᖃᐅᓯᖃᖃᑎᒌᙱᓂᖅ, ᐅᒃᐱᕐᕕᖃᕐᓂᖅ ᑐᒃᓯᐊᕐᕕᖕᒥᖕᓂᒃ, ᒐᕙᒪᓕᕆᐅᑎᖃᕐᓂᖅ ᐅᕝᕙᓗ ᐊᓯᐊᒍᑦ ᑕᒪᒃᑯᐊ ᐃᓯᒪᒋᔪᓐᓇᖅᑕᖕᒋᑦ ᓯᖁᑎᒋᓇᒋᑦ, ᓇᓂᑐᐃᓐᓇᖅ ᓄᓇᒋᔭᐅᔪᒥᑦ ᐅᕝᕙᓘᓐᓃᑦ ᐊᓂᖅᑎᕆᔪᓐᓇᕐᓂᕐᒥᑎᒍᑦ, ᓄᓇᖃᖅᓂᒃᑯᑦ, ᐃᕐᓂᐊᖕᒍᓯᒪᓂᒃᑯᑦ ᐅᕝᕙᓘᓐᓃᑦ ᐊᓱᖕᒋᓐᓂᒃ. ᓯᓕᒃᑲᓐᓂᖅᑕᐅᖅ, ᐊᔾᔨᐅᙱᑎᑦᑎᔪᑕᐅᕙᒃᑐᑦ ᓴᓇᔭᐅᒪᔪᓐᓃᕐᓗᑎᒃ ᒐᕙᒪᐅᑎᓕᕆᔨᓄᐊᖅᑕᐅᕙᒃᑐᑦ, ᒪᓕᒐᑎᒍᑦ ᑲᒪᕕᒋᔪᓐᓇᖅᑕᖕᒐᒎᕈᑕᐅᕙᒃᑐᑦ ᐅᕝᕙᓘᓐᓃᑦ ᓯᕐᓚᔪᐊᕐᒥᐅᓄᑦ ᐊᑐᒐᐅᓕᖅᑕᖅᑐᑦ ᑎᑎᕋᕐᓯᒪᔪᑦ ᓄᓇᖓᓄᑦ ᓄᓇᖁᑎᒋᔭᐅᔪᒧᓪᓘᓐᓃᑦ ᓇᓪᓕᐊᕐᓄᑦ ᑖᓐᓇ ᐃᓄᒃᑐᖓ ᐊᑕᓪᓚᑦᑖᕐᒪᖔᑦ ᐸᓪᓗ, ᐃᓄᑑᔾᔨᓂᐊᕐᒪᖔᑦ, ᐊᖏᒐᒃᓴᐅᖕᒪᖔᑦ, ᓇᖕᒥᓂᖅ ᒐᕙᓕᐅᕿᒪᙱᑦᑑᖕᒪᖔᑦ ᐅᕝᕙᓘᓐᓃᑦ ᐅᖃᕐᓯᒪᓂᖓ ᓇᓪᓕᐊᑐᐃᓐᓇᖅ ᐊᓯᖏᑎᒍᑦ ᑭᒡᓕᓕᐅᕈᑕᐅᓯᒪᖃᑦᑕᖅᑐᑦ ᐱᖁᔭᕐᔪᐊᑦ ᐊᑕᔪᑐᖃᐃᑦ ᒪᓕᒃᖢᒋᑦ.
03-00	ᐃᓚᖓ 3.
03-01	ᑭᓇᒃᑯᑐᐃᓐᓇᓕᒫᑦᑎᐊᑦ ᑕᒪᒃᑭᕐᖢᑎᒃ ᐱᔪᓐᓇᐅᑎᖃᕐᐳᑦ ᐃᓅᓯᕐᒥᓄᑦ, ᑭᓱᒡᒍᑎᖃᕆᐊᖃᕐᓂᖃᕋᓂ ᐃᓕᑕᕆᔭᐅᔾᔪᑎᒃᓴᒥᒃ ᐊᒻᒪᓗ ᒥᐊᓂᖅᓯᐅᑎᖃᕐᓂᒃᑯᑦ ᐃᓅᓯᖓᓄᑦ.
04-00	ᐃᓚᖓ 4.
04-01	ᑭᓇᑐᐃᓐᓇᑦᑎᐊᖅᒥᒃ ᓯᐊᓛᓯᐊᖃᖅᑐᒃᓴᐅᔪᖃᙱᓚᖅ ᓱᒃᑯᔨᐊᕆᓗᒍ ᐅᕝᕙᓘᓐᓃᑦ ᐱᔨᑦᑎᕋᖅᑎᑐᐃᓐᓇᐅᓂᒃᑯᑦ; ᓯᐊᓛᖃᓗᐊᕐᓂᖅ ᐊᒻᒪᓗ ᓵᓚᑲᑐᒃᓴᕆᔭᐅᓂᐊᕐᑐᒥᒃ ᑕᐅᕐᓰᓂᖅ ᐱᑦᑕᐃᓕᑎᑕᐅᕙᖕᓂᐊᓕᖅᑐᖅ ᖃᓄᐃᑦᑐᑐᐃᓐᓇᒃᑰᕆᐊᖃᓪᖤᓕᕋᓗᐊᕐᐸᑦ ᓴᓇᒪᓂᓕᐅᖅᑕᐅᓂᒃᑯᑦ.
05-00	ᐃᓚᖓ 5.
05-01	ᑭᓇᑐᐃᓐᓇᑦᑎᐊᖅᒥᒃ ᐋᓐᓂᐊᑎᑕᐅᕐᔪᐊᕌᓗᒃᑐᖃᖅᑐᒃᓴᐅᙱᓚᖅ ᑎᒥᖓᒍᑦ ᐅᕝᕙᓘᓐᓃᑦ ᐃᒃᐱᖕᓂᐊᓂᖃᙱᑦᑐᑎᑐᑦ ᐃᓅᕕᖃᖅᑐᒃᓴᐅᙱᓚᖅ, ᓲᕐᓗᓕ ᐃᓅᙱᑦᑐᖃᑎᖃᖅᑐᑎᑐᑦ ᐊᓂᕐᑎᕆᔪᒥᒃ ᐅᕝᕙᓘᓐᓃᑦ ᖃᓄᐃᑦᑐᑐᐃᓐᓇᒃᑯᑦ ᑲᒪᓇᓱᐊᕐᓂᒃᑯᑦ ᐅᕝᕙᓘᓐᓃᑦ ᐊᓄᓪᓚᒃᓯᐊᕆᓗᒍ ᐃᒻᒥᓂᖅᓲᑎᒋᑐᐃᓐᓇᕐᓗᒍ ᐱᔭᕆᐊᖃᙱᑦᑐᖅ.
06-00	ᐃᓚᖓ 6.
06-01	ᑭᓇᒃᑯᑐᐃᓐᓇᑦᑎᐊᑦ ᐃᓕᑕᕐᓯᒪᐅᑎᖃᕐᐳᑦ ᓇᓂᑐᐃᓐᓈᑦᑎᐊᖅᑐᖃᓪᓚᕋᓗᐊᕈᓂ ᐃᓄᒃᑕᖓᓂᒃ ᐱᖁᔭᑎᒍᑦ ᐃᓕᑕᖅᓯᐅᑎᖃᕋᓱᑐᐃᓐᓇᙱᓪᓗᓂ.
07-00	ᐃᓚᖓ 7.
07-01	ᑕᒪᕐᒥᑦᑎᐊᖅ ᐊᔾᔨᒌᒃᐳᑦ ᐱᖃᔭᐅᑉ ᓵᖓᓂ ᐊᒻᒪᓗ ᑕᐃᒎᓯᖃᖅᑐᐃᓐᓇᐅᓪᓗᑎᒃ ᐱᑕᖃᖅᑎᓐᓇᒍᐃᓅᖃᓐᓂᐊᕐᓂᖅ ᐊᔾᔨᐅᑎᑕᒃᓴᐅᓂᕐᒧᑦ ᓴᐳᒻᒥᔭᐅᑎᖃᕐᖢᓂ ᐱᖁᔭᑎᒍᑦ. ᑕᒪᕐᒥᓕᒫᕐᓗ ᑕᐃᒎᓯᖃᖅᑐᐃᓐᓇᐅᕗᑦ ᒥᐊᓂᕐᓯᐅᑎᖃᕐᖢᑎᒃ ᐊᑭᕋᕐᑐᓕᖅᑕᐅᖁᓇᒋᑦ ᐃᓅᖃᓐᓂᐊᕐᓂᒃᑯᑦ ᐃᓖᔭᖅᓱᐊᕆᓕᕐᓗᒋᑦ ᐋᓐᓂᖅᑎᕆᓂᒃᑯᑦ ᑕᒪᑐᒧᖓ ᓇᓗᓇᐃᕐᓯᐅᑎᖃᕐᐳᑦ ᐊᒻᒪᓗ ᐊᑭᕋᖅᑐᖅᑐᖅ ᓇᓪᓕᐊᖕᓂᑐᓐᓇᖅ ᐊᔪᕆᑦᑎᔪᖃᖅᑐᒃᓴᐅᙱᓚᖅ ᐃᓅᖃᓐᓂᐊᕐᓂᒃᑯᑦ.
08-00	ᐃᓚᖓ 8.
08-01	ᑕᒪᕐᒥᑦᑎᐊᖅ ᐱᔪᓐᓇᐅᑎᖃᕐᐳᑦ ᐊᑑᑎᖃᑦᑎᐊᕐᑐᒥᒃ ᐊᖅᑯᑎᖃᖁᓪᓗᒋᑦ ᐊᑭᒪᓇᓱᐊᕐᓂᒃᑯᑦ ᓇᓂᑐᐃᓐᓇᖅ ᓄᓇᒋᔭᐅᔪᒥᑦ ᐃᑲᔪᖅᓯᔨᖃᕐᖢᑎᒃ ᐱᖁᔭᖓᒍᑦ ᑎᒥᖓᒍᑦ ᐃᓖᔮᖅᓱᐊᓕᒃᑕᖃᕐᓂᕐᐸᑦ ᐊᒻᒪᓗ ᑐᙵᕕᖃᖅᐳᑦ ᐃᓱᒪᖅᓱᕈᓐᓇᐅᑎᓄᑦ ᐱᖁᔭᕐᔪᐊᓕᐅᕐᓯᒪᓂᒃᑯᑦ ᐅᕝᕙᓘᓐᓃᑦ ᐱᖁᔭᒃᑯᑦ.
09-00	ᐃᓚᖓ 9.
09-01	ᓴᒡᓗᕿᑦᓯᓂᒃᑯᑦ ᑎᒍᔭᐅᓂᖅᓗᒃᑎᑦᑎᔪᖃᖅᑐᒃᓴᐅᙱᓚᖅ, ᓱᑲᒃᑲᖓᓂᒃᑯᑦ ᐅᕝᕙᓘᓐᓃᑦ ᓄᓇᒥᖕᓂᑦ ᐊᓂᑎᑕᐅᔪᖃᖅᑐᒃᓴᐅᙱᓚᖅ.
10-00	ᐃᓚᖓ 10.
10-01	ᑭᓇᒃᑯᓕᒫᑦᑎᐊᑦ ᐊᔾᔨᐅᑎᖃᑎᒌᑦᑎᐊᖅᑐᔅᓴᐅᕗᑦ ᐃᓚᐃᓐᓇᖅᓯᐅᙱᓪᓗᑎᒃ ᐊᒻᒪᓗ ᓇᓂᑐᐃᓐᓇᖅ ᑐᓴᖅᑕᐅᑎᑕᐅᔭᕆᐊᖃᕐᐸᑕ ᐃᓄᑐᐊᒧᑦ ᐅᕝᕙᓗ ᐃᖅᑲᖅᑐᐃᑎᑦᑎᔪᖃᕋᓱᐊᕐᑎᓪᓗᒍ, ᐃᓱᒪᒋᓱᒪᓗᒍ ᐱᔪᓐᓇᐅᑎᖏᓐᓂᒃ ᐊᒻᒪᓗ ᓈᓚᒐᕆᔭᕆᐊᖃᕐᑕᖏᓐᓂᒃ ᐊᒻᒪᓗ ᓇᓪᓕᐊᖕᓂᑐᐃᓐᓇᖅ ᐱᖁᔭᒃᑯᑦ ᓱᕋᐃᓂᕐᒧᑦ ᑎᒍᔭᐅᑎᑦᑎᕆᓂᕐᒥᒃ ᐊᑭᕋᕆᓂᒃᑯᑦ ᑖᑦᓱᒧᖓ ᐊᖑᑎᒧᑦ.
11-00	ᐃᓚᖓ 11.
11-00	ᑭᓇᒃᑯᓕᒫᑦᑎᐊᑦ ᐃᖅᑲᖅᑐᐃᔨᒃᑯᑦ ᐸᓯᔭᐅᓯᒪᐅᑎᖃᕐᑐᑦ ᐊᓄᓪᓚᒃᓰᕕᒡᔪᐊᒨᖅᑎᑦᑎᓂᕐᒧᑦ ᐱᔪᓐᓇᐅᑎᖃᖅᑐᖅ ᐸᓯᔭᒃᓴᕈᖅᑐᒃᓴᐅᙱᓐᓂᖓᓄᑦ ᓈᓚᒃᑎᓪᓗᒋᑦ ᓈᓚᒃᑎᓄᑦ ᖃᐅᔨᓴᖅᑕᐅᓚᐅᙱᓂᕐᒥᓂ ᐸᓯᔭᒃᓴᕈᖅᑎᑕᐅᔪᒃᓴᐅᙱᓐᓚᖅ ᑕᖅᑲᒃᑯᐊᒥᐅᓄᑦ ᒪᓕᒐᕆᔭᐅᔪᑦ ᒪᓕᒃᓴᖅᑕᐅᓗᑎᒃ ᐊᒻᒪᓗ ᐃᖅᑲᖅᑐᕐᑕᐅᓂᖓᓂ ᐃᖅᑲᖅᑐᕐᑕᐅᓂᖓᓂ ᑕᒪᕐᒥᓕᒫᖅ ᓱᓕᓪᓚᕆᒍᑎᖃᕐᓂᖓᓄᑦ ᓴᐳᒻᒥᔭᐃᔾᔪᑎᖃᑦᑎᐊᕋᔭᕐᓂᖓᓂᒃ ᒪᓕᒐᓕᕆᔨᒥᒃ ᑭᒡᒐᖅᑐᕐᑕᐅᓗᓂ.
