00-00	DURNYAŊ KIKƐ BE KEYILI KPRA TA LAŊƐ DIMEDI KIKƐ BE KUMU SO BE ASHYEŊ NƐ MOBE KASHINTEŊ AKPA
04-01	A maŋ daga nɛ eko e baa wɔ kenyanya nko kanyaŋ to. Kenyaya, kenya-tɔ nɛ kenya-fa be ekpa kama so daga ku ju.
05-00	Demu 5
05-01	A maŋ daga bu ka nyaŋ eko nko n wɔtɔ mo ebasa to, nko n gberge mo kusoe.
06-00	Demu 6
06-01	Ekama kɔ kashinteŋ, kaplɛ-kama nɛ e wɔ nɛ bu pin fanɛ esa e la mo mbra be ekpa so.
07-00	Demu 7
07-01	Ekama na la kukoŋwule nna mbra be ekpa so, a daga nɛ mbra na e kuŋ ekama nɛ nkpiɛto maŋ wɔtɔ.
08-00	Demu 8
08-01	Ekama kɔ kashinteŋ nɛ bu yolge mo ashi efuli na be demu-ji akpa nɛ e ya dɔ kashinteŋ kpra nɛ mbra yili mo nna so.
09-00	Demu 9
09-01	Ekama maŋ daga nɛ bu pɛ mo jiga-jiga so, nko nɛ bu tii mo ebu nko n ju mo jiga-jiga so.
10-00	Demu 10
10-01	Ekama kɔ ekpa nɛ edemu-ji kpa nɛ a wɔ amobe amu so, a maa kpiɛ to na nɛ a mige mo to nɛnɛ nɛ jama kikɛ e nu ta a laŋɛ mobe kashinteŋ, asheŋ daga so nɛ kusoe gberge nɛ baŋ sa mo.
11-00	Demu 11
11-01	Ekama nɛ bu fa fo, fo kɔ kashinteŋ nɛ fo keni kefa nna, amɔ bu ji na mbri fo mbra be ekpa so jimaa to nɛ fo maŋ tiŋ chɛ fo kɔnɔ.
11-02	A maŋ daga nɛ bu fa ekama nkpal kesheŋ nɛ ku maŋ daga kusoe gberge so ashi efuli na nko efuli-ana kikɛ be mbra so, saŋɛ nɛ e wɔrɔ la be kesheŋ na. A maŋ naŋ daga nɛ bu gberge esa kusoe nɛ ku baa chɔ kumo nɛ bu junkpar n sa mo saŋɛ nɛ e wɔrɔ loŋ be kesheŋ nna.
12-00	Demu 12
12-01	A maŋ daga nɛ fo luri fo barkasa be asheŋ to jigajigaso, mo dawule, mobe keyale nko mobe kebɔaya akpa, nko nɛ fo tige fo barkasa be jilma nɛ mobe eyilikpa so. Ekama kɔ kashinteŋ nɛ mbra na e kuŋ mo ashi baasa be kebaa luri mobe asheŋ to nɛ ketige nko nduwɛ mobe jilma so.
13-00	Demu 13
13-01	Ekama kɔ kashinteŋ nɛ e baa nite mobe kumu so yɛlyɛla n naŋ tiŋ chena mobe efuli so.
13-02	Ekama kɔ kashinteŋ nɛ e ler efuli kikɛ so, nɛ mobe efuli so gba n naŋ tiŋ m bɛta m ba mobe efuli so.
14-00	Demu 14
14-01	Ekama kɔ kashinteŋ nɛ e yɔ efuli ko so n ya mɔlwe mobe kumu.
14-02	Nɛ bu fa esa kumobe ekpa so nkpal ashuŋ lubi nɛ e maa liɛ efuli na be kumu be kekeni be ekpaso nko asheŋ nɛ a bee dɔɔ kɔnɔkoŋwule be mbra na so, le be kashinteŋ maŋ wɔtɔ.
15-00	Demu 15
15-01	Ekama kɔ kashinteŋ nɛ e shi efuli ko so.
15-02	A maŋ daga kekini eko mobe efuli so be keshi jiga-jiga nko n kini mobe kechɛrga efuli nɛ e shi na so.
16-00	Demu 16
16-01	Benyɛn nɛ beche ya bulɔ, bu kɔ kashinteŋ nɛ bu kil n taŋɛ kanaŋ nɛ shɛŋ maa kuŋ bumo fanɛ yiri, efuli nɛ bu shi na so, nko kananɛ baa bunyaŋ ebɔrɛ. Bu kɔ kashinteŋ koŋwule ashi kakil to nɛ kakil gbeŋi so to.
16-02	Pɔɛ nɛ baasa e kil abar, a daga nɛ bumo-wura-ana be kenyi kikɛ e baa wɔ kakil na to.
16-03	Kanaŋ la ebɔrɛ so be kesheŋ na n naa la baasa to be katuŋ junkpar po nɛ a daga nɛ jamaa nɛ efuli kikɛ e baa kuŋ kumo.
17-00	Demu 17
17-01	Ekama kɔ kashinteŋ nɛ e baa kɔ mobe kumu so be kapitɛ nko mo nɛ mo bra-ana.
17-02	A maŋ daga kepuni nko m mɔn eko mobe kapitɛ.
18-00	Demu 18
18-01	Ekama kɔ mobe kumu so be mfɛra be kashinteŋ, lakal nɛ kananɛ e bee bunyaŋ ebɔrɛ. La be kashinteŋ tii mobe kechɛrga kananɛ e bee bunyaŋ ebɔrɛ nko mobe yɛrda, nɛ mobe kumu so be keshuŋ ebɔrɛ-shuŋ mo nawule nko mo nɛ mo bra-ana.
19-00	Demu 19
19-01	Ekama kɔ mobe mfɛra nɛ kamalga be kashinteŋ. La be kashinteŋ tii kumu so be mfɛra be kefɛ nɛ shɛŋ maa kuŋ mo, e naa kɔ mobe kashinteŋ nɛ e fin, n nya nko n sa kebɔaya nɛ lakal ekpa kikɛ so nɛ mbarga kikɛ maŋ wɔtɔ.
20-00	Demu 20
20-01	Ekama kɔ mobe kashinteŋ nɛ e ba wɔ kagbenewushi be nshɛr to.
20-02	Bu maa nyaŋ eko a wɔtɔ nshɛr ko to.
21-00	Demu 21
21-01	Ekama kɔ kashinteŋ nɛ e baa wɔ efuli so be awura-sheŋ to mo gbagba nko nɛ bu lara ba sa yɛlyɛla so nɛ bu yili bumo be ntilemu.
21-02	Ekama kɔ kashinteŋ nɛ eji mobe efuli so be kusɔnɛ ku la ekama peyɛ be tunɔ kananɛ eko gba beeŋ ji kumobe tunɔ nna.
21-03	Baasa be aparsheŋ a daga a ka la awura-sheŋ be egbel tulwase la be aparsheŋ daga nɛ a shi saŋɛ saŋɛ be kɔnkɔŋ be kelɛ kashinteŋ be ekpa so n naa la ekama be kesheŋ nɛ baa lɛ kɔnkɔŋ nna kegblanto nko kumo nɛ ku bɛ kɔnkɔŋ be kelɛ be mbra so.
22-00	Demu 22
22-01	Fo kama nɛ fo wɔ baasa to, fo kɔ kashinteŋ nɛ baasa e kuŋ fo, a daga nɛ fobe efuli so nɛ efuli-ana kikɛ ka pɛ abar be kashɛr to, efuli-ana be keblase to nɛ amobe kapitɛ be albarka to nɛ fo nya eyilikpa nɛ naŋkur nɛ ku daga fo dimedi nɛ dankare be ekpa so.
23-00	Demu 23
23-01	Ekama kɔ kashinteŋ nɛ e shuŋ kushuŋ, nɛ e fin mobe kumuso be kepar ke Kushuŋ n naŋ shuŋ kushuŋ mbra be ekpa so n naŋ kuŋ mobe kumu ashi ketase fuloŋ to.
23-02	Ekama kɔ kashinteŋ nɛ bu ka mo kakɔka koŋwule nɛ kushuŋ koŋwule nɛ nkpiɛto kikɛ maŋ wɔtɔ.
23-03	Ekama kɔ kashinteŋ nɛ e ji mobe kushuŋ be tunɔ, mo nawule nko mo nɛ mobe keyale nɛ e naa wɔ kebawɔtɔ nɛ ku daga dimedi, n naŋ fin kechɛto ko nɛ ku daga ashi baasa kutɔ.
23-04	Ekama kɔ kashinteŋ nɛ e baa wɔ beshumpo be kɔnɔkoŋwule to nɛ bu baa kuŋ mobe aparsheŋ.
24-00	Demu 24
24-01	Ekama kɔ kashinteŋ nɛ e wushi ashi mobe kushuŋ akpa nɛ mobe ketase fuloŋ to, kushuŋ na be jemanɛ e sa maŋ pɔɔ eshumpo na so nɛ e naŋ nu ebel ashi saŋɛ saŋɛ be ewushi nɛ ku kɔ kakɔka.
25-00	Demu 25
25-01	Ekama kɔ kashinteŋ nɛ e ba wɔ kebawɔtɔ lɛla to, mo nɛ mobe keyale, ta alaŋɛ eyur be alemfia, ajibi-ji so, asɔ-buuso, kowu chena so to nɛ kusɔ kama nɛ ku la jamaa peyɛ, e naa kɔ kashinteŋ nɛ e kuŋ mobe kumu saŋɛ nɛ e maŋ naa wɔ kushuŋ to, nɛ e ka wɔ kulɔ to, nɛ kekulwu to, nɛ kenimu to nko kebawɔtɔ ko nɛ ku maŋ duli mo.
25-02	Kenio to nɛ kebia to, kikɛ daga kekeni so nɛnɛ n naŋ daga kechɛ to. Mbia nɛ bu kurwe kakil to nko kejipo to daga kakuŋ koŋwule.
26-00	Demu 26
26-01	Ekama kɔ kashinteŋ nɛ e nya kebala nɛ kabii. Kebala nɛ kebii daga nɛ bekekarso na e nya kumo yɛlyɛlya. Kebala nɛ kebii kekarso beeŋ ba la boshinɛ. A daga ekama ka nya enɔ to nɛ broni be ashuŋ be kebala nɛ kebii; benimu malɛ be kebala nɛ kebii malɛ daga nɛ ku bɛ kenyi so.
26-02	Kebala nɛ kebii beeŋ liɛ dimedi be eyur kudu-anyɔ kikɛ, n naŋ wɔtɔ eleŋ to, jilma ta a laŋɛ dimedi be kashinteŋ nɛ mobe kumu so be asheŋ kpra ere. Ku beeŋ teŋi kenu-n-sa-abar so, kanyiti nɛ kenakpa efuli-anan to, yiri nko ebɔrɛ be beshumpo be ntuŋso-ana to, n naŋ teŋi. Durnyaŋ be efuliana be kɔnɔkoŋwule be kebawɔtɔ kikɛ nɛ kaŋbene wushi e baa wɔtɔ.
26-03	Benawura-ana kɔ kashinteŋ nɛ ekpa nɛ bu lara kebala nɛ kebii be ekpa nɛ ku daga bumobe mbia.
27-00	Demu 27
27-01	Ekama kɔ kashinteŋ mobe kumu so nɛ e tiŋ wɔrɔ mobe baasa be adankaresheŋ n naŋ tiŋ ji adankare be asɔ lɔŋɛ so nɛ kabre be kachɛ be kinishi buwi be kenyi be tunɔ.
27-02	Ekama kɔ kashinteŋ nɛ ekpa nɛ e kuŋ mobe kumu so nɛ kebeleŋ be kushuŋ.
28-00	Demu 28
28-01	A daga nɛ ekama e nya dimedi nɛ efuli-ana kikɛ be kebawɔtɔ, nɛ kashinteŋ nɛ kumu so be asheŋ nɛ a wɔ keyili kpra ere to e kurwe ebi lɛla.
29-00	Demu 29
29-01	Ekama kɔ mobe kushuŋ baasa to, bumo to nɛ e bee kii esa lɛla.
29-02	Nɛ esa bee bo mobe kashinteŋ nɛ kumu so be asheŋ so a daga nɛ e baa de mbra so, saŋɛ na so e maaŋ tɔr mo barkasa ko be geshi to, loŋ e beeŋ wɔrɔ kusɔnɛ ku daga nɛ asheŋ e bɛ abar so nɛnɛ nɛ yɛ-nɛ-n-yɛ be kebawɔtɔ e nya edesekpa baasa to.
29-03	Kashinteŋ nɛ kumu so be asheŋ ere maŋ daga ku wɔrɔ amo m foe ekpa kananɛ durnyaŋ be efuli-ana be kɔnɔkoŋwule yili kumo nna.
30-00	Demu 30
30-01	Shɛŋ maŋ wɔ kawol ere to a ŋini fanɛ efuli ko pkeleŋ, baasa nko esa ko dawule peyɛ nna, amoso eko maŋ kɔ ekpa nɛ e wɔrɔ kesheŋ ko nɛ ku beeŋ jija kashinteŋ nɛ kumu so be asheŋ nɛ a wɔ kawol ere to.
