00-00	HEIMSYVIRLÝSING UM MANNARÆTTINDI
11-01	Eingin skal verða funnin sekur í revsimáli av nøkrum slag, uttan so at gerð ella ábyrgdarloysi, sum hann var ákærdur fyri, et at rokna sum brotsgerð sambært landslægum ella lægum, tá ið gerðin varð framd. Ei heldur skal strangari revsing verða ásett enn hon, ið var galdandi, tá ið tann revsiverda gerðin varð framd.
12-00	12. grein
12-01	Eingin eigur at vera fyri tilvildarligari uppílegging í persænlig viðurskifti, heimalív ella brævaskifti, ei heldur fyri æruskemd ella útspilling. Øll eiga rætt til lægarvernd fyri slíkari uppílegging ella ágangi.
13-00	13. grein
13-00	Øll hava rætt til frítt at fara og búsetast innan fyri landamark í hvørjum ríki sær.
13-01	Øll hava rætt til at fara av landinum, hvørjum sum er, eisini sínum egna og at fara heim aftur til sítt land.
14-00	14. grein
14-00	Øll hava rætt at søkja um og fáa friðskjæl í øðrum londum fyri meinsæknum.
14-01	Slíkan rætt ber ikki til at skjæta seg undir, tá ið ákæran av røttum er fyri æpolitiskar brotsgerðir ella gerðir, sum eru ímæti endamálum og grundreglum Sameindu Tjæðanna.
15-00	15. grein
15-00	Øll hava tjæðskaparrætt.
15-01	Eingin skal tilvildarliga missa sín tjæðskap, og ongum skal verða sýtt fyri at skifta tjæðskap.
16-00	16. grein
16-00	Menn og kvinnur, sum eru komin til lægaldur, skulu uttan mun til ættarslag (rasu), tjæðskap ella átrúnað hava rætt at giftast og setast í búgv. Tey hava krav um javnrættindi at giftast, í hjúnalagnum og til hjúnaskilnað.
16-01	Hjúnaband kann ikki verða bundið, uttan báðir partar samtykkja í tí av fríum vilja.
16-02	Húskið er tann natúrliga frumeindin í samfelagnum og hevur rætt til vernd av samfelag og landi.
17-00	17. grein
17-00	Øll hava rætt til at eiga ogn, annaðhvørt einsamøll ella ' felag við onnur.
17-01	Eingin skal hissini vera fyri ongartøku.
18-00	18. grein
18-01	Øll hava rætt til hugsanar-, samvitsku- og trúarfrælsi. Hesi rættur fatar eisini um frælsi at skifta átrúnað ella trúgv, og frælsi til annaðhvørt einsamallur ella í felag við onnur og alment ella einskilt at inna trúgv sína í frálæru, tilbiðing, gudstænastu og halgihaldi.
19-00	19. grein
19-01	Øll skulu vera fræls at hava sínar áskoðanir og bera tær fram uttan forðan, og at søkja sær og breiða út vitan og hugsanir ígjøgnum hvønn boðmiðil, sum vera skal, og æheft av landamarki.
20-00	20. grein
20-00	Øll hava rætt til frítt og á friðarligan hátt at koma saman og taka seg saman í felagsskapir.
20-01	Eingin kann verða noyddur at vera limur í felag.
21-00	21. grein
21-00	Øll hava rætt til at taka lut í stjærn lands síns, annaðhvørt beinleiðis ella gjøgnum frítt vald umboð.
21-01	Øll hava rætt til somu atgongd at embætum og almennum størvum í landi sínum.
21-02	Fælksins vilji skal vera støði undir stjærnarinnar valdi; hesin vilji skal verða borin fram við ávísum millumbilum og rættiligum valum við almennum og jøvnum valrætti, og skulu verða framd við loyniligari atkvøðing ella samsvarandi frælsum valháttum.
22-00	22. grein
22-01	Øll hava sum samfelagsborgarar rætt til felagsliga trygd og kunnu krevja, at tey búskaparligu, felagsligu og mentanarligu rættindi, sum eru neyðug fyri teirra virðing og fría menning av persænleikanum, verða framd við tiltøkum innanlands og í altjæða samstarvi og í samsvari við skipan og tilfeingi í hvørjum landi.
23-00	23. grein
23-00	Øll eiga rætt til arbeiði, til frítt at velja starv, til rættvís og hæskandi arbeiðslíkindi og til vernd fyri arbeiðsloysi.
23-01	Øll hava uttan mismun rætt til somu løn fyri sama arebeiði.
23-02	Ein og hvør, sum arebeiðir, hevur rætt til rættvísa og hæskandi samsýning, ið tryggjar honum og hansara eina mannsømiliga tilveru, og harumframt um neyðugt aðra almenna vernd.
23-03	Ein og hvør hevur rætt til at stovna og gerast limur í yrkisfelag til at verja síni áhugamál.
24-00	24. grein
24-01	Øll hava rætt til hvíld og frítíð, har uppi í rímiliga avmarking av arbeiðstíðini og frítíð við løn ávísum millumbilum.
25-00	25. grein
25-00	Ein og hvør hevur rætt til lívsumsøður, ið tryggja honum og hansara heilsu og vælveru, har uppi í mat, klæði, bústað og heilsurøkt og almennar tænastur og rætt til trygd við møguligum arbeiðsloysi, sjúku, æarbeiðsføri, missi av maka, aldri ella aðrari skerjing av vinnumøguleikum orsakað av um støðum, sum hann ikki hevur ræði á.
25-01	Møður og børn hava krav um serliga umsorgan og hjálp. Øll børn, annaðhvørt tey eru fødd í hjúnalagi ella uttan, njæta somu almannavernd.
26-00	26. grein
26-00	Øll hava rætt til útbúgving. Útbúgving skal vera ækeypis, íhvussu er á byrjanarstigi skal vera skyldubundin. Tøknilig og yrkislig útbúgving skal standa øllum í boði, og øll skulu eftir førimuni hava somu atgongd a hægri undirvísing.
26-01	Undirvísing skal miða ímæti at fullmenna persænleika einstaklingsins og at stimbra virðingina fyri mannarættindum og frælsi. Hon skal fremja fatan, tolsemi og vinalag millum tjæðir, fælkasløg og trúarbælkar, og skal fremja virki Sameindu Tjæðanna fyri at varðveita friðin.
26-02	Foreldur hava fyrsta rætt at velja, hvat slag av undirvísing skal verða givin børnum teirra.
27-00	27. grein
27-00	Øll hava rætt til frítt at taka lut í mentanarlívi í samfelagnum, at njæta list og eiga lut í framburði vísinda og ágæðum teirra.
27-01	Øll hava rætt til vernd av andaligum og evnisligum áhugamálum í sambandi vidð eitt og hvørt vísindaligt, bækmentaligt ella listarligt verk, sum avvarðandi hevur greitt úr hondum.
28-00	28. grein
28-01	Øll hava rætt til samfelags- og altjæða skipan, har tey rættindi og frælsi, ið nevnd eru í hesi yvirlýsing, kunnu verða framd út í æsir.
29-00	29. grein
29-00	Øll hava skyldur fyri samfelagnum; í tí einans er full og fræls menning persænleikans gjørlig.
29-01	Samfelagsborgarar skulu viðvíkjandi rættindum og frælsi einans verða bundnir av avmarkanum, sum eru settar í lægum við tí í hyggju at tryggja viðurkenning av og virðing fyri frælsi og rættindum hjá øðrum og til tess at lúka rættvís krøv um siðalag, alment skil og vælferð almenningsins í fælkaræðissamfelag.
29-02	Hesi rættindi og frælsi mega í ongum føri verða int í mætstøðu við endamál og grundreglur Sameindu Tjæðanna.
30-00	30. grein
30-01	Einki í hesi yvirlýsing eigur at verða tulkað tann veg, at nøkrum ríki, bælki ella einsaklingi verður loyvt at gera nakað, ið miðar ímæti at beina fyri nøkrum av teimun mannarættindum, sum her eru tald.
