00-00	ANZIMIYO LA KILEMWENGU UHSU ZE HAKI ZAKI BINADAMU
02-00	Faslu ya pvili
02-01	Hayna mwanadamu gudjo djuwa udjinasbisha ne zehaki ne ze nyihuria zoontsi za tekeleziwa harimwa lekatiba linu, pvatsina ubaguzi utsoka wontsi, tsi wakabila, warange, wa udru ume hau udru ushe, wa lugha, wa dini wa fikira zasiyasa hau ubaguzi mdrwadji wutsokao wontsi.
02-02	Na wadjawu kayitsu lazimu pvakaye ubaguzi wa mwanadamu yalawa harumwa ntsi hau yipande sha arudhwi hasibabu ndo mkayo wahe yentsi hau ye ardhwi yiyo waki siyasa, shariya hau djirma harumwa wo ulemengu waki madola. Reka ntsi yiliyo uhuru, hau yatawaliwa hau yaleziwa daula nyidrwadji, hau yitso udjimiliki, hau yatsu timu uhuria hezedjiha piya.
03-00	Faslu ya raru
03-01	Hayina mdru ngena haki yaenshi, yeke huriya, wo undru wa hahe upvamwa.
04-00	Faslu ya ne
04-01	Kapvatsi mdru yalazimu yarendwa mtrwana hau mrumwa ; wo uitrwana ne biyashara ya watrwana yiharamishiwa he ze surwaya piya.
05-00	Faslu ya tsanu
05-01	Kapvatsi ruhusa ya wu uonndowa mwanadamu, hau umfanyiliya zitrendwa zapewu zakinyama hau za upvanguwa wo ubinadamu hahahe.
06-00	Faslu ya sita
06-01	Hayina mwana damu ngena haki yaukubaliwa ye mahala piya yadjihudrao wo undru waki shariya wahahe.
07-00	Faslu ya fukare
07-01	Wo wanadamu piya wo sawa ho usoni mwe shariya nao gwaona yehaki yauhafadhwiwa ne shariya. Wo wanadamu piya ngwaona haki yauhifadhwiwa hausawa na haini ubaguzi wudjo utaandiya le katiba na haina ntsongeza ya ubaguzi.
08-00	Faslu ya nane
08-01	Haina mwanadamu ngena haki yauhundra maredjeyi yakweli usoni mwa yeze mahakama zalazimu haudayi zehaki mshindzi yakubaliwa zo ne shariya mshindzi hau ze shariya mbali na mbali.
09-00	Faslu ya shenda
09-01	Kapvatsi mwanadamu udjodjuwa ubaliliwa, ya fungwa hau yatolwa sistani hadji layezi.
10-00	Faslu ya kume
10-01	Haina mdru ngena haki, harumwa usawa watimiya yayishiliwa ha uandilifu harumwa trengwe ni mahakama yalona uhuriya pvatisna pendzeleya. Mahakama yadjo utekeleza yese haki ne ze wadjibu zahahe, hau yadjo uwonesa wo ukweli wahe yizo yatuhumlwa nizo harumwa upande wamahakama ya zitrendwa zidziro.
11-00	Faslu ya kume na mwedja
11-00	Haina mdru ya tuhumlwa na yitrendwa sha taandiya ye shariya yekadji uka dhwamana wa hasho raha wo udwamana uwo wedja pwenulwa kihaki harumwa ma hakama ya mubaha yamnika ze haki zalazimu zau djidafiu.
11-01	Kapvatsi mdru udjo djuwa ufungwa ha zitrendwa hau mpuzi ndrongowo wa zaya hatwari, yikawo kazidjaka za ziyilwa ne shariya shahe ntsi yahahe hau ye sha kilemengu. Wo wakati she yitrendwa hau wo mpuzi drongowo uwo wa fanyishiha. Tsibahi yemdru uwo kana udjuwa uhukumlwa zifungo zidziro za zayidiya yizo zakahuendeleya wo wakataki she yintrendwa sha fanyishiha.
12-00	Faslu ya kume na mbili
12-01	Kapvatsi ruhusa ya mwnadamu udjilwa kiyigozi sha mvuu harumwa yemayesha ya ndani yahahe, yahe fami yahahe ne ledaho lahahe hau yemawaswiliyano yahahe ha upulwa sheo na sharafu. Haina mdru ngena haki ya hifadhwilwa ne shariya ha upukana na zitrendwa djezi.
13-00	Faslu ya kume na draru
13-00	Haina mdru ngena ruhusa ya uzuguliya ha unafasi na utzunguwa yemakazi yahahe harimawa ye ntsi.
13-01	Haina mdru ngena haki ya udjuwa ya lawe harumwa haina ntsi baishe nde yahahe yarudi ya yiredjeyi.
14-00	Faslu ya kume na nne
14-00	Haina mdru ya dungwa ha shari, ngena haki ya utsaha hifadwi ha upuwa makayo yili ya yihundre harumwa ntsi zidrwadji.
14-01	Ye haki yinu kayina ufayi yeka ye mdru ha tuhumlwa na utsahwa hasababu zitrendwa za hukumlwa uka zapewu ne shariya shirumiliwao wo wandru piya hau hasibabu zitrendwa kinyume ne ze faliki ne ze fikira mshindzi zahe Djumuyia Ya Madola.
15-00	Faslu ya kume na tsanu
15-00	Haina mdru ngena haki ya ukana urayiya wa daula.
15-01	Kapvatsi mdru wu djo djuwa upvohwa wo urayiya wahe, hau yehaki ya ubadili urayiya pvatsina ustehi shariya.
16-00	Faslu ya kume na sita
16-00	Haina mdru ya blighi mdrume hau mdrumshe pvatsina ubaguzi wa kabila, wa uranyia hau wa dini, nge ahaku ya fanye ndola ya wunde fami. Mdrumshe na mdrume ngwaona haki za sawa ho fungwa ye ndola, harumwa wo muda wa myeshi hayo, no mtsambaliyo hayo.
16-01	Ye ndola kaina udjuwa ufungiha pvatsina wo mkubali ha radhwi ya muyo wahe ye mbwana ne bibi harusi wadjoka ulolana.
16-02	Ye fami nde nguzo yihimisao wo mudjtamaan niyo ngiyo ahaku yi hifadwilwa no mudjtamaan ne daula.
17-00	Faslu ya kume na mfukare
17-00	Hayina mdru ngena haki ya umiliki mpbahidru wayedje hawu ha upvamodja na wandru.
17-01	Kapvatsi mdru udjodjuwa upvoha ye miliki yahahe ha dziya zitso za haki.
18-00	Faslu ya kume na nane
18-01	Haina mwanadamu ngena uhuriya wa fikira, na hisi, na wa dini. Wo uhuriya uwo utsanganya wo mdru udjuwa ubadili dini hau yakini pvamwedja na utekeleza yedini hau ye yakini yahahe wayetche hau pvamwedja na wandru, harumwa trengwe hau ho ndani hahe, msomo na zitrendwa, na utekeleza ze nguzo zahayo na ne zedasturi.
19-00	Faslu ya kume na shenda
19-01	Haina mwana damu ngena haki ya uhuria wa uwoni na udjitekeleza, yizo ngazifasiriyo ukaya nkana udjuwa utaambishiwa hasibabu ndo uoni wahahe. Naye ngena haki ya utsaha, na uhundra, na utrangaza pvatsina yizingiri ya mipaka ya ntsi, ye ze taanrifa, ne ze fikira he zendziya zoontsi za matrangazo na mtamkuo.
20-00	Faslu ya yishirini
20-00	Haina mdru ngena haki ya hu udjiliyana na na utsnaganyiha na wandru ha amani.
20-01	Kapvatsi haki yamdru urendzwa vuu ya ndjiye harumwa shama shitsokao.
21-00	Faslu ya yishirini na mwedja
21-00	Haina mdru ngena haki ya udjuwa utrendeya ze ndrongowo zaki daula zahe ye ntsi yahahe, reka ndaye waye, reka hau wakili wandru yawa tsunguwa ha unafasi.
21-01	Haina mdru ngena haki ya undjiya harumwa ze hazi zaki daula ha sharutwi za sawa.
21-02	Ye mawoni ya tekeleziwa ne ma rayia yo ndo mshindzi waho mwendeso ye enzi wahe madhwamana wa daula. Ye mawoni yayo wadjibu ya tekeleziwa pandza hata pandza, ha voti ndrahafu, za huntsanya ye marayia piya wapasiwa nizo ha usawa, na ustehi ye siri ya voti hau ha udunga ndziya zi fanao nizo zidjo ustehi wo uhuriya wa uvoti.
22-00	Faslu ya yishirini na mbili
22-01	Haina mdru ngena haki, holiho yeye mwana shama, harumwa wo mudjitamaan ya hundre ye hifadhwi yalawana nuwo; ngena ruhusa wadjawu ya uhundra mtekelezo wahe ze haki zaki tumo na ankiba zaki daula, na ne zehaki zaki mudjtamaan na utamaduni ziliyo wadjibu ho djumwa wo mkayo mdru hahe na ne zenkuliyo zaho wo ubinadamu wahahe. Yizo mpiya ha tartibu na djitihadi zahe daula yahahe hau wo msaanda wahe ze daula zindrwadji, ha upvimisa ze ntchida zaki mali zahe ze ntsi.
23-00	Faslu ya yishiri na draru
23-00	Haina mdru ngena haki ya fagne hazi tsena ngena wo uhuria wa utsunguwa ye hazi ya dzao harumwa masharutwi ya hazi ya haki yadjo humdjipviya yarude ya hifadhwiwa no ubure.
23-01	Wo wandru piya ngwaona haki pvatsina ubaguzi utsokao walipwa mshahara wa sawa harumwa hazi za sawa.
23-02	Haina mdrwahazi ngena haki yalipwa mshahara wakiasi udjo humtosha udhwamini maesha yaki binadamu yahahe ne ahli yahahe udjo udugwa yeka zilazimu ne ze hifdwi zidrwadji za lazimu.
23-03	Haina mdru ngena haki ya trunge sindika ndayena wandru wasaya, hau yadjiye harimwa sindika hau dafiou ze haki zaki maesha zahahe.
24-00	Faslu ya yishirini na nne
24-01	Haina mdru ngena haki ya uvumzi na udjifwariya mbapvi hususwa ndo udjimiza muda wa hazi wakiyasi na konje zamdru ulipvwa zidjo uka za muda hata muda.
25-00	Faslu ya yishirini na tsanu
25-00	Haina mdru ngena haki yakane maesha ya utosha ya kingiye ye swiha, mkayo ndro wahahe ne ahli yahahe, hususwa upande wa shahula, mavazi, nyumba, unono, pvwamedja na uhifadhwiwa wo undru wahahe wakati yatso hazini, yalo mwade, hau yatso ushinda, hau yafiwa ne mshe hau ye mdrume hau yeka hapuziziwa ne ze tchida za uenshi hasibabu ndrongo zamdjiriya yatsu zitsonga yemwinyi.
25-01	Wo uzazi no ulezi yilazimu zi sayidiwa ha msada mahsusu. Wo wana piya wa zalwa harimwa nikahi hau pvatsina nikahi ngawona haki wahifadwiwa sawa.
26-00	Faslu ya yishirini na sita
26-00	Haina mdru ngena haki ya uhundra msomo na malezi yabure, hususwa ndo msomo wa ntsini no msomo mshindzi. Wo msomo waki technik no msomo wahazi ngelazimuyo uyeneye. Wo msomo wadjuwu ngelazimuyo yibuliwa wo wandru piya hau sawa na udunga ye wo udjuzi wa haina mdru.
26-01	Wo msomo nga ulazimuwo ukane faliki za ubasawa wo ubinadamu wahe mwana na utriya mvuu ho ustehi ze haki zakibinadamu ne ze nafasi mshindzi. Ngelaziwuwo wo msomo wu triye mvuu wo mwelewano, wo mdjuliyano, no uwandzani baina yahe ze daula ne zikuru zaki makabila hau dini, pwamwedja no wsayidiyo ze hazi zahe Ye Djumuyian ya Madola za usimiza ye amani.
26-02	Wo wanduze waho wana, ngwano ha mwando ye haki ya utsauwa ye malezi wandzao wanike wo wanahao.
27-00	Faslu ya yishirini na mfukare
27-00	Haina mdru ngena haki ya ndjiye harumwa ye maensha yaki tamaduni yaho mudjitamaan, yahundre ze fayida zaho udjizi waki swanaa yarudi tsena ya ndjiye harumwa yemayedelo yaki sayansi ne ze fayida zahayo.
27-01	Haina mdru ngena haki yahondrane na hifadhwi yahe ze fayida zaki muyo na za maensha za lawana na haina mtrungo wahahe milki, waki sayansi, maandzishi, hau waki swanaan.
28-00	Faslu ya yishrini na nane
28-01	Haina mwanadamu ngena haki pvakaye myenshi harumwa wo mudjtamaan wakilemengu wa hawa ya urusu uhifadhwi ze haki ne ze nyihuria za tekeleziwa harumwa lekatiba linu.
29-00	Faslu ya yishiri na shenda
29-00	Ye mwanadamu ngena wadjau ze wadjibu zahahe ho djumwa wo mudjamaan yikao ndo uruhusuo uwotche wo mlamho ne ze kuliyo zaho undru wahahe hau nafasi watimu ukubali.
29-01	Ze haki ne ze nafasi za haina mdru nkazitsina yizingiri yitso nde zahantsiwa ne sharia wizotche yili uhifadhwi, ukubali na ya ustehi ze haki ne ze nafasi zaho wo wandru wadrwadji na udjibu ze wadjbu zaki malezi yabinadamu, na ustehi wo utrulivu, no mkayo ndro walazimu mudjtamaan wki demokrasi.
29-02	Ze haki ne ze nafasi yizo nkazina udjuwa, haina namna yoontsi, zende kinyume ne ze faliki ne ze anzma zahe Ye Djumuyian ya Madola.
30-00	Faslu ya mengo miraru
30-01	Kapvatsi faslu yahe le Katiba linu lidjo udjuwa li fasiriwa ni Daula, Yikundi sha wandru, hau mdru yitsokao ha udhumaniya ndrongowo hau yitrendwa yili utriya shaka ha umenya yeze haki ne ze nafasi zatekeleziwa harimwilo.
