00-00	ስለሰብአዊ፡መብቶች፡ለማስተማር፡ የሚረዱ፡አንዳንድ፡ዘዴዎች።
12-01	ማንም፡ሰው፡በግል፡ኑሮው፡በቤተሰቡ፡ውስጥ፡በቤቱ፡ወይም፡በሚጻጻፈው፡ደብዳቤ፡በፍርድ፡ያልተለየ፡ጣልቃ፡ገብነት፡ወይም፡ክብሩን፡የሚነካና፡ስሙን፡የሚያጎድፍ፡ተቃውሞ፡አይፈጸምበትም።፡እያንዳንዱ፡ሰው፡ከእንደዚህ፡ያለ፡ጣልቃ፡ገብነት፡ወይም፡የሚጎዳ፡ተግባር፡ሕግ፡እንዲከላከልለት፡መብት፡አለው።፡
13-00	አንቀጽ፡፲፫፤
13-01	እያንዳንዱ፡ሰው፡በየብሔራዊ፡ወሰን፡ክልሉ፡የመዘዋወርና፡የመኖር፡ነጻነት፡መብት፡አለው።
13-02	እያንዳንዱ፡ሰው፡ከማንኛውም፡አገር፡ሆነ፡ከራሱ፡አገር፡ወጥቶ፡እንደገና፡ወደ፡አገሩ፡የመመለስ፡መብት፡አለው።
14-00	አንቀጽ፡፲፬፤
14-01	እያንዳንዱ፡ሰው፡ከጭቆና፡ሸሽቶ፡በሌሎች፡አገሮች፡ጥገኝነትን፡የመጠየቅና፡በደህና፡የመኖር፡መብት፡አለው።
14-02	ፖለቲካዊ፡ካልሆኑ፡ወንጀሎች፡ወይም፡የተባበሩት፡መንግሥታት፡ድርጅት፡ዋና፡ዓላማዎችን፡ከሚቃረኑ፡ሥራዎች፡የተነሳ፡በሚደርሱ፡ክሶች፡ምክንያት፡ከሆነ፡ይህ፡መብት፡ሊያገለግል፡አይችልም።
15-00	አንቀጽ፡፲፭፤
15-01	እያንዳንዱ፡ሰው፡የዜግነት፡መብት፡አለው።
15-02	ማንም፡ሰው፡ያለፍርድ፡ዜግነቱ፡አይወሰድበትም፡ወይም፡ዜግነቱን፡የመለወጥ፡መብት፡አይነፈገውም።
16-00	አንቀጽ፡፲፮፤
16-01	አካለ፡መጠን፡የደረሱ፡ወንዶችና፡ሴቶች፡በዘር፡በዜግነት፡ወይም፡በሃይማኖት፡ልዩነት፡ሳይወሰኑ፡ጋብቻን፡የመፈጸምና፡ቤተሰብን፡የመመሥረት፡መብት፡አላቸው፤፡ጋብቻ፡በመፈጸም፡በጋብቻ፡ጊዜና፡ጋብቻ፡በሚፈርስበትም፡ጊዜ፡እኩል፡መብት፡አላቸው።
16-02	ጋብቻ፡የሚፈጸመው፡ጋብቻ፡ለመፈጸም፡በሚፈልጉ፡ሁለቱም፡ወገኖች፡በሚያደርጉት፡ነጻና፡ሙሉ፡ስምምነት፡መሠረት፡ብቻ፡ነው።
16-03	ቤተሰብ፡በኀብረ፡ሰብ፡የተፈጥሮና፡መሰረታዊ፡ክፍል፡ስለሆነ፡በኀብረሰቡና፡በመንግሥቱም፡ደህንነቱ፡እንዲጠበቅለት፡ይገባል።
17-00	አንቀጽ፡፲፯፤
17-01	እያንዳንዱ፡ሰው፡ብቻውን፡ወይም፡ከሌሎች፡ጋር፡በኀብረት፡ሆኖ፡የኀብረት፡ባለቤትነት፡መብት፡አለው።
17-02	ማንም፡ሰው፡ያለፍርድ፡ንብረቱ፡አይወሰድበትም።
18-00	አንቀጽ፡፲፰፤
18-01	እያንዳንዱ፡ሰው፡የሃሳብ፡የሕሊናና፡የሃይማኖት፡ነጻነት፡መብት፡አለው።፡ይህም፡መብት፡ሃይማኖቱን፡ወይም፡እምነቱን፡የመለወጥ፡ነጻነትንና፡ብቻውን፡ወይም፡ከሌሎች፡ጋር፡በኀብረት፡በይፋ፡ወይም፡በግል፡ሆኖ፡ሃይማኖቱን፡ወይም፡እምነቱን፡የማስተማር፣፡በተግባር፡የመግለጽ፡የማምለክና፡የማክበር፡ነጻነትን፡ይጨምራል።
19-00	አንቀጽ፡፲፱፤
19-01	እያንዳንዱ፡ሰው፡የሐሳብና፡ሐሳቡን፡የመግለጽ፡መብት፡አለው።፡ይህም፡መብት፡ያለጣልቃ፡ገብነት፡በሐሳብ፡የመጽናትንና፡ዜናን፡ወይም፡ሐሳቦችን፡ያላንዳች፡የድንበር፡ገደብ፡የማግኘትን፡የመቀበልንና፡ወይም፡የማካፈልን፡ነጻነትም፡ይጨምራል።
20-00	አንቀጽ፡፳፤
20-01	እያንዳንዱ፡ሰው፡በሰላም፡የመሰብሰብና፡ግንኙነት፡የማድረግ፡ነጻነት፡መብት፡አለው።
20-02	ማንም፡ሰው፡የአንድ፡ማኀበር፡አባል፡እንዲሆን፡አይገደድም።
21-00	አንቀጽ፡፳፩፤
21-01	እያንዳንዱ፡ሰው፡በቀጥታ፡ወይም፡ነጻ፡በሆነ፡መንገድ፡በተመረጡ፡እንደራሴዎች፡አማካኝነት፡በአገሩ፡መንግስት፡የመካፈል፡መብት፡አለው።
21-02	እያንዳንዱ፡ሰው፡በአገሩ፡የህዝብ፡አገልግሎት፡እኩል፡የማግኘት፡መብት፡አለው።
21-03	የመንግስት፡ሥልጣን፡መሠረቱ፡የሕዝቡ፡ፈቃድ፡መሆን፡አለበት።፡ይህም፡ፈቃድ፡ለሁሉም፡እኩል፡በሆነ፡በምሥጢር፡በሚደረግ፡የድምፅ፡መስጠት፡ምርጫ፡ወይም፡በተመሳሳይ፡ሁኔታ፡በየጊዜውና፡በትክክል፡በሚፈጸሙ፡ምርጫዎች፡እንዲገለጽ፡መሆን፡አለበት።
22-00	አንቀጽ፡፳፪፤
22-01	እያንዳንዱ፡ሰው፡የኀብረ፡ሰብ፡አባል፡እንደመሆኑ፡በኀብረ፡ሰብ፡ደህንነቱ፡እንዲጠበቅ፡መብት፡አለው።፡እንዲሁም፡በብሔራዊ፡ጥረትና፡በኢንተርናሽናል፡መተባበር፡አማካይነትና፡በእያንዳንዱ፡መንግስት፡ድርጅትም፡የሀብት፡ምንጮች፡መሰረት፡ለክብሩና፡ለሰብዓዊ፡አቅሙ፡ነጻ፡እድገት፡የግድ፡አስፈላጊ፡የሆኑት፡የኤኮኖሚ፡የማኀበራዊ፡ኑሮና፡የባህል፡መብቶች፡በተግባር፡እንዲገለጹለት፡መብት፡አለው።
23-00	አንቀጽ፡፳፫፤
23-01	እያንዳንዱ፡ሰው፡የመሥራት፡የሥራ፡ነጻ፡ምርጫና፡ለሥራም፡ትክክለኛና፡ተስማሚ፡የአሠራር፡ሁኔታዎችና፡ሥራም፡እንዳያጣ፡መብት፡አለው።
23-02	እያንዳንዱ፡ሰው፡ያላንዳች፡ልዩነት፡ማድረግ፡ለአንድ፡ዓይነት፡ሥራ፡እኩል፡የሆነ፡ደመወዝ፡የማግኘት፡መብት፡አለው።
23-03	በሥራ፡ላይ፡ያለ፡ሰው፡ለእራሱና፡ለቤተሰቡ፡ለሰብዓዊ፡ክብር፡ተገቢ፡የሆነ፡ኑሮን፡የሚያስገኝለትና፡ካስፈለገም፡በሌሎች፡የኀብረሰብ፡ደህንነት፡መጠበቂያ፡ዘዴዎች፡የተደገፈ፡ትክክለኛና፡ተስማሚ፡ዋጋውን፡የማግኘት፡መብት፡አለው።
23-04	እያንዳንዱ፡ሰው፡ጥቅሞቹን፡ለማስከበር፡የሙያ፡ማኀበሮችን፡ለማቋቋምና፡ማኀበርተኛ፡ለመሆን፡መብት፡አለው።
24-00	አንቀጽ፡፳፬፤
24-01	እያንዳንዱ፡ሰው፡የዕረፍትና፡የመዝናናት፡እንዲሁም፡በአግባብ፡የተወሰኑ፡የሥራ፡ሰዓቶች፡እንዲኖሩትና፡በየጊዜው፡የዕረፍት፡ጊዜያትን፡ከደመወዝ፡ጋር፡የማግኘት፡መብት፡አለው።
25-00	አንቀጽ፡፳፭፤
25-01	እያንዳንዱ፡ሰው፡ለእራሱና፡ለቤተሰቡ፡ጤንነትና፡ደህንነት፡ምግብ፣፡ልብስ፣፡ቤትና፡ሕክምና፡አስፈላጊ፡የማኀበራዊ፡ኑሮ፡አገልግሎቶችም፡ጭምር፡የሚበቃ፡የኑሮ፡ደረጃ፡ለማግኘት፡መብት፡አለው።፡ሥራ፡ሳይቀጠር፡ቢቀር፡ቢታመም፡ለመሥራት፡ባይችል፡ባል፡ወይም፡ሚስት፡ቢሞት፡ቢያረጅ፡ወይም፡ከቁጥጥሩ፡ውጭ፡በሆኑ፡ምክንያቶች፡መሰናከል፡ቢገጥመው፡ደህንነቱ፡እንዲጠበቅለት፡መብት፡አለው።
25-02	ወላድነትና፡ሕጻንነት፡ልዩ፡ጥንቃቄና፡እርዳታ፡የማግኘት፡መብት፡አላቸው፤፡በጋብቻ፡ወይም፡ያለጋብቻ፡የሚወለዱ፡ሕጻናትም፡የተመሳሳይ፡የደህንነታቸው፡መጠበቅ፡መብት፡አላቸው።
26-00	አንቀጽ፡፳፮፤
26-01	እያንዳንዱ፡ሰው፡የመማር፡መብት፡አለው።፡ትምህርት፡ቢያንስ፡ቢያንስ፡በአንደኛ፡ደረጃና፡በመሰረታዊ፡ደረጃዎች፡በነጻ፡ሊሆን፡ይገባል።፡የአንደኛ፡ደረጃ፡ትምህርት፡መማር፡ግዴታ፡ነው።፡የቴክኒክና፡የልዩ፡ልዩ፡ሙያ፡ትምህርት፡በጠቅላላው፡የከፍተኛ፡ደረጃ፡ደግሞ፡በችሎታ፡መሠረት፡ለሁሉም፡እኩል፡መሰጠት፡አለበት።
26-02	ትምህርት፡ለእያንዳንዱ፡ሰው፡ሁኔታ፡ማሻሻያና፡ለሰብዓዊ፡መብቶችም፡መሠረታዊ፡ነጻነቶች፡ክብር፡ማዳበርያ፡የሚውል፡መሆን፡አለበት።፡እንዲሁም፡የተለያየ፡ዘር፡ወይም፡ሃይማኖት፡ባሏቸው፡ሕዝቦች፡መካከል፡ሁሉ፡መግባባትን፡ተቻችሎ፡የመኖርንና፡የመተባበርን፡መንፈስ፡የሚያጠነክርና፡የተባበሩት፡መንግሥታት፡ድርጅት፡ሰላምን፡ለመጠበቅ፡የሚፈጽማቸው፡ተግባሮች፡እንዲስፋፋ፡የሚያበረታቱ፡መሆን፡አለበት።፡
26-03	ወላጆች፡ለልጆቻቸው፡ለመስጠት፡የሚፈልጉትን፡ትምህርት፡ለመምረጥ፡የቅድሚያ፡መብት፡አላችው።፡
27-00	አንቀጽ፡፳፯፤
27-01	እያንዳንዱ፡ሰው፡በኀብረ፡ሰቡ፡የባህል፡ኑሮ፡በነጻ፡መካፈልና፡በኪነ፡ጥበብ፡ለመጠቀም፡በሳይንስ፡እርምጃና፡በጥቅሞቹም፡ለመሳተፍ፡መብት፡አለው።፡
27-02	እያንዳንዱ፡ሰው፡ከደረሰው፡ማንኛውም፡የሳይንስ፡የድርሰትና፡የኪነ፡ጥበብ፡ሥራ፡የሚያገኘው፡የሞራሉንና፡የሃብት፡ጥቅሞች፡እንዲከበሩለት፡መብት፡አለው።
28-00	አንቀጽ፡፳፰፤
28-01	እያንዳንዱ፡ሰው፡በዚህ፡ውሳን፡ውስጥ፡የተዘረዘሩት፡መብቶችና፡ነጻነቶች፡በሙሉ፡በተግባር፡እንዲውሉ፡ለሚደረግባቸው፡የኀብረሰብና፡የኢንተርናሽናል፡ሥርዓት፡የመጠቀም፡መብት፡አለው።
29-00	አንቀጽ፡፳፱፤
29-01	እያንዳንዱ፡ሰው፡የራሱ፡ነጻነትና፡ሙሉ፡መሻሻል፡በሚያገኝበት፡ኀብረሰብ፡ውስጥ፡የሚፈጽማቸው፡ግዴታዎች፡ይኖሩበታል።
29-02	እያንዳንዱ፡ሰው፡በመብቶቹ፡በነጻነቶቹ፡በሚጠቀምበት፡ጊዜ፡የሚታገደው፡የሌሎችን፡መብቶችና፡ነጻነቶች፡በሚገባ፡ለማሰከበር፡ብቻ፡በተደነገጉ፡ሕጎችና፡የግብረ፡ገብነትን፡የጠቅላላውን፡ሕዝብ፡ፀጥታና፡ደህንነት፡በዴሞክራቲክ፡ማኀበራዊ፡ኑሮ፡ትክክለኛ፡የሆነው፡ተፈላጊ፡ጉዳይ፡ለማርካት፡በተወሰነው፡ብቻ፡ነው።
29-03	እነዚህ፡መብቶችና፡ነፃነቶች፡በማንኛውም፡ሁኔታ፡የተባበሩት፡መንግሥታት፡ድርጅት፡መሰረት፡ዓላማዎች፡ተቃራኒ፡በሆነ፡መንገድ፡ሊፈጸሙ፡አይገባቸውም።
30-00	አንቀጽ፡፴፤
30-01	በዚህ፡ውሳኔ፡ከላይ፡የተዘረዘረው፡ሁሉ፡በዚሁ፡ውስጥ፡የተጠቀሱትን፡ማናቸውም፡መብቶች፡ወይም፡ነጻነቶች፡ለማበላሸት፡በታሰበ፡ማንኛውም፡ዓይነት፡ተግባር፡ለማዋል፡ወይም፡ድርጊትን፡ለመፈጸም፡ለማንኛውም፡መንግሥት፡ወይም፡ድርጅት፡ወይም፡ሰው፡የተባሉ፡አይተረጎሙም።
