00-00	LILOVE LYA VILAMBO LYA WASA WA VAN
07-01	Pahelia vanu vohevohe vanalingilana na vakatondoleka. Shelia ivawunila vanu vanahapanyike.
08-00	LAHU YA 8
08-01	Vitukutuku vyohevyohe vin’nimbidya munu ulitukutula kama chilembelewa n’katiba au n’shelia, vilonjelewe n’ding’umbi dya shelia.
09-00	LAHU YA 9
09-01	Munu vanantaye n’jela, kun’chimila wala kum’minganga chihi chiwukuwuku .
10-00	LAHU YA 10
10-01	Kila munu apilikaniwe muchi vanu vanji palikuwa, vanan’hyape. Akava na ing’anya ihile nawinang’e atongwele na lukumbi lwohelwohe lumpilikanile.
11-00	LAHU YA 11
11-01	Munu akava na ing’anya vakamwamba kukola ihonjela vakanamba kumpelekedya kuvatongolela ing’anya yene. Lukumbi lupilikanila ing’anya luve lwa d’jahala chilambo chohechohe uchipilikana.
11-02	Munu vakamwamba kukola ihonjela ikavaidile kuva ing’anya pachilambo au pashelia. Munu vakan’tika lijamanda lipitile ihonjela yene.
12-00	LAHU YA 12
12-01	Pavayikele vanu mmakaya mwavo munu anan’banihe munu mwave. Makaya na vilambo vivawunile vamakaya vohevohe, vinahapanye vanu.
13-00	LAHU YA 13
13-01	Munu avele na wasa wa kwonga chalembela mwene na kuyikala kwalembela mwene n’chilambo.
13-02	Munu avele na wasa wa kuwuka pachilambo na kuwuya kavila n’chilambo mwake
14-00	LAHU YA 14
14-01	Munu avele na wasa wa kutukutila m’milambo vinji na kuwuniwa na vilambo vinji vana’nmwalale.
14-02	Wasa unang’o ukapawa ndulu munu vakamwamba kukola ihonjela pashelia, hasa ding’anya dikavele dya siasa au chinji chinu chikavaila au chikalandana na matulubu la Umoja wa Vilambo.
15-00	LAHU YA 15
15-01	Akava kwave munu ave na wasa wa kuva n’chilambo kama vachilambo vanji.
15-02	Munu akalambela mwene uhama vanan’nimbidye uhama n’chilambo na ubadili uchilambo wake.
16-00	LAHU YA 16
16-01	Valume na vamahe vakudile vayikalane bila kulola dini wala litawa. Vayikalane uvalingilana pa-ulombi wavo na hata vakahapukana.
16-02	Ulombi upawe kama n’nume na n’mahe vakatamwana vene.
16-03	Ing’ande ivele na n’nume, n’mahe na vanyachi lyiva likolo lya litawa. Likolo anelyo lilembelewa liwuniwe pachilambo pohepohe.
17-00	LAHU YA 17
17-01	Munu avele na wasa wakuva na dimali dyake mwene au dya kukundanila na vanji.
17-02	Munu vakampokonyola chihi dimali dyake.
18-00	LAHU YA 18
18-01	Munu avele na wasa wa ding’ano, dini, na akalembela mwene aleke chihi dini, na avele na wasa wa kusokolela kuyoha kwa mahoka lake.
19-00	LAHU YA 19
19-01	Munu avele na wasa wa kutongola palikuwa. Avele na wasa wa kuwunila ding’ano dyake bila kun’mahani. Avele na wasa wa kuhumya na kupwechela ding’ano, na hata usumba mapalu la vilambo, akalambela.
20-00	LAHU YA 20
20-01	Munu avele na wasa wa kukojana na vanu vanji weka au mmakuwa.
20-02	Munu vanan’kolokohe ulundana na likuwa lya vanu.
21-00	LAHU YA 21
21-01	Munu avele na wasa wa kukumila mwene au upitila kwaki munu atondolewidye na a’likuwa kunakumila kulipanda.
21-02	Vanu vakahapanyika pa kuyavana dihuduma dilembelewa n’makaya.
21-03	Lipanda lilondodye chilelembelewa na likuwa lya vanu. Vanu vene vakumilane kun’tondola munu wa kuyikala kulipanda.
22-00	LAHU YA 22
22-01	Munu avele na wasa wa kuwuniwa na a’chilambo mwave, na vanu vohevohe vatumbame kukumilana na vilambo vinji kulunda vitukutuku vyohevyohe vilembelewa na umi wa kila munu.
23-00	LAHU YA 23
23-01	Munu avele na wasa wa kutondola na kukola madengo na pa kukolela mdengo lene. Pavele na madengo munu vanamwine wasa wa kukola madengo.
23-02	Bila utondolewa, munu van’tomolele chinu chilandene na madengo lakodile.
23-03	Munu akakola madengo van’tomolele chinu chihumya vilyo vyake mwene, vajawe au n’twave na vanyachi vake.
23-04	Munu vakan’nimbidya kulundana na vavake kukola madengo chin’nkumi na kuwunila matulubu lavo.
24-00	LAHU YA 24
24-01	Munu ave na wasa wa mbone wa kupumulila na chipindi chimaikana cha madengo. Wasa wapumulila van’tomolele (van’nipe).
25-00	LAHU YA 25
25-01	Munu na kaya yake ave na wasa wa umi wa mbone. Nkaya vave na wasa wa kupata vilyo, vya kuwala, ing’ande, wasa wa kupata n’tela vakawuwula, na kuwuniwa na chilambo. Munu ave na wasa wa kulama pokoha madengo, pawuwula, akalamala, akava n’jani, akakongopala napakoha dyimongo dya kukolela madengo.
25-02	Chilambo chilundane uwunila vamahe na vanyachi. Vanyachi vohevohe vawuniwe, vanahapulanywe vavelekwidye mu’lombi na vavelekwidye pan’nyitu.
26-00	LAHU YA 26
26-01	Munu avele na wasa wa kudeheni ilimu ya palikolo. Ilimu ya ufundi na ya pachihundyi ipawe, vasume vahulula.
26-02	Ilimu ilembelewa ilodye kudenga umi wake munu pakekuva munu, ilimu iyenjeje kumaikana munu kuva munu, iyenjeje wasa wake munu. Ilimu ilembelewa iyenjeje vanu kupilililana, ulongo, chinemba, na vanu vanahapukane ing’anya ya dini au litawa. Vanu valondodye luhengo lwa kuyopa chihongahonga kama chiulaididye Umoja wa Vilambo.
26-03	Kila munu avele na n’nyachi avele na wasa wa kutondola ilimu ya kumwing’a mwanyachi wake.
27-00	LAHU YA 27
27-01	Munu anahulula kulundana mu’tamaduni payikala akalambela, kwona ukatapala vitukutuku vyohevyohe vya mu’tamaduni na kulundana na avake kudenga sayansi na matulubu lake.
27-02	Wunu wake munu na vilusuda vyake vyavilembela viwuniwe, vilusuda vihuma m’ sayannsi, mitano na vinji vyavitendile mwene au vyatandilike.
28-00	LAHU YA 28
28-01	Munu atungumane n’kaya, mulongo, n’nitawa n’chilambo na n’milambo mwohemwohe, utungumana kulandana na lilove alino.
29-00	LAHU YA 29
29-01	Munu ave na wajibu n’kaya na mulongo mwake n’hnyuma wasa na wunu wake.
29-02	Vyatenda na kupoka munu vive n’mapalu la shelia. M’mapalu anemwo kaya na ulongo vimwing’e isima na wunu wake.
29-03	Wasa unang’o ulandane na matulubu la Umoja wa Vilambo.
30-00	LAHU YA 30
30-01	Chinapawe chohechohe n’nilove alino chionekana na chilambo chohecho, vanu au munu wohewo upokonyola wasa uhauliwidye.
