00-00	LOGO BAŊA TIGISIM NABIINA ŊWE-LAO WADƐ
21-03	Gɔmente maama dam wo taa tɔge de nɔɔnbia kwora na we tei to mo. Nɔɔnbia bam kwora kam mo yei ni ka bere nɔɔnbia bam na wo kuri ba gɔmente dem paare tiina tei to. Kurim dem jege se ko dɛ voti lao naga mo, se nɔɔno maama voti o boboŋa na laga tei to, ye se ko dɛ voti wadaa kam naga chekke.
22-00	Wadaa 22
22-01	Nɔɔno maama teo gɔmente jege se de taa choo o ŋwea laŋa ne de de dam, de de naduni dedaane de na jege nimɔrɔ tei de sateene dedwonna to se ko pa nɔɔno wom ŋwea ja kuri se o wane o ji nɔɔno lanyerane.
23-00	Waada 23
23-01	Nɔɔno maama wae o ke totoŋ; o wae o kuri o boboŋa na dɛ totoŋ delo, ye fee wora se totoŋ dem taa jege kuri na pa o ywonni de wopwolo ye o ba lia we ba wo zaŋ ba le o totoŋ dem ne to.
23-02	Nɔɔno maama ka, ye ko ba chuli o na ye wolo dwi to, jege se o taa jwoŋ ŋweo na mae de o totoŋ dem dam na mae tei to mo.
23-03	Wolo maama na toŋa ko maŋ se o ŋweo taa ye zegere se ko wane ko ni o tete dedaane o diga tiina lanyerane. Ko ta maŋ se o taa nɛ fee o totoŋa jei ne.
23-04	Nɔɔno maama wae o tɔge o zoore totoŋa jei tigisim yalo na wo woli o o totoŋa laŋa seini to.
24-00	Wadaa 24
24-01	Nɔɔno maama jege chwoŋa se o taa jege sio de sio maŋa, dedaane hawase bagera o na o ke totoŋa jei ne to; ye o ta wae o jwoŋ daa bem wone o jeini sɔŋɔ ne o sia ye ba baa le o ŋweo wone.
25-00	Wadaa 25
25-01	Fee wora se nɔɔno maama taa ŋwe ŋwea na jege kuri ye ka ywoma ka pae o tete de o diga tiina to. Ko maŋe se wodiiru, zora jei, assibita na ni yezura seini to dedaane won-telo maama na wo woli pa se ŋwea taa ywoma to taa wora. Fee ta mo wora se wolim taa wora ko pae nɔɔno maama nenɛɛne o na ba toŋa, o na weela, naa o na jigi nabwom jaweo ŋwaane, o na ye badeim naa kadeim, o na kwe naa nɔɔno na ye zore tu, o ware se o ni o tete baŋa ne.
25-02	Fee wora se ba taa fage ba ni niina de bia baŋa ne lanyerane. Bu maama, o jege kwo yoo o ba jege kwo yoo, ko maŋe se ba ni o baŋe ne mo ba woli o se o ke nɔɔno.
26-00	Wadaa 26
26-01	Nɔɔno maama jege choŋa se o ke sikuuli. Sikuuli veiŋa, ko zege prameiri sikuuli ko vo yi Junia Sɛkondeiri Sikuuli, wo taa ye zɛɛra mo, ye ko ta ye fefeo mo se bu maama vo sikuuli se ko yi konto. Tɛkenekal Sikuula de totoŋa berem sikuula nenɛɛne Kɔlɛja de wo taa wora se balo na wo vo da to vo. Univɛsiti de sikuula kamuna yadwonna de wo taa wora se balo na paase ba tɛɛsa lanyerane to vo.
26-02	Sikuuli veiŋa naa tɔn-yeino ye se ko pa nɔɔno swa mo poore se o wane o lɔre kolo maama na lana ko pa nabiino se ko ja wopwolo de yezura ko ba to. Ko jege se ko ja nimɔrɔ de badwoŋo mo ko ba de sateene logo baŋa ne, de nabiina dwi maama de wɛjɔɔna dwi maama se ko zeini logo baŋa tigisim totoŋa dwi maama na woli logo maama yezura to.
26-03	Tiina jege chwoŋa se ba kuri ba na wo taa lage se ba bia zamese tɔnɔ sikuuli delo dwi wone to.
27-00	Wadaa 27
27-01	Nɔɔno maama wae o tɔge o ke o nabaara kekeo o na lage tei, de keina yadwonna, de "Science" na jaane wodonno telo maama ko ba nabiina jirim naa wolim ŋwaane to.
27-02	Nɔɔno maama na popone o tɔnɔ o na yei kolo maama logo lam ŋwaane to, fee wora se ba zeini naa ba woli o se o nɛ ko maana.
28-00	Wadaa 28
28-01	"United Nations" nia yanto ye se ko pa nabiino maama logo baŋa wolim, de wopwolo de yezura mo.
29-00	Wadaa 29
29-01	Nɔɔno maama jege fee totoŋa se o ke o na zoore takeiri delo maama ne to se ko pa se o taa ye nɔɔn-ŋwem se o ŋwea ke ywonni.
29-02	Nɔɔno fee totoŋa keiri wone o jege se o dɛ wadɛ sem na lage tei to mo. O ba jege se o ke o gaale naa o ke o chɔge badwonna wo. O nam ba jege chwoŋa o ke o chɔge kɔgɔ ywonni de nɔɔno wopwolo, kɔgɔ zula ŋwaane.
29-03	Nɔɔno maama na tɔge nabiina ŋwea de logo baŋa chega chwoŋa wadɛ sento o jege se o tɔge "United Nations" na lage se ko dɛ tei to mo.
30-00	Wadaa 30
30-01	Nɔɔno, naa nɔɔna, naa teo ye zaŋ ba boŋe we ba wo wane ba ke woŋo se ko leiri naa ko chɔge nia yanto ba na tiŋ tɔnɔ konto ne to.
