00-00	TIṢERRIḤT TAGRAGHLANT IZERFAN N WEMDAN
06-01	Ang'is yehwa yili wemdan, ghur s lḥeqq ad yettwag leqder i timmadit is taghedmawt.
07-00	Tamadda 7:
07-01	Akkw indamen msawan zdat lqanun u ghur sen lḥeqq bla afraz i wakkn atn iḥudd lqanun - ghur sen irkwelli lḥeqq i uḥuddu, akken ma llan ḍedd tarayit ur nwufq ara tiṣerriḥt agi.
08-00	Tamadda 8:
08-01	Kull amdan ghur-s lḥeqq ad ichetki i tnehkamin tighelnawin yettuk'ellfen i wakkn ad fkent lḥeqq ḍedd tneḥyafin ur nettqadar ara izerfan ilsasiyen is yettak udustur d lqanun.
09-00	Tamadda 9:
09-01	Ula d yiwen ur yezmir ad yettwaṭṭef, nagh ad yettwaḥbes nagh ad yet twanfu s ldjur.
10-00	Tamadda 10:
10-01	Kull amdan ghur-s lḥeqq ad-tâddi tluft is zdat tnehkamt, âinani, bla tneḥyaft i wakkn ad - tseyyi ma seḥḥant telzimin is d yizerfan is nagh ma d-tidett wayn - idd gren fell as deg wennar n lâqubat.
11-00	Tamadda 11:
11-01	Kra n win yettutéhmen s ssiya ad yettwaḥseb d imzekki alama yettuṣeḥḥeh s lâdel ddenb idd gren fell as, âinani, zdat tnaḥkamt and'ara yettwadmen akkw wayn i glaqen i uḥuddu ines.
11-02	Ula d yiwen ur yettwaḥkam ara fell as ma yekh dem kra n ssiya yettuḥeṛṛmen nagh ma iferreṭ di kra iwudjben fell as ma yella di tallit ni ayn idd gren fell as ur ikhulfara lqanun aghelnaw nagh agraghlan, yerna lâquba ur d as-dd yettak ara ad - tagwar tin is i gḥekkm lqanun di tallit ideg teḍra ssiya.
12-00	Tamadda 12:
12-01	Ur yezmir ḥedd ad yessekchem iman is s ldjur di tudert n wemdan, di twachult is; deg wekkham is, timuzniwin is nagh ad yessims lḥwerma-s d nnif is; kull amdan ghur-s lḥeqq at iḥudd lqanun si tiytiwin yechban tigi.
13-00	Tamadda 13:
13-01	Kull amdan ghur-s lḥeqq ad yelḥu s tlelli u ad yekhtir tanezdught di tmurt is.
13-02	Kull amdan ghur-s lḥeqq ad yeffegh si yall tamurt ghas d - tamurt is u ma yehwa yas yezmer ad yughal ghur es.
14-00	Tamadda 14:
14-01	Ma yella yettwaḥṛes wemdan s ldjur, ghur-s lḥeqq ad yesdari iman is u ad ighellet lânaya n tmura iḍen.
14-02	Amâni ur d-as-dd tebbw ara ad ighellet lḥeqq agi ma yella yekhdem ssiya ikhulfen lqanun amechruk nagh ayn ur nwufq ara inawaḍen d yimenzayen n tmura yedduklen.
15-00	Tamadda 15:
15-01	Kull amdan ghur-s lḥeqq i tghelna is yehwan.
15-02	Ur d-as yettwakkes i yiwen s ldjur la taghelna ines la lḥeqq ubeddel n tghelna.
16-00	Tamadda 16:
16-01	Mi geblegh weqchich nagh teqchicht, ghur sen lḥeqq ad zewdjen i wakkn ad bnum tawachult bla ma yettuqegged lḥeqq gi s cchetla, taghelna, nagh ddiyana msawan deg zerfen m'ara zewdjen, nad'am zewdjen nagh m'ara yefsekh zzwadj.
16-02	Ur yettili zzwady alamma s lebghi d umyeqbel ukmil n wergaz d- tmettut.
16-03	Tawachult d-tagwejdit talemmast n temgarwa, ghur-s lḥeqq att thudd temgarwa d ddula.
17-00	Tamadda 17:
17-01	Amdan yehwa yas weḥd-es nagh d amezday ghur-s lḥeqq ad yekseb aila.
17-02	Yiwen ur yezmir ad yettuḥeṛṛem seg waila-s.
18-00	Tamadda 18:
18-01	Kull amdan ghur-s lḥeqq i tlelli n tedmi, tamsakwit d ddiyana, lḥeqq agi tetteski deg-s tlelli ubeddel n ddiyana akkw d wayn is yettamen, wehd es nagh gar medden âinani nagh di sser, s uselmed s tegdimin, s wâbâd d umares n lemdaheb.
19-00	Tamadda 19:
19-01	Kull amdan ghur-s lḥeqq n tlelli di ṛṛay d lmenṭeq anda yetteski lḥeqq ubeggen n ṛṛay bla ma yettuchebbwel u daghen tebbwi yas-dd ad inadi, ad yeṭṭef, u ad yefser di yall tamurt isallen d- tedmiwin s yall ttawil n wenṭaq.
20-00	Tamadda 20:
20-01	Kull amdan ghur-s lḥeqq i unejmâ akkw d- tdukla di tifrat.
20-02	Yiwen ur yezmir ad yettuḥettem i wakken ad yetteski di tdukla.
21-00	Tamadda 21:
21-01	Kull amdan ghur-s lḥeqq ad yetteski deg wselḥuy n temsal n bailek n tmurt is, ama netta s timmad is, nagh s win yekhtar d amtil is.
21-02	Kull amdan ghur-s lḥeqq amm netta am wiyad ad yettef amkan di lḥirfat n bailek n tmurt is.
21-03	Lirad umadan d nettat i d llsas n lhiba n lehkwem n bailek- yessefk add tban s tefrant zeddigen idg ara tteskin meddn irkwelli u ara yilin si lweqt aar wayeḍ di tugdut d sser nagh s ttawil iḍen it yechban ara iḍemnen tilellli n tefrant.
22-00	Tamadda 22:
22-01	Kull amdan yetteskin di temgarwa ghur-s lḥeqq di laman amgarwan gqes den ad ikafi izerfan is isagrawen imgarwanen d yidelsanen imsefken i lḥweṛma d usegmi alelli n timmadit is s tejmilt n lmedjhud aghelnaw d umyalli agraghlan s wayn ara yembwafaqen netta d nniḍam d lerzaq n kull tamurt.
23-00	Tamadda 23:
23-01	Kull amdan ghur-s lḥeqq i ikheddim ara yekhtir akkn is yehwa s cchurut n lâdel imsefṛaḥen ar'at iḍemmen ghef ticchumert.
23-02	Imdanen akken ma llan ghur sen lḥeqq bla tarayit i tjernanin yemsawan ghef ikheddimen yemsawen.
23-03	Kra n win ikheddmen ghur-s lḥeqq i tjernant taḥeqqit, timsefreḥt ar'as iḍemnen i netta d twachult is tudert iwufqen lḥweṛma n wemdan ara yettuk'emmlen ma yebgha lḥal, s kra n ttawil iden uḥuddu amgarwan.
23-04	Kull amdan ghur-s lḥeqq ad yessebded netta d wiyaḍ tidukliwin ikheddamen nagh ad icharek di tdukla ara iḥudden lmeslaha ines.
24-00	Tamadda 24:
24-01	Kull amdan ghur-s lḥeqq i rraha d- tukksa n lkhiq (d ugunfu) u ladgha di lḥedd iqebbel lâqel n lweqt ikheddim akkw di ttriḥ yettwakhelsen, si lewqt aar wayeḍ.
25-00	Tamadda 25:
25-01	Kull amdam ghur-s lḥeqq i lmizan n tudert ar'at iqidden i ṭṭmana n tṣeḥiḥt is (n tezmert is), liser ines akkw d- twachult is, ladgha i isafarn n tuççit, llebsa, tanezdught, adawi timezgiwin (tijmilin) timgarwiyin ilaqen, ghur-s lḥeqq i ṭṭmana ma ur ikheddmara, ma yuḍen, ma yella d anâibu nagh d adjjal, nagh d awesran nagh kra n yimi ar d as ruḥent ttawilat n tudert ma yekka-dd waya nnig tezmert is;
25-02	Tiyemmatin d yigwerdan ghur sen lḥeqq i tallalt (lmâwna) d uḥuddu ikhsusiyen. Akkw igwerdan ilulen di zzwadj nagh beṛṛa n zzwadj ghur sen lḥeqq yemsawan di tussṛa (ṭṭmana) tamgarwant.
26-00	Tamadda 26:
26-01	Kull amdan ghur-s lḥeqq di leqraya ur nessefk ara fell as lekhlaṣ ladgha leqraya tamenzut akkw d- telsasit. Leqraya tamenzut d- tamelzumt, leqraya tatiqnit d uselmed n lhirfat yessefk ad ilin d imatawen, tabburt unekchum gher tlumdiwin tunnigin (âlayen) yessefk ad-tili s lâdel i meddn irkwelli ghef lehsab n wakken ẓewren.
26-02	Ttrebga yessefk ad- tessiweḍ ghr usefti n timmadit d usedjhed n leqder izerfan n wemdan akkw d tlella tilsasiyin, tebbwi-dd ad- tweṣṣi ghef usefhem d umsameh d lemhibba gar tmura akken ma llant d yimudan d ddiyanat i tuttfa n lehna.
26-03	Imawlan ghur sen lḥeqq d imezwura ad khtiren ṣṣenf n ttrebga ara fken i warraw n sen.
27-00	Tamadda 27:
27-01	Kull amdan ghur-s lḥeqq ad yetteski ma yebgha di tmeddurt tadelsant n tmurt is, ad yestummen i lfenn (tazuri) akkw d tegmi n tussna d wayen idd ttaken n lfaida.
27-02	Kull amdan ghur-s lḥeqq uḥuddu n lfaida ines tanamkawt akkw d- tmaddawt idd yekkan seg wayn idd yesnulfa di tussna, di tmedyazt (tasekla) nagh di lfenn.
28-00	Tamadda 28:
28-01	Kull amdan ghur-s lḥeqq deg wennar amgarwan nagh deg wennar agraghlan i wakken ad yili nniḍam yechban izerfan akkw tlella idd yeddan di tṣerriḥt agi lfaida d unawaḍ n sen.
29-00	Tamadda 29:
29-01	Amdan ghur-s lwadjeb i wegdud idg i gemken ala deg-s kan, unerni ukmil n timmadit is.
29-02	Deg wmares izerfan is d ughellet n tlella ines, kull yiwen ur ikennu ala ddaw leqyud i gerṣem lqanun wehd es i wakken ad yedmen asmussen d uqader izerfan d tlella n lghir is u daghen i wakken tisutriwin tighedmawin n wedyaz d nniḍam n bailek d liser amataw dit emgarwa tagdudant (tadimuqratit).
29-03	Izerfan akkw d- tlella yagi, is yehwan yili, ur zmirn ara ad ttumarsen ḍedd inawaḍen d ỵimenzayen, n tmura yedduklen.
30-00	Tamadda 30:
30-01	Ur telli tmadda di tṣerrḥit agi i gzemren ad-tettwafhem d-tikchi n lḥeqq i ddulla, nagh i wegdud nagh i wemdan i wakkn ad khedmen kra nagh ad marsen igi i gqeṣden aḥuddu izerfan akkw d-tlella idd yeddan deg-s.
