00-00	Allgemeen Verklaren vun de Minschenrechten
11-00	Elk un een, de beschulligt ward, wat maakt to hebben, wat ünner Straaf steiht, hett dat Recht, as truschullig to gellen. Dat gellt, bit em in een apen Verfahren sien Schuld na dat Gesett nawiest worrn is. Bi dit Verfahren mutt he all de Garantien hatt hebben, de för sien Verdeffendeern nootwennig sünd.
11-01	Vunwegen een Doon orrer Nichdoon, dat to een Tiet schehn is, as dat na dat Recht binnen den Staat un buten den Staat nich ünner Straaf stahn hett, dröff keeneen verurdeelt warrn. Liekster welt dröff keen Straaf fastsett warrn, de sworer is as de, de to de Tiet  hett, as dat Hanneln, wo Straaf up  schehn is.
12-00	Artikel 12
12-01	Keeneen mutt dat lieden, wat ahn Grund in sien privaat Leven, sien Familie, sien Hüsung un sien Breefwessel rinmengeleert ward. Dat gellt ok för dat Minneseren vun sien Ehr un sien Roop. Elk un een hett dat Anrecht up Schuul na dat Gesett tegen son Ingriepen orrer Behalen.
13-00	Artikel 13
13-00	Elk un een hett dat Recht, dat he in  Staat gahn kann, wohen he will. Ok kann elk un een blieven, woneem he will.
13-01	Elk un een hett dat Recht, elkeen  ok sien egen Land, to verlaten un wedder torüch tokamen.
14-00	Artikel 14
14-00	Elk un een hett dat Recht, in anner Länner, vun wegen dat he verfolgt ward, Asyl to  un to kriegen.
14-01	Dit Recht gellt nich för den Fall vun een Straaf verfolgen, de vunwegen een wohrhaftig Verbreken, dat nich politsch is, maakt worrn is. Ok gellt dat nich, wenn de Straafverfolgen vunwegen een Hanneln maakt worrn is, dat tegen de Malen un de Grundsätz vun de Vereenten Natschonen geiht.
15-00	Artikel 15
15-00	Elk un een hett dat Recht, dat he een  tohört.
15-01	Keeneen dröff dat Tohören to een Staat ahn Grund wegnahmen warrn. Ok dröff keeneen dat Recht afseggt warrn, sien Tohörn to een Staat to wesseln.
16-00	Artikel 16
16-00	Mannslüüd un Fruunslüüd, de heiraden köönt, hebbt dat Recht, dat to doon un een Familie to grünnen. Dat dröff nich inschränkt warrn vunwegen de Raas, dat Tohörn to een Staat orrer den Gloven. Se hebbt bi de Heiraat, in de Tiet vun de Eh un bi’t Uplösen vun de Eh glieke Rechten.
16-01	De Eh dröff bloots sloten warrn, wenn  Ehlüüd frie in ehr Menen un sik eenig in ehrn Willen sünd.
16-02	De Familie is vun’n Grund her de natüürlich un lüttste Deel vun de Sellschupp un hett Anrecht up Schuul dörch de Sellschupp un den Staat.
17-00	Artikel 17
17-00	Elk un een hett dat Recht up Egendoom, för sik un ok mit anner Lüüd tosamen.
17-01	Keeneen dröff ahn Grund sien Egendoom wegnahmen warrn.
18-00	Artikel 18
18-01	Elk un een hett dat Recht up de Frieheit vun de Gedanken, vun dat Geweten un vun den Gloven. Daarto hört de Frieheit, sien Gloven un sien Övertügen to wesseln. Ok hett elk un een de Frieheit, sien Gloven orrer sien Över tügen alleen orrer mit anner tosamen to bekennen. Dat kann he apentlik doon för all orrer privaat dörch Lehr, Utöven, Gottesdeenst orrer anner Doon in düsse Richt.
19-00	Artikel 19
19-01	Elk un een hett dat Recht up frie Menen un daarup, sien Menen frie to seggen. Daarto hört de Frieheit, sien Menen ahn Inschränken künnig to maken, ok hört daarto, över  dräger vun elkeen Aart över all Scheden hen Informatschonen un Gedankengoot to söken, to bekamen un wiedertogeven.
20-00	Artikel 20
20-00	Elk un een hett dat Recht, sik  to versammeln un sik in Verenigen  to doon.
20-01	Keeneen mutt dat lieden, dat he een Verenigen toslaan ward, ahn dat he dat will.
21-00	Artikel 21
21-00	Elk un een hett dat Recht, an de Saken, de all anlangt in’t Land, mittodoon. Dat kann he sülven doon, orrer dörch Vertreders, de frie wählt worrn sünd.
21-01	Elk un een hett dat Recht, dat he in sien Land glieken Togang hett na apentlik Ämter.
21-02	De Willen vun’t Volk is de Grundlaag för dat Achten vun de apentlik Gewalt. Düsse Willen wiest sik dörch Wahlen, de stüttig dörchföhrt ward, de nich verkehrt ward un de allgemeen un gliek sünd un wo elk un een sien Stimm geheem afgeven kann. De Wahl kann ok anners dörchföhrt warrn, wenn se man frie un na düsse Grundsätz is.
22-00	Artikel 22
22-01	Elk un een hett as Maat vun de Sellschupp dat Recht up soziaal Sekerheit. Elk un een hett Anrecht up wirtschaftlich, soziaal un kulturell Rechten, de dat bruukt, dat sien Wüürd bestahn blifft un dat Egen vun sien Persoon frie klaarkamen kann. Daarföör  de Staat wat binnen den Staat doon, dat he dat rekent, wat sien Organisatschonen un sien Hanneln daarför dögen. Dat gellt ok för de Tosamenarbeit vun de Staaten.
23-00	Artikel 23
23-00	Elk un een hett dat Recht up Arbeit, dat een sik frie sien Profeschoon utsöken kann, wat dat bi sien Arbeit gerecht togeiht un wat een tofreden mit de Ümstänn vun de Arbeit sien kann. He hett dat Recht up Schuul, wenn he sien Arbeit quiet geiht.
23-01	Elk un een hett dat Recht up datsülvige Geld för desülvige Arbeit. Dat gellt ahn Ünnerscheed.
23-02	Elk un een, de arbeit, hett dat Recht up een Verdeenst, de recht un billich is. De Verdeenst schall langen daarför, dat he un sien Familie een Leven föhren köönt, wat de Wüürd för se as Minschen sekert is. Sünst mutt holpen warrn dörch anner Schuul för de soziaal Sekerheit.
23-03	Elk un een hett dat Recht, Gillen för de Schuul vun sien Arbeit to billen orrer Gillen bi totreden, dat een sien Interessen wahren kann.
24-00	Artikel 24
24-01	Elk un een hett dat Recht daarup, dat een sik verhalen kann un up Frietiet.  de Arbeits tiet mutt een Maat hebben,  sinnig is, un dat bruukt Feern, de betahlt ward un stüttig sünd.
25-00	Artikel 25
25-00	Elk un een hett dat Recht, wat een Leven för den Minschen un sien Familie föhrt warrn kann, dat Sundheit un Gootgahn garanteert. Daar to hört Eten un Drinken, Tüüch, Hüsung, Behanneln dörch den Dokter un wat anners wat nödig is an soziaal Deensten. Ok hört daarto dat Recht up Sekerheit, wenn een sien Arbeit quiet geiht, krank orrer versehrt ward, Wittfru orrer Wittmann ward, old ward un anners wat mehr, wenn een ahn Schuld sien Ünnerhalts middel quiet geiht.
25-01	Modders un Kinner hebbt Anrecht up sünnerlich Föddern un Help. All Kinner, eendoont wat se in de Eh orrer buten de Eh baren sünd, hebbt sülvig soziaal Schuul.
26-00	Artikel 26
26-00	Elk un een hett dat Recht up Sik-Billen. Sik-Billen dröff keen Geld kösten, dat gellt tominst för den Ünnerricht in de Grundschool un för dat, wat elk un een weten mutt. Elk un een mutt na de Grundschool hen. Ünnerricht för de Lehr tiet mutt apen för elk un een maakt warrn. Dat gellt ok för  Ünnerricht an de Hoge School, wenn een daar dat Tüüg to hett.
26-01	Dat Maal för Sik-Billen is, dat elk un een dat Egen vun sien Per soon heel un deel upfolden kann. Ok geiht dat daarüm, wat dat mehr ward mit dat An sehn vun de Minschenrechten un de Grund frieheiten. Sik-Billen mutt daar to bi drägen, dat Ver nimm, Toleranz un Fründ schupp mang de Nat schonen un mang Koppels vun Lüüd vun ver scheden Raas orrer Glo ven föddert ward. Daar to hört, wat dat Doon vun de Ver een ten Nat  daarför, dat de Freden bestahn blifft, ok föddert ward.
26-02	De Öllern hebbt allereerst dat Recht, de Aart vun Sik-Billen uttosöken, de ehr Kinner hebben schüllt.
27-00	Artikel 27
27-00	Elk un een hett dat Recht, frie an dat Kultuurleven vun de Gemeenschupp mittodoon, sik an de Künst to högen un deeltohebben an dat Wiederkamen vun de Wetenschupp un wat daarvun maakt ward.
27-01	Elk un een hett dat Recht up Schuul an de Saken, de een sik utdacht orrer maakt hett, un ok an den Verdeenst daaran. Dat gellt för de, de Warken för de Wetenschupp, de Literatuur orrer de Kunst maakt hebbt.
28-00	Artikel 28
28-01	Elk un een hett dat Anrecht up een soziaal un internatschonaal Ornung, in de de Rechten un Frieheiten ut düsse Verklaren heel un deel anslaan.
29-00	Artikel 29
29-00	Elk un een steiht in de Plicht tegenöver de Gemeenschupp un bloots in de Gemeen schupp is dat Up folden vun dat frie Egen vun de Persoon heel un deel möglich.
29-01	Elk un een is bi’t Utöven vun sien Rechten un Frieheiten bloots inschränkt dörch Gesetten, de egens daarför daar sünd, dat An erkennen un dat Achten vun de Rechten un Frieheiten vun anner Minschen to sekern, wat dat henlangt mit dat gerechte Maat vun de Moraal, mit de apentlik Ornung un dat Goot gahn för elk un een in een demokraatsch Sell schupp.
29-02	Düsse Rechten un Frieheiten dröfft nienich utöövt warrn in Insaag to de Malen un Grundsätz vun de Vereenten Natschonen.
30-00	Artikel 30
30-01	Keeneen vun de Artikels, de in düsse Verklaren fastleggt worrn sünd, dröff so utleggt warrn, wat se för een Staat, een Koppel Lüüd orrer een Persoon jichtenseen Recht begrünnt, wat to doon orrer wat to maken, wat daarup ruut lööpt, de Rechten un Frieheiten ut düsse Verklaren bikant to smieten.
