00-00	UMBHALO OGCWELE WOGUNYAZO LWAMALUNGELO OLUNTU JIKELELE
07-01	Sonke siyalingana phambi komthetho futhi kufanele umthetho usivikele ngokulinganayo ngale kokubandlulula. Sonke kufanele sivikelwe ngokulinganayo ekubandlululweni, ngokungagcinwa kwaloluGunyazo futhi nasekukhuthazweni kwanoma luhloboluni lobandlululo.
08-00	Isigaba 8
08-01	Wonke umuntu unelungelo lokuthola usizo oluyilo ezinkantolo ezibekiwe ngezenzo ezephula isisekelo samalungelo anikezwe wona umthethosisekelo noma umthetho.
09-00	Isigaba 9
09-01	Akekho oyoboshwa, avelelwe noma adingiswe ngokungekho emthethweni.
10-00	Isigaba 10
10-01	Wonke umuntu kumele alalelwe obala ngokulingana okugcwele nangeqiniso, inkantolo engavuni futhi ezimele, ekutholweni kwamalungelo akhe nezimiselo zakhe noma ngabe iliphi icala abekwe lona.
11-00	Isigaba 11
11-01	Wonke umuntu obekwe icala elidinga isijeziso unelungelo lokuthathwa njengomsulwa kuze kutholakale ukuthi impela unecala ngokomthetho enkantolo evulekile lapho enikwe iziqiniseko ezidingekile zokuzivikela.
11-02	Akekho oyotholwa enecala ngecala elidinga isijeziso ngenxa yanoma isiphi isenzo noma iphutha elalingelona icala elidinga isijeziso ngaphansi komthetho wezwe noma kazwelonke, ngenkathi lenzeka. Noma anikwe isijeziso esinzinyana kunaleso esasifanele ngenkathi kwenzeka lelocala.
12-00	Isigaba 12
12-01	Akekho okuyogaxekwa, ngokungemthetho ezindabeni zakhe zangasese, emndenini, ekhaya noma ezincwadini azithumelayo nazitholayo, noma ukuhlaselwa kwesithunzi nokuhlonipheka kwakhe. Wonke umuntu unelungelo lokuvikelwa kulokho kuhlaselwa nokugxambukela.
13-00	Isigaba 13
13-01	Wonke umuntu unelungelo lokuhamba ngenkululeko nokuhlala phakathi kwemingcele ezungeze imibuso ehlukene.
13-02	Wonke umuntu unelungelo lokushiya izwe lakhe, futhi abuye abuyele kulo.
14-00	Isigaba 14
14-01	Wonke umuntu unelungelo lokucela ukuhlala akhosele kwamanye amazwe ebalekela ukuphathwa kabuhlungu.
14-02	Lelilungelo alinakusetshenziselwa ukubalekela ukushushiswa okufanele okuvela ngamacala angahlangene nezombangazwe noma ngezenzo ezingqubuzana nezinhloso nemigomo yeNhlangano yeZizwe.
15-00	Isigaba 15
15-01	Wonke umuntu unelungelo lobuzwe.
15-02	Akekho oyokwenqatshelwa ngokungemthetho noma ancishwe ilungelo lokuguqula ubuzwe bakhe.
16-00	Isigaba 16
16-01	Abesilisa nabesifazane asebeneminyaka efanele yobudala banelungelo lokuganana bakhe unmdeni, ngale kwezihibe zobuhlanga, ubuzwe noma inkolo. Kufanele babenamalungelo alinganayo ngokomshado, ngenkathi beshadile noma usuhlakazekile umshado.
16-02	Umshado kuyongenwa kuwo kuphela ngenkululeko nangemvume ephelele yalabo abashadayo.
16-03	Umndeni uyimvelo nesizinda somphakathi okufanele uvikelwe umphakathi noMbuso.
17-00	Isigaba 17
17-01	Wonke umuntu unelungelo lobunikazi bempahla eyedwa noma ehlanganyele nabanye.
17-02	Akekho oyokwephucwa ngokungekho emthethweni impahla yakhe.
18-00	Isigaba 18
18-01	Wonke umuntu unelungelo lokucabanga ngenkululeko, unembeza nenkolo, lelilungelo lihlanganisa inkululeko yokuguqula ukholo noma inkolelo noma ngabe eyedwa noma nabanye emphakathini, obala noma ngasese, ukucacisa inkolo noma ukukholwa kwakhe ngokufundisa, ngokwenza, nokukhonza nangokulandela.
19-00	Isigaba 19
19-01	Wonke umuntu unelungelo lokuveza umbono ngenkululeko, lelilungelo lihlanganisa inkululeko yokubeka imibono ngaphandle kokuthikanyezwa, futhi nokuthungatha, ukwamukela nokukhipha ulwazi nemiqondo nganoma iyiphi indlela yokusakaza ngale kwezihibe.
20-00	Isigaba 20
20-01	Wonke umuntu unelungelo lokuhlanganyela ngokukhululeka embuthanweni woxolo.
20-02	Akekho oyophoqwa ukuba yilunga lenhlangano.
21-00	Isigaba 21
21-01	Wonke umuntu unelungelo lokubamba iqhaza kuhulumeni wezwe lakhe, ngokwakhe ngqo noma ngabakhulumeli abakhethwe ngokukhululekile.
21-02	Wonke umuntu unelungelo elilinganayo lokuthola usizo lomphakathi olufanayo ezweni lakhe.
21-03	Intando yabantu yiyo eyoba isizinda segunya likahulumeni. Lentando iyovezwa okhethweni lwempela ngezikhathi ezithile oluyoba ujikelele futhi lufane ndawozonke. Luyokwenziwa ngokhetho oluyimfihlo noma ngenqubo yokhetho olukhululekile.
22-00	Isigaba 22
22-01	Wonke umuntu, njengelunga lomphakathi, unelungelo lukuphepha emphakathini futhi kufanele aziwe, ngemizamo yezwe nokubambisana kukazwelonke futhi nangokuhambisana nezinhlangano nemithombo yeMibuso ehlukene, kwezomnotho, amalungelo amasiko nenhlalo angenakulahlwa ngesithunzi sakhe nokuthuthukisa ubuyena ngenkululeko.
23-00	Isigaba 23
23-01	Wonke umuntu unelungelo lokusebenza, nokuzikhethela ngenkululeko umsebenzi, nezimo zomsebenzi ezivunelekile nezilungile futhi nokuvikelwa uma elahlekelwe umsebenzi.
23-02	Wonke umuntu, ngaphandle kokubandlululwa, unelungelo lokuhola imali efanayo ngomsebenzi ofanayo.
23-03	Wonke umuntu osebenzayo unelungelo lomholo ofanele novumelekile ukuqinisekisa ubukhona besithunzi sobuntu bakhe nomndeni wakhe, kulekelelwa, uma kundingekile, ezinye izindlela zokuvikeleka komphakathi.
23-04	Wonke umuntu unelungelo lokubumba noma lokuba ilunga lenyunyana ukuze kuvikeleke izidingo zakhe.
24-00	Isigaba 24
24-01	Wonke umuntu unelungelo lokuphumula nokungcebeleka, kuhlangene nemikhawuko yamahora okusebenza, namakhefu akhokhelwayo ezikhathini ezithize.
25-00	Isigaba 25
25-01	Wonke umuntu unelungelo lezinga lempilo nenhlalakahle eyenelisayo yakhe nomndeni wakhe, khuhlangene nokudla, okokwembatha, izindlu, ukunakekelwa ngezokwelashwa kanye nemisebenzi yomphakathi, nelungelo lokuvikeleka uma engasebenzi, egula, ekhubazeka, eshonelwa, eguga noma‐ke ikuphi ukukhubazeka okungamehlela ngesimo angenamandla okusinqanda.
25-02	Omama nabantwana kumele banakekelwe futhi balekelelwe ngokunqala impela. Bonke abantwana noma bezalwe ngaphandle komshado bayothola ukuvikelwa okufanayo emphakathini.
26-00	Isigaba 26
26-01	Wonke umuntu unelungelo lemfundo. Imfundo iyotholakala ngesihle, okungenani emabangeni aphansi ayingqalasizinda. Imfundo eyisingeniso iyoba ngeyempoqo. Imfundo yobuchwepheshe neyenzululwazi iyokwenziwa ibe khona ngokwejwayelekile bese kuthi imfundo ephakeme itholakale kubobonke ngobunjalo babo.
26-02	Imfundo iyoqonda ekuthuthukiseni ubuntu ngokugcwele nasekuqiniseni inhlonipho yamalungelo abantu nengqalasizinda yenkululeko. Iyothuthukisa ukuzwana, ukubekezelelana nobungane phakathi kwezizwe, kwamaqembu ezinhlanga nezenkolo, futhi iyoqhubela phambili imikhankaso yeNhlangano yeZizwe ekugcineni uxolo.
26-03	Abazali banelungelo lokuqala lokukhetha uhlobo lwemfundo eyonikezwa abantwana babo.
27-00	Isigaba 27
27-01	Wonke umuntu unelungelo elikhululekile lokuzimbandakanya empilweni yamasiko omphakathi, athokozele amakhono, ahlomule entuthukweni yezesayensi nasezinzuzweni zayo.
27-02	Wonke umuntu unelungelo lokuvikeleka kwezifiso ezisemqoka ezingumphumela womkhiqizo wezobusayensi, wombhalo okukanye wekhono elithize abengumsunguli wako.
28-00	Isigaba 28
28-01	Wonke umuntu emphakathini nasemhlabeni kumele athole lamalungelo nenkululeko echazwe kuloluGunyazo.
29-00	Isigaba 29
29-01	Wonke umuntu uneqhaza emphakathini okuwukuphela kwendawo lapho ukukhululeka nokuthuthuka kwakhe kungenzeka khona.
29-02	Ekusebenziseni amalungelo nenkululeko yakhe, umuntu uyokwenza lokho okulinganiselwe njengokulawula komthetho, ngenhloso eyodwa yokuqinisekisa ukwamukelwa nenhlonipho yamalungelo nenkululeko yabanye abantu, futhi nokuhlangabezana nezidingo ezinobulungiswa nobuqotho, ukuqonda komphakathi kanye nezenhlalakahle jikelele emphakathini wentando yeningi.
29-03	Lamalungelo nenkululeko akunakusetshenziswa ngokuphambana nezinhloso nemigomo yeNhlangano yeZizwe.
30-00	Isigaba 30
30-01	Akukho lutho okukuloluGunyazo okuyohunyushwa ngokuthi kuthi uMbuso mumbe, iqembu noma umuntu unelungelo lokwenza noma isiphi isenzo sokuthikameza noma imaphi amalungebo nenkululeko echazwe ngaphezulu.
