00-00	DECLARAÇON UNIVERSAL DI DIRITU DI OMIS
04-01	Ninguin ca dibidi fassidu catibu, nin pudu tarbadja a força, pabia I cussa qui tudjidu di tudu manera na Declaração Universal dos Direitos dos Homens.
05-00	ARTIGO 5º.
05-01	Ninguin ca na sutadu, nin maltratadu ó matadu ó fassidu cussas qui el própi I nega.
06-00	ARTIGO 6º.
06-01	Tudu pecadur tem diritu di djubidu suma pecadur na udju di stadu.
07-00	ARTIGO 7º.
07-01	Dianti di lei, tudu djintis djusta, scudju ca tem, tudu tem diritu di difindidu dianti di lei, tudu tem diritu di difindidu dianti di cabalindadi ó malbadessa.
08-00	ARTIGO 8º.
08-01	Na cada terra, lei ta pudu pa guarda pecadur, I pa mostral caminhu di ianda. El qui manda tudu pecadur, na cada terra qui sta n’el I tem diritu di busca dunus di lei di qui terra, pa ê mostral caminhu.
09-00	ARTIGO 9º.
09-01	Ninguin ca pudi prindidu, nin fitchadu ó sercadu na terra qui sinta.
10-00	ARTIGO 10º.
10-01	Dianti di lei, tudu djintis djusta I ê tene quil mesmo diritu. Cada culpa di alguin, díbidi djubidu suma qui lei manda, I dibidi lebadu pa tribunal di bardadi, sin scudju, pa djubi tê nundê qui roçon caba I nundê qui culpa cumsa.
11-00	ARTIGO 11º.
11-01	Si alguin conta mintida pa bô, na tribunal bu díbidi pera, sin discunfia, tê ora qui tudu djintis odja qui mintida, pa lei cumsa pudu na pratu limpu. Si I tchiga pa bu castigadu, enton bu ta sibi cuma bu díbidi difindidu, pa ca nada otchau di mal, tê dia qui bardadi limpu pus.
11-02	Lei qui fassidu aós I pa djubi dianti. Ninguin ca pudi condenadu pa cussa qui fassiduba dja ó qui dixa di fassidu antis di lei pudu, ó otcha qui lei ca tem qui cussa I ca éraba culpa. Nin qui quila, ninguin ca díbidi pudu castigu qui más qui cu pudu otcha qui lei fassidu.
12-00	ARTIGO 12º.
12-01	Ninguin ca díbidi pudu sufri, pabia utru miti na si bida, ó na bida di si família, ó na si cassa, ó na si cartas qui ta ricibi, ninguin ca díbidi miti na bida di ninguin, ora qui sedu, bu tem diritu di bai queixa.
13-00	ARTIGO 13º.
13-01	Tudu pecadur tem diritu di ianda I di cudji cau di mora na terra qui tchiga I misti sinta.
13-02	Tudu pecadur tem diritu di larga si terra ó terra qui sinta n’el I riba pa si terra ora qui I misti I ca díbidi tudjidu riba.
14-00	ARTIGO 14º.
14-01	Tudu pecadur qui na pirsiguidu, tem diritu di cudji terra qui misti bai, na qui terra I tem diritu di dadu asilu pa I puga.
14-02	Ê diritu, I ca pudi djubidu ora qui crimi qui fassidu, tudu ladu di mundu ca mistil.
15-00	ARTIGO 15º.
15-01	Tudu pecadur tem diritu di tem un nacionalidadi ( puga na terra qui misti ).
15-02	Ninguin ca díbidi tudjidu puga na terra qui misti, ó muda di terra qui si bicu interradu n’el.
16-00	ARTIGO 16º.
16-01	Ora qui pecadur padidu toc I tchiga cassamentu, omi cu mindjer tem diritu di cassa I pa fassi família, sin djubi pa rassa, ó religion, ó pa terra qui alguin padidu. Ora qui ê cassa , ó qui ê na caba, tudu díbidi djusta, ê ca díbidi mansia na nada, pabia elis tudu I qui un son.
16-02	Cada quin dibidi cassa cu quin qui I misti. Cassamentu ca díbidi dadu.
16-03	Família, I un balur garandi di sociedadi, tambe I tem diritu di djubidu I djubi stadu.
17-00	ARTIGO 17º.
17-01	Tudu pecadur tem diritu di tene si cussa, qui dissil.
17-02	Ninguin ca pudi robadu si cussa a força.
18-00	ARTIGO 18º.
18-01	Cada pecadur tem diritu di pensa di si manera I di pensa cussas qui misti, ó di cudji si religion. Cu tudu és diritu, I misti faladu di cuma, tudu pecadur pudi troca di si religion ó di si manera di pensa, di fassi cerimónia di si religion ora qui I misti, I manera qui I misti. El son ó cu djintis di si grupu. Cada quin pudi sina quin qui I misti si religion, na cassa ó na rua.
19-00	ARTIGO 19º.
19-01	Tudu pecadur I livri pa papia quê qui I misti, pa quila ninguin ca tem diritu di chatial na si papia, ó na cussas qui na busca tene ó di conta djintis sin cudji cau certu di conta quê qui I pensa.
20-00	ARTIGO 20º.
20-01	Tudu pecadur tem diritu di mati runion qui misti, ó fassi associaçon di ermondadi.
20-02	Ninguin ca pudi pudu a força pa mati runion ó fassi associaçon.
21-00	ARTIGO 21º.
21-01	Tudu pecadur tem diritu di sta dianti di nogós pública di si terra, el própi cu si cabeça, ó utru alguin qui cudjidu pa tudu.
21-02	Tudu pecadur tem diritu di entra na tarbadju di stadu, sin scudju.
21-03	Quin qui povu misti, el qui bom pa sedu chefe, I dibidi mostradu através di ileiçon di bardadi qui ta fassidu , nunde qui tudu djintis ta mati, I ê ta djusta na tudu. Cu sgridu garandi cada quin ta vota na cussa qui el propi I misti sim djubi cu cumpanher.
22-00	ARTIGO 22º.
22-01	Tudu pecadur na metadi di utrus, I tem diritu di djubidu diritu pa ca nada otchal di mal. I díbidi pidi si quinhon na stadu di tudu coldadi, pabia I si diritu.
23-00	ARTIGO 23º.
23-01	Tudu pecadur tem diritu di dadu tarbadju I di cudji tarbadju qui misti, di dadu bom material di tarbadju I di tene tudu cussas qui pudu djudal na fassi si tarbadju I díbidi djubidu pa ca I fica sin tarbadju.
23-02	Tudu tem diritu di pagadu balur di si tarbadju.
23-03	Quin qui ta tarbadja I díbidi gardicidu I di pagadu qui qui na djigal cu si família pa sinti diritu na metadi di djintis nundê qui sta n’el. Si quil qui nganga ca tchigal, I díbidi burridu di utru manera.
23-04	Tudu tarbadjur tem diritu di djunta cu utrus tarbadjaduris pa sai na rua pa difindi sê diritu.
24-00	ARTIGO 24º.
24-01	Tudu pecadur tem diritu di discansa dispus di un tarbadju pissadu, diritu di tem ora di tarbadju djustadu I diritu di pagadu na si férias di cada anu.
25-00	ARTIGO 25 º.
25-01	Tudu pecadur tem diritu di tene um bocadinhu pa sugura si família, na ora di duença I na sabura, suma tene cussas di cume, di bisti, tene cassa di mora, tene dutur qui na cural, tene si quinhon na stadu pa ora di duença, ora qui mancu, ora qui si omi/mindjer murri, na ora di bedjissa, ó I pirdi un cussa qui ta djudal.
25-02	Maternidadi cu si mininus tem diritu di djudadu diritu. Tudu mininus qui padidu dentru ó fora di maternidadi ê díbidi djubidu cu qui bom udju di stadu.
26-00	ARTIGO 26º.
26-01	Tudu pecadur tem diritu di bai scola. Scola pa mininus ca díbidi pagadu. Tudu mininu díbidi pudu na scola. Scola técnica ó profissional I díbidi sedu pa cada quin cudji. Pa curso garandi I díbidi dadu pa quin qui misti I pa quin qui pudi sin scudju.
26-02	Educaçon I díbidi iabri pa manga di cussas di sina, suma quil qui omi misti, quil qui na djudal vivi diritu I pa I sêdu livri, suma quil qui na djudal intindi mundu, mole corçon cu ermondadi pa tudu djintis di terra, tudu rassas, tudu religion, suma desenvolvimentu di Naçons Unidas pa guarda paz.
26-03	I ta fica pa cada papé cu mamé, cudju educaçon quê misti pa sê fidjus.
27-00	ARTIGO 27º.
27-01	Tudu pecadur tem diritu di mati cermónia di si cultura, mati tudu manifestaçon qui ta mostra mundu quê qui si cultura bali n’el.
27-02	Tudu tem diritu di guardadu cussa qui dissel I par el. Ó cussa qui fassidu cu si mon prumeru I ca misti pa utru fassi suma el.
28-00	ARTIGO 28º.
28-01	Na ê Declaração, tudu pecadur tem diritu di fassil cunsidu pa djintis di si terra I pa djintis di tudu mundu, I pa fassil pa I sedu quil ordem qui pudi fassil sintidu qui diritus cu liberdadi qui papiadu.
29-00	ARTIGO 29º.
29-01	Cada pecadur tem quê qui díbidi fassi na si comunidadi, sin quila el suma pecadur I ca pudi sedu livri nin I ca pudi bai pa dianti.
29-02	Na tudu diritu que faladu na ê declaçon, ora qui na fassi ó ora qui bu na gozal, bu ca dixa di sedu limitadu pa lei, qui na pudu pa cada quin pudi rispita diritus cu liberdadi di utrus, pa pudi contenta manera di cada quin na metadi di utrus, pa democracia intchi mundu.
29-03	Nin un dia ês diritus cu liberdadis ca pudi fassi du contra quil qui Naçon Unida mistil par el.
30-00	ARTIGO 30º.
30-01	Ninguin ca pudi ncunha na nin un palabra di ê Decleçon pa pudi fassi cussas qui intidu ó pa fassi utrus manera di pensa, qui pudi tudji ó dana diritu cu liberdadi qui faladu.
