00-00	DICIARAÇION UNIVERSALE DI DRITI DE PERSONN-E
21-02	Ògni personn-a a gh’à drito d’acesso, in condiçioin d’egoaliansa, a-e fonçioin publiche do seu Paize.
21-03	A voentæ do pòpolo a l’é a baze de l’outoritæ do poei publico; questa voentæ a saiâ espressa inte de eleçioin outentiche che s’avian da tegnî in mòddo periòdico, pe voto universale e egoale, ch’o saiâ anche segretto ò segondo de procedue pe garantî a libertæ do voto.
22-00	Articolo 22
22-01	Ògni individoo, comme menbro da socjêtæ, o gh’à drito a-a seguessa sociale e, atraverso o sfòrso naçionale e a cooperaçion internaçionale, e in relaçion con l’òrganizaçion e e risorse d’ògni Stato, a-a realizaçion di driti econòmichi, sociali e colturali indispensabili pe-a seu dignitæ e pe-o libero sviluppo da seu personalitæ.
23-00	Articolo 23
23-01	Ògni personn-a a gh’à drito a travagiâ, a çerne con libertæ o seu inpiego, a gödî de de condiçioin de travaggio giuste e sodifaxenti e a-a proteçion contra a dizòcupaçion.
23-02	Ògni personn-a, sensa discriminaçioin, a gh’à drito a egoale retribuçion pe egoale travaggio.
23-03	Ògni personn-a ch’a travaggia a gh’à drito a-a retribuçion giusta e sodisfaxente ch’a ghe pòsse aseguâ a lê e a-a seu famiggia l’existensa conforme a-a dignitæ umann-a, a quæ a saiâ conplementâ, in caxo necesaio, da atri mezzi de proteçion sociale.
23-04	Ògni personn-a a gh’à o drito de fondâ di scindacati e d’aderighe pe-a difeiza di pròppi interesci.
24-00	Articolo 24
24-01	Tutte e personn-e gh’an drito a-o ripözo e a-a demoa, o quæ o l’includde a limitaçion raxonevole de oe de travaggio e e ferie periòdiche pagæ.
25-00	Articolo 25
25-01	Ògnidun o gh’à drito a ’n livello de vitta adegoòu ch’o pòsse aseguaghe, a lê mæximo e a-a seu famiggia, a sanitæ e o ben, e sorvetutto l’alimentaçion, o vestî, l’abitaçion, l’ascistensa medica e i serviççi sociali necesai; a-o mæximo mòddo, o gh’à drito a-e aseguaçioin in caxo de dizinpiego, moutia, invaliditæ, vidoansa, vegiaia e atri caxi de perdia di mezzi de sostentaçion pe de circostanse indipendenti da-a seu voentæ.
25-02	A maternitæ e l’infansa gh’an drito a-a cua e a l’ascistensa speciale. Tutti i figeu, segge nasciui into maiezzo che feua de lê, gh’an i mæximi driti a-a proteçion sociale.
26-00	Articolo 26
26-01	Ògni personn-a a gh’à drito a l’educaçion. L’educaçion a gh’à da ese gratoia, a-o meno quante rigoarda l’istruçion fondamentale e de baze. Questa a saiâ d’òbligo. S’aviâ da generalizâ a disponibilitæ d’istruçion tecnica e profescionale; e l’acesso a-i studdi de graddo superiô o saiâ pægio pe tutti in baze a-o merito.
26-02	L’educaçion a gh’aviâ comme meta o sviluppo pin da personalitæ umann-a e o rinforsamento do rispetto verso i driti de personn-e e e libertæ fondamentali; a favoriâ a conprenscion, a toleransa e l’amiciçia fra tutte e naçioin, e razze e e religioin, e a promoviâ o sviluppo de ativitæ de Naçioin Unie pe-o mantegnimento da paxe.
26-03	I poæ e e moæ gh’avian o drito preferente de çerne o tipo d’educaçion che s’aviâ da dâ a-i seu figgi.
27-00	Articolo 27
27-01	Tutte e personn-e gh’an drito a parteçipâ con libertæ inta vitta colturale da comunitæ, a gödî de arte e a parteçipâ into progresso scentifico e inti seu benefiççi.
27-02	Ògnidun o gh’à drito a-a proteçion di interesci morali e materiali che corispondan a-e produçioin scentifiche, leteraie ò artistiche de quæ o foise l’outô.
28-00	Articolo 28
28-01	Ògni personn-a a gh’à drito a ’n ordine sociale e internaçionale into quæ i driti e e libertæ proclamæ inte questa Diciaraçion vegnan conpletamente efetivi.
29-00	Articolo 29
29-01	Ògnidun o gh’à di dovei verso a comunitæ, perché solo inte lê o peu svilupâ a seu personalitæ conpletamente e con libertæ.
29-02	Inte l’ezerciçio di seu dovei e libertæ, tutti saian sotomissi unicamente a-e limitaçioin stabilie da-a lezze co-o solo propòxito d’aseguâ o riconoscimento e o rispetto di driti e e libertæ di atri, e de conpî co-e giuste ezigense da morale, de l’ordine publico e do ben generale inte ’na socjêtæ democratica.
29-03	Questi driti e libertæ no peuan ese ezercitæ, inte nisciun caxo, in òpoxiçion a-i propòxiti e prinçippi de Naçioin Unie.
30-00	Articolo 30
30-01	Ninte inte questa diciaraçion o poriâ ese interpretòu comme inplicante do drito, pe quæ se segge Stato, gruppo ò personn-a, a ezercitâ de ativitæ ò a portâ avanti di atti pe-a distruçion di driti ò de libertæ inte lê proclamæ.
