00-00	اعلامیه جهانی حقوق بشر
23-03	هر کس که کار میکند مستحق مزد منصفانه و رضایت بخشی میشود که زندگی او و خانواده‌اش را موافق شئون انسانی تأمین کند و آن را در صورت لزوم با هر نوع وسایل دیگر حمایت اجتماعی تکمیل نماید.
23-04	هر کس حق دارد که برای دفاع از منافع خود با دیگران اتحادیه تشکیل دهد و در اتحادیه‌ها نیز شرکت کند.
24-00	ماده بیست و چهارم:
24-01	هر کس حق استراحت، فراغت و تفریح دارد و به خصوص به محدودیت معقول ساعات کار و مرخصی‌های ادواری مستحق اخذ حقوق است.
25-00	ماده بیست و پنجم:
25-01	هر کس حق دارد که سطح زندگانی، سلامتی و رفاه خود و خانواده‌اش را از حیث خوراک و مسکن و مراقبتهای طبی و خدمات لازم اجتماعی تأمین کند و همچنین حق دارد که در مواقع بیکاری، بیماری، نقص اعضاء، بیوه شدن، پیری و یا در تمام موارد دیگری که به علل خارج از اردهٔ انسان وسائل  امرار معاش از دست رفته باشد از شرایط آبرومندانه زندگی برخوردار شود.
25-02	مادران و کودکان حق دارند که از کمک و مراقبت مخصوصی بهره‌مند شوند. کودکان (چه بر اثر ازدواج و چه بدون ازدواج بدنیا آمده باشند) حق دارند که همه از یک نوع حمایت اجتماعی برخوردار شوند.
26-00	ماده بیست و ششم:
26-01	هر کس حق دارد که از آموزش و پرورش بهره‌مند شود. آموزش و پرورش لااقل تا حدودی که مربوط بتعلیمات ابتدایی و اساسی است باید مجانی باشد. آموزش ابتدایی اجباری است. آموزش حرفه‌یی باید در شرایط تساوی کامل به روی همه باز باشد، تا همه بنا به استعداد خود بتوانند از آن بهره‌مند گردند.
26-02	آموزش و پرورش باید طوری هدایت شود که شخصیت انسانی هر کس را به حد کمال رشد آن برساند و احترام حقوق و آزادیهای بشر را تقویت کند. آموزش و پرورش باید حسن تفاهم، گذشت و احترام عقاید مخالف و دوستی بین تمام ملل و جمعیتهای نژادی یا مذهبی و همچنین گسترش فعالیتهای ملل متحد را در راه حفظ صلح تسهیل نماید.
26-03	پدر و مادر در انتخاب نوع آموزش و پرورش فرزندان خود نسبت به دیگران اولویت دارند.
27-00	ماده بیست و هفتم:
27-01	هر کس حق دارد آزادانه در زندگی فرهنگی اجتماعی شرکت کند، از فنون و هنرها بهره‌مند گردد و در پیشرفت علمی و فواید آن سهیم باشد.
27-02	هر کس حق دارد از حمایت منافع معنوی و مادی آثار علمی، فرهنگی یا هنری خود برخوردار شود.
28-00	ماده بیست و هشتم:
28-01	هر کس حق دارد برقراری نظمی را بخواهد که از لحاظ اجتماعی و بین‌المللی حقوق و آزادی‌هایی را که درین اعلامیه ذکر گردیده است تأمین کند و آنها را به مورد عمل گذارد.
29-00	ماده بیست و نهم:
29-01	هر کس در مقابل آن جامعه‌یی وظیفه دارد که رشد آزاد و کامل شخصیت او را میسر سازد.
29-02	هر کس در اجرای حقوق و استفاده از آزادیهای خود فقط تابع محدودیتهایی است که بوسیلهٔ قانون منحصراً به منظور تأمین شناسایی و مراعات حقوق و آزادیهای دیگران و برای رعایت مقتضیات صحیح اخلاقی و نظم عمومی و رفاه همگانی در شرایط یک جامعه دموکراتیک وضع گردیده است.
29-03	این حقوق و آزادیها در هیچ موردی نمی‌تواند بر خلاف مقاصد و اصول ملل متحد اجرا گردد.
30-00	ماده سی‌ام:
30-01	هیچیک از مقررات اعلامیه حاضر نباید طوری تفسیر شود که متضمن حقی برای دولتی یا جمعیتی یا فردی باشد که بخ موجب آن بتواند هر یک از حقوق و آزادیهای مندرج در این اعلامیه را از بین ببرد و یا در آن راه فعالیتی بنماید.
