00-00	ALLMÄN FÖRKLARING OM DE MÄNSKLIGA RÄTTIGHETERNA
02-02	Ingen åtskillnad må vidare göras på grund av den politiska, juridiska eller internationella ställning, som intages av det land eller område, till vilket en person hör, vare sig detta land eller område är oberoende, står under förvaltarskap, är icke-självstyrande eller är underkastat någon annan begränsning av sin suveränitet.
03-00	Artikel 3.
03-01	Envar har rätt till liv, frihet och personlig säkerhet.
04-00	Artikel 4.
04-01	Ingen må hållas i slaveri eller träldom; slaveri och slavhandel i alla dess former äro förbjudna.
05-00	Artikel 5.
05-01	Ingen må utsättas för tortyr eller grym, omänsklig eller förnedrande behandling eller bestraffning.
06-00	Artikel 6.
06-01	Envar har rätt att allestädes erkännas som person i lagens mening.
07-00	Artikel 7.
07-01	Alla äro lika inför lagen och äro utan åtskillnad berättigade till lika skydd från lagens sida. Alla äro berättigade till lika skydd mot varje åtskillnad i strid med denna förklaring och mot varje framkallande av sådan åtskillnad.
08-00	Artikel 8.
08-01	Envar har rätt till verksam hjälp från sitt lands behöriga domstolar mot handlingar, som kränka de grundläggande rättigheter, vilka tillkomma honom genom lag eller författning.
09-00	Artikel 9.
09-01	Ingen må godtyckligt anhållas, fängslas eller landsförvisas.
10-00	Artikel 10.
10-01	Envar är under full likställdhet berättigad till rättvis och offentlig rannsakning inför oavhängig och opartisk domstol vid fastställandet av såväl hans rättigheter och skyldigheter som varje anklagelse mot honom för brott.
11-00	Artikel 11.
11-01	Envar, som blivit anklagad för straffbar gärning, har rätt att betraktas som oskyldig, till dess hans skuld blivit lagligen fastställd vid offentlig rättegång, under vilken han åtnjutit alla för sitt försvar nödiga garantier.
11-02	Ingen må dömas för handling eller underlåtenhet, som vid tidpunkten för dess begående icke var straffbar enligt inhemsk eller internationell rätt. Ej heller må högre straff utmätas än vad som var tillämpligt vid tidpunkten för den straffbara gärningens begående.
12-00	Artikel 12.
12-01	Ingen må utsättas för godtyckliga ingripanden i fråga om privatliv, familj, hem eller korrespondens, ej heller angrepp på heder och anseende. Envar har rätt till lagens skydd mot sådana ingripanden eller angrepp.
13-00	Artikel 13.
13-01	Envar har rätt att inom varje stats gränser fritt förflytta sig och välja sin vistelseort.
13-02	Envar har rätt att lämna varje land, inbegripet sitt eget, och att återvända till sitt eget land.
14-00	Artikel 14.
14-01	Envar har rätt att i andra länder söka och åtnjuta fristad från förföljelse.
14-02	Denna rätt må icke åberopas vid laga åtgärder, reellt grundade på icke-politiska brott eller på handlingar, som strida mot Förenta Nationernas ändamål och grundsatser.
15-00	Artikel 15.
15-01	Envar har rätt till en nationalitet.
15-02	Ingen må godtyckligt berövas sin nationalitet eller förmenas rätten att ändra nationalitet.
16-00	Artikel 16.
16-01	Fullvuxna män och kvinnor har rätt att utan någon inskränkning på grund av sin ras, nationalitet eller religion ingå äktenskap och bilda familj. De äga lika rättigheter vid giftermål, under äktenskap och vid äktenskaps upplösning.
16-02	Äktenskap må ingås endast med de blivande makarnas fria och fullständiga samtycke.
16-03	Familjen är den naturliga och grundläggande enheten i samhället och äger rätt till skydd från samhället och staten.
17-00	Artikel 17.
17-01	Envar har rätt att äga egendom såväl ensam som i förening med andra.
17-02	Ingen må godtyckligt berövas sin egendom.
18-00	Artikel 18.
18-01	Envar har rätt till tankefrihet, samvetsfrihet och religionsfrihet. Denna rätt innefattar frihet att byta religion eller tro och att ensam eller i gemenskap med andra offentligt eller enskilt utöva sin religion eller tro genom undervisning, andaktsövningar, gudstjänst och iakttagande av religiösa sedvänjor.
19-00	Artikel 19.
19-01	Envar har rätt till åsiktsfrihet och yttrandefrihet. Denna rätt innefattar frihet för envar att utan ingripanden hysa åsikter och frihet att söka, mottaga och sprida upplysningar och tankar genom varje slags uttrycksmedel och utan hänsyn till gränser.
20-00	Artikel 20.
20-01	Envar har rätt till frihet i fråga om fredliga möten och sammanslutningar.
20-02	Ingen må tvingas att tillhöra en sammanslutning.
21-00	Artikel 21.
21-01	Envar har rätt att taga del i sitt lands styrelse direkt eller genom fritt valda ombud.
21-02	Envar har rätt till lika tillträde till allmän tjänst i sitt land.
21-03	Folkets vilja skall utgöra grundvalen för statsmakternas myndighet. Denna vilja skall uttryckas i periodiska och verkliga val, vilka skola äga rum med tillämpning av allmän och lika rösträtt samt hemlig röstning eller likvärdiga fria röstningsförfaranden.
22-00	Artikel 22.
22-01	Envar äger i sin egenskap av samhällsmedlem rätt till social trygghet och är berättigad till att de ekonomiska, sociala och kulturella rättigheter, som äro oundgängliga för hans värdighet och för en fri utveckling av hans personlighet, förverkligas genom nationella åtgärder och mellanfolkligt samarbete med hänsyn tagen till varje stats organisation och resurser.
23-00	Artikel 23.
23-01	Envar har rätt till arbete, till fritt val av sysselsättning, till rättvisa och tillfredsställande arbetsförhållanden och till skydd mot arbetslöshet.
23-02	Envar har utan åtskillnad rätt till lika lön för lika arbete.
23-03	Envar, som arbetar, har rätt till rättvis och tillfredsställande ersättning, som tillförsäkrar honom själv och hans familj en människovärdig tillvaro och som, där så är nödvändigt, kompletteras med andra medel för socialt skydd.
23-04	Envar har rätt att bilda och ansluta sig till fackföreningar till skydd för sina intressen.
24-00	Artikel 24.
24-01	Envar har rätt till vila och fritid, innefattande rimlig begränsning av arbetstiden och regelbunden semester med bibehållen lön.
25-00	Artikel 25.
25-01	Envar har rätt till en levnadsstandard, som är tillräcklig för hans egen och hans familjs hälsa och välbefinnande, däri inbegripet föda, kläder, bostad, hälsovård och nödvändiga sociala förmåner, vidare rätt till trygghet i händelse av arbetslöshet, sjukdom, invaliditet, makes död, ålderdom eller annan förlust av försörjning under omständigheter, över vilka han icke kunnat råda.
25-02	Mödrar och barn äro berättigade till särskild omvårdnad och hjälp. Alla barn, vare sig födda inom eller utom äktenskap, skola åtnjuta samma sociala skydd.
26-00	Artikel 26.
26-01	Envar har rätt till undervisning. Undervisningen skall vara kostnadsfri, åtminstone på de elementära och grundläggande stadierna. Den elementära undervisningen skall vara obligatorisk. Yrkesundervisning och teknisk undervisning skall vara allmänt tillgänglig. Den högre undervisningen skall stå öppen i lika mån för alla på grundval av deras duglighet.
26-02	Undervisningen skall syfta till personlighetens fulla utveckling och till att stärka respekten för människans grundläggande fri- och rättigheter. Undervisningen skall främja förståelse, tolerans och vänskap mellan alla nationer, rasgrupper och religiösa grupper samt befordra Förenta Nationernas verksamhet för fredens bevarande.
26-03	Rätten att välja den undervisning, som skall ges åt barnen, tillkommer i främsta rummet deras föräldrar.
27-00	Artikel 27.
27-01	Envar har rätt att fritt taga del i samhällets kulturella liv, att njuta av konsten samt att bli delaktig av vetenskapens framsteg och dess förmåner.
27-02	Envar har rätt till skydd för de moraliska och materiella intressen, som härröra från varje vetenskapligt, litterärt eller konstnärligt verk, till vilket han är upphovsman.
28-00	Artikel 28.
28-01	Envar har rätt till en social och internationell ordning, i vilken de fri- och rättigheter, som uttalas i denna förklaring, till fullo kunna förverkligas.
29-00	Artikel 29.
29-01	Envar har plikter mot samhället, i vilket den fria och fullständiga utvecklingen av hans personlighet ensamt är möjlig.
29-02	Vid utövandet av sina fri- och rättigheter må envar underkastas endast sådana inskränkningar, som blivit fastställda i lag i uteslutande syfte att trygga tillbörlig hänsyn till och respekt för andras fri- och rättigheter samt för att tillgodose det demokratiska samhällets rättmätiga krav på moral, allmän ordning och allmän välfärd.
29-03	Dessa fri- och rättigheter må i intet fall utövas i strid med Förenta Nationernas ändamål och grundsatser.
30-00	Artikel 30.
30-01	Intet i denna förklaring må tolkas såsom innebärande rättighet för någon stat, grupp eller person att ägna sig åt verksamhet eller utföra handling, som syftar till att omintetgöra någon av häri uttalade fri- och rättigheter.
