00-00	E'E JNA JAU LA KIO LE KÖ MUKUU KIO NIA NE KIO TSA RÜJNIA
02-02	Tasia ligees ja̱ echitoo ni mixii ikajmos tsa soo ti iní ne ichitoö̱ ni mixii jï le' jï jmo' í le kö mukuu ne le kö ni jmä̱ ne le kö juu kio nia kio lej†̎ tsou, kö ni lekö juu kio tsa rüjnia ne tasia lii lekö mukuu; tasia lijmos lej†̎ inió nia guu kaäs mugu†̍ tasia li kues inios jmos tasia makaloo.
03-00	Jau Ne (3).
03-01	Lej†̎ tsou lisiaa mukuu e t†̎ tsa makaloo ne lijmos i tsou.
04-00	Jau Kiü (4).
04-01	Jijaa̱ tsou sia lijmos ta lejä ja' ne tasia lijmos ta̱ sam†̎ kus†̍leja̱ lajü; lej†̎ tsou kaa mugu†̍ laj†̍ gï jmos ta̱ tasia rela†̍ lene le kö mukuu.
05-00	Jau Ñaa (5).
05-01	Ijaä̱ tasia lijmos i kaäs mugu†̍ tasia lipaa̱s tsou; tasia lijmos la†̍ le tsapa ja' ne muguu ne.
06-00	Jau Jñi (6).
06-01	Lej†̎ tsou lit†̎ le kö mukuu mojoo̱ li kï ta̱ lej†̎ jau chitoo ni mixii.
07-00	Jau Kió (7).
07-01	Lej†̎ jnia li kurée tiní tsa juu ne sia; kurée lit†̎ jmo' í le kö juu. Lej†̎ sia lit†̎ kurée ijmos í sia re la†̍ lej†̎ tsa kaa mugu†̍ ne tasia lijmoo jna na takajua'juu ne tasia re la†̍ tasia lijmo' lene itï' gu†̍ jna tsa kaa mugu†̍.
08-00	Jau Jña (8).
08-01	Lej†̎ tsou esia lit†̎ mojoo mixii kios, tiní tsa nita ni jmä tsa kï mojoo maours e kio sia rela†̍ mojoo lii ree mixii kios gu†̍ tasia lijmo' tsou iti's e kio tsou e rée lati's makalaku†̎s e chitoo ni mixii lit†̎.
09-00	Jau Ñü (9).
09-01	Jijaa̱ tsou tasia lisä's mojoo soo nei' ñi, tasia lisoos ti jo sia'.
10-00	Jau Kia (10).
10-01	Lej†̎ tsou sia t†̎ kuree kio lej†̎, e ne ï sii lej†̎ tsou sia juso̱o gï si†̍ tsa lï ta tsamakaloo tasia jmos kió gaäs, mojoo li kï' e t† e jmos e kio nasoo̱ e kio soo̱ kios leji' chitoo ni mixii kio.
11-00	Jau Kia Kö Ras† Kö (11).
11-00	Lej†̎ tsou sia t†̎ li lijmos tasia si†̍ so̱ tasia malaki† so̱ lejua' ni mixii jï lijmos jï sii' lej† tsou i makajmos isó mojoo maji jo kios.
11-01	Jijaa sia li ki'so̱o ikajmo's tasia iso̱o le kö ni jmä ne le kö mukuu. Tasia lijmo's inios tso̱o jue' ika jmos ale kal†̍.
12-00	Jau Kia Tü (12).
12-01	Jijaa sia lijmo la† kio tsou jï kua, neit'kios tasia lile' jule kio tsou. Lej†̎ tsou t†̎ ijmos í lej†' chitoo ni mixii, tasia likaäs mugu†.
13-00	Jau Kia Ne Ras† Kö (13).
13-00	Lej†̎ tsou t†̎ le kö oju†̍ tsa makaloo ne li jmos neit'kios gï nios.
13-01	Lej†̎ tsou t†̎ li kui†̎' le kö mukuu lii kui† juu kia' ne lii ligï' juu kios na lene jua' michii kios.
14-00	Jau Kia Kiü Tas† Kö (14).
14-00	Tï ma nios saäs nü, laj†̍ tsou t†̎'lisoos tijo xia' jo limaour's rüs le kö mukuu.
14-01	Lej†̎ ila t†̎ tsou tasia lijmos ixia' ï jua' tsa kia mixii gï le' isiäs nü, ela†̍ i kajmo' ne tasia kajmo' gï kö sia lisaäs nü le kö mukuu.
15-00	Jau Kia Ñaa Ras† Kö (15).
15-00	Lej†̎ tsou t†̎ kö juu ikua.
15-01	Jijaä̱ tsou tasia lijmos la†̍ kio rü' le kö juu kionia, jijaa tsou tasia lii di chï kuna tsou kio juu kionia ne le kö ni jmä.
16-00	Jau Kia Jñi Ras† Kö (16).
16-00	Tsa ñu' ne tsam†̎ tima maj†̍ngs kiajñaa ñii lej†nia ema t†̎, lej†̍nia tsa liä ne tsa tio̱ le kö ni jmä kio tsa so̱ kua', tsa maligï kuo ne malijmo nei' kios le kö ni jmos í ka gii kuos, tí' maka gï' kuos, na tasia nios re rü'le gi goös li toös rü's.
16-01	Tima nios legi goös lii ligii kuos.
16-02	Ne tasia tsou tasia juu ne t†̎ tsou juu ejmos í kio tsou.
17-00	Jau Kia Kio Ras† Kö (17).
17-00	Lej†̎ tsou ti kio ngäs ne kio lej†̎.
17-01	Jijaa̱ sia likï' wue kio tsou.
18-00	Jau Kia Jñaa (18).
18-01	Lej†̎ tsou lii t†̎ ijua' s†̍'s tsa so̱ kua'. Ne t†̎ jna tsa kam†̎ gï kuaa tsa kue jupii nü ge' ti gï kuo' lii lijmo'chijo̱ juu o ni jmä o le kö mukuu mojoo e'e sami' ne tsa kä ne kio leji tsa rü' jnia.
19-00	Jau Kia Ñü (19).
19-01	Lej†̎ tsou t†̎ ili le' ne lii jmo' xii ila t† nü mojoo sia li jmo's nü tsou.
20-00	Jau Kiú (20).
20-00	Lej†̎ tsou t†̎ lijmos ijua' s†̍'s, ne lii jmoo sou kalej†̍s mojoo tsatäs le kö juu mojoo jmos ta lejï.
20-01	Jijaa̱ tsou tasia lisoo na sia nios, soos na nios.
21-00	Jau Kiú Ras† Kö (21).
21-00	Lej†̎ tsou t†̎ le' tiní tsa juu o tiní tsa nita le kö ni jmä, eli le' ku'tso tsa sï' ti ní tsa juu.
21-01	Lej†̎ tsou t†̎ le' eg†̍s köní lej†̎ ta lekö ni jmä.
21-02	Eyoü s†̎ juu lej† tsou tsa s†̎i tiní nita tsako' mixii chima tsamakaloo lej†̎ tsou lekö mukuu.
22-00	Jau Kiú Tü (22).
22-01	Lej†̎ tsou tsa chitoo je̱ juu, ti jmos í le kö ni jmä le kö mukuu lej†̎ tsou tsa tö' köní t†̎ kau', makou's ne tsamakaloo ekio tsou lii jmo' re kio juu.
23-00	Jau Kiú Ne (23).
23-00	Lej†̎ tsou t†̎ ta, tsamakaloo takios köre mojoo mayoü s†̎ lej†̎ tsou in† kö juu lej†̎ tsou sia makat† ta.
23-01	Lej†̎ tsou t†̎ jmos ta ne emamäs kuré lej†̎ rüs ne jmos í ta̱ kios.
23-02	Lej†̎ tsou tsa dijmo ta t†̎ kau' kuré mojoo ku's tsa rüs, mojoo lisiä lej†̎ tsou tsa kua mukuu, mojoo e mayaäs e jua' nio̱ tsou.
23-03	Lej†̎ tsou t†̎ jupií jna tiös kö jau lej†̎ tsou mojoo kö re jmos í kios.
24-00	Jau Kiú Kiü (24).
24-01	Lej†̎ tsou t†̎ jupií mojoo jñaas kö wua mojoo ñaas ta kios na makaloös.
25-00	Jau Kiú Ñaa Ras† Kö (25).
25-00	Lej†̎ tsou t†̎ kö ní mojoo kuas re lej†̎ tsa rüs, mojoo jmos í ni s†̍'s kios ne mojoo kuas re, ne mojoo ku're, mojoo t†̎ muküs, ne mojoo t†̎ nei' kios, mojoo t†̎ m†̎, ne mojoo li t†̎ lej†̎ ijmoü' nei' kios, mojoo t†̎ kö mixii ekuee jupií kia' mojoo kues m†̎ nakalasö, naka jü ñikuo' e mamäs kia'nü, na kuas na masadö sia lii jmo' ta e mamäs kia nü.
25-01	Tïma ni' jo̱ns t†̎ ejmo' í ne̱ s†̎. Lej†̎ daü pí tsa lisiä ekio tsa di gï kuo t†̎ kure jmo' í.
26-00	Jau Kiú Jñi Ras† Kö (26).
26-00	Lej†̎ tsou t†̎ e'es mixii. Tasia mamäs kio t†̎ kati kut†̍s xii kios, kati kuis xii jue' nasia kau' isia' xii ko's.
26-01	Lej†̎ tsou lit†̎ xii tsa ñi̱ t†̎ ne tsamakaloo e ñis a le t†̍ le kö mukuu ne lej†̎ tsa le' jumeï, ne jmos laj†̍ ta sia le kö mukuu mojoo sia tï tsou.
26-02	Jmeïs t†̎ inios e xii nios kio jös.
27-00	Jau Kiú Kió Ras† Kö (27).
27-00	Lej†̎ tsou t†̎ ejmos tsamakalo̱ö ne jmos le inios juu kios mojoo li†̍s ta majau mojoo chä lej†̎ i t†̍s juu kios.
27-01	Lej†̎ tsou t†̎ ne kues jupií t†̎ ne tsamakaloö, lej†̍ tsou lijmos xii kio jmeï kios.
28-00	Jau Kiú Jñaa (28).
28-01	Lej†̎ tsou t†̎ jmos kö jau le kö mukuu ne t†̎ tsamakaloo lej†̎ chitoo ni mixii mojoo jmoo jna isoo ta.
29-00	Jau Kiú Ñü Ras† Kö (29).
29-00	Lej†̎ tsou esiaa ejmos ta tiní juu kios lii jmos ta tsamakaloo ne elijmos kio lej†̎ tsou.
29-01	E t†̎ tsou tsamakaloo̱ ne lej†̎ tsou esi†̎ ja̱ le chitoo ni mixii mojoo t†̎ jupií ne t†̎ tsamakaloo, lej†̎ tsou í mojoo re tiö tsou.
29-02	Le t†̎ tsamakaloo tasia lijmos isia' le chitoo ni mixii le kö mukuu.
30-00	Jau Kiú Kia (30).
30-01	Tasia chitoo ni mixii tasia li jmos jna isia' ijoo jmo'jna la chitoo ilaa mojoo kuee jupií ne t†̎ le kö ni jmä kö cha̱ tsou, elijmos ta mojoo lijmos kö tsó̱ lej†̎ t†̎ ne makaloo le ichitoo ni mixii la.
