00-00	LATA' TU KAMININI LAKCHIXKUWIN XLITILANKA KAKILHTAMAKU TUKU XWANA
11-02	Nila litamaknukan nak pulach'in ch'atum ch'ixku ama' talakgalhin nema ninaj ixtalhkan nak limap'akgsin xalak pulataman chu xtilinka k'akilhtamaku, akxni chu lalh. Nachuna litum nila limawakakan ixlitliwekge limap'akgsin akxni takgalulokga tipatum talakgalhin, nawalikan limap'akgsin la minini akxni chu lalh talakgalhin.
12-00	Limap'akgsin 12
12-01	Nila ti talakgslakgkan nak ixlatamat, nak ixchik, nak ixpakganat chu nak ixtamaklakask'init, ni pala tlan mamaxanikan, talaslakgkan. Wakg lakch'ixkuwin kaminini kakalikgatayaka xlakata ni nakatalaslakgkan.
13-00	Limap'akgsin 13
13-01	Wakg lakch'ixkuwin kaminini katalatapulilh xanita' ta'amp'utun nachuna katalatamalh ni talakgati, katayawalh ixch'ikkan nak ixpulatamankan.
13-02	Wakg lakch'ixkuwin kaminini ta'an lata' xlak'an ni talatapulip'utun, tlan tataxtu nak ixpulatamankan chu natlan tataxtu nak ixpulatamankan chu natlan tatasp'ita xni xlak'an chu talakpuwan.
14-00	Limap'akgsin 14
14-01	Pala ti tataxtukan minini an latama alakatunu pulataman, lata'ni namakgamakglh tinankan.
14-02	Je'e tlan talakapastakni nila maklakask'inkan akxni tlawakan talakgalhin nema nima tlani lata' tu kaminini lakch'ixkuwin chu ixtapuwan Naciones Unidas.
15-00	Limap'akgsin 15
15-01	Wakg lakch'ixkuwin kaminini kakalilakgapaska ixpulatamankan.
15-02	Nila ti lakgmakganikan ixtukuwini ixpulataman nema tatap'akgsi nachuna pala ti lakgxtapalip'utun tlan tlawa nila ti liwani.
16-00	Limap'akgsin 16
16-01	Lakch'ixkuwin chu lakchajan akxni talakstakgonit tlan tatamakgaxtokga, nila ti kaliwani, chu tlan talatatamakxtumi xala alakatunu pulataman, maski tunu la t'ani ixmaknikan, maski tunu tu lipawan ch'atum ch'atum; chu kaminini kakamaxk'ika tu kalakgchan, akni tamakgaxtokga nachuna pala talamakgxtakga.
16-02	Tlan tamakgaxtokgkan akxni ixch'atuykan ch'ixku chu puskat tlan tawalinit ixtapuwankan.
16-03	Tamakgaxtokgat wa ama matliwekglha tach'ix kuwit, wa chi ama map'akgsinan chu xamakgapitsi lakch'ixkuwin natamakgtaya xlakata nitu malini.
17-00	Limap'akgsit 17
17-01	Wakg lakch'ixkuwin kaminini takg'alhi ixmaklakask'initkan pala tlan li'akstu chu liputum.
17-02	Nila ti chuta' makglhtikan ixmaklakask'init.
18-00	Limap'akgsin 18
18-01	Katiwa tlan wan ixtalakapastakni nachuna tlan laksaka tu ama lipawan nila ti kaliwani; je'e talakask'in namatlani pala ch'atum lakgxtapalip'utun tu lipawan tlan tlawa, nachuna pala mak'atsinan p'utun akxni putum walaka, pala ni kakapulhuwa tlawap'utun natlanlitum nachuna pala kamasini xamakgapatsi nitu wanp'utun.
19-00	Limap'akgsin 19
19-01	Katiwa tlan wan tu lakpuwan chu mak'atsininan ixtalakapastakni, nila ti wani xlakata ni katlawalh ni pala nalitalaslakgkan, tlan putsanan nachuna tlan katuwa namak'atsinikan chu xla tlan makgp'untumi xanita lakpuwan, nachuna tlan laksaka tu limakgp'utumi p'utun.
20-00	Limap'akgsikan 20
20-01	Wakg lakch'ixkuwin kaminini tatamakxtumi chu makxtum tala, pala ni ama laslakgkan.
20-02	Nila ti maklakatikan xlakata nakatamakxtumilh pala ni lin tapuwan.
21-00	Limap'akgsin 21
21-01	Wakg lakch'ixkuwin kaminini tlan pakgtanu xlakata natlan nanamap'akgsinan nak ixpulataman, tlan wa tlan litaya xamap'akgsina chu tlan talhkayawa ixlakgapuxokgo kan.
21-02	Wakg lakch'ixkuwin kaminini kakamakgamakgtayaka xlakata tlan natamap'akgsinan la xamakgapitsin chu tlan natataskuja tach'ixkuwit nak ixpulataman.
21-03	Ixtalakapastaknikan tach'ixkuwit xalak pulataman, wa amaka tiyakan tapuwan nema nalimapakgsinankan nak pulataman; je'e tapuwan amaka mat'anksakan akxni nakalakalhkayawakan ti ta'amana tamap'akgsinan; akxni nalakalhkayawanankan kak'apulhuwa natlawakan xlakata wakg nak'atsikan, nachuna ch'atunu ch'atunu nawan ti lakask'in kamap'akgsinalh chu niti ixlik'atsit tiku tatayalh, natlanlitum lakputsapalakan nikula tlan lakalhkayawanenkan chu ni katawi ixtakglhuwit tach'ixkuwit xlakata tlan nawan ti lakask'in kamap'akgsinalh.
22-00	Limap'akgsit 22
22-01	Tach'ixkuwit nema tap'akgsi nak ixpulataman minini ch'ixku katlawaka ni kamalakgawanika ta'akglhuwat, wa chi ama map'akgsinanin lakatunu pulataman chu xlitilanka kakilhtamaku nata'akxilha xlakata tlan ka'aninilh nak ixlitlajakan tumin, tlan ch'ixku katlawaka, katatliwekglhi ixlatamatkan xlakata tlan natalatama ch'atunu lakch'ixkuwin.
23-00	Limap'akgsit 23
23-01	Wakg lakch'ixkuwin kaminini nataskuja, tlan natalaksaka tu taliskujp'utun nachuna ni kalimawak'akan taskujut, makxtum nach'alhkatnankan niti tlakg maskujukan, nachuna na'akxilhkan xlakata niti katamakgxtakglhi ni pala taskujut wakg kach'alhkatnanka.
23-02	Wakg lakch'ixkuwin kaminini akxtum kakaxokgonika pala piwa taskujut tatlawamana.
23-03	Wakg lakch'ixkuwin nema taskuja kaminini akxtum kakaxokgonika kaka'akchanilh xlakata tlan nat'atalatama ixkaman chu ixpuskan nachuna tlan katuwa kalimakgamakgtayakan xlakata nitu nakats'angani.
23-04	Wakg lakch'ixkuwin minini tamalakatsuku tamakxtumit xach'alhkatnanin nachuna tlan tap'akgtanu ni wija xlakata tlan nalikgatayakan chu t'amakglhtinankan tu lakgchan.
24-00	Limap'akgsin 24
24-01	Wakg lakch'ixkuwin kaminini katajaxlhi, kakamaxkika kilhtamaku xlakata natajaxa, pulhkakan kilhtamaku la naskujkan, nachuna napalhkawalikan akgtum kilhtamaku akxni natamakjaxa chu nakamaskgawikan.
25-00	Limap'akgsin 25
25-01	Wakg lakch'ixkuwin kaminini xlakata tlan katat'alatamalh ixkamankan, ixchatkan, ixkgolokan chu ixtalakgapasnikan nema makxtum tatawilana, laksululu katalatamalh, kat'anilh ixliwaykan, ixtalahkgankan, ixchikan, kakak'uch'ika nachuna kakamalakgastanika xlakata lipaxaw natalatama, nachunalitum kakamakgamakgtayaka pala ni takgalhi ixpuch'alhkatnikan, pala tat'atalha, pala puwini tawan, pala tatalakgalhi, pala talakgkgolon nachuna pala wi tu ni kamaxki kilhtamaku nataskuja.
25-02	Ti makgastaknan chu lakgskgat'an kaminini kakakuentajka chu kakamakgamakgtayaka. Wakg laktsu kaman kalikuentajat tlan pala ixtikukan tatamakgaxtokgnit, pala ni tatamakgxtokgnit, akxtum kalimakgtakg'alhat.
26-00	Limap'akgsit 26
26-01	Wakg lakch'ixkuwin kaminini kakamakgalhtawakgeka. Ama takgalhtawakga chuta' mast'akan ni amaka xokgokan nema snun tamaklakask'ini, chu wakg lakch'ixkuwin kalimakgalh tawakget. Xalaklanka takg'alhtawakga wakg nakamaxk'ikan kilhtamatu katamak gamakglhtinalh xlakata tlan nataskgalahan xala lita'akgju ixtakg'alhtawakga.
26-02	Nama takgalhtawakga nakamakgtaya lakch'ixltuwin xlakata tlan nataskgalalan nachuna natamatlawekglha lata tu kaminini lakch'ixkuwin xlakata tlan natalatama la ka'unin, niti naka'akgch'apawali, nachuna nama takgaltawakga nalakputsa nikula tlan lapatinikan xlakata wakg tlan nalatalalin lipulataman chu putunu lakchi'ixkuwin, nachuna ni katalamakg'asitsilh ch'atum ch'atum kalipawa tu xla makanajlhi, nachunalitum nalamak'atsinikan ixtapuwan Naciones Unidas xlakata lipaxaw nalatamaya.
26-03	Xanatikun kaminini natalaksaka tuku talakask'in kakamasinika ixkamankan.
27-00	Limap'akgsin 27
27-01	Wakg lakch'ixkuwin kaminini katap'akgtanulh xani talakgati nema limalakgastaninankan, chu tlawakan nema likaxyawanankan, wakg lata' tu matliwekglha tlan latamat, nachuna tlan tapakgtanu akxni matlanikan latamat xalak pulatam chu pala tlan skgalalanp'utukan.
27-02	Wakg lakch'ixkuwin kaminini kakuentajnika ixtaskujutkan nema tatlawnit pala tats'okgni, takaxtlawan lata' tu tamala kgnunit xlakata niti nakalakgamakglhti ixtapuwankan lata' xlak'an tu tamalakatsukinit.
28-00	Limap'akgsin 28
28-01	Wakg lakch'ixkuwin kaminini xlakata kamakgantaxtika lata' tu kaminini lakch'ixkuwin nema tlahkani nak ixtachiwin Naciones Unidas, chu t'anks kamaklakask'inka.
29-00	Limap'akgsin 29
29-01	Wakg lakch'ixkuwin kaminini nanatap'akgtanu nak taskujut xalak pulataman xlakata tlan natatach'ixkuwali.
29-02	Akxni maklakask'inkan lata' tu kaminini lakch'ixkuwin chu nila ti la'akgch'apawali, je'e talakask'init ama tokgokge' la wan limap'akgsit nema mintilhakanit kilhwantilhamaka, xlakata tlan namakgantaxtikan lata' tu kaminini lakch'ixkuwin chu tlan nalatamakan nak k'akilhtamaku niti lixkajnit tu nalamasini, nala makgtakgalhkan nak pulataman chu wakg tlan nalamakgtayan lata' lakatunu pulataman nema wakg ch'ixku talatlawakgo'.
29-03	Lata' tu talhka'nit nema kaminini lakch'ixkuwin nila limakgakgamanankan pala witekg maklakask'inkan chu nitlan, ni chu lakask'in Naciones Unidas.
30-00	Limap'akgsin 30
30-01	Lata' tu talhkanit nak je'e tapuwan nila lakgmakgankan ni pala map'akgsinanin ixakstu natak'atsi, niwanp'utun xlakata maxk'imama litliwekge lakatum pulatam, putum lakch'ixkuwin xlakata natatlawa lata' tu talakaskin nachunalitum nila kgaxmatmakgankan tu kaminini lakch'ixkuwin chu nanila ka'akgch'apawalikan, la wan je'e talakapastakni tu kaminini lakch'ixkuwin.
