00-00	IHANO LYA MAHANGA LYA HAKI YA BANHU
16-01	Bakina na bagosha ba mishimo mihanya, bila kutuliwa lubimbi lw’ikioba, dini nulu luhanga, bina haki ya kwitola na kwileka.
16-02	Winga bulatungwe duhu ulu bitozi bizunilija boyi basaba.
16-03	Kaya hu shigelo sha kwandya kutunda chalo. Kaya yiniyi ikuziwe.
17-00	IGELE LYA 17
17-01	Kila munhu wina haki ya kubi na nsabo yakwe ng’winikili na ya lusangi
17-02	nduhu munhu alataziwe nsabo yakwe bila nguno.
18-00	IGELE LYA 18
18-01	Kila munhu wina wiyagalule wa kwiganika, buhuguku na dini; haki yiniyo yili hakimo na wiyagalule wa kusagula na kukaba dini, winene nulu mu luganda, wibise nungu ng’wikungu. Akalemeziwe kwisenga umo alihayila.
19-00	IGELE LYA 19
19-01	Kila munhu wina wiyagalule wa kuyomba isho aliganika bila kwingililwa na munhu bungi, kubokela na kusambaja mhola na miganika ga bangi ku nzila ya kwandika na kutangaja.
20-00	IGELE LYA 20
20-01	Kila munhu ali na haki kusanja na biye mu lubango.
20-02	Nduhu munhu uyo alagaganiziwe kusanja na bangi.
21-00	IGELE LYA 21
21-01	Kila munhu wina haki ya kubi mu selekali ya nsi yakwe weyi msaba nulu kubitila ku bangi.
21-02	Kila munhu wina haki ya kutumamilwa na nsi yakwe.
21-03	U butogwi wa banhu hu ng’hingi ya selekali. Butogwi bunubu bulisombole mu nzila ya nhana ya welelo ya kusagula bakilongozi ku wibisa nulu mu nzila zingi ja wikole na yiniyo.
22-00	IGELE LYA 22
22-01	Kila ng’wene mu kaya ina haki ya kulabadwa na kupiwa nsabo ja nsi kubitila wizunilija wa nsi na mahanga gose hu aweje kuhangama.
23-00	IGELE LYA 23
23-01	Kila munhu ali na haki ya wiyagalule wa kusagula na kutumama mlimo ugo atogilwe, na haki ya kutumamila hasoga, kupiwa mafayo gangi na kulabadwa ulu wagayiwa milimo.
23-02	Kila munhu, bila ya kubagulwa, alina haki ya kulipwa kuliganija na mlimo ugo alitumama.
23-03	Kila mtumami, bila ya kubagulwa, wina haki ya kulipwa mafayo ga kumtosha weyi na kaya yakwe, kump’ikujo mu banhu hakimo na kongeziwa mafayo ga mzengo.
23-04	Kila munhu wina haki ya kwibilinga na biye ku nguno ya kulabada mafayo gakwe.
24-00	IGELE LYA 24
24-01	Kila munhu wina haki ya kwisuhya na kuyega hakimo na kupandika ninga ya kwisuhya na ninga ya kulipwa.
25-00	IGELE LYA 25
25-01	Kila munhu wina haki ya kwikala hasoga ku nguno ya buhozu na bupanga wake, kupandika shiliwam kuzwala, kwilaka, kulagulwa na kupiwa mafayo gangi, kusungwa ulu akina milimo, ulu walwala, walwmala, wananhaluka, wafilwa nke nulu ngoshi wake, ninga wagayiwanzila zingi ja kwisunga msaba ijo azimanelile
25-02	Babyazi na bana basungwe, bana ba bukwelwe nabo abo bakakwelilwe, bose bina haki ya kusungwa.
26-00	IGELE LYA 26
26-01	Banhu bose bina haki ya kulangwa ilimu lya kwandya bule na ilimu yiniyi ibi ya bose. Ilimu ya bufundi, sayansi na butalamu.
26-02	Ilimu ilolekeziwe kukuja bunhu, kuzenga haki na wiyagalule, kwelelwa, kubi na moyo na kwenha bunwani mugati na mahanga na kukuja lubango
26-03	Babyazi bali na haki ya kwandya kubasagulila bana babo ilimu iyo baliihaya.
27-00	IGELE LYA 27
27-01	Kila munhu wina haki kubi ng’wikungu na kulya na biye shisumo sha luganda na maendeleyo ga sayansi.
27-02	Kila munhu wina haki ya kulabadilwa i shikolo isho wabenja, kusula, kutwja ku nzila ya kwiganika, sayansi ninga kwandika.
28-00	IGELE LYA 28
28-01	Kila munhu apiwe haki na wiyagalule giti umo Ihano linili lilihaya.
29-00	IGELE LYA 29
29-01	Kila munhu atutumalile lugana umo maendeleyo gakwe winene gawegije kwigela.
29-02	Kupandika haki na wayagalule bunubu, kila munhu adedehanye iyo yandikwa ng’w’ Ihano kuwezakwipa na kubapa biye ikujo na wiyagaule.
29-03	Haki na wiyagaule w’Ilagilo linili, ku nzile yoseyose, bukiz’ufunziwa numa numo yahyilwa na Mahanga.
30-00	IGELE LYA 30
30-01	Nduhu nsi, luganda nulu munhu alatumile il’Ihano linili kukenanga haki na wiyagalule ubo wabalwa ng’w’Ihano linili.
