00-00	Морт правоэзлӧн быдӧс мирись ӧтласа декларация
25-00	Быд мортлӧн эм право сэтшӧм олан вылӧ, кӧр тырмис бы сёян, паськӧм, вӧлі бы оланін, шогӧттэзісь веськӧтӧм, колана социальнӧй отсӧт, кӧр ачыс мортыс и сылӧн гортіссес олісӧ бы шогавтӧг да бура, сідзжӧ эм право отсӧт вылӧ, ежели мортыс ӧштіс удж, пондіс шогавны, лоис инвалидӧн, кольччис ӧтнас нето сылӧ немӧн лоис овны не ас кузяас.
25-01	Кага вайӧм да челядь зорӧтӧм сетӧны право бытшӧм дозирайтӧм да отсӧт вылӧ. Быд челядёклӧн, кӧдна чужисӧ гижсьӧм ай-мамлӧн нето гижсьытӧг, эм ӧткодь социальнӧй дорйӧт.
26-00	26 гижӧт
26-00	Быд мортлӧн эм право велӧтчыны. Колӧ керны быдӧс, медбы кӧть начальнӧй да общӧй образованнё вӧлісӧ вештісьтӧг. Начальнӧй образованнёыс быдӧнныс понда лоӧ обязательнӧйӧн. Техническӧй да профессиональнӧй образованнёыс сетсьӧ быдлӧ, ӧтмоза сетсьӧ быд мортыслӧн сы вермӧм сьӧрті и высшӧй образованнё.
26-01	Мортсӧ колӧ велӧтны сы понда, медбы бура зораліс сылӧн личность, содіс уваженнё сылӧн правоэз да свободаэз дынӧ. Велӧтчӧмыс отсалӧ вежӧртны ӧтамӧдӧс, керӧ мортсӧ небытӧн, отирресӧ ёртасьӧтӧ, отсалӧ йитсьыны раса да енлӧ веритӧм сьӧрті чукӧррезлӧ, а Нацияэзлӧн Йитӧм Чукӧрлӧ керны да дорйыны бытшӧм лӧнь олан.
26-02	Ай-мамлӧн эм приоритет бӧрйыны, кытӧн ны поснит челядьлӧ велӧтчыны.
27-00	27 гижӧт
27-00	Быд мортлӧн эм право пуктыны пай ӧтласа культурнӧй оланӧ, гажӧтчыны искусствоӧн, зорӧтны научнӧй прогресс да тӧдны сылісь быдӧс бурсӧ.
27-01	Быд мортлӧн эм право дорйыны ассис моральнӧй да материальнӧй вермӧммез, кӧдна шедтӧмӧсь сыӧн кыдз авторӧн научнӧй, литературнӧй нето художественнӧй уджӧн.
28-00	28 гижӧт
28-01	Быд мортлӧн эм право социальнӧй да отиррез коласын примитӧм порядок вылӧ, кӧда сьӧрті эта Декларацияын гижӧм правоэс да воляэс вермасӧ быдсӧн лоны пыртӧмӧсь оланӧ.
29-00	29 гижӧт
29-00	Быд мортыс видзӧ кыв отир одзын, кӧда ӧтнас вермӧ сетны сылӧ вольнӧя да бытшӧма зоравны.
29-01	Быд мортлісь правоэсӧ да волясӧ законыслӧ колӧ джендӧтны дзир сы понда, медбы не ӧштыны правоэсӧ да свободаэсӧ мӧдіккезлӧ, а демократическӧй йӧз коласас вылына видзсис мораль, вӧлі дзугсьытӧм да бур олан.
29-02	Эна правоэс да воляыс оланын некӧр оз вермӧ мунны паныт Нацияэзлӧн Йитӧм Чукӧрлӧн принциппезлӧ да моггезлӧ.
30-00	30 гижӧт
30-01	Нем эта Декларацияын оз вермы лоны вежӧртӧм сідз, бытьтӧ кытшӧм-либо государстволӧ, йӧз чукӧрлӧ нето торья морттэзлӧ сетӧм право удж вылӧ нето керны мый-либо сэтшӧмӧ, мый бы мырддис правоэсӧ да волясӧ, кӧдна висьталӧмӧсь эта Декларацияын.
