00-00	ປະກາດສາກົນ ກ່ຽວກັບສິດຂອງມະນຸດ
01-01	ມະນຸດເກີດມາມີສິດເສລີພາບ ແລະ ສະເໝີໜ້າກັນໃນທາງກຽດຕິສັກ ແລະ ທາງສິດດ້ວຍມະນຸດມີສະຕິສຳປັດຊັນຍະ(ຮູ້ດີຮູ້ຊົ່ວ)ແລະມີມະໂນທຳຈື່ງຕ້ອງປະພຶດຕົນຕໍ່ກັນໃນທາງພີ່ນ້ອງ.
02-00	ມາດຕາ 2:
02-01	ຂໍ້ 1.ຄົນຜູ້ໃດກໍ່ອ້າງຕົນໄດ້ວ່າ:ມີສິດ ແລະ ເສລີພາບທຸກຢ່າງທີ່ໄດ້ປ່າວຮ້ອງຢູ່ໃນປະກາດສະບັບນີ້ໂດຍບໍ່ເລືອກໜ້າ ບໍ່ຈຳກັດເຊື້ອຊາດ,ຜິວເນື້ອ,ເພດ,ສາສະໜາ ຄວາມຄິດເຫັນໃນດ້ານການເມືອງ ຫຼື ອື່ນໆ ກຳເນີດແຫ່ງຊາດຫຼື ສັງຄົມຖານະການມີຊັບສົມບັດມາກ ຫຼື ນ້ອຍ,ມີຕະກຸນ ຫຼື ຖານະອື່ນໆ.
02-02	ຂໍ້ 2.ອີກປະການໜື່ງ ຈະບໍ່ຈຳກັດຢ່າງໃດໃນການແຕກຕ່າງກັນອັນເນື່ອງມາຈາກລະບຽບການເມືອງການປົກຄອງ ຫຼື ລະຫວ່າງຊາດຂອງປະເທດ ຫຼື ດິນແດນ ຊື່ງບຸກຄົນຜູ້ໃດຜູ້ໜື່ງສັງກັດຢູ່;ດິນແດນນັ້ນຈຳເປັນເອກະລາດຢູ່ໃນຄວາມອາລັກຂາຂອງມະຫາອຳນາດ ຫຼື ບໍ່ມີອິດສະຫຼະ ຫຼື ຖືກລົດອະທິປະໄຕລົງໂດຍຈຳກັດກໍ່ຕາມ.
03-00	ມາດຕາ 3.
03-01	ບຸກຄົນທຸກຄົນມີສິດດຳລົງຊີວິດ ມີສິດເສລີພາບ ແລະ ຄວາມປອດໄພໃນຕົວ.
04-00	ມາດຕາ 4.
04-01	ບໍ່ມີຜູ້ໃດເລີຍທີ່ຈະຕ້ອງຖືວ່າ:ມີອາການເປັນທາດ ແລະ ເປັນຂ້ອຍເປັນຂ້າການເປັນທາດ ແລະ ຂ້າທາດນັ້ນ ເປັນສີ່ງທີ່ຕ້ອງຫ້າມທຸກປະການ.
05-00	ມາດຕາ 5.
05-01	ບໍ່ມີຜູ້ໃດເລີຍທີ່ຈະຕ້ອງຖືກທໍລະມານຕົວ ຖືກໂທດ ຫຼື ຂະນາບຢ່າງມາລຸນໂຫດຮ້າຍຢ່າງຂາດມະນຸດສະທຳ ຫຼື ເຊື່ອມເສຍກຽດຕິຍົດ.
06-00	ມາດຕາ 6.
06-01	ບຸກຄົນຜູ້ໃດກໍລະນີມີສິດທີ່ຈະຮັບຮູ້ນິໃສປະຈຳບຸກຄົນທີ່ປະຕິບັດກັນໃນທາງກົດໝາຍນະສະຖານທີ່ທຸກແຫ່ງ.
07-00	ມາດຕາ 7.
07-01	ບຸກຄົນສະເໝີກັນຕໍ່ໜ້າກົດໝາຍ ແລະ ມີສິດທີ່ຈະໄດ້ຮັບຄວາມຄຸ້ມຄອງຂອງກົດໝາຍເທົ່າທຽມກັນໂດຍບໍ່ມີການແຕກຕ່າງທຸກຄົນມີສິດທີ່ຈະໄດ້ຮັບຄວາມຄຸ້ມຄອງເທົ່າທຽມກັນຕໍ່ການກະທຳໃດໆທີ່ຖືກບຸກຄົນແຕກຕ່າງກັນອັນອາດເປັນການລະເມີດໃບປະກາດສະບັບນີ້ ແລະ ຕໍ່ການທ້າທາຍໃດໆທີ່ຈະຖືໃຫ້ແຕກຕ່າງກັນດັ່ງນີ້:
08-00	ມາດຕາ 8.
08-01	ທຸກຄົນມີສິດທີ່ຈະເພີ່ງສານປະຈຳຊາດທີ່ມິອຳນາດເພື່ອຕໍ່ວ່າການກະທຳອັນເປັນການລະເມີດສິດສຳຄັນລັດຖະທຳມະນູນ ຫຼືກົດໝາຍໄດ້ຮັບຮູ້ແລ້ວນັ້ນ.
09-00	ມາດຕາ 9.
09-01	ບຸກຄົນໃດບໍ່ອາດຖືກຈັບກຸມຄຸມຂັງ ແລະ ເນລະເທດໂດຍລຳພັງໃຈເລີຍ.
10-00	ມາດຕາ 10.
10-01	ບຸກຄົນແຕ່ລະຄົນມີສິດເສລີພາບຢ່າງເຕັມທີ່ ທີ່ຈະໄຫ້ສານອິດສະຫຼະ ແລະ ທ່ຽງທຳຟັງຄວາມກ່າວຫາຂອງຕົນຢ່າງຍຸດຕິທຳ ແລະ ເປີດເຜີຍສານນັ້ນຈະພິຈາລະນາຕົກລົງຕາມສິດ ແລະ ໜ້າທີ່ຂອງບຸກຄົນ ຫຼື ຕາມຄຳກ່າວຫາໃສ່ບຸກຄົນຜູ້ນັ້ນຢ່າງມີເຫດຜົນພຽງພໍຢູ້ໃນພະແນກອາຍາ.
11-00	ມາດຕາ 11.
11-01	ບຸກຄົນຜູ້ໃດທີ່ຖືກກ່າວຫາກະທຳຜິດກົດໝາຍນັ້ນຕ້ອງໃຫ້ຖືວ່າບໍ່ມີຄວາມຜິດຈົນກວ່າຄວາມຜິດຂອງຜູ້ນັ້ນຈະປະກົດຂື້ນຕາມກົດໝາຍໃນລະຫວ່າງການດຳເນີນຄະດີຊ້ອງໜ້າປະຊາຊົນ ໃນລະຫວ່າງນັ້ນຕ້ອງໃຫ້ບຸກຄົນຜູ້ກ່ຽວຂ້ອງໄດ້ມີປະກັນອັນຄວນໃນການຕໍ່ສູ້ຄະດີຂອງຕົນ.
11-02	ຜູ້ໃດຜູ້ໜື່ງຈະບໍ່ຖືກໂທດເລີຍໃນການກະທຳ ຫຼື ການຫຼົງລືມຖ້າຫາກວ່າໃນຄະນະທີ່ທຳນັ້ນເຫັນວ່າບໍ່ຜິດຕໍ່ກົດໝາຍຂອງຊາດ ຫຼື ລະຫວ່າງຊາດໃນທຳນອງດຽວກັນ ບໍ່ຄວນຈະປັບໃໝໃສ່ໂທດບຸກຄົນຜູ້ນັ້ນໃຫ້ໜັກກວ່າໂທດທີ່ໃຊ້ປະຕິບັດໃນຄະນະທີ່ກະທຳຄວາມຜິດນັ້ນ.
12-00	ມາດຕາ 12.
12-01	ບຸກຄົນຜູ້ໃດຈະຖືກຜູ້ອື່ນແຊກແຊງກ່ຽວຂ້ອງໂດຍລຳພັງໃຈໃນການດຳເນີນຊີວິດຂອງຕົນເອງຄອບຄົວຂອງຕົນກ່ຽວຂ້ອງນຳທີ່ພັກອາໃສຂອງຕົນ ຫຼື ນຳຈົດໝາຍທີ່ຂຽນໄປມາຫາກັນ ຫຼື ຈະຖືກບຽດບຽນກຽດຕິຍົດ ແລະ ຊື່ສຽງຂອງຕົນນັ້ນບໍ່ໄດ້ເລີຍບຸກຄົນທຸກຄົນມີສິດທີ່ຈະຢູ່ໃນຄວາມ ຄຸ້ມຄອງຂອງກົດໝາຍເພື່ອຕໍ່ວ່າການແຊກແຊງ ຫຼື ການບຽດບຽນເຊັ່ນນັ້ນ.
13-00	ມາດຕາ 13.
13-01	ບຸກຄົນທຸກຄົນມີສິດທີ່ຈະທ່ອງທ່ຽວໄປມາໂດຍເສລີ ແລະ ເລືອກທີ່ຕັ້ງພູມລຳເນົາຢູ່ພາຍໃນລັດ ຫຼື ລັດໜື່ງ.
13-02	ບຸກຄົນແຕ່ລະຄົນມີສິດທີ່ຈະຈາກປະເທດໃດປະເທດໜື່ງໄປ ນັບທັງປະເທດຂອງຕົນດ້ວຍ ແລະ ກັບຄືນມາໃນປະເທດຂອງຕົນໄດ້.
14-00	ມາດຕາ 14.
14-01	ບຸກຄົນທຸກຄົນເມື່ອຖືກບຽດບຽນຂ້ຽວເຂັນນັ້ນສິດທີ່ຈະຫາທີ່ອາໄສ ແລະ ຮັບເອົາທີ່ອາໄສໃນປະເທດອື່ນກໍ່ໄດ້.
14-02	ສິດສ່ວນນີ້ບໍ່ໃຫ້ອ້າງອອກໃດ້ໃນກໍລະນີທີ່ຄຳຮ້ອງຟ້ອງກ່າວຫາຫາກມີເຫດຜົນຕາມຄວາມຈິງອັນກ່ຽວແກ່ໂທດທາງກົດໝາຍລະຫວ່າງຊາດ ຫຼື ກ່ຽວເຖິງການກະທຳທີ່ຂັດຕໍ່ຫຼັກການ ແລະ ຄວາມມຸ້ງໝາຍຂອງສະຫະປະຊາຊາດ.
15-00	ມາດຕາ 15.
15-01	ບຸກຄົນຜູ້ໃດກໍ່ຈະມີສິດມີສັນຊາດ.
15-02	ບໍ່ມີຜູ້ໃດເລີຍທີ່ຈະຖືກຖອນສັນຊາດຂອງຕົນໂດບລຳພັງໃຈ ຫຼື ຖືກຖອນສິດໃນການປ່ຽນສັນຊາດ.
16-00	ມາດຕາ 16.
16-01	ຕັ້ງແຕ່ມີອາຍຸລຸ້ນບ່າວສາວຂື້ນໄປຜູ້ຊາຍ ແລະ ຜູ້ຍິງໂດຍບໍ່ຈຳກັດສັນຊາດ ເຊື້ອຊາດ ຫຼື ສາສະໜາ ມີສິດທີ່ຈະສົມລົດ(ແຕ່ງດອງເອົາກັນເປັນຜົວເມຍ) ແລະ ສ້າງຄອບຄົວຄູ່ສົມລົດມີສິດສະເໝີກັນໃນເມື່ອວິວາຫະມົງຄົນ ໃນລະຫວ່າງຢູ່ກິນດ້ວຍກັນຖານຜົວເມຍ ແລະ ໃນຂະນະທີ່ມີການເລີກວິວາຫະມົງຄົນ.
16-02	ການສົມລົດຈະຕົກລົງກັນໄດ້ກໍ່ແຕ່ເມື່ອຄູ່ສົມລົດໄດ້ໃຫ້ຄວາມສົມຍອມ ຢ່າງເຕັມໃຈ ແລະ ເດັດຂາດ.
16-03	ຄອບຄົວເປັນວັດຖຸທຳມະຊາດ ແລະ ຫຼັກສຳຄັນຂອງສັງຄົມ ແລະ ມີສິດທີ່ຈະໄດ້ຮັບຄວາມຄຸ້ມຄອງຈາດສັງຄົມ ແລະ ຈາກລັດ.
17-00	ມາດຕາ 17.
17-01	ບຸກຄົນທຸກຄົນໂດຍລຳພັງ ຫຼື ໃນໝູ່ຄະນະກໍ່ຄືມີສິດທີ່ຈະເປັນເຈັ້າຂອງໂດຍກຳມະສິດ.
17-02	ຜູ້ໃດຈະຖອນກຳມະສິດຂອງບຸກຄົນນັ້ນໂດຍລຳພັງໃຈບໍ່ໄດ້ເລີຍ.
18-00	ມາດຕາ 18.
18-01	ບຸກຄົນທຸກຄົນມີສິດເສລີພາບໃນຄວາມຄິດໃນຄວາມເຊື່ອຖື ແລະ ການຖືສາສະໜາ ສິດສ່ວນນີ້ກ່ຽວຂ້ອງດ້ວຍສິດເສລີພາບໃນການປ່ຽນສາສະໜາໃໝ່ ຫຼື ຄວາມເຊື່ອຖືຢ່າງຈິງໃຈ ແລະ ເສລີພາບໃນການສະແດງໃຫ້ເຫັນສາສະໜາຂອງຕົນ ຫຼື ຄວາມເຊື່ອຖືຢ່າງຈິງໃຈຂອງຕົນໃນການສອນໂດຍການກະທຳພິທີນະມັດສະການ ແລະ ປະຕິບັດຕາມຈາຮີດປະເພນີການສະແດງນັ້ນກະທຳໂດຍລຳພັງ ຫຼື ຮ່ວມໝູ່ຄະນະກໍ່ຕາມ.
19-00	ມາດຕາ 19.
19-01	ບຸກຄົນທຸກຄົນມີສິດເສລີພາບໃນການອອກ ແລະ ສະແດງຄວາມຄິດຄວາມເຫັນ ດັ່ງນັ້ນຈື່ງເປັນອັນວ່າ: ກ່ຽວແກ່ສິດທີ່ບໍ່ຕ້ອງວິຕົກໃນຄວາມຄິດຄວາມເຫັນຂອງຕົນ ແລະ ສິດທີ່ຈະສືບຫາຮັບແຜ່ພາບຂ່າວ ແລະ ຄວາມຄິດໂດຍວິທີໃດກໍ່ຕາມ ແລະ ໂດຍບໍ່ຈຳກັດເຂດແດນຂອງປະເທດ.
20-00	ມາດຕາ 20.
20-01	ບຸກຄົນທຸກຄົນມີສິດເສລີພາບໃນການປະຊຸມ ແລະ ສະມາຄົມໃນທາງສັນຕິສຸກ.
20-02	ບໍ່ມີຜູ້ໃດເລີຍທີ່ຈະຕ້ອງຖືກບັງຄັບໃກ້ເຂົ້າເປັນສະມາຊິກໃນສະມາຄົມໃດສະມາຄົມໜື່ງ.
21-00	ມາດຕາ 21.
21-01	ບຸກຄົນທຸກຄົນມີສິດທີ່ຈະຮ່ວມໃນການບໍລິຫານກິຈະການແຜ່ນດິນໃນປະເທດຂອງຕົນໂດຍຕົງກໍ່ດີໂດຍຜູ້ຕາງໜ້າທີ່ໄດ້ເລືອກຕາມອຳເພີໃຈແລ້ວກໍ່ດີ.
21-02	ບຸກຄົນທຸກຄົນມີສິດທີ່ຈະຮັບຕຳແໜ່ງລາດສະການແຫ່ງປະເທດຂອງຕົນຕາມກໍລະນີສະເໝີພາກ.
21-03	ຄວາມເຈດຕະນາຂອງຊົນຊາດແມ່ນຫຼັກສຳຄັນຂອງອຳນາດສາທາລະນະ, ຄວາມເຈດຕະນານີ້ຕ້ອງໃຫ້ສະແດງອອກມາຕາມພິທີຄັດເລືອກຢ່າງສຸດຈະຫຼິດຊື່ງຈະຕ້ອງກະທຳກັນຕາມກຳນົດເວລາໂດຍມີການລົງຄະແນນສຽງສະເໝີກັນທົ່ວໄປ ແລະ ດ້ວຍພິທີລັບ ຫຼື ຕາມພິທີດຽວກັນທີ່ໄຫ້ເສລີພາບໃນການລົງຄະແນນສຽງ.
22-00	ມາດຕາ 22.
22-01	ຂໍ້ 1. ບຸກຄົນທຸກຄົນໃນຖານະທີ່ເປັນສະມາຊິກຂອງສັງຄົມມີສິດທີ່ຈະໄດ້ຮັບຄວາມປອດໄພດ້ານສັງຄົມ;ບຸກຄົນທຸກຄົນມີສິດທີ່ຈະໄດ້ຮັບຄວາມພໍໃຈໃນສິດທີ່ກ່ຽວຂ້ອງແກ່ເສດຖະກິດ ສັງຄົມ ແລະ ວັດທະນາທຳຊື່ງຈຳເປັນແກ່ກຽດຕິສັກຂອງຕົນໂດຍເສລີທັງນີ້ຍ້ອນຄວາມພະຍາຍາມຂອງຊາດ ແລະ ຄວາມຮ່ວມມືລະຫວ່າງຊາດໂດຍຄຳນືງເຖິງການວາງລະບຽບ ແລະ ຊັບສົມບັດຂອງແຕ່ລະປະເທດ.
23-00	ມາດຕາ 23.
23-01	ບຸກຄົນທຸກຄົນມີສິດທີ່ຈະເຮັດວຽກເຮັດການເລືອກການງານຂອງຕົນຕາມລຳເພີງໃຈຕາມກໍລະນີທີ່ເປັນທຳ ແລະ ພໍໃຈ ແລະ ມີສິດທີ່ຈະໄດ້ຮັບຄວາມຄຸ້ມຄອງຕໍ່ການຂາດງານທຳ.
23-02	ທຸກຄົນມີສິດທີ່ຈະໄດ້ຮັບຄ່າຈ້າງສົມກັບງານທີ່ທຳນັ້ນໂດຍບໍ່ມີການແຕກຕ່າງກັນ.
23-03	ບຸກຄົນຜູ້ໃດທຳການງານມີສິດທີ່ຈະຮັບລາງວັນຕາມຄວາມຍຸດຕິທຳ ແລະ ພໍໃຈເພື່ອລ້ຽງຊີບຂອງຕົນ ແລະ ຄອບຄົວໂດຍສົມກຽດ ແລະ ຖ້າເປັນການສົມຄວນກໍ່ຈະໄດ້ຮັບຄວາມຄຸ້ມຄອງຈາກສັງຄົມໂດຍວິທີອື່ນໆອີກດ້ວຍ.
23-04	ບຸກຄົນທຸກຄົນມີສິດທີ່ຈະຕັ້ງສະມາຄົມຂື້ນກັບພັກພວກອື່ນໆ ແລະ ເຂົາເປັນສະມາຊິກເພື່ອປ້ອງກັນຜົນປະໂຫບດຂອງຕົນ.
24-00	ມາດຕາ 24.
24-01	ບຸກຄົນທຸກຄົນມີສິດທີ່ຈະພັກຜ່ອນຢ່ອນໃຈ (ມີເວລາຫວ່າງ) ແລະ ເປັນຕົ້ນວ່າໄລຍະເວລາທຳນັ້ນຈະໄດ້ຖືກກະໃຫ້ມີກຳນົດໄວ້ຕາມສົມຄວນສ່ວນຄ່າຈ້າງລາຍວັນນັ້ນກໍ່ຈະໄດ້ຄິດໃຫ້ລຳສັບເວລາພັກຜ່ອນຕາມກຳນົດດ້ວຍ.
25-00	ມາດຕາ 25.
25-01	ບຸກຄົນທຸກຄົນທີ່ຈະມີມາດຕະຖານການຄອງຊີບພຽງພໍເພື່ອສຸຂະພາບ ແລະ ຄວາມສະບາຍຂອງຕົນ ແລະ ຄອບຄົວຂອງຕົນເປັນຕົ້ນວ່າສຳລັບອາຫານການກິນເຄື່ອງນຸ່ງຮົ່ມທີ່ພັກອາໃສ ການຮັກສາຕົວຈາກແພດພ້ອມທັງການກ່ຽວແກ່ສັງຄົມທີ່ຈຳເປັນນັ້ນດ້ວຍ;ບຸກຄົນທຸກຄົນມີສິດທີ່ຈະຮັບການປອດໄພໃນເມື່ອຂາດທຳງານໃນເມື່ອມີຄວາມເຈັບເປັນຖືກພິການ ເປັນໝ້າຍເຖົ້າແກ່ສະລາ ຫຼື ຢູ່ໃນສະຖານອື່ນໆເຊັ່ນ:ຂາດພິທີຫາລ້ຽງຊີບອັນເນື່ອງມາຈາກເຫດການທີ່ເກີດຂື້ນຢ່າງບໍ່ເຈດຕະນານັ້ນ.
25-02	ມາດາຜູ້ຄອດບຸດ ແລະ ເດັກທີ່ເກີດໃໝ່ມີສິດທີ່ຈະໄດ້ຮັບການຊົດຊ່ອຍ ແລະ ຄວາມຊ່ວຍເຫຼືອໂດຍສະເພາະເດັກນ້ອຍທຸກຄົນທີ່ເກີດມາກາງວິວາຫະມົງຄົນ ຫຼື ນອກວິວາຫະມົງຄົນມີສິດທີ່ຈະໄດ້ຮັບຄວາມຄຸ້ມຄອງຈາກສັງຄົມເຊັ່ນດຽວກັນ.
26-00	ມາດຕາ 26.
26-01	ບຸກຄົນທຸກຄົນມີສິດທີ່ຈະໄດ້ຮັບການອົບຮົມສຶກສາ, ການອົບຮົມສຶກສານັ້ນຕ້ອງດຳເນີນໂດຍບໍ່ໃຫ້ມີການເສຍຄ່າ, ຢ່າງໜ້ອຍຕ້ອງແມ່ນການສືກສາຊັ້ນມູນ ແລະ ທີເປັນເຄົ້າສຳລັບມູນສືກສາ ດຳເນີນໂດຍບໍ່ມີການເສຍຄ່າການສຶກສາວິຊາສະເພາະ ແລະ ອະຊິວະສືກສາຕ້ອງໃຫ້ດຳເນີນທົ່ວໄປ, ສ່ວນອຸດົມສືກສານັ້ນຕ້ອງເປີດໃຫ້ແກ່ບຸກຄົນທຸກຄົນໂດຍສະເໝີພາບເຕັມທີ່ ແລະ ຕາມຄຸນນະວຸດທິຂອງບຸກຄົນ.
26-02	ການອົບຮົມສຶກສານັ້ນຕ້ອງໄດ້ມຸ້ງໄປຫາຄວາມເບີກບານອັນເຕັມທີ່ຂອງບຸກຄະລິກແຫ່ງມະນຸດ ແລະ ມຸ້ງເຖິງຄວາມນັບຖືສິດຂອງມະນຸດ. 'ແລະ ເສລີພາບສ່ວນສຳຄັນນັ້ນໃຫ້ມາກຍີ່ງຂື້ນການອົບຮົມສຶກສາຕ້ອງສະໜັບສະໜູນຄວາມເຂົ້າໃຈຄວາມຜ່ອນຜັນ ແລະ ມິດຕະພາບລະຫວ່າງປະເທດຊາດທຸກປະເທດ ແລະ ໝູ່ກຸ່ມເຊື້ອຊາດ ຫຼື ສາສະໜາທຸກເຫຼົ່າພ້ອມດ້ວຍຂະຫຍາຍການດຳເນີນຂອງສະຫະປາຊາຊາດເພື່ອຮັກສາໄວ້ຊື່ສັນຕິພາບ.'
26-03	ພໍ່ແມ່ມີສິດກ່ອນເພີ່ນທີ່ຈະເລືອກເອົາຊະນິດການອົບຮົມສຶກສາທີ່ຈະໄຫ້ລູກຂອງຕົນໄດ້ຮັບນັ້ນ.
27-00	ມາດຕາ 27.
27-01	ບຸກຄົນທຸກຄົນທີ່ສິດທີ່ຈະເຂົ້າຮ່ວມດຳເນີນການສຶກສາໃນໝູ່ຄະນະໂດຍເສລີຮັບຄວາມເພີດເພີນຈາກສິນລະປະ ແລະ ຮ່ວມມືຈັດການກ້າວໜ້າໃນດ້ານວິທະຍາສາດ ແລະ ຜົນປະໂຫຍດທີ່ຈະໄດ້ມານັ້ນດ້ວຍ.
27-02	ຜູ້ໃດກໍ່ມີສິດທີ່ຈະໄດ້ຮັບຄວາມຄຸ້ມຄອງຈາກຜົນປະໂຫຍດທາງກາຍ ແລະ ໃຈອັນເກີດມາຈາກການດຳເນີນທຸກຢ່າງໃນດ້ານວິທະຍາສາດວັນນະຄະດີ ຫຼື ສິນລະປະຊື່ງຕົນເປັນເຈົ້າຂອງນັ້ນ.
28-00	ມາດຕາ 28.
28-01	ບຸກຄົນທຸກຄົນມີສິດທີ່ຈະມີການສະຫງົບເກີດຂື້ນໃນດ້ານສັງຄົມ ແລະ ໃນດ້ານຕ່າງປະເທດເພື່ອຈະໃຫ້ມີສິດ ແລະ ເສລີພາບທັງມວນທີ່ໄດ້ກ່າວໃນໃບປະກາດສະບັບນີ້ດຳເນີນໄປຢ່າງສັກສິດສົມບູນ.
29-00	ມາດຕາ 29.
29-01	ບຸກຄົນໃດກໍ່ມີໜ້າທີ່ຊື່ງຕ້ອງປະຕິບັດຕໍ່ໝູ່ຄະນະໃນສັງຄົມ; ຄວາມຈະເລີນແຫ່ງບຸກຄະລິກຂອງຕົນຈະດຳເນີນໄປໄດ້ຢ່າງເສລີ ແລະ ສົມບູນກໍ່ແຕ່ໃນວົງໝູ່ຄະນະເທົ່ານັ້ນ.
29-02	ໃນການປະຕິບັດສິດ ແລະ ເສລີພາບຂອງຕົນນັ້ນທຸກຄົນໃດຕ້ອງດຳເນີນຢູ່ໃນຂອບເຂດແຫ່ງກົດໝາຍທີ່ຕັ້ງໄວ້ນັ້ນທັງສີ້ນຢ່າງເໝາະສົມແກ່ຄວາມຕ້ອງການຂອງທຳມະຈະລິຍາຄວາມສະຫງົບຂອງສາທາລະນະຊົນ ແລະ ສັນຕິສຸກຮ່ວມກັນໃນສັງຄົມປະຊາທິປະໄຕ.
