00-00	A ÑUCAMA SINANXUN CA AXA ANU TIMËCË UNICAMAN ËSAQUIN CAXA:
10-01	Unin uisa ñu 'acë 'icëa bëtsi uni a 'aisamonun quixun ami mananquin cacëxun ca an bana mëniocë 'apun bëtsi uni manancë a unin banaribi asërabí cara usa 'icë quixun 'unantí 'icën, uni raírinënribi ismainun. Upí oquin istancëxuinshi ca cati 'icën, uisa cara a uní otí ice quixun, gobiernonën ain quiricanu mëníosabi oquin.
11-00	11.
11-01	Uinu 'icë uni cara uni itsin ami manania, a ca an bana mëniocë 'apun pain upí oquin sinantí 'icën, sapi ca ñu 'atima 'acëma 'icë quixun. Gobiernonën cacësabi oquin pain ca isti 'icën uisa ñucama cara 'axa quixun. Uni rairinën ismainun ca axa ami manancë unicaman bana cuanan amia manancancë a unin banaribi cuanan an a uni unancë unin banaribi cuatí 'icën. Cuaxuinshi ca asérabi uisa cara a uni 'iaxa quixun upí oquin 'unantí 'icën.
11-02	Uisai cara gobiernonën bana quia usoquinshi ca an bana menioce 'apun a 'uchacë uni asérabi ain ñu 'atima 'acë istancëxun uisa cara otí ice usoquin 'atí 'icën. Anun a ñu 'aisama 'acë nëtë ain fecha isquin ca an bana mëniocë 'apun a fecha gobierno quicë bana bëtisoima a bana quicësabi oquinshi axa 'uchacë uní atí icën.
12-00	12.
12-01	Uinu 'icë uninbi ca ain cuëëncësa oquinshi bëtsi uni 'imainun ain xanu 'imainun ain bëchicë ubiotima 'icën, ain xubunu ca atsintima 'icën, ain quirica bëtsi unin bëmicë 'imainun quirica an buanmicë ca rairinën bitima 'icën. Usa 'ain ca uinu ice unixbi, a unix ca 'aisama icë quixun uni rairi sinanmi 'atimati banatima 'icën. Usai banacëbëtanbi an bana menioce apun gobiernonën cacësabi oquin meniotí 'icën.
13-00	13.
13-01	Uinu cara uni cuainsa tania, anu ca cuanti 'icën; ain nëtënu 'aisch uinu cara tsotisa tania ca uni anu tsoti 'icën.
13-02	Ui unix cara ain nëtënuax nëtë itsinu cuainsa tania ax ca cuanti 'icën. Amanu 'itancëx ain nëtënu utëcëinsa tani ca uti 'icën.
14-00	14.
14-01	Uix cara ain nëtënuxun bëtsi bëtsi ocë 'ia ax ca tëmëranuxma bëtsi nëtënu cuainsa tani cuanti 'icën.
14-02	Ain ñu 'atima 'acë cupí gobiernonën mënioquin 'atimocë usa uni ca ain nëtënuax tëmërati rabanan bëtsi nëtënu cuantima 'icën.
15-00	15.
15-01	Camabi uni ca ain netenu ití icën.
15-02	Enë nëtë minan 'aishbi ca minanma 'iti 'icë quixun ca unin bëtsi uni catima 'icën. Bëtsi nëtënu 'isa tanquin ca unin usai 'inuxun gobiernobëtan mëniotí 'icën.
16-00	16.
16-01	Bëtsi bëtsi unix ca quia: Uni canice ixunbi ca bëtsi netenu icë xanu bitima 'icën, ca bëtsi banan banacë xanu bitima 'icën, ca an rabicë dios rabicëma xanu bitima 'icën. Usa unix quicësai ca 'itima 'icën. Unin usa xanu canicë 'icë bisa tanquin ca bití 'icën, a xanu cuëëncëbëtan. Atux 'isa tani ca bëchicëñu 'ití 'icën. Gobiernonën iscëx ca a uni ain xanubë sënën 'icën, xënibua 'ainbi.
16-02	Nucë bënë cuëënquinshi ca xanu biti 'icën, a anúribi cuëënia ca bití 'icën.
16-03	Tuácama ain tita ain papabë 'aquiananti ca asábi 'icën. Usai upiti bucunun ca camabi unin sinantí 'icën. 'Apunribi ca usai 'inun sinanxunquin 'aquintí 'icën.
17-00	17.
17-01	Uni meñu 'isa tania ca uni itsin meñu 'inun ënti 'icën. Xuburibi 'imainun añu ñuñu cara uni 'isa tania ca uni itsin a ñuñu 'inun ënti 'icën. 'Aisa tanquin uni rairibëtan mëníotancex ca a ñu ainainshima, rairinanribi 'iti 'icën.
17-02	Unin ca ain cuëëncësa oquinshi bëtsi unin ñu bitima 'icën.
18-00	18.
18-01	Camabi unin ca ain cuëëncësa oquin sinanti 'icën; uni rairinën ubiócëma ca 'ití 'icën. Uisoquin cara ain dios rabitisa tania usoquin ca 'ati 'icën. Usaquin sinanxunbi ca amiribishi 'aisa tanquin sinantécentí 'icën; uni rairinén ubíocéma ca 'ití 'icën. En rabicë diosan iscëx ca bëtsi bëtsi ñu 'ati 'aisama 'icë quixun sinancë uni ca bëtsi unin a ain cuëëncësabi oquin 'anun ënti 'icën. Usa ain ca ain diosmi catamëisa tania bëtsi unin a 'axunma 'anun catima 'icën. An rabicë dios ca anbi rabití 'icën. 'Aisa tani ca uni rairibë timëquin abëtan rabiti 'icën. Rabiquin ca 'aisa tanquin rairi uniribi ain dios ñuiquin 'unanmití 'icën.
19-00	19.
19-01	Camabi unin ca ain cuëëncësa oquin sinanti 'icën. Ca ubíocëma 'iti icën. Ca bëtsi unin cacë bana 'aisa tanquin sinanti 'icën. Bëtsi nëtënu 'icë unibëribi ca 'unanmiananti 'icën. Usai 'i ca ubíocëma iti 'icën. Usaribi oi ca ain sinancë ñu ñui banatisa tani banati 'icën; ca ubíocëma 'iti 'icën.
20-00	20.
20-01	Uni rairibë tim¿tisa tani ca uni upí oquiinschi sinanx timetí 'icën.
20-02	Uinu 'icë uninbi ca bëtsi unin abëtan ñu 'aisama tania ubioxun ñu 'amitima 'icën.
21-00	21.
21-01	Camabi unin ca libreta electoralñu 'ixun ain cuëëncësa oquin 'apu caisquin votación 'atí 'icën.
21-02	Gobiernonën ain nëtënu 'icë unicama 'aquinun mëniocë ñucama ca camabi uninan 'icën. Ca esa 'icën: Bai cha anun ca carrocama 'imainun unicama cuainsa tani cuanti 'icën. Anun quirica buanmiti correo anun ca unin 'aisa tanquin ain quirica buanmiti 'icën. Usai ca 'iti 'icën.
21-03	Uisa gobierno cara a nëtënu 'icë unicama cuëënia, usa ca ain gobierno 'iti 'icën. Uisa gobierno cara a unicama cuëënia 'unánun ca libreta electoralñu 'icë unicaman quiricanu cuënëoquin uicama cara ain 'apu 'iti cuëënia quixun 'unánun 'ati 'icën. Camabi uni ain sinancësabi oquin ca uix 'apu 'iti cara cuëënia, ain anë quiricanu cueneotí icën. Cuënëocë ca uni itsin 'unantima 'icën, anbi cuënëocë ca ití 'icën. Camabi uni ca bëtsibë sënën 'icën. Usa 'aish ca camabi uni gobierno quicësabi ol libreta electoralñu 'iti 'icën.
22-00	22.
22-01	An ñu 'atima 'acëma 'aish ca uinu 'icë unixbi rabinima bëtsi uni 'icësai ñu meetinu ianan uni rairibë nuianancë 'ianan ain rairinën ñu 'acë 'icësaribi oi 'isa tani iti 'icën. Uní usai 'icëma 'aish tëmërala ca uni itsin 'aquinti 'icën, ain 'apunribi mëniocësabi oi ca 'aquince ití icën. Uni ain nëtënuax cara uisa ñu cara 'icëbë tënmëria ca bëtsi nëtënu 'icë gobiernonënribi 'aquinsa tanquin 'aquinti 'icën.
23-00	23.
23-01	Camabi unin ñu mëëtisa tanquin ca ñu meetí 'icën. Añu ñu mëëti cara 'aisa tania a ñu mëëti mëraquin ca 'ati 'icën. An ñu mëëmicë unin ca ain uni 'atimotima 'icën. Ñu mëeti 'alma 'ain ca 'apun ñu mëëti mëranun 'aquintí 'icën.
23-02	Ui uni cara, uisa cara ain bana 'icë, camabi uni ca sënen 'icën. Usa 'ixun ca upí oquin ñu meece 'ixun bëtsi unin 'acësaribi oquin ain cupí biti 'icën.
23-03	Ui unin bëtsi uni ñu mëëxuncë 'ixun ca ain cupí biti 'icën, a 'imainun ain xanu 'imainun ain bëcicëcama upiti bucunun. Ain cupí 'itsamashi bicë 'aish 'aquinsa 'icë ca apun anun a 'aquinti mëníoti 'icën.
23-04	An ñu mëëcë uni raíri unibë timëquin bëtsibë bëtsibë aquiananisa tanquin, ulsoquin cara ain ñu mëëti 'ati 'icë quixun sinánan uisa cara ain ñu meetí icë quixun acama sinánux timëtia ca uni itsin usaquin anun enti icën.
24-00	24.
24-01	Camaxbi ñu mëëtancëx tantiti ca asábi 'icën. 'Uráinra tantiquinma ñu mëëtancëx ca tantití 'icën. Anun tantiti nëtë gobiernonën mënlocësabi oquin ca unin ñu mëëquinmabi ain cupí biti 'icën.
25-00	25.
25-01	Camabi uni 'imainun ain xanu 'imainun ain bëchicëcama ësai 'iti ca asábi ''icën: 'insincëma chuámarua, pitiñu, chupañu, anu itinu, insincë 'aish roñu 'iti. Uni ain ñu meetí 'alma, uni insince, uni bëtsicë, xanu casunamëcë, uni xëni acama anun upiti 'iti 'alma 'ain, ain aintsin 'aquiniama ca a 'aquinti 'apun mëniotí 'icën.
25-02	Tuáñu xanucama 'imainun tuácamaribí upití inun ca 'aquincë ití icën. Bëtsi tuácama 'icësaribitia 'inun ca unin xanumi sëcë' ocë tuácama bërúance ití icën.
26-00	26.
26-01	Camabi tuá ca escuelanu atsintisa tani atsinti 'icën. Cuploquinma ca primaria 'ati pain atsinti 'icën. Camabi tuáratsu ca escuelanu cuanti 'icën. Ui unicama cara escuela tëcnica anu atsintisa tania ca anu cuanti 'icën, apun mëníosabi oi. Secundaria cëñutancëxun bëtsi ñuribi unantisa tani ca bëtsi escuelanuribi atsinti 'icën, ain nota asábi ain.
26-02	Escuelanuxun ca quiricanu cuënëocë ñuishi 'unanmicëma 'iti 'icën. Anuxun ca alumnocama bëtsi ñu 'atiribi 'unanmicë ití 'icën, 'imainun ca upí oquian alumnonën sinanti aribi 'unanmicë 'iti 'icën. Bëtsi menu 'icë unicama 'imainun bëtsi banan banacë unicama 'imainun Nucën Papa Diosmi sinancë unicama 'imainun ami sinancëma unicama, camabi nusaribi uni 'aish unibë nuibananti ca 'unanmicë 'iti 'icën. Usaquin sinanmicëx ca gobiernocaman xucë unicama timëxun cuëëncësabi oi unicama bëtsibë nishanani 'acananti 'aima ití icën.
26-03	Bëtsi unin cacësamaira oquin ca ain titabëtan ain papan cati 'icën, uisa escuelanuxuinra cara ain bëchicënën ñu 'unanti ice quixun.
27-00	27.
27-01	A ëmanu 'icë unicaman 'acësa oquin ca anu 'icë uni rairinën 'aisa tanquin usaribi oquin 'ati 'icën. A ëmanu 'icë unicaman sinancësa oquin ca anu 'icë uni rairinën 'aisa tanquin usaribi oquin sinanti 'icën, camaxunbi ñu 'ati upí oquin 'unánan upiti bucunun.
27-02	An ñu 'acë uní 'imainun an ñu cuënëocë uni anpan 'acë 'ain ca bëtsi unix, en 'acë ca quiax quitima 'icën. Usai bëtsi unix quiti rabanan ca an ñu 'acë unin 'aisa tanquin an 'acë ñu a 'apu 'unanmiti 'icën.
28-00	28.
28-01	Enë quiricacama quicësabi oi camabi uni uni itsin ublocëma upiti bucuti 'inun ca camabi nëtënu icë unin ain aintsi 'aquinti 'icën.
29-00	29.
29-01	Camabi únin ca ain ëmanu 'icë unicama 'imainun a 'urama 'icë ain caibucama 'aquianan atubëtan ain ëma 'imainun mecama upí imití icën. Usaquin 'ai cuni ca unix masá sinancëma 'aish upiti 'ití 'icën.
29-02	Unix ublocë 'aish upiti bucucëma 'imainun unin ñu 'atima 'aquin uni itsiribi ñu 'atima 'amiti 'imainun bëtsi bëtsi ñu sinanquin uni raíri tsuáquirumiti usai 'iti rabanan ca gobiernonën ain unicaman cuati bana mëníoia. Usa oquin mënlocë banacama ca ain unicaman cuati 'icën.
29-03	Gobiernocaman xucëx tim¿cë unicaman upí oquin sinanquin ca ënë banacama cuënëoxa. Usaribi oquin ca camabi unin ënë bana isquin, usaquin sinanquin 'acë ca enex ice quixun upí oquin sinanti 'icën. An 'acë unicaman sinancë bana ca bëtsiotima 'icën.
30-00	30.
30-01	Enë banacama bëtsioquin ca uinu 'icë uninbi uni raíricama upiti bucunun quixun sinanquinma, 'ëx cuëëncësa oquin 'anun ca a bana quia quixun sinantima 'icën. Uni raíri bëtsi unibë timëcëcama 'imainun gobiernonu ice apucamanribi ca usa oquin sinantima icën.
