00-00	ADAM HUKUKLARYNYŇ ÄHLUMUMY JARNAMASY
11-00	Jenaýat edenlikde aýyp bildirilýän her bir adam tä oňa goranmaga ähli mümkinçilikler döredilen açyk sud prosesinde ýazyklydygy kanuny ýol bilen boýnuna goýulýança günäsiz hasaplanmaga haklydyr.
11-01	Ilki edilen wagtynda milli kanunlara we halkara kanunçylygyna görä jenaýaty emele getirmedik haýsydyr bir hereketi edenligi ýa‐da etmänligi esasynda hiç kim ýazgarylyp bilinmez. Şeýle‐de, jenaýat edilen wagtynda bu babatda ulanylmagy mümkin bolan jeza çäresinden agyr çäre görlüp bilinmez.
12-00	12‐nji madda:
12-01	Hiç kim öz şahsy we maşgala durmuşyna eden‐ýtdilikli gatyşylmagyna, öz ýaşaýyş jaýynyň eldegrilmezliginiň, hat‐habar aragatnaşyklarynyň gizlinliginiň ýa‐da öz at‐abraýynyň we mertebesiniň garawsyz bozulmagyna duçar edilip bilinmez. Her bir adam öz durmuşyna beýle gatyşmalardan ýa‐da kastdan kanun arkaly goranmaga haklydyr.
13-00	13‐nji madda:
13-00	Her bir adam her bir döwletiň çäginde erkin hereket etmäge we özüne ýaşamaga ýer gözlemäge haklydyr.
13-01	Her bir adam islendik ýurtdan, şol sanda öz ýurdundan‐da, çykyp gitmäge we öz ýurduna ýene‐de dolanmaga haklydyr.
14-00	14‐nji madda:
14-00	Her bir adam ýanalmalardan gaýry ýurtlarda gaçybatalga gözlemäge we ol gaçybatalgadan peýdalanmaga haklydyr.
14-01	Bu hukuk iş ýüzünde syýasy däl sebäplere görä edilen jenaýat ýa‐da Birleşen Milletler Guramasynyň maksatlaryna we prinsiplerine garşy gelýän etmişler sebäpli yzarlanylanda, ulanylyp bilinmez.
15-00	15‐nji madda:
15-00	Her bir adam graždan bolmaga haklydyr.
15-01	Hiç kim öz graždanlygyndan ýa‐da graždanlygyny üýtgetmek hukugyndan eden‐ýtdilikli kesilip bilinmez.
16-00	16‐njy madda:
16-00	Kämillik ýaşyna ýeten erkekler we aýallar jyns, milli we dini aýratynlyklara görä hiç hili çäklendirilmezden öýlenmäge we maşgala gurmaga haklydyrlar. Olar nikalaşylanda, nikada durlanda we nika bozulanda deň hukuklardan peýdalanýarlar.
16-01	Nika ‐ durmuş gurýanlaryň ikisiniň‐de öz erkine we diňe doly razylygyna görä gyýlyp bilner.
16-02	Maşgala jemgyýetiň tebigy hem‐de esasy öýjügidir we jemgyýetiň we döwletiň goragyna daýanmaga haklydyr.
17-00	17‐nji madda:
17-00	Her bir adam ýekebara ýa‐da beýlekiler bilen umumy emlägi edinmäge haklydyr.
17-01	Hiç kim öz emläginden esassyz el üzdürilmeli däldir.
18-00	18‐nji madda:
18-01	Her bir adam pikir, ynam we din azatlygyna haklydyr; bu hukuk diniňi ýa‐da ynamyňy üýtgetmek azatlygyny we öz diniňe ýa‐da ynamyňa uýmak hem‐de oňa ýeke özüň we il bilen bile hususy tertipde, şeýle‐de köpçülikde sežde etmek, ýörelge, hudaýa çokunmak we dini ritual dessurlaryň azatlygyny öz içine alýar.
19-00	19‐njy madda:
19-01	Her bir adam ynam azatlygyna we ynamyny erkin beýan etmäge haklydyr; bu hukuk öz ynamyňa päsgelsiz uýmak hem‐de informasiýany we ideýalary islendik serişdeler arkaly we döwletleriň çäklerinden garaşsyz gözlemek hem‐de ýaýratmak azatlygyny öz içine alýar.
20-00	20‐nji madda:
20-00	Her bir adam parahat ýygnanyşyklar we birleşmeler azatlygyna haklydyr.
20-01	Hiç kim haýsydyr bir birleşmä girmäge mejbur edilip bilinmez.
21-00	21‐nji madda:
21-00	Her bir adam gönüden‐göni ýa‐da erkin saýlanan wekilleriň üsti bilen öz döwletini dolandyrmaga gatnaşmaga haklydyr.
21-01	Her bir adam öz ýurdunda döwlet gullugynda durmaga deň haklydyr.
21-02	Halkyň erk‐islegi hökümetiň ygtyýarynyň esasy bolmalydyr; bu erk wagtly‐wagtynda we ählumumy deňhukukly saýlawlaryň üpjün edilen ýagdaýynda we galplaşdyrylmadyk saýlawlarda gizlin ýa‐da saýlaw hukuklarynyň azatlygyny doly üpjün edýän beýleki deň ähmiýetli görnüşdäki ses berişlikde öz beýanyny tapmalydyr.
22-00	22‐nji madda:
22-01	Her bir adam, jemgyýetiň agzasy hökmünde, sosial üpjünçilige hem‐de öz mertebesini saklamak we şahsyýetiniň azat ösüşini üpjün etmek üçin ykdysady, sosial we medeni ugurlarda zerur bolan hukuklaryny milli tagallalar we halkara hyzmatdaşlygy arkaly hem‐de her döwletiň öz düzümine we resurslaryna laýyklykda amala aşyrmaga haklydyr.
23-00	23‐nji madda:
23-00	Her bir adam zähmet çekmäge, iş saýlamak azatlygyna, adalatly we oňaýly zähmet şertlerine hem‐de işsizlikden goralmaga haklydyr.
23-01	Her bir adam deň zähmet üçin, hiç hili kemsidilmä duçar edilmezden, deň gazanja haklydyr.
23-02	Her bir işleýän adam özüniň we maşgalasynyň ynsana mynasyp ýaşaýyşyny üpjün edýän we zerur ýagdaýda sosial üpjünçiligiň goşmaça serişdeleri bilen üsti ýetirilýän adalatly we kanagatlanarly töleg almaga haklydyr.
23-03	Her bir adam professional arkadaşlygy döretmäge we öz bähbitlerini goramak üçin professional arkadaşlyklara girmäge haklydyr.
24-00	24‐nji madda:
24-01	Her bir adam iş gününiň göwnejaý çäklendirilmeginiň hasabyna wagtly‐wagtyna we tölegli zähmet rugsadyna çykmaga hem‐de dynç wagtynyň bolmagyna haklydyr.
25-00	25‐nji madda:
25-00	Her bir adam iýmiti, geýim‐gejimi, ýaşaýyş jaýyny, medisina kömegini öz içine alýan hem‐de onuň özüniň we maşgalasynyň saglygynydyr maddy hal‐ýagdaýyny, şeýle‐de işsiz galan, ýarawsyz, maýyp bolan, dul galan, garran ýa‐da özüne bagly bolmazdan, ýaşaýyş serişdeleriniň ýitirilmegine getiren beýleki ýagdaýlarda zerur sosial hyzmatlary we üpjünçiligi göz öňünde tutýan ýaşaýyş derejesine haklydyr.
25-01	Eneler we çagalar aýratyn idege hem‐de ýardama haklydyrlar. Nikada doglanlygyna ýa‐da däldigine garamazdan, ähli çagalar deň sosial goragdan peýdalanmalydyrlar.
26-00	26‐njy madda:
26-00	Her bir adam bilim almaga haklydyr. Iň bärkisi başlangyç we umumy bilim mugt bolmalydyr. Başlangyç bilim hökmany bolmalydyr. Tehniki we professional bilim umumy elýeterli we ýokary bilim her kimiň ukybyna baglylykda hemmeler üçin elýeterli bolmalydyr.
26-01	Bilim adam şahsyýetiniň doly ösüşine hem‐de adam hukuklaryna we esasy azatlyklaryna sarpa goýluşynyň ýokarlanmagyna ugrukdyrylan bolmalydyr. Bilim ähli halklaryň, jynsy ýa‐da dini toparlaryň arasynda özara düşünişmäge, çydamlylyga we dostluga hem‐de Birleşen Milletler Guramasynyň parahatçylygy goramak işine ýardam etmelidir.
26-02	Kiçi ýaşly çagalary üçin bilimiň görnüşini saýlamaga gezek gelende, ene‐atalar artykmaç hukukdan peýdalanýarlar.
27-00	27‐nji madda:
27-00	Her bir adam jemgyýetiň medeni‐kultur durmuşyna erkin gatnaşmaga, sungatdan lezzet almaga, ylmy progrese gatnaşmaga we onuň eşretlerinden peýdalanmaga haklydyr.
27-01	Her bir adam awtor hökmünde öz ylmy, edebi‐çeper zähmetiniň netijesi bolup durýan ahlak we maddy bähbitleriniň goralmagyna haklydyr.
28-00	28‐nji madda:
28-01	Her bir adam bu Deklarasiýada beýan edilen hukuklaryň we azatlyklaryň doly dabaralanyp biljek sosial hem‐de halkara gurluşyna haklydyr.
29-00	29‐njy madda:
29-00	Her bir adamynyň onuň şahsyýet taýdan azat we doly ösüşiniň ýeke‐täk mümkin bolan ýeri ‐ jemgyýetiň öňünde borçlary bardyr.
29-01	Öz hak‐hukuklarynydan we azatlyklaryndan peýdalanan wagtynda  her bir adam kanun boýunça göz öňünde tutulan we diňe özgeleriň hak‐hukuklaryny we azatlyklaryny ýeterlik ykrar etmek we hormatlamak zerurlygyndan hem‐de demokratik jemgyýetçilik düzgünlerini, ahlagyň adalatly we jemgyýetiň umumy maddy hal‐ýagdaýynyň talaplaryny kanagatlandyrmakdan gelip çykýan çäklendirmelere duçar edilmelidir.
29-02	Bu hak‐hukuklar we azatlyklar durmuşa geçirilende, Birleşen Milletler Guramasynyň maksatlaryna we prinsiplerine ters gelmeli däldir.
30-00	30‐njy madda:
30-01	Bu Deklarasiýanyň hiç bir bölümi belli bir döwlete, adamlar toparyna ýa‐da aýratyn adamlara Deklarasiýada beýan edilen hak‐hukuklaryň we azatlyklaryň ýoguna ýanmaga gönükdirilen haýsydyr bir işleri ýa‐da hereketleri etmäge hukuk berýär diýen manyda düşündirilip bilinmez.
