00-00	Dunya Lahi Nuvuu Lɔnyisia Va
02-01	Hugbatei ji numu kpɛlɛɛ lɔ va, nu gɛnyɛi, ngi luwu yɛgii, nyaha ɔɔ hindgo, nu layia, Ngewɔi na a feli, ngi gilii yei, ngi le gi kɛɛ ngi gbatɛ ii ma.
02-02	Tao maa ii houni nduahu gɛ i waa nungaa luahu jifa tii gbuani ndɔlɔ yilahu, ɔɔ jifa tia heini ti yekpe va ɔɔ tii yekpe va.
03-00	3. Ngayilii Ye Sawa Yei
03-01	Nuvuu gbi ngi lɔnya mia kɔɔ ndevu i yɛ ngi hu, kɔɔ aa yɛ nuu bu, tao kɔɔ mahungbee i yɛ ngi ma.
04-00	4. Ngayilii Ye Naani Yei
04-01	Maa ii houni ti numu gbi hou nduwɔya hu, ɔɔ ti ngi waa mɔnɛmɔnɛ hinda hu, maa ii houni nuu maajia va nduwɔya hu, tao gbɔma mahoungɔ nduwɔyei ye kɛyi kgbi lekee i gbɔyɔ.
05-00	5. Ngayilii Ye Lɔɔlu Yei
05-01	Maa ii houni kɔɔ ti kpaagba hinda la nuu gbi ma, tao kɔɔ ti hinda wee a numu na a kɛ kɛ nuvuu yaa a ngie.
06-00	6. Ngayilii Ye Weita Yei
06-01	Nuvuu gbi lee ngi lɔnya mia kɔɔ sawei i baagɔɔ ngi nuvuu ya ma mia leke gbi.
07-00	7. Ngayilii Ye Wɔfila Yei
07-01	Nuvuu kpɛlɛɛ ti maahɛwungɔɛ sawei gulɔ, tao mahoungɔ sawei i ti mahu wɛɛ nahi gbi ɛɛ ti hu wɔyɔ. Mahoungɔ sawei i tɔ kɛ hugbatei ji ɛɛ numugbi gbukpuu.
08-00	8 Ngayilii Ye Wayakpei
08-01	Nuu gbi ngi lɔnya mia kɔɔ sawa kpaambu ngaa yekpe ti ngi lɔnyɛi mavale a watii na ngi lɔnyi nasia ndɔɔ jawei keni numu a nyani ngi ma.
09-00	9. Ngayilii Ye Taalui
09-01	Maa ii houni ti numu magba, ti ngi wu kpɛgbɛma ɔɔ ti ngi gbɛ ngi yee a baama hu we.
10-00	10. Ngayilii Ye Puui
10-01	Nuu gbi ngi lɔnya mia nahii ti la nyɔngaa ngi ma tɛ i ngi maahinda gulanga kɔlɛhu ɔɔ i sawa kpoukpou nyaninga, kɔɔ ti ye njie na le fofohu, tao kɔɔ sawakpambu jein jein gɔngaa ti loo ngi va.
11-00	11. Ngayilii Ye Puu Mahuyelei
11-00	Nuu gbi ngi lɔnya mia nahi ti la nyɔngaa ngi ma hinda ngamu va, taa kiti lewe haani ti ye njie na le fofohu, tao ti jia a sawe panda pandaa.
11-01	Maa ii houni ti baa nuu gbi ma a sawahu wee – ndɔɔ yila jawa yo ɔɔ ndunya kpɛlɛɛ jawa. Tao gbɔma maa i houni sawei i kpagbaa la nuu ma na kaahu lewengɔ sawei na ma i nyanini.
12-00	12. Ngayilii Ye Puu Mahufilei
12-01	Maa ii houni nuu i yɛ na nahi ta loko wili ngi bundu hinda hu, ngi ye pɛɛbu hinda, kɔlei kɛɛ ngowili na a pili ngitiwoma kia lee ti longɔla, kɛɛ kakpama a baagbuama hu we. Maa houngɔ sawei i nuu gbi maawɛɛ yɛɛ kakpamɛi ji bondayeya.
13-00	13. Ngayilii Ye Puumahu Sawei
13-00	Mahoungɔ numu gbi i yɛ hugbɛmbo hu kɔɔ i li mia leke gbi ngi longɔ i li na, tao kɔɔ i hei ndɔɔ gbi leke hu ngi longɔ i heihu.
13-01	Nuu gbi ngi lɔnya mia kɔɔ i gbua ndɔlɔ yila hu i li peka hu, i wee a ngi yee ɔɔ mbaa tinda, tao kɔɔ i yama ngi ndei na hu mia i gbuanina.
14-00	14. Ngayilii Ye Puumahu Naanii
14-00	Nuu gbi lɔnya mia kɔɔ i ngi yaama lɔwu kakpama yeye ndɔɔ yɛka hu, tao kɔɔ i nganei gbuana.
14-01	Ye sawei ji ɛɛ lɛkpɛ gbi naleke ye numui ji i ndɔlɔ jawa nyanini, tao i hinda gbulaninga na ndɔlɔ woyila hugbatɛi i loila.
15-00	15. Ngayilii Ye Puumahu Lɔɔli
15-00	Nuu gbi lɔnya mia kɔɔ i wote a ndɔlɔlii.
15-01	Maa i houni kɔɔ ti nuu gbi baa a ngi lɔlii ya, ɔɔ kɔɔ ti ngi baa a ndɔlɔlii ya ndɔɔ yekahu.
16-00	16. Ngayilii Ye Puumahu Weitei
16-00	Hindui taa nyahii na ti lakpangɔ ta sɔɔwelɔ ti ndengaa le, ti gɛnyɛ ii yɛni bɛɛ yila, tii yɛni bɛɛ a ndɔlɔ yila hunblaa, ɔɔ Ngewɔ veli gbambi yila ma. Ti lɔnye maahɛwungɔ sɔɔva, sɔɔhu, ɔɔ ji ta lo ti gɔlɛ.
16-01	Kɔɔ hindui taa nyaha ti sɔɔwɛɛ, a nɛɛ pɛiŋ ti veinja wɛ.
16-02	Bondei mia ndɔlei yei kpɔkui le, fale maahoungɔ heimii kɛ ndɔlɔ gbi ti bondei mahu gbɛɛ kpɔtu kpɔtu.
17-00	17. Ngayilii Ye Puumahu Wɔilei
17-00	Nuu gbi lɔnya mia kɔɔ i ngi wuma haakangaa majɔɔ, tao gbɔma kɔɔ taa nungaa ti makpɔma haaka majɔɔ.
17-01	Tɛ nuu gbi haaka gbua ngi yeya kia leke ti longɔla.
18-00	18. Ngayilii Ye Puumahu Waykpei
18-01	Nuu gbi lɔya mia kɔɔ i kiiya wee, kɔɔ i giila gbɔɔ tɔnyɛi le ɔɔ gbɔɔ i lɔnyani, Ngewɔɛ ye gbɔɔ ngi longɔ i feli, ye tonye ji a ngi jein jein lɔ kɔɔ i ngi giliyei ɔɔ ngi yewɔveilei wote, I wote bɛɛ atayakpe ɔɔ taa nungaa, fofohu ɔɔ sɔkuma, kɔɔ i nungaa gaa a ngi ngliyei kɛɛ ngi yewɔ hindei.
19-00	19. Ngayilii Ye Puumahu Taalui
19-01	Nuu gbi lɔnya mia kɔɔ i kiliya wee tao kɔɔ i yee kiiyeina le fofohu, yee tɔnyɛi ji a peelɔ yee kiiyei ji nuu gbi ɛɛ gbekpa kulɔ, tao kɔɔ i nemahulee kɛɛ ngowii majɔɔ tao kɔɔ ta bɛɛ i fe nungaa wɛ a pele gbi hu we, nahi bandowoma gbi ɛɛ waa nduahu.
20-00	20. Ngayilii Ye Nugbɔyɔngoi
20-00	Nuu gbi lɔnya mia kɔɔ taa nungaa ti gomɛ, tao kɔɔ taa teini ti lee, i na lee hinda huwu va ii le.
20-01	Tɛɛ nguaa numu gbi la a kpɔli hale kɔɔ i wote a komɛ ma mɔ.
21-00	21. Ngayilii Ye Nugbɔyɔngɔ‐Mahuyelei
21-00	Nuu gbi lɔnya mia kɔɔ ngi loko i yɛ ngi guamɛti hindeihu, kɛ bɛɛ ta vulii i yɛhu ɔɔ nungaa tia vulii ta lokoloo ti ma.
21-01	Nuu gbi lɔnya mia kɔɔ ngi lɔɔhu guamɛti hugbatɛ wie ngoisia ti hiti ngi ma kia lee ta hiti nungaa ye pekeisia ma.
21-02	Nungaa mia maahoungɔ ti ti guamɛti hei, ti gbayei mia a pie a yenge, hulɛmbinga ta yamalɔ ti kɔlei gula, tao ye kɔlei ji a kgula bunduhulɔ, nahii nungbi ɛɛ gbekpa numu gulɔ.
22-00	22. Ngayilii Ye Nugbɔyɔngɔ‐Mahufelei
22-01	Numu gbi lee ndɔlɔlii a ngie, ngi lɔlei kpɔma hugbatɛ wie ngi va, tao kɔɔ ngi lɔlei taa ngitiwoma hugbatɛ ti pee ye kpɔma hugbatei na i foo ngi ma, tao a majɔɔlɔ kialeke ngi lɔlei gbatɛi kɛɛ ye saweisia ti na, gbɔma kia lekee ye numui bɛɛ ngi hami gii na, kɔɔ wei i lɛgulɔ.
23-00	23. Ngayilii Ye Nugbɔyɔngɔ‐Mahusawei
23-00	Numu gbi lɔnya mia kɔɔ i yenge, tao kɔɔ i ngengei na wie ngi longɔla, kɔɔ i mbɛlɛhei majɔɔ ngengemɛi, tao kɔɔ ti tɔ kɛngengei ɛɛ ngi lo.
23-01	Numu gbi lɔnya mia, nahii nduahu gbiima, kɔɔ ti ngi pawa kia a yenge la.
23-02	Ngenge mɔgbi lɔnya mia kɔɔ ti ngi pawa nahii ta kɛɛ ngi mablaa ta ti magbee gbualɔ hu kia nuvu, tao gbɔma kɔɔ kpɔma yeka i yena ngi va.
23-03	Ngenge mɔgbi lɔnya mia kɔɔ i wili hugbatɛhu na ngenga blaa ma vale.
24-00	24. Ngayilii Ye Nugbɔyɔngɔ‐Mahunaani
24-01	Ngenge mɔgbi lɔnya mia kɔɔ i lɛvu tao kɔɔ i kpele yeka gbua, tao gbɔma kɔɔ aa ngenge huguangɔ waa wie, mahoungɔ gbɔma i yaa a ndɛvu wati majɔɔ, nahi i yaa ye ndevui na wie ma ta yaalɔ a ngi pawa.
25-00	25. Ngayilii Ye Nugbɔyɔnɔ‐Mahulɔɔlui
25-00	Numu gbi lɔnya mia kɔɔ ta kɛɛ ngi mablaa ti yɛ kaahugbua hu, ti mɛhɛɛ yekpe mɛ, ti kula yekpe yili, ti la ndama yekpe, ti hale yekpe majɔɔ, tao gbɔma guamɛti i ye na ti va, hugbatɛ yekpe i yena ngi va a watii na ɛɛ yɛ ngege hu, a watii na ngi heigɛngɔ, watii na ngi wovang, kɛɛ watii na hinda a wa ngi mahu nahii ɛɛ gumbu.
25-01	Mahoungɔ gbɔma hugbatɛ i yɛ na kuimɛisia kɛɛ ndengaa va. Mahoungɔ ndengaa kpɛlɛɛ, naa ti kɛ taa ti njeni ti sɔɔhu ɔɔ tii sɔɔhu, ye hugbatei ji i ti maa wɛɛ.
26-00	26. Ngayilii Ye Nugbɔyɔngɔ‐Mahuweitei
26-00	Numu gbi lɔnya mia kɔɔ i kɔlɔ gaa. Maa ii houni navoo hinda i yɛ kɔlɔgaala ma, kɛ bɛɛ i wote a ye tɔtɔmɛi. Mahoungɔ kɔlɔ gaalei i wote a sawa kpawu kpawu na ndo gbi ɛ gbuama ye tɔtoomi. Nyandengɔ kɔɔ ngenge kɔlɔngaa i yna kpoto, kɛɛ kɔlɔ yalngɔ gaalei naa va ti nɛmabu lewengɔ.
26-01	Kɔlɔ gaalei i wote a hinda na a nuu lɛ gulɔma, ngi lɔnyisia kɛɛ ngi hugbɛmboi. I loko hei hinda yawubu gɔɔla, hinda bu houla kɛɛ ndiamɔya dunyei kpɛlɛɛ luahu, kɛnyɛisia kɛɛ Ngewɔ vɛli gbambisia luahu, tao kpaya waalɔ ndɔlɔ kpɛlɛ woyila yenge lukuisia hu kɔɔ ndilɛli i li gulɔma.
26-02	Bondeisia ti wote a haala bla ta kɛ na kaa ye gbɔɔ ti leingaa ta pee.
27-00	27. Ngayilii Ye Nugbɔyɔngɔ Mahuwɔfilei
27-00	Numu gbi lɔnya mia kɔɔ ngi loko i ye mia a yɛna ye kɔndi hinda hu, i ngaa nɛɛ ye yɛ mbembei hu kɛɛ sayɛnsi ye tɛkulɔmii taa ye nafei.
27-01	Numu gbi lɔnya mia kɔɔ mahugbee kpɔtu kpɔtu i yɛ ngi gbatɛ hani ma, i yɛ a ngole ɔɔ hani lalangɔ ɔɔ sayɛnsi haaka.
28-00	28. Ngayilii Ye Nugbɔyɔnɔ Mahuwayakpei
28-01	Numu gbi lɔnya mia kɔɔ ngi yee jawa kɛɛ ngitiwoma gee i yɛna, na a tɔ kɛ dunya lahei jisia ta hitilɔnga.
29-00	29. Ngayilii Ye Nugbɔyɔngɔ Mahutaawui
29-00	Numu gbi lee, mia i heina, tao a lɛna gulɔma, mahouingɔ i na hinda hou a loko veinja.
29-01	Ji numu a yɛ ngi lɔnyei kɛɛ ngi hugbɛmboi ya yenge ma, na lee a wote a kpɛɛnguu a wee a saweilɔ naa a nuu wɛkeisia ti lɔnyei kɛɛ ti hugbɛmboi ma vale, kɛɛ numu kpɛlɛ ti maahinda va ngoyila lɔɔhu.
29-02	Numu ɛ ye tɔnyei jisia kɛɛ hugbɛmboi jisia yayenge nahi kpuangɔ pilei na ma, tao gbɔma ɛɛ pindɛ kaa na wooma na ndɔlɔ kpɛlɛ gomɛi ti ndani.
30-00	30. Ngayilii Ye Numugbɔyɔngɔ Mahupuui
30-01	Gbɛwogbɛ gbi na kɔlei ii hu na nu mu a nde yɛ kɛnga ti puilɔ na kɔɔ i ndɔlɔ ɔɔ ngoyila hugbatɛ lɛɛnga ti lɔnyei kee ti hugbɛmboi mahugbua.
