00-00	U DZAʼABAL KʼAJÓOLTBIL U NOJ AʼALMAJ TʼAANIL U NAJMAL WÍINIKOʼOB
01-01	Tuláakal wíinik ku síijil jáalkʼab yetel keet u tsiikul yetel Najmal Sijnalil, beytun xan naʼataʼan sijnalil yetel noʼojaʼanil u tuukuloʼ, kʼaʼabet u bisikuba bey láaktzilil yetel tuláakal u baatzileʼ.
02-00	Artículo 2
02-01	Tuláakal wíinikeʼ sijnal yetel le Najmaloʼobaʼ beeyxan yetel u siibalil u kuxtal x‐maʼa palitzilil bey jeʼex u chʼaʼachiʼitaʼal tiʼ le Aʼalmaj Tʼaanaʼ, kex tumeen jelaʼan u chʼiʼibal, u boonlil u yootʼel, xiib wa koʼolel, wa jelaʼan u tʼaan, u kiliʼichkuunaj, u tuukul wa u láakʼ jeʼe baʼalakeʼ, tuʼux u taal, u kaajal wa máax yetel ku muchʼikubáa, beykaʼaj u ayikʼalil, tuʼux síijnal wa jeʼe baʼalak u láakʼ baʼalileʼ.
02-02	Yeteleʼ, maʼatan u páaykuntaʼal wíinik chen tumeen jelaʼan u tuukul, u Najmal Sijnalil wa u Aʼalmaj Tʼaanil u kaajal, wa u Méekʼtan kaajil tuʼux u taal, mix tumeen táanxelil tuʼux yaan u kaajal, wa yaan u jalaʼachoʼob wa táakaʼan ichil u láakʼ kaaj.
03-00	Artículo 3
03-01	Tuláakal wíinikeʼ Sijnal u Najmalmajil u kuxtal, maʼ u palitziltaʼal beeyxan maʼ u loʼobol u wíinklal yetel u kaalantaʼal u kuxtal.
04-00	Artículo 4
04-01	Mimáak unaj u palitziltaʼal mix u meyajtik u baʼal u láakʼ máak; palitzilil yetel u koʼonol wíinik tiʼal meyajeʼ tiʼ u láakʼ máak x‐maʼa boʼolileʼ wetʼaʼan.
05-00	Artículo 5
05-01	Mixmáak tiʼ unaj u beetaʼal loob, mix u nuumsaʼal, u kʼoʼolol, wa u beetaʼal u boʼotik u siʼipil bey baʼalcheʼe mix u tʼonkiintaʼal.
06-00	Artículo 6
06-01	Tuláakal máan sijnal u najmalmajil u chíimpoltaʼal u kuxtal yetel u dzoʼzkbesaʼal le Najmal Sijnal yanil tiʼ ku yaʼalaʼal teʼej Noj Aʼalmaj Tʼaanoʼoboʼ.
07-00	Artículo 7
07-01	Mixmáak jelaʼan wa nojbaʼal tu táan le Aʼalmaj Tʼaanoʼboʼ, beytunoʼ tuláakal máak uchak u boʼoybesjuba tu yáanal. Tuláakal máak u najmalmaj u tokbesaʼal tu táan jeʼe baʼalak nuumsajil kaʼa siʼipik tu táan le Tzol Tʼaanaʼ, wa tiʼ jeʼe máaxak kaʼa líikʼik yóol u beet le nuumsajoʼ.
08-00	Artículo 8
08-01	Tuláakal máak sijnal u najmalmajil u tokbesaʼal tu kúuchil tiʼibilkunah tu kaajal, tuʼux kaʼa ilaʼak u chíimpoltaʼal le Najmal Sijnal yeteloʼ yetel u dzoʼokbesaʼal le baʼax ku yaʼalaʼal teʼej Aʼalmaj Tʼaanoʼoboʼ.
09-00	Artículo 9
09-01	Mixmáak unaj u kʼaʼalal wa maʼa u káant yetel u kʼam u siʼipiliʼ, mix u tojolchʼintaʼal tu kaajal.
10-00	Artículo 10
10-01	Tuláakal máak u najmalmaj, keet yetel jeʼe máaxakeʼ, u yuʼubalʼal u tʼaan tumeen tuláakal máak, wa ich tiʼibilileʼ maʼ u makik u xikin máax joʼolbesik tiʼ baʼax ku yaʼalik, tiʼal kaʼa jeʼedzek yetel utz u najmal máak yetel baʼax kʼaʼabet u beetik, beeytun xan tiʼal u chʼóochʼaʼal jeʼe baʼalak takpoolil yaan tu yóokʼoleʼ.
11-00	Artículo 11
11-01	Tuláákal máak ku taʼakal u pooleʼ unaj u yáax tukultaʼal minaʼan u siʼipil kaʼalikil maʼa eʼesaʼak yetel wa maʼ u káant, bey jeʼex u yaʼalaʼal teʼej Aʼalamaj Tʼaanoʼoboʼ, yetel unaj u xaʼakʼaltaʼal u tzikbeʼenil tu táan kaaj tiʼal yilaʼal wa yaan u siʼipil yetel xan u yilaʼal u tokbesaʼal tumeen máaxoʼob letiʼ u meyaj.
11-02	Mixmáak unaj u dzaʼabal u kuuch yetel u kʼaʼalal tu yóoʼlal baʼax ku beetik, wa baʼa maʼatan u beetik, wa tu kʼiinil u beetik wa u pʼatik u beetikeʼ maʼa wetʼaʼan wa dzaʼan bey yaan u siʼipilil tumeen u Aʼalmaj Tʼaanil u kaajal wa jeʼe baʼalak kaajileʼ.
12-00	Artículo 12
12-01	Mixmáak yaan u páajtalil tiʼ u yokbesikuba tu kuxtal mix,áak, yetel u chʼiʼibaloʼob, ichil yotoch wa u wachʼik juʼun ku túuxtaʼaltiʼ, mix u nuumsik u kʼaabaʼ yetel tsikbeʼenil. Tuláakal máak sijnal u najmatmajil u boʼoybesaʼal tumeen Aʼalmaj Tʼaan tiʼal maʼ yokbesikubá mixmáak tu kuxtal yetel maʼ u nuumsaʼal.
13-00	Artículo 13
13-01	Tuláakal máak yaantiʼ u páajtalil u bin jeʼe tuʼuxak u kʼáateʼ, beeyxan u jéedzel kajtal jeʼe tuʼuxak kaajil ichil u boj méekʼtankaajaleʼ.
13-02	Tuláakal máak yaantiʼ u páajtalil u jóokʼol tu kaajal tiʼal u bin jeʼe baʼalak kaajileʼ, beeyan u suut tu kaajal.
14-00	Artículo 14
14-01	Wa táan u chʼaʼapachtaʼal wa u máan u chuʼukileʼ, tuláakal máak sijnal u najmatmajil u kʼaʼamal jeʼe tuʼuxak u láakʼ kaajileʼ yetel maʼa u jóokʼsaʼaliʼ.
14-02	Baʼaleʼ maʼatan u béeytal u boʼoybesik máak wa tumeen jach tu jaajil yaan u siʼipil tu kaajal, beeyxan wa wetʼaʼan tumeen u Aʼalmaj Tʼaan Naciones Unidas.
15-00	Artículo 15
15-01	Tuláakal máak sijnal u najmatmajil u kajtal tiʼ jumpʼéel kaaj.
15-02	Tiʼ mixmáak uchak u lukʼsaʼal u kaajal, mix u lukʼsaʼaltiʼ u páajtalil u kʼexik u kaajal.
16-00	Artículo 16
16-01	Xiiboʼob yetel koʼoleloʼob, le ken u chuk u jaʼabil u dzoʼokol u beeloʼobeʼ, u najmatmajoʼob, jeʼe baʼalak u chʼiʼibaloʼobeʼ, jeʼe tuʼuxak u kaajaloʼobeʼ, jeʼe máakalmáak kʼujil ku kiliʼichkuunsikoʼobeʼ, u dzoʼokol u beeloʼob tiʼal kaʼa yanak u kúuchkabaloʼob; yetel keet u najmaloʼob tu yóoʼlal u dzoʼokol u beeloʼob, kaʼalikil dzokaʼan u beeloʼob wa le ken u pʼatubaʼob.
16-02	Chen yetel kaʼa u dzáa u tʼaan tu kaʼatúulal le máax u kʼáat dzoʼokol u beeloʼ, uchak u yúuchul le dzoʼokol beeloʼ.
16-03	Kúuchkabaleʼ letiʼ u chuun yetel yáax bix u muchʼikuba wíinik kajtal beytunoʼ kʼaʼanaʼan u kalaantaʼal tumeen tuláakal kaaj yetel tumeen jalaʼachoʼob.
17-00	Artículo 17
17-01	Tuláakal máak sijnal u najmatmajil u yantal baʼal u tiʼalinte, tu juunal wa múuchʼkab.
17-02	Mixmáak uchak u lukʼsik baʼal u tiʼal máak.
18-00	Artículo 18
18-01	Tuláakal máak yaan u páajtalil u tukultik jeʼe baʼalak u kʼáateʼ, jeʼe bixak u kʼáateʼ yetel u kiliʼichkuunsik jeʼe máakaláak Kʼujil u kʼáateʼ; bey xan u kʼexik u kiliʼichkuunaj wa u tuukul jeʼe baʼalak kʼiin u kʼáateʼ, beytun xan u dzáak ojeltbil u kiliʼichkuunaj yetel baʼax ku tukultik, tu juunal wa múuchʼkab, beytun tu táan kaaj wa tu juunal, tiʼal u kanik, u táakpajal wa u dzoʼokbesik.
19-00	Artículo 19
19-01	Tuláakal máak yaantiʼ u páajtalil u tukultik yetel u yaʼalik le baʼax u kʼáateʼ; le najmalaʼ ku yaʼalik maʼ u chiʼichnak‐kuunsaʼal máak chen tu yóoʼlal bix u tuukul, beytun u xakʼal kaxantik baʼax kʼaʼabet u yojeltik, u kʼamik nuʼuktaj yetel u dzáak kʼajóoltbil tiʼ tuláakal yóokʼol kaab yetel jeʼe baʼalak wa jeʼe bixak ku páajtaleʼ.
20-00	Artículo 20
20-01	Tuláakal máak sijnal yetel u páajtalil u muchʼikuba yetel u nupikuba yetel jeʼe máaxak kaʼalikil maʼatan u beetik kʼaas tiʼ mixmáak yeteleʼ.
20-02	Mixmáak unaj u beetaʼal u táakpajal tiʼ mixbaʼal yetel u nuchʼikuba yetel mixmáak wa maʼ u kʼáatiʼ.
21-00	Artículo 21
21-01	Tiʼ tuláakal máak yaan u páajtalil u táakpajal ichil u jalaʼachil u kaajal, wa letiʼ kaʼa u beet u jalaʼachil wa kaʼa táakpajak tiʼal páaykunsaʼal u jalaʼchil.
21-02	Tuláakal máak sijnal u najmatmajil u táakpajal, bey jeʼe máaxak, ichil u mayej jalaʼach.
21-03	U nij jalaʼachil jumpʼéel kaajeʼ u kajnáaliloʼob; beytunoʼ letiʼob kʼaʼabet u páaybesik u jalaʼachoʼob le ken kʼuchuk tu kʼiinil, tuʼux tuláakal máak unaj u tukultik tu juunal máax u kʼáat u dzáa jalaʼachil.
22-00	Artículo 22
22-01	Tuláakal máak, tumeen táakaʼan ichil jumpʼéel kaajeʼ, sijnal u najmatmajil u kaalantaʼal, yetel u dzaʼabaʼaltiʼ, tumeen u kaajal yetel u yáantiaj u láakʼ kaajoʼob tu yóokʼol kaabeʼ, le baʼax kʼaʼabettiʼ tiʼal u kuxtaleʼ, tiʼal u béeytal u kuxtal tiʼ jumpʼéel kkaj yetel u yeʼesik u chíikul u kuxtal, bey jeʼex ku kʼaʼabetkuunsik u tsikbeʼenil yetel u noʼojaʼanil u kuxtaleʼ.
23-00	Artículo 23
23-01	tuláakal máak sijnal u najmatmajil u dzaʼabal meyajtiʼ, u téetik baʼa meyajil u kʼáat u beet bey jeʼe máaxakeʼ, kaʼa kuxlak yetel u meyajm yetel u kaalaantaʼal maʼ u lukʼsaʼal meyajitiʼ.
23-02	Tuláakal máak sijnal u najmatmajil u náajal bey jeʼex u náajal jeʼe máaxak ku beetik jumpʼéel meyaj bey jeʼex le ku beetikoʼ.
23-03	Tuláakal máak ku neyajeʼ sijnal u najmatmajil u boʼotaʼal le beykaʼaj ku boʼotaʼal u láakʼ máaxoʼob beetik le mayaj ku beetikoʼ, uchak u náajaltik nonoj u tiʼal u kuxtal maʼalob yetel kúuchkabal, kaʼa dzaʼabaktiʼ le beykaʼaj kʼaʼabet tiʼal u maʼalob kuxtal bey jeʼex kʼaʼanaʼan tiʼ u tzikbeʼenil wíinikeʼ, yetel wa maʼatan u náajaltik tu pʼiiseʼ, unaj u chúukbesaʼal tiʼ tumeen jalaʼach.
23-04	Tiʼ tuláakal máak yaan u páajtalil u muchʼikubáa wa u táakpajal ichil múuchʼkabaloʼob tiʼal u tokbesaʼal u najmal.
24-00	Artículo 24
24-01	Tuláakal máak u najmatmajil u chaʼabal u jeʼelel, maʼ u meyaj wa jaypʼéel kʼiin, maʼ u máan tiʼ bulkʼiin u meyaj yetel u boʼotaʼal u jeʼelel wa jaypʼéel kʼiin kex maʼatan u meyaj.
25-00	Artículo 25
25-01	Tuláakal máak sijnal u najmatmajil u kuxtal maʼalob paʼteʼ yetel u kúuchkabal, beeyxan kaʼan yanak u toj óolal, kaʼa kuxlakoʼob tuʼux kaʼa táanilkuunsaʼak u yantal u janaloʼob, u nookʼoʼob, u yotochoʼob, dzáak yetel tuláakal baʼax kʼaʼabet tiʼal jumpʼéel maʼalob kuxtal; sijnal xan u najmatmil wa ku pʼáatal minaʼan meyaj tiʼ, wa ku kʼojaʼantal, ku yúuchul loob tiʼ, ku kíimil yíicham, ku chʼíijil wa jeʼe baʼalak láak kaʼa lukʼestiʼ kex maʼ u káat baʼax tuʼux ku kaxtik u kuxtaleʼ.
25-02	X‐yoʼom koʼolel yetel mejen paalaleʼ sijnal u najmatmajil u kalaantaʼaloʼob maʼalob. Tuláakal mejen paalal síijil tiʼ koʼolel dzokaʼan wa maʼ dzokaʼan u beeleʼ, u najmalamj u kalaantaʼal tumeen kaaj yetel u yáantaʼal líikʼil maʼalob tumeen jalaʼach.
26-00	Artículo 26
26-01	Tuláalak máak sijnal u najmatmajil u kaambal. Le yáax kaambaloʼoboʼ kʼanaʼan maʼ u tojoltik. Le yáax kaambaloʼoboʼ tuláakal máak tzaaj u kʼamik. U kaambalil jumpʼéel meyajeʼ tuláakal máak xan unaj u kʼamik; baʼaleʼ teʼelaʼ uchak u táakpajal le máax yaan u muukʼileʼ.
26-02	Le kaambaloʼ uchak u kaxtik u muʼukʼaʼankuunsik u tsikbeʼenil máak yetel u beetik u chíimpoltaʼal tumeen tuláakal máak le najmal sijnal yetel wíinikoʼ bey jeʼex le aʼalmaj tʼaanoʼoboʼ; unaj u yáantaj tiʼal u naʼatikuba wíinik, u bisikuba maʼalob méekʼtan kaajoʼob, kaajoʼob, múuchʼ kiliʼichkuunsajoʼob; yetel unaj u yáantaj tiʼ u meyaj Naciones Unidas tiʼal u kuxtal kaajoʼob yetel jedz óolal.
26-03	Táatatziloʼobeʼ uchak u téetikoʼob baʼax u kʼáatoʼob ka u kan u paaloʼob.
27-00	Artículo 27
27-01	Tuláakal máak sijnal u najmatmajil u táakpajal tu tʼaan yóolaj ichil u chíikul u kuxtal u kaajal, u náaysik yóol yetel jadzutz meyajoʼob, u táakpajal yetel u kʼamik yutzil le xakʼal naʼatoʼoboʼ.
27-02	Tuláakal máak sijnal u najmatmajil u boʼoybesaʼal u noʼojaʼanil u kuxtal, baʼal u tiʼal, u meyaj tiʼ xakʼal naʼat, u ikʼil dzíib wa jeʼe baʼalak kaʼa u meyajteʼ.
28-00	Artículo 28
28-01	Tuláakal máak sijnal u najmatmajil u yantal u nuʼukbesajil tu kaajal wa tuláakal yóokʼol kaab tiʼal u dzaʼabal kʼajóoltbil yetel u dzoʼokbesaʼal le Nuʼuktaj tʼaanaʼ.
29-00	Artículo 29
29-01	Tuláakal máak yaan u kuch uchil u kaajal tumeen chen jaʼali ichil u kaajal uchak u béeytal u dzoʼokbesik u tsikbeʼenileʼ.
29-02	Ikil u dzoʼokbesik u najmal yetel u kuxtal ichil le nuʼuktajoʼobaʼ, tuláakal máakeʼ chen uchak u chíimpoltik yetel maʼ u xaakʼabtik u xuul u tʼaan le Aʼalmaj Tʼaanoʼob tu yóoʼlal u láakʼ máakoʼoboʼ, yetel u dzoʼokbesaʼal u noʼojaʼanil kuxtal, u chíimpoltaʼal wíinik yetel u keet yantal u toj óolal kaaj.
29-03	Le Najmaloʼob yetel u noʼojaʼanil kuxtalaʼ maʼatan u béeytal u dzoʼokbesaʼal wa maʼatan u chíimpoltaʼal u Nuʼuktaj yetel u Aʼalmaj Tʼaan Naciones Unidas.
30-00	Artículo 30
30-01	Mixbaíal tiʼ le Nuʼuktaj uchak u chʼaʼabal tumeen jalaʼach, junmúuchʼ máak wa juntúul máak tiʼal u beetik mixbaʼal tiʼal u weʼetʼel wa maʼ u dzoʼokbesaʼal le Nuʼuktajoʼob yetel Aʼalmaj Tʼaannoʼob ku dzaʼabal kʼajóoltbil tiʼ le Nuʼuktajaʼ.
