00-00	Ɩrʊ́-dɛ́ɛ yíkowá-ɖɔ́ feríi-dɛ́ɛ fatɩma lɩzɩ́ɩ
01-01	Bánlʊrʊ́ʊ ɩrʊ́ báa weení na kezéńbíídi gɛ bɩka bɛdɛ́ɛ ɖɔɔzɩ́tɩ na yíkowá kɛgɛ́ɛ ɖéyí-ɖéyí gɛ. Bɔwɛná laakárɩ na ɩrʊ́tɩ bɩka bɩɩbɔ́ɔ́zɩ bɔcɔɔná ɖamá koobíre cɔwʊrɛ.
02-00	Wɛ́ɖɛ 2
02-01	Báa weení wánbɩɩzí ɩɖɛɛzɩná yíkowá na kezéńbíídi tɩwɛ bɔwʊ́tɩ tɩna tɩ-daá nɛ́, bɩdakɛ́ɛna taazɩ́ bɩdamáána tanʊʊ́ yáá alʊ́ yáá abaalʊ́ yáá kʊnʊm yáá aɖííni yáá kowurodɔ́m-dɛ́ɛ lomaazɛ́ yáá cɔwʊrɛ-daá yáá ɩrʊ́-dɛ́ɛ arizikí yáá ɩdɛ́ɛ lʊrʊ́ʊ-jɔ́ yáá yáásí báa wenkí-daá.
02-02	Bɩka ɖʊɖɔ, bɩdalá kamaata taazɩ́tɩ ɩcɔ́ɔ tɛ́ɛ́dɩ mará-dɛ́ɛ cɔwʊrɛ-daá, yáá tɔ́m fʊ́ʊ́dɩ-dɛ́ɛ cɔwʊrɛ yáá tɛ́ɛ́dɩ na tɛ́ɛ́dɩwá-dɛ́ɛ ɖamá-daá sʊʊ́-dɛ́ɛ cɔwʊrɛ yáá tɛ́ɛ́dɩ wentí-daá ɩrʊ́ waagálɩ́ɩ́na nɛ́. Báa bɩɩlá sɩsɩ tɛ́ɛ́dɩ tɩḿ tiiyuú tɩdɩ yáá tɩwɛ natɩ́rɩ-dɛɛzɩ nɛ́, tɩdayúúta tɩdɩ yáá tɛ́ɛ́dɩ natɩ́rɩ wɛ́nbɛɛmɩ́ kɔrɔɔzɩ́.
03-00	Wɛ́ɖɛ 3
03-01	Ɩrʊ́ báa weení wɛna yíko iɖi ɩdɛ́ɛ ɖúúlinya, kezéńbíídi na beféré ɩdɛ́ɛ alaafɩ́ya cɔwʊrɛ.
04-00	Wɛ́ɖɛ 4
04-01	Bádángbáa naárʊ yoḿti yáá bɔwʊtá lám. Beegízi kpataa yoḿti na yomáa-dɛ́ɛ yám.
05-00	Wɛ́ɖɛ 5
05-01	Badánlám naárʊ ɖeciriɖi yáá banáázɩ yɩ yáá balá yɩ wenbí bɩdamɔɔná balá ɩrʊ́ nɛ́ yáá baŋmɩ́ɩ́zɩ yɩ.
06-00	Wɛ́ɖɛ 6
06-01	Ɩrʊ́ báa weení wɛná yíko batɩlɩ́ ɩdɛ́ɛ ɩrʊ́tɩ na ɩdɛ́ɛ tɩlasɩwá báa lénle.
07-00	Wɛ́ɖɛ 7
07-01	Ɩráa rɩ́ŋa kɛ́ɛ ɖéyí-ɖéyí gɛ mará-jɔ́ bɩdakɛ́ɛna taazɩ́ na bɩ́nbɔɔzɩ́ bekéti ɩráa ɖéyí-ɖéyí bɩdakɛ́ɛ́na taazɩ́ yáá na wenbí bɩyaavóo mará awɛ bɔwʊ́tɩ tɩna tɩdaá nɛ́.
08-00	Wɛ́ɖɛ 8
08-01	Ɩrʊ́ báa weení wɛna yíko iyéle bɔnyɔ́ɔ́zɩ bafʊ́ʊ ɩdɛ́ɛ tɔ́m tɛ́ɛ́dɩ-dɛ́ɛ tɔ́mvʊʊráa-jɔ́ abɩgɛ́ɛ sɩ boomúúli yɩ bɛlɛ́ɛ ɩdɛ́ɛ yíkowá wentí mará waava yɩ.
09-00	Wɛ́ɖɛ 9
09-01	Bedengbím naárʊ bɔtɔ yáá balɩzɩ́ yɩ tɛ́ɛ́dɩ bɩdɛkɛ́ɛna seríya nakɩ́rɩ.
10-00	Wɛ́ɖɛ 10
10-01	Ɩrʊ́ báa weení wɛná yíko tɔ́mvʊʊráa bɔwɛ badɩ nɛ́ yáá gómínantɩ ɩnɩ́ɩ ɩdɛ́ɛ tɔ́m. Bɩka balá wenbí wánjáádɩ nɛ́ ɖéyí-ɖéyí-daá yáá zamɔɔ-daá. Bɩlɛ́ bɩnáá sɩsɩ babɩ́ɩ́zɩ betísi becélé yɩ ɩdɛ́ɛ yíkowá yáá wenbí bɩɩlá ɩdɛ́ɛ tɩ́lasɩ nɛ́ yáá wenbí bɩ́nbɩɩzɩ́ bɩlɩzɩ́ yɩ tɔ́m-daá nɛ́.
11-00	Wɛ́ɖɛ 11
11-01	Bɩdɔbɔ́ɔ́zɩ bakpa ɩrʊ́ báa weení gɛ boobuuná tɔ́m bɩdamáána kideevééniti-dɛ́ɛ lám nɛ́, hálɩ bafʊʊná yɩ bɩlá ɖacɩrɩ-cɩrɩ sɩsɩ waalá wenbí bómbuunáa yɩ nɛ́.
11-02	Bɩdɔbɔ́ɔ́zɩ bakpa naárʊ sɩsɩ waalá bideevé bɩka sáátɩ wenkí bɩdɛ́ɛ lakásɩ waalá nɛ́, tɛ́ɛ́dɩ yáá ɖúúlinya yíko dɩnáa bɛɛ́na sɩsɩ bɩdakɛ́ɛ bideevé. Bɩdɔbɔ́ɔ́zɩ ɖʊɖɔ bamɩ́lɩ ɩnɩgbamʊʊ́ bɩcɛzɩ́ mará weená baazɩ́ɩ zaamáánɩ wenkí waayɩ́sɩ nɛ́.
12-00	Wɛ́ɖɛ 12
12-01	Bɩdɔbɔ́ɔ́zɩ naárʊ ɩsʊ́ʊ ɩrɔwʊ́, yáá ɩlɛ́ ɩdɛ́ɛ koobíre yáá ɩlɛ́ ɩdɛ́ɛ ɖáána yáá ɩlɛ́ ɩdɔndɩnáa-dɛ́ɛ tɔ́m-daá na iwenbiré sɔɔlɩ́m yáá ɩlá wenbí bɩtɛ́ bɩfɔrɔ́sɩ ɩrɔwʊ́ yáá bitisi ɩlɛ́ nɛ́. Ɩrʊ́ báa weení wɛná yíko mará ifére ɩrɔɔzɩ́ na bɩdɛ́ɛ kɔrɔmɔ́tɔ na wenbí sɩ bɩfɔrɔ́sɩ yɩ nɛ́.
13-00	Wɛ́ɖɛ 13
13-01	Ɩrʊ́ báa weení wɛná yíko ikíli yáá ɩlɩzɩ́ lénlé ɩzɔɔlɛ́ɛ sɩɩcɔ́ɔ ɩdɛ́ɛ laadɔ́ɔ-rɔ nɛ́.
13-02	Ɩrʊ́ báa weení wɛná yíko ɩlɩ́ɩ laadɔ́ɔ báa wenká-daá bɩkpɛdɩ́na ɩdɛ́ɛ laadɔ́ɔ bɩka ɩkábɩsɩ kadaá ɖʊɖɔ.
14-00	Wɛ́ɖɛ 14
14-01	Ɩrʊ́ báa weení á bɩgɛ́ɛ sɩ balá yɩ deciriɖi, ɩwɛná yíko ɩcáa bɩka iyuú yaajɔɔzɩɖɛ́ laadásɩ sɩɩganáa-daá.
14-02	Ɩráa wenbá baajáa baranáa tɔ́m yáá badanʊm ná bɔwʊ́ɖɛ baayááɖɛ sɩsɩ Nations Unies nɛ́-dɛ́ɛ mará yáá wenbí bánjáádɩ nɛ́ tɔmɔɔná boyuú yíkowá wentí ɖááŋmátɩ nɛ́-dɛ́ɛ alɩbáráka.
15-00	Wɛ́ɖɛ 15
15-01	Ɩrʊ́ báa weení wɛná yíko iyuú ɩdɛ́ɛ tɛ́ɛ́dɩbíídi-dɛ́ɛ tákaraɖá.
15-02	Bɩdɔbɔ́ɔ́zɩ bekízi ɩrʊ́ tákaraɖá fáa wenbiré sɔɔlɩ́m rɔɔzɩ́ yáá bekízíyi sɩsɩ ɩkɛ́kɛ́ɛ tɛ́ɛ́dɩbíídi tákaraɖá.
16-00	Wɛ́ɖɛ 16
16-01	Alʊ́ na abaalʊ́ wenbá baadála sáárɛ nɛ́ wɛná yíko bɔkpɔ́ɔ ɖamá bɩdakɛ́ɛna taazɩ́ tɩdamáana tanʊʊ́ yáá tɛ́ɛ́dɩ yáá aɖííni. Alʊ́ na abaalʊ́ wɛná yíkowá ɖéyí-ɖéyí wenbí bɩdamáana hiiye yáá kɩdɛ́ɛ cɔwʊrɛ yáá kɩdɛ́ɛ tarɩ́ɩ-daá nɛ́.
16-02	Bɩgɛ́ɛ tɩ́lasɩ gɛ ɩráa ɩŋmátɩ banɩ́ɩ ɖamá naanɩ́ ná balá hiiye.
16-03	Koobíre kɛ́ɛ́na zamɔ́ɔ-daá-dɛ́ɛ kpɩ́nɖɛ wenɖé ɖɩjaarɛ́ɛ nɛ́, bɩlɛ́ bʊrɔɔzɩ́ nɛ́, bɩɩlá tɩ́lasɩ zamɔ́ɔ yáá tɛ́ɛ́dɩ ifére ɖɩrɔ.
17-00	Wɛ́ɖɛ 17
17-01	Bɩ́nbɔɔzɩ́ ɩrʊ́ báa weení ɩjɔɔ́ iriké nɛ́ yáá zamɔ́ɔ-daá nɛ́ iyuú ɩcɔ́ɔ ɖacɩrɩ-cɩrɩ.
17-02	Bɩdɔbɔ́ɔ́zɩ naárʊ ɩbɛ́ ɩrɔwʊ́-dɛ́ɛ ɖácɩrɩ-cɩrɩtɩ.
18-00	Wɛ́ɖɛ 18
18-01	Báa weení wɛná yíko ɩmáázɩ yáá ɩkuná laakárɩ ɩdɩ ɩrɔɔzɩ́ yáá ɩlá ɩdɛ́ɛ aɖííni, bɩlɛ́ bɩgɛ́ɛ ná sɩsɩ wánbɩɩzɩ́ ɩkɛ́ɛ aɖííni á ɩzɔɔlɛ́ɛ, yáá ɩdɛ́ɛ wénbiréfúúle yáá ɩwɩ́lɩ sɩsɩ mɔ́ɔ́ mɛ́dɛ́ɛ aɖííni nɖɔ́ yáá iwenbiré fúúle. Wenbí bɩrɩ́ŋa ɖáádɩ ɖɔ́ nɛ́, ɩrʊ́ wánbɩɩzɩ́ ɩlɩzɩ́ yɛ fátɩma yáá ɩsɩɩná yɛ ɩdɩ yáá zamɔ́ɔ wɩlɩ́ɩ-daá yáá lám-daá yáá bɔwʊ́tɩ-daá yáá sɔ́ɔ́zɩ-dɛ́ɛ lám-daá.
19-00	Wɛ́ɖɛ 19
19-01	Ɩrʊ́ báa weení wɛná yíko ɩlá bayáána ɩdɛ́ɛ lomaazɛ́ yáá ɩŋmátɩ wentí tɩváa yɩ nɛ́, bɩnáa sɩsɩ bɩdabɔ́ɔ́zɩ ɩrʊ́ ɩnyɛ́ sɩ ɩlɩzɩ́ ɩdɛ́ɛ lomaazɛ́ nɛ́ yáá ɩdɛ́ɛ sɩ ɩcáa yáá iyuú laabáárʊ yáá ɩlá bayáana báa lénlé laabáárʊ kɩḿ yáá lomaazɛ́ na nɩ́báánɩ rɩ́ŋa kpátáá laabáárʊ wánbɩɩzɩ́ kɩbana kɩtala ɩrʊ́ nɛ́.
20-00	Wɛ́ɖɛ 20
20-01	Ɩrʊ́ báa weení wɛná yíko ibó kediiziya zamɔ́ɔ-daá bɩka ɖʊɖɔ ɩwɛná yíko ɩcɔ́ɔ zamɔ́ɔ-daá.
20-02	Bɩdɔbɔ́ɔ́zɩ bamɩ́lɩ naárʊ nʊ́ʊnɩ sɩ ɩ́sʊ́ʊ bɔwʊ́ɖɛ naɖéré-daá.
21-00	Wɛ́ɖɛ 21
21-01	Ɩrʊ́ báa weení wɛná yíko ɩsɩná ɩdɛ́ɛ tɛ́ɛ́dɩ-dɛ́ɛ ketí yáá ɩbaná nɛbɛ́rɛ baalɩzɩ́ wɛ zamɔɔ-daá nɛ́ bɩdɛkɛ́ɛna ɖóóle.
21-02	Bɩmɔɔ́na tɛ́ɛ́dɩ bú báa weení, á sɩ bɔkpɔ́ɔ yɩ tɩmɛ́rɛ ɩdɛ́ɛ tɛ́ɛ́dɩ-daá, bofu mará ɖéyí-ɖéyí ńná.
21-03	Tɛ́ɛ́dɩ bíya-dɛ́ɛ wénbire sɔɔlɩ́m kɛ́ɛna bɛdɛ́ɛ boyuú tɛ́ɛ́dɩ-dɛ́ɛ kétí-dɛ́ɛ kabaazɩya, tɛ́tɛ́ tɔ́ɔ ɩlá ɖacɩrɩ-cɩrɩ wenkí kɩɩlá kamaata balátɩ fatɩma ɖamá-rɔ bɩka bɩlá ɖéyí-ɖéyí-daá yáá mʊ́sɩrɛ-daá yáá nɩ́báánɩ natɩ́rɩ tɩdamáána tɩna nɛ́ na wenbí bɩtɛbɩlá tɛ́tɛ́ ɖéyí-ɖéyí-daá waalá kamaata kɩwɩ́lɩ wenbiré sɔɔlɩ́m kɩḿ.
22-00	Wɛ́ɖɛ 22
22-01	Ɩrʊ́ báa weení ɩwɛ ɩráa-daá nɛ́ wɛná yíko ɩráa wenbá badaá ɩwɛ nɛ́ befére ɩrɔɔzɩ́. Bɩɩlá tɩ́lasɩ ɩbɩ́ɩ́zɩ iyuú arizikí, zamɔ́ɔ na taáɖɛwá dɛ́ɛ yíko wentí tɩdamáana ɩdɛ́ɛ ɩrʊ́tɩ nɛ́ na ɩdɩtɩŋa ɩdɛ́ɛ bɩ́ɩ́zán-daá bodé ; bɩɩlɩɩná tɛ́ɛ́dɩ-daá-dɛ́ɛ kookárɩ na ɩdɛ́ɛ ɖúúlinya-dɛ́ɛ cɔwʊrɛ bɩdamáana tɛ́ɛ́dɩ-dɛ́ɛ yíkowá nɛ́.
23-00	Wɛ́ɖɛ 23
23-01	Bɩ́nbɔɔzɩ́ ɩrʊ́ báa weení ɩlá tɩmɛ́rɛ yáá ɩdɩtɩŋa ɩlɩzɩ́ ɩdɛ́ɛ tɩmɛ́rɛ ɖéyí-ɖéyí-daá káma bɩ́kálá ɩcɔ́ɔ bɩka tɩmɛ́rɛ fɛ́yɩ́.
23-02	Bɩmɔɔ́na barɩ́ŋa bɔwɛná fɛrɩ́tɩ ɖéyí-ɖéyí á bɩgɛ́ɛ baalá tɩmɛ́rɛ bɩdakɛ́ɛna tarɩ́ɩ.
23-03	Weení ɩrɩŋa wánlám tɩmɛ́rɛ nɛ́, bɩɩlá tɩ́lasɩ iyúu fɛrɩ́tɩ ɖéyí-ɖéyí ńɖɛ wenbí bɩ́tɛ bɩlá ɩbɛ́ɛ́mɩ ɩdɛ́ɛ koobire ɖéyí-ɖéyí-daá nɛ́ yáá wenbí rɩ́ŋa bɩ́nbɩɩzɩ́ bifére bɔrɔɔzɩ́ nɛ́.
23-04	Ɩrʊ́ báa weení wɛná yíko ɩsʊ́ʊ bɔwʊ́ɖɛ yáá ɩsɩná bɔwʊ́ɖɛ wenbí bɩ́tɛ bɩlá boyóo befére badɩ bɔrɔɔzɩ́ nɛ́.
24-00	Wɛ́ɖɛ 24
24-01	Ɩrʊ́ báa weení wɛná yíko iyuú fɛɛzɩrɛ yáá amʊʊzɛ́ yáá bɛfɛ́rɛ yɩ tɩmɛ́rɛ-dɛ́ɛ leerí-dɛ́ɛ fɛrɩ́tɩ ɖéyí-ɖéyí ńɖɛ yáá tɩmɛ́rɛ-daá-dɛ́ɛ nɩ́baawʊ sʊlʊ́ʊ-dɛ́ɛ yíko.
25-00	Wɛ́ɖɛ 25
25-01	Ɩrʊ́ báa weení wɛná yíko iɖi bɩtáláyɩ na biféré ɩdɛ́ɛ alaafɩ́ya-rɔ yáá ɩdɛ́ɛ alaafɩ́ya cɔwʊrɛ ɩna igoobíre wenbí bɩɩlá bɩ́ kíɖiim yáá kúsúúdi yáá yaaɖooɖɛ́ yáá ɩdɛ́ɛ alaafɩ́ya bɛɛmɩ́ na ɩdɛ́ɛ zamɔ́ɔ-daá cɔwʊ́ʊ. Bɩ́nbɔɔzɩ́ beféré ɩrɔɔzɩ́ á bɩgɛ́ɛ ɩdoyuúta tɩmɛ́rɛ yáá kʊdɔḿ wáágba-yɩ yáá ɩgɛ́ɛ madafɩ́ya yáá weení ɩɖɛɛlʊ́ yáá ɩwaalʊ́ waazɩ́ nɛ́ yáá weení waalá kʊ́bɔnɩ́ yáá weení wɛɛbɛ́ɖɩ ɩdɛ́ɛ árisikí nɛ́ bɩdɛkɛ́ɛna ɩzɔɔlɩ́m.
25-02	Wenbá bɛ́wɛ lʊrʊ́ʊ-dɛ́ɛ sáátɩ-daá nɛ́ na bíya kúmúwáa wɛná yíko basɩná wɛ́. Bú báa weení baalʊ́rʊ-yɩ hiiye-daá yáá hiiye wɔ́rɔ́ nɛ́ mɔ́ɔ́na befére barɩ́ŋa bɔrɔ.
26-00	Wɛ́ɖɛ 26
26-01	Bɩ́nbɔɔzɩ́ báa weení ɩcáa tɩlɩ́ɩ. Tɩlɩ́ɩ cáádɩ waalá tɩ́lasɩ kɩlá faala. Báa tɩlɩ́ɩ cáádɩ rɩ́ŋa talá faala, bɩɩlá tɩ́lasɩ bíya kúmúwáa dɛ́ńgɩ ɩlá faala. Bíya kúmúwáa-dɛ́ɛ wɩlɩ́ɩ kɛ́ɛ́ dóóle gɛ. ɩzámʊ́sɩ-dɛ́ɛ tɩlɩ́ɩ cáádɩ waalá tɩ́lasɩ báa weení ibó ɩlá kɩ. Bɩ́nbɔɔzɩ́ bú báa weení ɩbɩ́ɩ́zɩ ɩbó lɔwʊ-lɔwʊ ńgɩ á bɩgɛ́ɛ weeɖi iyuú wenbí bínbɔɔzɩ́ nɛ́.
26-02	Tɩlɩ́ɩ cáádɩ waalá tɩ́lasɩ bɩka kiyéle báa weení ɩcɔ́ɔ ɖúúlinya-daá iyuú ɩdɩ bɩka kiyéle ɩráa rɩ́ŋa ɩtɩlɩ́ ɖamá-dɛ́ɛ yíkowá-dɛ́ɛ gírímá na bɛdɛ́ɛ kezénbíídi tɩjaarɛ́ɛ nɛ́. Bɩ́nbɔɔzɩ́ kɩsɩná wenbí bɩdamáána ɩráa-dɛ́ɛ baŋmátɩ banɩ́ɩ ɖamá nɛ́, na bɛdɛ́ɛ ɖamá cɛ́m, na nyɔɔzɩ́tɩ bɩdamáána tɛ́ɛ́dɩ, bɔwʊ́ɖɛwá na aɖííniwá-ɖɛ́ɛ ɖamá-daá sʊʊ́ na ɖʊɖɔ kɩsɩná tɛ́ɛ́dɩ-dɛ́ɛ bɔwʊ́ɖɛ baayáa ɖɛ sɩsɩ Nations Unies nɛ́-dɛ́ɛ tɩmɛ́-dɛ́ɛ bɩɩzá-daá bode.
26-03	Caanáa wɛná yíko baɖu bebíya tɩlɩ́ɩ cáádɩ wenkí bɔzɔɔlɛ́ɛ nɛ́.
27-00	Wɛ́ɖɛ 27
27-01	Ɩrʊ́ báa weení wɛná yíko ifu ɩráa wenbá ɩzɔɔlɛ́ɛ nɛ́, iɖi bɛdɛ́ɛ nʊ́ʊ́zɩ tɩmɛ́rɛ-dɛ́ɛ anfaanɩ́wá, bɩka ɩsɩná-wɛ tɩlɩ́ɩ kɩ́fatɩ-dɛ́ɛ cáádɩ-daá na iyuú bɩdɛ́ɛ anfaanɩ́wá.
27-02	Báa weení wɛná yíko bekéti idɛ́ɛ kpɩná na ɩdɛ́ɛ ɩrʊ́tɩ-dɛ́ɛ hákiwá bɩdamáána ɩdɛ́ɛ kpɩná kɩ́fala lám, na ɩdɛ́ɛ tákaraɖáwá waaŋmáa nɛ́ na ɩdɛ́ɛ nʊ́ʊ́zɩ timɛ́rɛ ɖʊɖɔ.
28-00	Wɛ́ɖɛ 28
28-01	Ɩrʊ́ báa weení wɛná yíko iyéle bofu mará nyazɩ yíkowá na kezénbíídi tɩwɛ bɔwʊ́tɩ tɩna tɩ-daá nɛ́ bɩdamáána zamɔ́ɔ yáá ɖúúlinya rɩ́ŋa nɛ́.
29-00	Wɛ́ɖɛ 29
29-01	ɩrʊ́ báa weení wɛná wenbí bɩɩbɔ́ɔ́zɩ ɩlá zamɔ́ɔ wenkí kɩ-daá ɩdɛ́ɛ ceré-ceré kɔwɛ nɛ́.
29-02	Bɩɩlá tɩ́lasɩ ɩdɛ́ɛ yíkowá-dɛ́ɛ fúúle na ɩdɛ́ɛ wánnɩɩ́ niíni na ɩdɛ́ɛ kezénbíídi, ɩ́tɩlɩ́ sɩsɩ bɩdɔmɔɔná ɩfɛ́lɛ tɛ́ɛ́dɩ-dɛ́ɛ mará káma báa weení iyuú ɩtɩlɩ́ na ɩfa ɩráa-dɛ́ɛ yíkowá na kezénbíídi-dɛ́ɛ gírímá. Na ɖʊɖɔ, bʊdʊ́ʊ ɩbɩɩzɩ ɩfa tɛ́ɛ́dɩ na ɩrʊ́ báa weeni-dɛ́ɛ cɔwʊrɛ niíni gírímá bɩdamáána zamɔ́ɔ wenkí-daá báa weení wɛná ɩdɩ nɛ́.
29-03	Bɩdɔmɔɔná yíkowá na kezéńbíídi tɩḿ tɩlɩɩná tɩ́ndɩ na wenbí laadásɩ-dɛ́ɛ bɔwʊ́ɖɛ baayáa ɖɛ sɩsɩ Nations Unies waaŋmáa basɩ́ɩ ɩsɩ bánʊmnáa tɩrɔ nɛ́.
30-00	Wɛ́ɖɛ 30
30-01	Bɩdɔbɔ́ɔ́zɩ naárʊ ɩkɛ́ɛzɩ mará ana adɛ́ɛ nabʊ́rʊ nyazɩ wenbí bɩdamáána tɛ́ɛ́dɩ yáá tɛ́ɛ́dɩ kʊjʊʊ́ dɩnáa yáá ɩlá wenbí bɩtɛ bunúúdi yíkowá yáá kezénbíídi-dɛ́ɛ tɔ́m tɩwɛ tákaraɖá kɩna kɩ-daá nɛ́.
