00-00	Цӏыху Хуэфащэхэм Теухуа Дунейпсо Джэпсалъэ
25-00	Дэтхэнэ зы цӏыхум хуитыныгъэ иІэщ езыри и унагъуэри узыншэн, тхъэгъуэ хуэфащэ иӏэу псэун папщӏэ шхыныгъуэ, фащэ, унэ икӏи медицинскэ дэӏэпыкъуныгъэ игъуэтыну. Хэти хуитыныгъэ иӏэщ, ӏуэхуншагъэ, сымаджагъэ, хукъуагъэ, лӏыгъуабагъэ, фызабагъэ, жьыгъэ икӏи езым имыӏэщӏагъэ ӏуэхугъуэхэм къыхэкӏ амалыншагъэ, тхьэмыщкӏагъэ къылъысу щытмэ къыщахъумэну, кърагъэлыну.
25-01	Анэхэмрэ сабийхэмрэ хуитыныгъэ яӏэщ хэхауэ къыкӏэлъыплъынхэу, къыдэӏэпыкъунхэу. Зэрыша зэлӏ-зэфыз и бынуи зэмыщхьэгъусэхэм къалъхуауи щыррет, сабий псоми я зэхуэдэу, зэхэгъэжыншэу хуагъэщхьэпэр а зы социалнэ къэхъумэныгъэ амалхэр.
26-00	26-нэ пычыгъуэ
26-00	Дэтхэнэ зы цӏыхур хуитщ гъэсэныгъэ зэригъэгъуэтыну. Гъэсэныгъэр, нэхъ мащӏэ дыдэу къапщтэмэ икӏи лъабжьэ гъэсэныгъэр ахъшэншэщ. Пэщӏэдзэ гъэсэныгъэр зумыгъэӏэнкІэ амал зимыІэуэ егъэзыгъуэщ. Техникэ икӏи ӏэщӏагъэ гъэсэныгъэр хэти хузэӏухагъэнущ. Ипщэ гъэсэныгъэр зэхэгъэжыншэу хэти хузэӏухауэ щытын хуейщ езым и сэнауш (талант) елъытауэ.
26-01	Гъэсэныгъэр цӏыхум и цӏыхугъэм икъуу зригъэужьыным хуэфӏыу гъэпсауэ икӏи цӏыху хуэфащэхэмрэ хуитыныгъэ нэхъыщхьэхэмрэ хуащӏ щӏыхьыр, лъытэныгъэр игъэлъэщыным, щӏигъэбыдэным хуэунэтӏауэ щытын хуейщ. Гъэсэныгъэм цӏыхухэр хущӏигъэкъун хуейщ расэ псоми, лъэпкъ псоми, дин гуп псоми я зэхуакум гулъытэ, зэгурыӏуэ, зэхуэфӏныгъэ, зэныбжьэгъугъэ дэлъыну икӏи мамырныгъэр къихъумэн папщӏэ Дунейпсо Къэрал Зэгухьэныгъэм иригъэкӏуэкӏ лъэжьыгъэм зригъэужьу щытын хуейщ.
26-02	Сабийхэм ирагъэгъуэтыну гъэсэныгъэр зыхуэдэнур къыхэзыхыну хуитыр, псом япэрауэ и анэ-адэрщ.
27-00	27-нэ пычыгъуэ
27-00	Хэти хуитыныгъэ иІэщ цІыхубэм и щӏэнхабзэ гъащӏэм хуиту ныхыхьэну, гъуазджэр зыхуигъэщхьэпэну, щӏэныгъэ зыужьыныгъэм хэтыну икӏи ар зыхуигъэщхьэпэну.
27-01	Хэти хуитыныгъэ иӏэщ езым къигъэщӏа щӏэныгъэ, жьабзэ (литературэ), гъуазджэ ӏэщӏагъэхэм мылъкуу, пщӏэуэ, щӏыхьуэ къыпэкӏуэу хъуар къыхуахъумэну.
28-00	28-нэ пычыгъуэ
28-01	Хэти хуэфащэщ мы джэпсалъэм къыщыхэщ цӏыху хуэфащэхэмрэ хуитыныгъэхэмрэ щагъэзэщӏэфыну зы социалнэ икӏи дунейпсо гъэпсыкӏэ системэ щыӏэну.
29-00	29-нэ пычыгъуэ
29-00	Хэти езым и цӏыхугъэм хуиту икӏи икъуу зригъэужьыну амал къезыт цӏыхубэ жылагъуэми къэралми хуищӏэжыпхъэ пщэрылъхэр иӏэщ.
29-01	Хэти и хуэфащэхэр зыщыхуигъэщхьэпэкӏэ икӏи и хуитыныгъэхэр щызэрихьэкӏэ, нэгъуэщӏхэм я хуэфащэхэмрэ я хуитыныгъэхэмрэ хуэгъэпэжын, абыхэм щӏыхь, лъытэныгъэ къыхуегъэщӏын икӏи демократичэскэ жылагъуэм зэдащтэ щэнхабзэр (этикэр), жылагъуэ гъэпсыкӏэр, щыӏэкӏэр егъэфӏэкӏуэным и амалхэр къэхъума хъун папщӏэ хэхауэ къэрал хабзэкӏэ гъэнэхуа гъунапкъэхэм епхауэ щытщ.
29-02	Дауи иррехъу, мы цӏыху хуэфащэхэмрэ хуитыныгъэхэмрэ зыхуэбгъэщхьэпэ, зепхьэ хъунукъым Дунейпсо Къэрал Зэгухьам и гурылъ-гурыщӏэхэмрэ и бзыпхъэхэмрэ (принципхэмрэ) къемызэгъыу.
30-00	30-нэ пычыгъуэ
30-01	Мы джэпсалъэм къыхиубыдэ дэтхэнэ зы хабзэ гъэувар зыгурыбгъаӏуэ хъунукъым мыбы къыщиӏуэтыкӏа хабзэ гъэувахэм щыщ гуэр иӏэтыну, иукъуэну дэтхэнэ зы къэрали, гупи, нэрыбги хуитыныгъэ ирит хуэдэу.
