00-00	Muhdú pámeere páné iiñújɨri ijcyáné mɨ́amúnaa meíjcyáiyóne
11-00	11. Túkevéjtsoju
11-01	Tsaate tsíjtyé hallúvú imityúné úúbállécooca tsá peecútéré menééítyuro ɨ́mɨááné tehdújuco tene íjcyane. Tujkénú páñetu úúbállémeíiyómé muhdú tene íjcyane imíñeúvú mewáájácuki.
11-02	Muuráhjáa taúhbajúi ímíñeúvú pánéévétúnáa tsaate múhdurá íjcyárómé hallúrí tsá pahdu ɨɨná íjcyatúne. Á;ijyúu ímityúné méénúomeke tsá ícyooca íjcyáné taúhbaju néjɨjtórí meúwáábóítyuróne. Méúwáábóiyá téijyúu íjcyáné taúhbaju néjɨ́jtóri. Á;rónáa ihdyu ícyooca tsaate ímityúné méénúhajchíí botsíi méúwáábóiyá muhdú ícyooca íjcyáné taúhbaju néjɨ́ijtóri.
12-00	12. Túkevéjtsoju
12-01	Tsá tsaatéké ɨ́ɨ́nerí mepátsáríjcyóítyuróne; tsá tsaaté já mepátsáríjcyóítyuróne; tsá tsaate tsíjtye éllevu wállóóné waajácúhááimɨ́ meéévéítyuróne; tsá tsaatédítyú néhnijyu mewááóítyuróne. Ehdu nénéhɨ́ ɨhdétú ijcyáné mééma taúhbajúúné pámé wáábyuta meke tene ityéhmeki.
13-00	13. Túkevéjtsoju
13-01	Tsáné iiñújɨri meíjcyame mépiivyété mepééiyóné kiávú méimilléhullévu. Aame méíjcyáiyá kiá meímíllétsihyi.
13-02	Muurá paméváré mépiivyété tsííñé iiñújɨvu mepééiyóne. Aame méóómíiyá méiiñújivu meímíllécoóca. Aane tsá múha meke tsáhájtsóítyuróne. Muurá mépiivyété mepééne meímílléhajchíí téhulle meíjcyaki.
14-00	14. Túkevéjtsoju
14-01	Muurá méiiñújɨri ɨ́cúbáhraméí pañe meíjcyáhajchíí mépiivyété mepééiyóné tsííñé iiñújɨvu. Á;áné iiñújɨ múnaa tsaímíyé meke waatsúcúpéjtsóiyá imí diityémá meíjcyaki. Tsá meke ditye cátúhtsópéjtsóítyuróne.
14-02	Á;rónáa tsáijyu múúne méhdityúré íjcyane ímítyú medárɨ́ɨ́vémeíhijcyámé ihdyu tsá mepíívyetétú tsííñé iiñújɨvu mepééiyóne. Awááréjuco íñe muhdú íhyaamɨ́ pañétú tene néhdu meíjcyátúhajchíí muurá tsá mepééítyuróne.
15-00	15. Túkevéjtsoju
15-01	Paméváré mɨ́amúnaa méijcyá tsáné iiñújɨ múnaa. Aane tsá múha meke nééítyuró tsáné iiñújɨ múnaa meíjcyatúne.
15-02	Téhdure tsá múha meke peecútéré wállóóítyuró tsííñé iiñújɨvu. Téhdure idyé tsá múha meke nééjuri tsííñé iiñújɨ múnáajpíyéjuco meíjcyáítyuróne.
16-00	16. Túkevéjtsoju
16-01	Paméváré mɨ́amúnaa wajpíímumáyé wallémú piivyété ityáábávájcatsíñé iééve úújetétsihvu iímílléhajchííjyu. Aame tsúúca tsája múnaa íjcyame piivyété ɨ́tsɨ́ɨ́maváne. Á;ánetu tsá múha diityéké tsáhájtsóítyuróne. Tsá muhdú tene néétu muutéhjɨ́ ditye íjcyane, muhdú Píívyéébeke ditye úraavyéne. Muurá pámeere piivyété tyáábávájcatsíñe. Aane diitye táábávájcatsímyé avyéjúúlléjcatsíiyá tsahdúre. Téhdure wáágóójcatsíyómé avyéjúúlléjcatsíiyá tsahdúre.
16-02	Á;ánetu tsá muucá metáúhbáítyuró ditye ityáábávájcatsíki. Caatyé ityáábávájcatsíñé imillémé páñetu iiye iímílléhajchíí piivyete ityáábávájcatsíñe.
16-03	Muurá ihdyu páñetu meíjcyájuco teene tsája múnaa meíjcyane. Aame pámeere méijcyá tsahdúré meiinujɨ́ túkevéjtsojɨ́é túkevéjtsójú pañe.
17-00	17. Túkevéjtsoju
17-01	Muurá pámeere tsáápiitsa méijcyátsɨ́hjɨma méijcyáiyá meímílléhajchííjyu. Téhdure tsaaté múnaa iliñújɨma íjcyáiyá iímílléhajchííjyu. Aane tsá múha tsáhájtsóítyuróne.
17-02	Aane tsá peecútéré múhdityú íijcyátsíí múha dójtúcúítyuróne.
18-00	18. Túkevéjtsoju
18-01	Pámeere mɨ́amúnaa mépiivyété muhdú meɨ́jtsámeídyú meíjcyáiyóne, kéjɨjtórí Píívyéébeke meúráávyéiyóne. Téhdure mépiivyété tsájɨjtótú tsɨ́jɨjtóvú mepájɨ́yéiyóné muhdú meímillédu. Aame idyé mépiivyété ɨɨná meɨ́jtsámeíñeri, ɨɨná mecáhcújtsóneri meíhjyúváiyóné mééréétsihvu. Téhdure mépiivyété medóbéévétsihvu tsíjtyeke meúwáábóné keená eúráávyejɨ́jto.
19-00	19. Túkevéjtsoju
19-01	Pámeere mépiivyété ɨ́ɨ́ná meɨ́jtsámeíñé meíjyújcaáyóiyóné tsijtye iwáájácuki. Aane muhdú meɨ́jtsámeíñé meíhjyúváné hallútú tsá múha meke tsárííléítyuróne. Muurá mépiivyété panéváré mewáájane. Téhdure mépiivyété muhdú tsíjtyé ɨ́jtsaméí íjcyane mewáájacúné waajácúhaamɨ́né meéévénej tééveri. Muurá idyé mépiivyété ɨ́ɨ́ná meɨ́jtsámeíñé mecáátunúne, meúwaabóne. Aane páneere mépiivyété ihdyícyáhullévú tsííñé iñújɨɨnévú metsújaúcúne. Ɨ́ñehjɨ páneere mépiivyété meméénune mecáátúnúneri, meíhjyúváneri, panévaríyé muhdú meímillédu. Á;áné hallútú tsá múha meke ɨɨná nééítyuróne.
20-00	20. Túkevéjtsoju
20-01	Pámeere mépiivyété tsatsíhvú medóbeevéné mepítyácójcatsíki. Téhdure mépiivyété tsáha múnaa tsáné wákimyei meenuhá pañévú meúcaavéne.
20-02	Á;rónáa ihdyu tsá múha meke ávyeta táúhbáítyuró tsáha múnáajpi meíjcyaki.
21-00	21. Túkevéjtsoju
21-01	Pámeere mépiivyéterá méiiñújɨ́ túkevéjtsojɨ́e íjcyáha múnáá pañévú meúcáávéiyóne. Meere meúcaavéné mepíívyetétúhajchíí tsíjtyeke meméménúmeke méwáállóóiyá mécápayóóve.
21-02	Muurá paméváré mépiivyéterá méiiñújɨ́ túkevéjtsojte níwáávéné wákimyéiháñé meméénúiyóne.
21-03	Muurá pámeere mɨ́amúnaáré mémenúmé tsáné iiñújɨ́ túkevéjtsojte ijcyáhi. Teene meenúmé caatyéké ityújkevééllémeke téévéneúvúré imyéménúneri. Aane tsá tsaatéré píívyetétú teene imyééñune. Muurá pámeere mépiivyété memémenúne. Á;rónáa tsá múha meke táúhbáítyuró tsaate metújkevééllétúmeke meméménuki. Meere páñetu caatyé meɨ́jtsúcunúmeke mémeménúiyáhi. Téhdure idyé mémeménúiyá tsaatéké muhdú meímílléjɨ́jtori. Á;rónáa ihdyu ímíñeúvú tene íjcyáiyódú méméénúiyáhi.
22-00	22. Túkevéjtsoju
22-01	Pámeere méhdi íjcyáiyóné ɨ́ɨ́ne tájpi meíjcyane. Á;nejcútú méiiñújɨ́ avyéjujte meke pɨ́áábóiyá ipíívyetédúneri. Téhdure tsíñéhjɨ́ iñújɨɨne múnaa dsɨ́ɨ́dsɨvámé meke pɨ́áábóiyá ɨ́ɨ́ne tájpi meíjcyáiyóné meíjcyátsótúmeke. Aame ɨ́ɨ́ná meke pɨ́htotúmé tsúúca imí mepánéévémedi tsá múha méhdi úúhɨ́vatéítyuróne. Ehdu méíjcyáiyá imí memúnáama meíjcyame meúráávye méɨhdé múnáaúvúu úráávyehíjcyánetu kéjɨtójɨ́ imí meɨ́jtsúcunújɨjtójɨ.
23-00	23. Túkevéjtsoju
23-01	Pámeere mépiivyété méwákimyéima meíjcyáiyóne. Á;rónáa idyé tsá tééneri ávyétá ɨcúbáhraméí meméénúítyuróne. Aane teene wákimyéí túkévejtsómé tsaímíyé meke túkévéjtsóiyáhi. Á;ánetu tsáijyu múúne tsaate íwákimyéima íjcyátúhajchíí paméváré mepɨ́áábóiyá téhdure íwákimyéima ditye iíjcyaki.
23-02	Pámeere mépiivyété tsahdúré meújcúiyóné méwákimyéi áhdó muhdú mewákímyeíñé tujkévevu.
23-03	Pámeere wákimyéi múnaa ɨɨná íwákímyeíñe áhdó újcúiyá tééne tájpí ɨ́ɨ́sɨ́mema imí íjcyame iávyejúúllémeíki. Aane tsáijyu múúne tsaaté wákimyéi áhdó úújetétúhajchíí tsɨ́jɨjtóriyéjuco diityéké tene ahdómeíiyóné tsijtye diityéké pɨ́áábóneri.
23-04	Pámeere wákimyéi múnaa piivyété idyóbéévéne ipityácójcatsíiyóné muhdú iwákimyéí tsíñéhjɨma íjcyane iímíbáávyétsoki.
24-00	24. Túkevéjtsoju
24-01	Pámeere mépiivyété méwákimyéityúi tsárahja mewáyééévéiyóne. Aane tsá méwákimyéí mepátyéévétsóítyuróne. Eevéríyé méwákímyeíiyáhi. Muurá téénéllii ijcyáné téénetu mewáyééévehíjcyárahjɨ. Á;rójcoojɨ́jɨ áhdó méújcúiyá téjcoojɨ́jɨ́ mewákímyeítyúrónáaáca.
25-00	25. Túkevéjtsoju
25-01	Pámeere mépiivyété tsaímíyé meíjcyáiyóné méétsɨ́ɨ́mema. Aame mehjáháñema meíjcyámedítyú tsá majcho, wájyamu, tsíñehjɨ ɨ́ɨ́ne tájpí meíjcyáiyóné pɨ́htóítyuróne. Mechémécooca métáábímyéiyáhi. Ijcyáné tsíñehjɨ téhdure imí meke pɨ́áábóíyonéhjɨ. Á;nejcúhjɨtu mépɨ́áábójcatsíiyá imí tsaméhjɨ́ meíjcyaki. Tsaate íwákimyéima íjcyátúmeke mépɨ́áábóiyá ditye téhdure íwákimyéima iíjcyaki. Téhdure kéémemu, pííbájyujte tsijtye ɨ́dátsó nééme iwákímyeíiyóné píívyetétúmeke mépɨ́áábóiyáhi.
25-02	Téhdure idyé walléémú éévájtema tsɨɨniéwuúmuke tsaímíyé météhméiyá imí ditye iíjcyaki. Tsá apáámyéré imí ityáábávájcatsíñe tsɨ́ɨ́máváméj tsɨ́ɨ́meke metéhméítyuróne. Téhdure imí táábávájcatsítyúróméj tsɨ́ɨ́meke tsaímíyé météhméiyáhi.
26-00	26. Túkevéjtsoju
26-01	Pámeere mépiivyété waajácúhaamɨ́é mɨ́ɨ́téiyóne. Tsá tsɨɨme waajácúhaamɨ́né ɨ́ɨ́tetúmé íjcyáítyuróne. Imíllémeiñé pámeere tsɨɨme waajácúhaamɨ́né ɨ́ɨ́téiyóne. Aane tsá áhdómeítyúne. Téhdure pámeere mépiivyété éhnííñevújuco íjcyáné uwáábovu meúcáávéiyóné méwákimyéima meíjcyaki. Tsá tsaaté wáábyutáré tene íjcyáítyuróne.
26-02	Páneere uwáábó ijcyá méwáábyuta meke tene wájácúúvetsómé pamévakéré maávyejúúlleki. Aame tsá meéhdɨɨválléítyuró tsííñé iiñújɨ múnaa, tsíjyúhjɨri íhjyuvámee, Píívyéébé icyánéjcú pahdúváré úráávyerómee, íjcyámeke. Á;ánej tééveri 'Páné Iñújɨ́ɨ́ne Múnáá Pihcyááve' némeímyé túkevéjtsoju néhdu páhduube cómíñe múnáajpi imí iíjcyaki.
26-03	Muurá pámeere mépiivyété méétsɨ́ɨ́meke keená imí meɨ́jtsúcunúné ditye áábohíjcyátsihvu meúácóiyóne.
27-00	27. Túkevéjtsoju
27-01	Pámeere mépiivyété muhdúhjáa meɨhdé múnáaúvú icyahíjcyánetu imí meɨ́jtsúcunújɨtójɨ́ meúráávyéiyóné majtsíháñe, nuutáháñema tsíñehjɨ imí nénehjɨ. Á;néhjɨtu tsá múha meke píívyetétú ibóíjcyúiyóne. Téhdure tsíñehjɨ éhniíñevu mépiivyété mewáájácúiyóné méicyánéjcúene íjcyátúronéhjɨ keená meke pɨ́ááboiyonéhjɨ́ mewáájácuki.
27-02	Pámeere mépiivyété meméénúiyóné tsane, mecáátúnúiyóné tsáné ɨ́jtsaméi. Á;néhjɨ́ hallúvú ímichi teene méénume dsɨɨdstváiyáhi. Tsá tene ímíllémeítyú tsane meméénune tsijtye iékéévéné hallúvú dsɨɨkɨ́stváiyóne.
28-00	28. Túkevéjtsoju
28-01	Pámeere tsíñéhjɨ́ iñújɨ́ɨ́ñe múnáama mépiivyété meíjcyáiyóné túkevéjtsójú pañe imí meíjcyaki. Á;ánélliihyée muurá páhduube panévá iñújɨ́ɨ́ne múnáajpi idyóbéévéne meenú túkevéjtsoju. Aane tútávájtsóíyóné taúhbaju muurá tsá íjcyatúne. Ehdu ijcyáiyóné muhdú íhyaamɨ́ pañétú tene néhduú.
29-00	29. Túkevéjtsoju
29-01	Pámeere máhallúrí teene memúnáama imí meíjcyánetu meke pɨ́aabóné meméénúiyóne. Á;ánetu méwaajácúiyá ɨ́mɨ́ááné tsúúca mewájácuuvéjucóómé imí mepáneevéne.
29-02	Á;ánéllii tsúúca ijcyáné mééma panévatúré meke túkévéjtsóíyóné taúhbajúúné pámeere tsahdúré imí meíjcyaki. Aame tsá metútávátsójcatsíítyuróne. Pámeere pátsáricyójcatsítyúmé meíjcyáiyá tsahdúré imí meíjcyaki. Tsá múha píivyetétú iímillédú meke idyárɨ́ɨ́véiyóné tehdu múhójtsɨ́ pañé meíjcyámekéjɨ́ɨ́vari.
29-03	Muuráhjáa iñe túkevéjtsojúúné néhdu tsaímíyé méíjcyáiyáhi. Aane tsá múha tsíhdyúréjtsóítyuró 'Páné Iñújɨ́ɨ́ne Múnáá Pihcyááve' némeiñé pañée íjcyame méénúné túkevéjtsojúúne.
30-00	30. Túkevéjtsoju
30-01	Páneere iñe íhyaarnɨ́ pañe ijcyáné túkevéjtsoju méénúmeíñé tsá múha tsíñejcúvúré illéébóne iímillédú tsaatéké dárɨ́ɨ́véityuróne. Tsáijyu múúne tsaápi, tsaáte, méiiñújɨ́ túkevéjtsojte ijcyarómé tsá tehdu méénúítyuróne.
