00-00	Timatsi Cameetsatatsiri Acoajeitaqueri: Te Oncameetsateji Intsaneemparo.
02-01	Acoajeitaque irimajeitero maaroni atiri oca cameetsayetatsiri asanquenatacotaqueri. Te oncameetsateji intsaneacoteari. Tempa amoncaratavacaaj ej taca, eiro acantiritsi itsipapee "Eiro noshinetimpitsi avirori. Pinashita, te pishanincatenaji, onashita pimeshina, aviro tsinane, onashita pineane, onashita piquemisantiri, piponeaca pashiniqui quipatsi, te pashitaarantea, te pimpincatsateji. Te pincameetsateji." Te oncameetsateji ancantayetero ocapee, irointi ocameetsati aacameetsatavacaajeitea, maaroni.
03-00	Ayojeitaqueri, 3.
03-01	Te oncameetsateji iroyeetee, te oncameetsateji iroiminquiashiyeetee, te oncameetsateji iroashinonqueetee
04-00	Ayojeitaqueri, 4.
04-01	Te oncameetsateji irinoshiqueeteri atiri imperanatanteeteariri, intsameetacaanteariri. Te oncameetsateji intsameetacaayeeteri caari coatsi intsameete. Ocameetsati impinayeeteri maaroni tsameetantatsiri.
05-00	Ayojeitaqueri, 5.
05-01	Te oncameetsateji iroatsinayeeteri atiri, te oncameetsateji impasanatapiniterj, te oncameetsateji iroashinoqueeteri, te oncameetsatej i impashiventacayeari
06-00	Ayojeitaqueri, 6.
06-01	Tempa atiri anajeitaque, aquempetavacaajeitaca. Te oncameetsatej i incantajeitee a gobierno, covariria aisati joeshi: "Caari pini atiri. Te pinquempetenaji narori."
07-00	Ayojeitaqueri, 7.
07-01	Queario aquempetavacaajeitaca Ocameetsati incavintsaajeitee maaroni itiancanepee gobierno, anquempejeitanteariri maaroni itsipapee. Te oncameetsateji incanteete: "Te pincameetsateji aviron."
08-00	Ayojeitaqueri, 8.
08-01	Timatsi ishinejeitaqueeri avincatsaritepee. Intimerica coatsineri intsaneapitsajeiteero, ocameetsati incantacoventajeitee yora pincatsaripee. Te oncameetsatej i irishineteri oashinoncaajeiteeneme.
09-00	Ayojeitaqueri, 9.
09-01	Terica ontime antayetiri, te oncameetsateji iraashitee yora covaririya, te oncameetsateji iroiminqueashijeitee. Aisati te oncameetsateji iraashitee pashinique quipatsi.
10-00	Ayojei taqueri, 10.
10-01	Intimerica cantatsineri otimi caari cameetsatatsi antaqueri, ocameetsati intime caari quisheene, irisampitacojeitanteeri. Yora caari quisantatsi iriotanaque queariorica icantiri yora cantacoventeeneri.
11-00	Ayojeitaqueri, 11.
11-00	Ariorica intime atiri cantacoventeeri: "Timatsi yantiri, poiminqueri." 1ro cantaincha te oncameetsateji incante pincatsari: "Queario, timatsi yantin." Ocameetsati irijivate inquemisantee arori iriotasanotanteari jaoca ocanta maaroni. Ocameetsati iriotacojeitero maaroni ashanincapee, oncanteata eiro yoasanquetashiyeetee.
11-01	Ariorica otimi antayetiri caari itsaneacojeiteeri avincatsari te. Impoij i incanterica avincatsaritepee te oncameetsateji oca antayetiri. 1ro cantainéha te oncameetsatej i inquisacoteero oca antitacari peerani. Pineaquero, peerani antantacarori, te intimeji tsaneacojeiteeroneri.
12-00	Ayojei taqueri, 12.
12-01	Te oncameetsateji irashereashitee itsipapee aisati eiro iqueashiteemparo avanco irashereanteeri. Te oncameetsatej i iramenashitearo asanquenayetiri ariorica acoaque amanaquero. Te oncameetsateji incantashijeite ashanincapee: "Te incameetsateji yoca, timatsi yantayetiri." Ocameetsati intsaneaqueari yora avincatsaritepee.
13-00	Ayojeitaqueri, 13.
13-00	Oshinetaca anquenayetanaque jaocarica anta aipatsitequi. Te oncameetsateji intsaneacojeiteero.
13-01	Ancoaquerica ajate pashiniqui quipatsi, te oncameetsatej i intsaneacoj citee avincatsaritepee. Aisati ancoaquerica ampiaje aipatsitequi, te oncameetsateji intsaneacojeiteero avincatsarite.
14-00	Ayojeitaqueri, 14.
14-00	Ariorica inquisashijeitee ashanincapee arori anta aipatsi tequi, ocameetsati iraacameetsajeitavaquee itsipapee atiri anta iipatsitequi iriori.
14-01	1ro cantaincha ariorica antaquero caari cameetsatatsi aipatsitequi, eiro ajititsi iraacameetsajeitavaquee itsipapee atiri.
15-00	Ayojeitaqueri, 15.
15-00	Ocameetsati ashanincatasanoj eiteari maaroni savicajeitatsiri aipatsitequi.
15-01	Te oncameetsateji incantashitee avincatsaritee: "Te aviro noshaninca." Aisati te oncameetsateji incantee: "Eiro noshinetimpitsi pishanincateari itsipapee atiri."
16-00	Ayojeitaqueri, 16.
16-00	Ariorica irantearitaque shirampari aisati tsinane, oshinetaca iraye aisati ocameetsati intime itomipee. Te oncameetsateji incanteeteri: "Te pishanincatenaji: eiro pai; onashita piquemisantiri: eiro pai." Irointi tsinane omoncarataqueri shirampari. Opincatsataca irosati: oshinetaca oncanteri shirampari ocoaquerica ayeri; aisati, ariorica airi omoncarataqueri, aisati oshinetaca oncante ocoaquerica ojocajeri.
16-01	Terica incoye shirampari iraye, aisati terica oncoye tsinane aye, te oncameetsateji imperanayeeteari iraavacaajeitea.
16-02	Ocameetsati avamejeiteri atomipee amejeitari aisati avamejeiteri irantapinitero cameetsatatsiri. Eirorica avametasanotiri cameetsa, eiro yaacameetsatavacaajeitatsi ashanincapee.
17-00	Ayojeitaqueri, 17.
17-00	Ocameetsati irashitaarantea maaroni atiri. Ocameetsati irashitearo apaniro, aisati incoaquerica incarajeiteri itsipapee irashijeitearo maaroni.
17-01	Te oncameetsatej i iraapitsayeeteri irovararo.
18-00	Ayojeitaqueri, 18.
18-01	Ocameetsati anquenqueshiretero paitapeerica acoajeitiri, aisati ocameetsati anquemisante, ancoaquerica. Te oncameetsateji inquishimenteero avincatsarite. Ancoaquerica avashiniajero aquemisantiri, aisati oshinetaca. Ocameetsati amajeitero apaniro, aisati ocameetsati ancarajeiteri maaroni ashanincapee amajeitantearori. Ocameetsati avamej eiteri itsipapee, aisati antayetero icoacayeeri Atasorentsite.
19-00	Ayojeitaqueri, 19.
19-01	Ocameetsati anquenqueshiretero paitapeerica acoayetiri aisati ancamanteri itsipapee; te oncameetsatej i inquishimenteeteero. Ocameetsati avamejeiteri aisati savicajeitatsiri pashinipeequi quipatsi.
20-00	Ayojeitaqueri, 20.
20-00	Ocameetsati ampatojeitea avametavacaaj eitanteari. Te ocameetsatej i intsaneemparo.
20-01	Terica ancoye, te oncameetsateji incanteetee: "Jeri yoca pincarajeitapiniteri."
21-00	Ayojeitaqueri, 21.
21-00	Ocameetsati ancamanteri avincatsarite paitarica acoajeitiri irantayeteri. Ariorica ancamantasanoteri arori: terica aneeri arori, ancoyeaqueri ashaninca, antianqueri incamanteri iriori.
21-01	Te oncameetsateji incanteetee: "Te pincameetsateji, tecatsi pincantea pamitacoteri avincatsarite."
21-02	Te oncameetsátej i impincatsatashitea avincatsaritepee, irointi ocameetsati ancoyeajeiteri pincatsariventajeitaqueeri. Ocameetsati irishinejeitee ampiitapinitero ancante janicarica acoaque impincatsariventajeitee. Ocameetsati asanquenatero, te oncameetsateji iriote pincatsari janicarica caari coatsi impincatsaritaje aisati: tempa iquishiricari.
22-00	Ayojeitaqueri, 22.
22-01	Ocameetsati iraacameetsatavacaajeitea maaroni savicajeitatsiri iipatsitequi, te oncameetsateji irashinoncaajeitea aparopee. Timatsi coiteimojeiteeri: avari, avararo; acoajeitaque ashanincapee aácameetsateeri; acoajeitaque aisati amayetero amejeitacari. Te oncameetsatej i intsaneemparo.
23-00	Ayojeitaqueri, 23.
23-00	Ocameetsati ontime jaocarica antaroaj ateri oncanteata amanantantearori coiteimoteeri. Ocameetsati antaroajate jaocarica acoiri; te oncameetsatej i incamantee itsipapee paitarica antayeterl. Te oncameetsatej i aisati iroashiventacaajeitee yora tsameetacayeeri. Te oncameetsateji aisati incantajeitee: "Eiro pitsameetitsi."
23-01	Ariorica amoncarataqueri itsipapee antaroajataque, ocameetsati irimoncarataquea quireiqui impinayeeteeri.
23-02	Ariorica antaroajate, ocameetsati impinatasanojeitee yora ataroajatiniri oncanteata eiro ashinoncatsi. Aisati te ancoyeji ashinoncayea ajina aisati atomipee. Ariorica ashinoncaavetea, ari ocameetsati incavintsayee itsipapee.
23-03	Ancoaquerica, ocameetsati ancaraj eiteri i tsipapee taroajatiniriri avatorote ancamantajeiteri paita acoajeitiri. Ariorica amitacotavacaajeitea inquemisantajeitee, impajeitee maaroni irevijeitaqueeri.
24-00	Ayojei taqueri, 24.
24-01	Ocameetsati irishinejeitee avatorote amaoreapini te. Te oncameetsatej i intsameetacaapinijeitee osamani. Cameetsa irishinejeitee amaoreajeite aparopee quitaiteri fiesta, aisati impinajeitee oquempetaca ataroaj ataque.
25-00	Ayojeitaqueri, 25.
25-00	Tempa acoajeitaque avari, aitsaare, avanco aisati aavintarontsi. Ariorica antsameeteneri avatorote ocameetsati impinatee quireiqui amanantantearori maaroni coiteimojeiteeri, aisati coiteimotirori ajina aisati atomipee. Aisati terica amatero antaroajate, aisati ariorica anteashipatanaque oncameetsate ontime coiteimoteeri. Aisati ocameetsati ontime coiteimoterori camajimentaaro iroori.
25-01	Ocameetsati ancavintsaasanotero tsinane timatsiri otomipee, aisati ocameetsati ncavintsaasanoteri irijaniquipee, maaroni. Irinti cavintsaasanojeiterineri ishanincapee iriori.
26-00	Ayojeitaqueri, 26.
26-00	Ocameetsati ontime irishitoriatanteari maaroni atiripee. Ariorica inquee primaria, jero aisati segundaria, te oncameetsateji impinatero inqueanteari escoera. Ocameetsati aisati imperanayeeteari inquee, te oncameetsateji irisoquijaye evancaripee. Ocameetsati ontime pashinipee escoera iriotanteari ashanincapee mecanico, agropecuaria, paitapeerica. Ocameetsati ontime aisati universidad inqueanteari matasanotirori sanquenarentsi. Ariorica impinatero irointi yora queajeitatsiri.
26-01	Ocameetsati avamejeiteri queajeitatsiri escoeraqui intimajeite cameetsa, incavintsaajeiteri itsipapee aisati irishineteri itsipapee intime cameetsa. Tempa ocameetsati ancavintsaajeiteri itsipapee, aacameetsajeiteri. Eiro aquisashitaritsi poneachari pashiniqui quipatsi, neanatantarori otsipapee neantsi. Aisati eiro aquisashiyetaritsi nashitachari imeshina, aisati yora caari quempejeiteene iquemisanti. Ocameetsati amitacojeiteri maaroni atiri aacameetsatavacaajeitea, antimajeite Cameetsa.
26-02	Yora ashitariri itomipee irio cantatsineri jaocarica intianqueri itomipee inqueanteari escoera.
27-00	Ayojeitaqueri, 27.
27-00	Oshinetaca irantajeitero maaroni oca yantayetiri ishanincapee. Te oncameetsatej intsaneempari. Ocameetsati iriveshireimentearo timayetatsiri inampiqui: escoera, campo, iroane, maaroni.
27-01	Ariorica irovetsiquero ashanincapee paitarica, aisati ariorica irisanquenatero paitarica, tempa iriotaque ashitarori. Incoaquerica, ocameetsati impimantero; te oncameetsateji incoshiyeeteri.
28-00	Ayojeitaqueri, 28.
28-01	Ocameetsati irishinejeiteero avincatsaritepee oca asanquenatacotaqueri; te oncameetsateji intsaneapitsateero.
29-00	Ayojeitaqueri, 29.
29-00	Ariorica ancoaque antimajeite cameetsa, eiro acantashitapinitari itsipapee incavintsaajeitee, aisati iramitacojeitee. Irointi ocameetsati ancavintsaajeiteri iriori, ami tacojeiteri. Impoijiquea antimajeite cameetsa.
29-01	Otimi oshequi cameetsayetatsiri asanquenatacotaqueri. Ocameetsati amayetero oca acoajeitiri aisati amejeitacarica. 1ro cantaincha te oncameetsateji antsaneaqueari oca icoajeitaqueri itsipapee. Yora pincatsari aisati yora covariria aisati yora joeshi incamantajeitee paitarica antajeiteri oncanteata eiro ashereiritsi itsipapee, aisati oncanteata eiro avashinoncairitsi.
29-02	Ocameetsati maaroni oca ashinejeitiri itsipapee, iro cantaincha te oncameetsateji irantero caari acoacaajeitaqueririca maaroni atiripee.
30-00	Ayojeitaqueri, 30.
30-01	Ocameetsati amoncarajeitero maaroni asanquenajeitaqueri aca. Te oncameetsateji intsaneapitsaj eiteero avincatsaritepee aisati ashanincapee. Ocameetsati ashinejeiteri maaroni atiri irisavicajeite cameetsa.
