00-00	KEDEŊGA KPEEKPE YƆƆ ƐYƱ WALA TƆM
01-01	Palʊlʊʊ ɛyaaa nɛ pa-tɩ yɔɔ wɛʊ kpaagbaa nɛ pɛwɛɛ kɩmaŋ wala ɛsɩndaa. Palʊlʊʊ-wɛ nɛ pɔ-lɔŋ nɛ pa-maɣzɩm; mbʊ yekina nɛ pɔsɔɔlɩ ɖama se pɛkɛ ɛyaa pa-tɩŋgɛ.
02-00	Hɔɔlaɣ 2
02-01	Paa ɛyʊ weyi, ɛkɛ kɩsɛm, kɩkpɛdʊ, kʊhʊlʊm, ñɩmdʊ, kɛdɛyaɣ, paa ɛkɛ cɔɔcɩ ŋgʊ kɩ-taa tʊ, ɛlaɣ sɩɩnaa, ɛpɩzɩɣ ɛtɔ se kedeŋga kpeekpe yɔɔ ɛyʊ wala wena pɔyɔɔdɩ a-tɔm cɩellnɛ yɔ, akɛ ɖɔɖɔ ɛ-ñɩna.
02-02	Mbʊ ɖɔɖɔ paa ɛyʊ ɛlɩna le, ɛkɛ ɛjaɖɛ nɖɩ ɖɩwɛ ɖɩ-tɩ yɔɔ yɔ, ɖɩfɛyɩ ɖɩ-tɩ yɔɔ yɔ ɖɩ-taa tʊ, yaa ɖɩ-poliitikii kɛ ŋgʊ, paapɩzɩɣ pɔtɔ se ɛyʊ wala tɔm tʊnɛ tɩdataɣna-ɩ.
03-00	Hɔɔlaɣ 3
03-01	Paa anɩ, ɛwɛna waɖɛ se ɛwɛɛna wezuu, ɛwɛɛ ɛ-tɩ yɔɔ nɛ ɛkandayɩ ɛ-tɩ yɔɔ.
04-00	Hɔɔlaɣ 4
04-01	Pɩfɛyɩ se nɔɔyʊ ɛwɛɛ yomiye taa; ɛlɛ padaaɖʊ-ɩ ɖɔɖɔ kʊñɔŋ. Pekizi yomiye tɔm.
05-00	Hɔɔlaɣ 5
05-01	Pɩfɛyɩ se paɖʊ nɔɔyʊ kʊñɔŋ, pɛkpɛŋgɛsɩ-ɩ, yaa palabɩ-ɩ mbʊ pɩdamʊna se pala ɛyʊ yɔ.
06-00	Hɔɔlaɣ 6
06-01	Paa anɩ, ɛwɛna waɖɛ se paa le, paya-ɩ se caa akele.
07-00	Hɔɔlaɣ 7
07-01	Ɛyaa kpeekpe wɛ kɩmaŋ paɣtʊ ɛsɩndaa nɛ pɛwɛɛna waɖɛ ɖɔɖɔ se paɣtʊ ɛkandayɩ pɔ-yɔɔ kɩmaŋ. Yee palakɩ-wɛ nabʊyʊ nɛ pɩfɛyɩ ɖeu, yaa pɩɩɖɔŋ paɣtʊ nʊmaʊ ta, pɩwɛɛ ɖɔɖɔ se pakandayɩ pɔ-yɔɔ kɩmaŋ.
08-00	Hɔɔlaɣ 8
08-01	Paa anɩ, ɛwɛna waɖɛ se pacaɣ-ɩ tɔm yaa pomuluu-i faŋŋŋ wala wena paɣtʊ ha-ɩ yɔ a-nʊmaʊ taa, ewolo eheyi ɛjaɖɛ taa tɔm hʊyaa.
09-00	Hɔɔlaɣ 9
09-01	Paapɩzɩɣ pakpa nɔɔyʊ faŋŋ paɖɩɣ yaa pɛkɛzɩ-ɩ tɛtʊ.
10-00	Hɔɔlaɣ 10
10-01	Yee pakpa ɛyʊ nɔɔyʊ se ɛlabɩ nabʊyʊ, ɛwɛna waɖɛ se pahʊʊ ɛ-tɔm fayɩɩ nɛ pana; tiɖeɣ yaa tɩsɩkɩ.
11-00	Hɔɔlaɣ 11
11-01	Ɛyʊ weyi pakpa-ɩ nɛ padahʊda ɛ-tɔm yɔ, pɔcɔŋna-ɩ se ɛdɛwɛɛkɩ pʊyʊ; a-aseɣɖe tɩnaa nɛ ɛ-yɔɔ kandɩyaa pasɩŋgɩɣ ɛ-wayɩ, pahʊʊ ɛ-tɔm fayɩɩ ɛzɩ paɣtʊ pɔzʊʊ yɔ, nɛ pana toovonum.
11-02	Paakpaɣ ɛyʊ sɔnɔ ɖooo mbʊ ɛɛlaba nɛ pɩdaafɛyɩ paɣtʊ taa yɔ, pʊ-yɔɔ; yee pʊ-wayɩ pʊkɔma pɩlɩɩ se ɛɛlabɩ mbʊ yɔ pɩkɛ kɩwɛɛkɩm, nɛ pʊpɔzʊʊ se pɔhɔ ɛ-naŋgbaŋgʊʊ kɔyɔ, paɣtʊ kɩbɩndʊ yɔɔ patɩŋgɩɣ.
12-00	Hɔɔlaɣ 12
12-01	Pɩfɛyɩ ɖeu se ɛyʊ nɔɔyʊ ɛɖʊ ɛ-nɔɔ lɛlʊ tɔm taa yem yem.
13-00	Hɔɔlaɣ 13
13-01	Paa anɩ, ɛwɛna waɖɛ se ewolo paa le, ɛcaɣ ɖenɖe e-liu wɛɛ yɔ paa ɛjaɖe nɖɩ lɛ ɖɩ-taa.
13-02	Paa ɛyʊ weyi, ɛwɛna waɖɛ se ɛkʊyɩ ɛjaɖɛ nɖɩ ɛwɛ ɖɩ-taa yɔ, paa pɩkɛ ɛ-ñɩnɖɛ, nɛ pɩmaɣ-ɩ ɖooye lɛ, ɛpɩsɩ.
14-00	Hɔɔlaɣ 14
14-01	Yee palɩ ɛyʊ nɔɔyʊ wayɩ ɖoli faŋŋŋ, ɛwɛna waɖɛ sɛ eñɩnɩ kʊyʊʊ ɖʊɖʊyɛ. Ɛtalɩ le, padaalɔ-ɩ.
14-02	Ɛlɛ, yee toovonum, ɛwɛɛkɩ nabʊyʊ nɛ pañɩnɩɣ-ɩ se pakpa-ɩ, ɛfɛyɩna waɖɛ se ɛɖʊ kʊyʊʊ ɖoli.
15-00	Hɔɔlaɣ 15
15-01	Paa ɛyʊ weyi, ɛwɛna waɖɛ se ɛyaa ɛjaɖɛ naɖɩyɛ se ɛ-tɛ.
15-02	Pɩfɛyɩ se pekizina nɔɔyɔ se ɛdaayaa ɛ-ɛjaɖɛ se ɛ-tɛ yaa ɛdaa lɛɣzɩ tɛ.
16-00	Hɔɔlaɣ 16
16-01	Halɩbiya nɛ abalɩbɩya, paa pɛ-tɛ le, palakɩ cɔɔcɩ ŋgʊ, patalɩɣ pe-ɖeɖe lɛ, pɛwɛna waɖɛ se pawalɩ, pakpaɣ halaa nɛ papɩsɩ ɖɩsɩ nɛ sɩ-tɩnaa. Pa-wala wɛ kɩmaŋ halɩkpaɣyɛ ɖeɖe; abalʊ wɛna waɖɛ se ekizi ɛ-halʊ nɛ ɛɖɔɔnɩ-ɩ; halʊ ñɛwɛna waɖɛ ɖɔɖɔ se ekizi ɛ-walʊ nɛ ɛkʊɩ ɛ-yɔɔ.
16-02	Pɛlɔ nɛ evebu, petisiɣ se pɔsɔɔlɩ ɖama nɛ pʊcɔ palabɩ-wɛ halɩkpaɣyɛ sɔnzɩ. Pɩfɛyɩ pakpa pa-taa nɔɔyɔ nɛ ɖoŋ.
16-03	Mɩzaɣ kɛna samaɣ hoye; kɛwɛna waɖɛ se samaɣ nɛ kewiyaɣ pakandayɩ kɔ-yɔɔ.
17-00	Hɔɔlaɣ 17
17-01	Ɛyʊ paa weyi, paa ɛwɛ e-ɖeke, paa ɛwɛ lalaa hɛkʊdaa, ɛwɛna waɖɛ se ɛwɛɛna ñɩm.
17-02	Pɩfɛyɩ ɖeu se pɛlɛɣ nɔɔyʊ ɛ-ñɩm faŋŋŋ.
18-00	Hɔɔlaɣ 18
18-01	Paa anɩ, ɛwɛna waɖɛ se elɩzɩ ɛ-lɩmaɣza faaa, ɛtɩŋ ɛsɔ tɔm nʊmaʊ ŋgʊ ɛsɔɔlaa yɔ. Pʊ-tɔbʊʊ se waɖɛ ɖɩnɛ ɖiyekina nɛ ɛyʊ pɩzɩ eyele ɛsɔ tɔm nʊmaʊ nakʊyʊ nɛ ɛtɩŋ lɛɛkʊ, ɛpɩzɩ ɛwɩlɩ ɛsɔ tɔm nʊmaʊ ŋgʊ ɛtɩŋgɩɣ-kʊ yo kʊ-tɔm lalaa faaa; paa ɛwɛ e-ɖeke yaa ɛ nɛ lalaa, ɛpɩzɩɣ ɛla pʊ-tʊmɩyɛ.
19-00	Hɔɔlaɣ 19
19-01	Paa ɛyʊ weyi, ɛwɛna waɖɛ se ɛyɔɔdɩ faaa ndʊ ɛmaɣzɩɣ yɔ; pʊ-tɔbʊʊ se sɔɔndʊ ɛdaakpa ɛyʊ nɔɔyʊ se ɛɛyɔɔdɩ natʊyʊ nɛ palabɩ-ɩ nabʊyʊ. Pʊ-tɔbʊʊ ɖɔɖɔ se ɛyʊ wɛna waɖɛ se ɛkɛdɩ lalaa ndʊ ɛsɩma, ɛnaa yaa ɛnɩwa yɔ.
20-00	Hɔɔlaɣ 20
20-01	Paa anɩ, ɛwɛna waɖɛ se ewolo kediɣzaɣ nɛ ɛwɛɛna ŋgbɛyɛ.
20-02	Pɩfɛyɩ se pakpa nɔɔyʊ nɛ ɖoŋ se ɛsʊʊ ŋgbɛyɛ naɖɩyɛ taa.
21-00	Hɔɔlaɣ 21
21-01	Paa ɛyʊ weyi, ɛwɛna waɖɛ se ɛɖʊ ɛ-nɔɔ ɛ-ɛjaɖɛ ɖɔkʊʊ tʊmɩyɛ tɔm taa. Ɛmaɣmaɣ ɛpɩzɩɣ ɛla lɩmaɣza yaa ɛtɩŋna samaɣ lɩzɩ ɛyaa mba se pɔɖɔkɩ ɛjaɖɛ yɔ pɔ-yɔɔ.
21-02	Paa anɩ, ɛwɛna waɖɛ se ɛla kewiyaɣ tʊmɩyɛ naɖɩyɛ.
21-03	Samaɣ sɔɔlɩm kɛna kewiyaɣ ɖoŋ tigiɖe. Takayɩsɩ ɖʊzʊʊ panaɣna samaɣ sɔɔlɩm mbʊ.
22-00	Hɔɔlaɣ 22
22-01	Paa ɛyʊ weyi, ɛwɛna waɖɛ se samaɣ ɛkandayɩ ɛ-yɔɔ. Kandayʊʊ mbʊ piyekina nɛ ɛyʊ wɛɛ ɛ-tɩ yɔɔ, ɛhɛzɩ ñɩm nɛ ɛsɛkuliye pa-ñɩnʊʊ nʊmaʊ taa.
23-00	Hɔɔlaɣ 23
23-01	Paa anɩ, ɛwɛna waɖɛ se ehiɣ tʊmɩyɛ, tʊmɩyɛ nɖɩ ɛsɔɔlaa yɔ, ɛlabɩ-ɖɩ nɛ mulum ɛdaawɛɛ.
23-02	Ɛyaa kpeekpe wɛna waɖɛ se, palakɩ tʊmɩyɛ kʊɖʊmɖɩyɛ kɔyɔ, pɛhɛyɩ-wɛ kɩmaŋ, mulum ɛdaawɛɛ.
23-03	Ɛyʊ weui ɛlakɩ tʊmɩyɛ yɔ, pʊmʊnaa se pɛhɛyɩ-ɩ camɩyɛ, pɩtalɩ ɛ nɛ ɛ-mɩzaɣ nɛ padaala kʊñɔŋ samaɣ taa.
23-04	Paa anɩ, ɛwɛna waɖɛ se ɛ nɛ lalaa paɖʊ ŋgbɛyɛ; ɛ-ŋgbɛyɛ ɛkpɛndɩ aŋgba lɛɛna yɔɔ, aŋgba ana awɛɛ ɖoŋ nɛ akandayɩ ɛ-yɔɔ.
24-00	Hɔɔlaɣ 24
24-01	Paa anɩ, ɛwɛna waɖɛ se ɛhɛzɩ nɛ ɛcalasɩ ɛ-ɛsɛ, padaakɩlɩ-ɩ nazʊʊ tʊmɩyɛ taa; ɛwɛna waɖɛ ɖɔɖɔ se paa pɩnaɣ ŋga, paha-ɩ fenaɣ kʊɖʊmaɣ, ɛhɛzɩ nɛ pɛtɛ pɛhɛyɩ-ɩ ke-liidiya.
25-00	Hɔɔlaɣ 25
25-01	Paa anɩ, ɛwɛna waɖɛ se ɛwɛɛna ñɩm nɛ pɩwazɩ ɛ nɛ ɛ-ñɩmba pe-wezuu caɣʊ taa; ɛzɩ tɔɔnaɣ, tɔɔla, ɖʊzʊyɛ nɛ kɔ yɔ. Ɛwɛna waɖɛ se ɛlakɩ kʊñɔŋ, pɩwɩɣ-ɩ, ɛlabi ɛjam, ɛpɩsɩ ɛɖanɛ yaa leluu, ɛkpadayaa, pala nabʊyʊ nɛ pasɩna-ɩ.
25-02	Asɔŋ nɛ piya pʊmʊnaa se pasɩna pɩŋŋŋ.
26-00	Hɔɔlaɣ 26
26-01	Paa ɛyʊ weyi, ɛwɛna waɖɛ se pokuli ɛ-ɛsɛ. Pɩdamʊna se pɛhɛyɩ kɔɔnɔɔ sukuli yɔɔ. Pɩkɛna paa anɩ kɩjɛyʊʊ se ewolo-kʊ. Pʊwɛɛ se lɛɣtʊ nɛ tʊma kpasʊʊ sukuli pɔtɔyɩ. Pʊpɔzʊʊ ɖɔɖɔ se patʊlɩ sukuli kɩtɛzʊʊ nɔnɔsɩ paa anɩ.
26-02	Ɛyʊ woki sukuli se ɛ-ɛsɛ ikuli, pɩwazɩ-ɩ e-wezuu caɣʊ taa, pɩsɩna-ɩ nɛ ɛña ɛyʊ wala. Kɩsɩɣna ɛyaa nɛ panɩɣna ɖama, pekpeɣu ɖama pa-kɩwɛɛkɩm, paɖʊʊ ŋgbɛyɛ. Kɩsɩɣna ɖɔɖɔ ajɛya kɩgbɛndʊʊ ŋgbɛyɛ tʊma wena añɩnɩɣ laŋhɛzɩyɛ yɔ.
26-03	Piya ñɩmba wɛna waɖɛ se palɩzɩ sukuli ŋgʊ pɔsɔɔla se pepiya iwobi-kʊ yɔ.
27-00	Hɔɔlaɣ 27
27-01	Paa anɩ, ɛwɛna waɖɛ se ɛɖʊ nɔɔ faaa ɛ-ɛjaɖɛ sɔnzɩ tɔm taa nɛ mbʊ pɩlɩɣ pɩ-taa yɔ, pɩwazɩ-ɩ.
27-02	Paa anɩ ɛwɛna waɖɛ se ɛkandayɩ mbʊ ɛlaba nɛ ɛ-hɩɖɛ sɛɛ yɔ pʊ-yɔɔ.
28-00	Hɔɔlaɣ 28
28-01	Paa anɩ, ɛwɛna waɖɛ se ɛñaɣ pana nɛ yɛɖɛyɛɖɛtʊ ɛdaawɛ ɛjaɖɛ yɔɔ, ɛzɩ pɔyɔɔdʊʊ kedeŋga kpeekpe yɔɔ ɛyʊ wala tɔm takayaɣ taa yɔ.
29-00	Hɔɔlaɣ 29
29-01	Paa anɩ, ɛtɩlɩ ɛsɩɩ se ɛwɛ samaɣ ŋga ka-taa fɛɛɛ nɛ pɩkɛdɩɣna-ɩ yɔ, ɛtɔɔ-kɛ kɩmɩyɛ.
29-02	Paa ɛyʊ weyi, eɖiɣzina se ɛ-wala ñɩnʊʊ nʊmaʊ nɛ ɛ-tɩ yɔɔ wɛʊ leleŋ nɩʊ pa-taa lɛ, kamaɣ wɛɛ; pɩfɛyɩ se ɛcɛzɩ-kɛ; paɣtʊ ɖʊna-kɛ. Mbʊ yekina nɛ ɛyaa ñaŋ ɖama wala; mbʊ haɣna mʊmaʊ ɖɔɖɔ se demookrasii samaɣ taa ɛyaa ɩnɩɩna ɖama.
29-03	Ɛyʊ nɔɔyʊ ɛɛpɩzɩɣ ɛtɔ se ɛñaŋ wala ana nɛ pʊdɔɖɔ ɛzɩ ajɛya kɩgbɛndʊʊ ŋgbɛyɛ sɔɔlʊʊ yɔ.
30-00	Hɔɔlaɣ 30
30-01	Kedeŋga kpeekpe yɔɔ ɛyʊ wala tɔm tʊnɛ, tɩ-taa tʊ kpayɩ kpayɩ. Ɛyʊ nɔɔyʊ fɛyɩ ɛtɔŋ se hɔɔlʊʊ kʊnɛ, yaa ŋgʊ yɔ, kʊtɔŋna se padaaña wala naayɛ ɛjaɖɛ ɖɩnɛ,yaa nɖɩ yɔ ɖɩ-taa.
