00-00	DECLARACION UNIVERSALA DELS DRETS HUMANS
14-01	En cas de persecucion, tota persona a lo drech de cercar asil e de beneficiar de l'asil dins d'autres païses.
14-02	Aquel drech se poirà pas invocar contra una accion judiciària que s'aprendrà vertadièeirament a de crimes de drech comun ou o a d'actes opausats a las finalitats e als principis de las Nacions Unidas.
15-00	Article 15
15-01	Tot individú a drech a un nacionalitat
15-02	Degun pòt pas èsser privat arbitràriament de sa nacionalitat ni del drech de cambiar de nacionalitat.
16-00	Article 16
16-01	Tanleu que son maridadors, l'òme e la femna sense cap de restriccion per rason de raça, nacionalitat o religion, an lo drech de se maridar e de fondar una familha. An de dreches egals en çò que pertòca al maridatge, pendent lo maridatge e al moment de sa dissolucion.
16-02	Los maridatge se poirà pas contractar qu'ambe lo consentiment liure e plen dels futurs esposes.
16-03	La familha es l'element natural e fondamental de la societat e a drech a la proteccion de la societat e de l'Estat.
17-00	Article 17
17-01	Tota persona, individualament e collectivament, a drech a la proprietat.
17-02	Degun pòt pas èsser privat arbitràriament de sa proprietat.
18-00	Article 18
18-01	Tota persona a drech a la libertat de pensada, de consciéncia e de religion; aquel drech implica la libertat de cambiar de religion ou de cresença, emai la libertat de manifestar sa religion o sa cresença individualament o en comun, tant en public coma en privat, per l'ensenhament, la practica, lo culte e l'acompliment dels rites.
19-00	Article 19
19-01	Tot individú a drech a la libertat d'opinion e d'expression, çò qu'implica lo drech d'èsser pas carcanhat per sas opinions e lo de cercaer, de recebre e d'espandir, sense consideracion de frontiras, las informacions e las idèas per quin mejan d'expression que siá.
20-00	Article 20
20-01	Tota persona a drech a la libertat de reünion e d'associacion pacificas.
20-02	Degun pòt pas èsser obligat de far partida d'una associacion.
21-00	Article 21
21-01	Tota persona a lo drech de participar a la direccion del afars publics de son país, siá dirèctament, siá per l'intermediairi de representants causits liurament.
21-02	Tota persona a drech a accedir, dins de condicions d'egalitat, a las foncions publicas del sieu país.
21-03	La volontat del pòble es lo fondament de l'autoritat dels poders publics; aquela volontat se deu exprimir gràcias a d'eleccions vertadièiras que se tendràn periodicament, al sufragi universal egal amb lo vòte secret o un autre procediment equivalent que garentisca la libertat de vòte.
22-00	Article 22
22-01	Tota persona, coma membre de la societat, a drech a la seguretat sociala e a la satisfaccion dels dreches economics, socials e culturals indispensables a sa dignitat e al liure desvolopament de sa personalitat, gràcias a l'efòrç nacional e a la cooperacion internationala, segon l'organisacion e los mejans de cada país.
23-00	Article 23
23-01	Tota persona a drech al trabalh, a la causida liura de son emplec, dins de condicions equitablas e satisfasentas de trabalh e a la proteccion contra lo caumatge.
23-02	Tota persona a drech, sense cap de discriminacion, a un salairi egal per un trabalh egal.
23-03	Tota persona que trabalha a drech a una paga equitabla e satisfasenta que li assegure, a ela emai a la familha una existéncia confòrma a la dignitat umana e que serà completada, se per cas es necessari, per totes los autres mejans de proteccion sociala.
23-04	Tota persona a lo drech de fondar, ambe d'autres, de sindicats e de se sindicar per defendre sos interèsses.
24-00	Article 24
24-01	Tota persona a drech al repaus e als lesers e, particularament, a una limitacion rasonabla de la durada del trabalh e a de vacanças periodicas pagadas.
25-00	Article 25
25-01	Tota persona a drech a un nivèl de vida que li assegure la santat e lo benestar a ela e a la siá familha, mai que mai pel manjar, lo vestit, lo lòtjament, los suènhs de santat e los servicis socials necessaris; a drech tanben a la seguretat en cas de caumatge, malautiá, invaliditat, veusatge, vielhesa, e dins los autre cases que pèrd los mejans de se ganhar la vida sense o aver volgut.
25-02	Las maires e los pichons an drech a una ajuda e a una assisténcia especialas. Totes los mainatges, nascut dins lo maridatge o fòra maridatge, benefícian de la meteissa proteccion sociala.
26-00	Article 26
26-01	Tota persona a drech a l'educacion. L'educacion deu èsser a gratis, al mens en çò que pertòca a l'ensenhament elementari e fondamental. L'ensenhament elementari serà obligatòri. L'ensenhament tecnic e professional serà generalisat; l'ensenhament superior serà dubèrt a totes d'un biais parièr, en foncion dels meritis de cadun.
26-02	L'educacion aurà coma finalitat lo plen desvolopament de la personalitat umana e l'afortiment del respècte qu'es degut als dreches de l'òme e a las libertats fondamentalas. Deu favorir la compreneson, la tolerància e l'amistat entre totas las nacions e totes los grops etnics o religioses, emai los desvolopament de las activitats de las Nacions Unidas per manténer la patz.
26-03	Son los parents qu'an, en primièr, lo drech de causir la mena d'educacion que se donarà als mainatges.
27-00	Article 27
27-01	Tota persona a lo drech de prene part liurament a la vida culturala de la comunitat, de gausir de las arts e de participar al progrès scientific e als beneficis que ne son la consequéncia.
27-02	L'autor de tota òbra scientifica, literària o artistica a drech a l'aparament dels interèsses morals e materials que ne resultan.
28-00	Article 28
28-01	Tota persona a lo drech que s'establisca un òrdre social e ont los dreches e las libertats enonciats dins aicesta Declaracion se pòscan aplicar plenament.
29-00	Article 29
29-01	Tota persona a de devers als respècte de la comunitat, qu'es lo sol endrech ont lo desvolopament liure e complèt de sa personalitat es possible.
29-02	Per profechar de sos dreches e de sas libertats, tota persona serà pas somesa qu'a las limitacions establidas per la lei unicament per assegurar la reconeissença e lo respècte dels dreches e de las libertats dels autres e per tal de respectar las justas exigéncias de la morala, de l'òrdre public e del benestar general dins una societat democratica.
29-03	Aquestes dreches e libertats se poiràn pas jamai aplicar contràriament a las finalitats e als principis de las Nacions Unidas.
30-00	Article 30
30-01	Res dins aicesta Declaracion se pòt pas interpretar coma que un Estat, un gropament ou un individú auriá quin drech que siá d'entreprene una activitat o de realisar una accion ambe la tòca d'avalir los dreches e las libertats que s'i enóncian.
