00-00	Declaracion Universal nin mga derechos humanos
11-00	An lambang acusado igwa nin derecho na ikapresumir na inocente mantang dai naproprobaran na nagkasala nanggad conforme sa ley asin sa laog nin sarong vista publico, asin kun saen siya natawan nin gabos na garantias na kaipuhan sa saiyang defensa.
11-01	Mayo nin siisay man an icocondenar sa pagbalga criminal huli sa ano man na gawe o kapabayaan na kan momentong ginibo bako pang sarong crimen sosog sa ley nacional o internacional. Siring man, dai dapat nanggad na ikatao an padusa na mas grabe pa sa sentenciang aplicable sa momentong ginibo an nasabing crimen.
12-00	Articulo 12
12-01	Mayo nin ssiisay man an ipapasairarom sa basta-bastang pagpakiaram sa saiyang buhay privado, familia, harong o pakipagsuratan, o sa mga atake sa saiyang honor asin reputacion. Am lambang saro igwa nin derecho sa proteccion nin ley laban sa mga nasabing pagpakiaram o mga atake.
13-00	Articulo 13
13-00	An lambang saro igwa nin derechong magborobalyo asin sa pagpili nin estaran sa laog kan territorio nin lambang Estado.
13-01	An lambang saro igwa nin derecho na maghale sa arin man na nacion, kaibahan an saiyang sadiring nacion, asin na makapuli sa saiyang sadiri man na nacion.
14-00	Articulo 14
14-00	Sa caso nin persecucion, an lambang saro igwa nin derecho na makapagsaboot nin asilo sa ibang nacion.
14-01	An derechong ini dai puedeng gamiton bilang defensa contra sa prosecucion na tunay na basado sa mga crimen comunes o sa mga gawe na contra sa mga katuyohan asin principios kan Naciones Unidas.
15-00	Articulo 15
15-00	An lambang saro igwa nin derecho sa nacionalidad.
15-01	Mayo nin siisay man an basta-bastang hahalean nin nacionalidad o kan saiyang derecho sa pagsangle nin nacionalidad.
16-00	Articulo 16
16-00	An mga lalaki asin babaeng nasa edad, igwa nin derecho, na mayo nin ano man na limitacion huli sa raza, nacionalidad o religion, na mag-aragom asin magpoon nin familia. Sinda igwa nin parantay na derechos mapapadapit sa kasal, durante nin pagkasal asin sa pagtapos nin kasal.
16-01	An pag-aragom dapat gikan sa bilog na kabotan kan futurong esposo o esposa.
16-02	An familia iyo an natural asin fundamental na grupo-elemento kan banwaan asin igwa nin derecho sa proteccion kan banwaan asin kan Estado.
17-00	Articulo 17
17-00	An lambang saro igwa nin derecho sa solong pagsadiri o na may kairiba.
17-01	Mayo nin siisay man an basta-bastang kukuanan nin saiyang pagsasadiri.
18-00	Articulo 18
18-01	An lambang saro igwa nin derecho nin katalinkasan sa pag-isip, conciencia o religion; kaibahan sa derechong ini an katalinkasan na magsalida nin saiyang religion o pagtubod, asin katalinkasan, solo-solo man o may pag-iriba asin sa publico o privado, na magpahayag kan saiyang religion o pagtubod sa paagi nin pagktukdo, kagawean, pagsamba asin pagsunod.
19-00	Articulo 19
19-01	An lambang saro igwa nin derecho nin katalinkasan sa pagpahayag nin opinion o exprecion; kaibahan sa derechong ini an katalinkasan sa sadiring opinion na mayo ning pagpakiaram asin an katalinkasan na maghanap, mag-ako asin magbalangibog nin mga informacion asin opinion huli sa ano man na medios magsaen pa man.
20-00	Articulo 20
20-00	An lambang saro igwa nin derecho nin katalinkasan sa matoninong na pagtiripon asin pakipag-iriba.
20-01	Maypo nin siisay man an puedeng piriton sa sarong pag-iribanan.
21-00	Articulo 21
21-00	An lambang saro igwa nin derecho na makabale sa gobierno kan saiyang nacion, directamente o huli kan representantes na nagkapirili sa makatalinkasang paagi.
21-01	An lambang saro igwa nin derecho sa parantay na acceso sa mga servicios publicos sa saiyang nacion.
21-02	An kabotan kan banwaan iyo an dapat na pinaghahalean kan autoridad kan gobierno; an kabotan na ini dapat na maipahayag sa regular asin tunay na eleccion, na dapat sa paagi nin pangabos asin parantay na pagvoto, asin dapat man na secreto o sa nagkaparehong paagi na may katalinkasan nin pagvoto.
22-00	Articulo 22
22-01	An lambang saro, bilang miembro nin banwaan, igwa nin derecho sa seguridad social asin sa pagkamit, sa paagi nin nacional na paghingoa o internacional na pagtarabangan sosog sa organizacion asin kakayahan kan lambang Estado, kan saiyang mga derechos economicos, social asin cultural, na indispensable para sa saiyang dignidad asin sa makatalinkasang pagtalubo kan saiyang pagkatawo.
23-00	Articulo 23
23-00	An lambang saro igwa nin derecho sa pagtrabaho asin sa pagpili nin empleo, asin sa may justicia asin marhay na condiciones sa saiyang trabajo asin proteccion contra sa pagkamayo nin trabajo.
23-01	An lambang saro igwa nin derecho sa parantay na sweldo sa nagkaparehong pagtrabaho na mayo nin discriminacion.
23-02	An lambang saro na minatrabaho igwa nin derecho sa tama asin nakakarahay na sweldo na minapaseguro saiya asin sa saiyang familia na magkaigwa nin buhay na maninigo sa saiyang dignidad, asin man nadadagdagan, kun kinakaipuhan, nin ibang medios nin proteccion social.
23-03	An lambang saro igwa nin derecho na makapagforma asin makiiba sa mga union para sa proteccion kan saiyang intereses.
24-00	Articulo 24
24-01	An lambang saro igwa nin derecho sa pagpahingalo asin paglibang, kaibahan an tamang limitacion sa oras nin pagtrabaho asin sa regular na vacacion na may bayad.
25-00	Articulo 25
25-00	An lambang saro igwa nin derecho sa sarong pagkabuhay na kaipuhan kan saiyang salud asin karahayan, asin kan saiyang familia, kaibahan an pagkakanm, pagbado, harong asin medical na pagtabangm, asin sa kinakaipuhang servicios sociales, asin derecho nin seguridad sa caso nin pagkamayongtrabaho, paghelang, disabilidad, pagkabalo, pagkagurang o iba pang kakulangan sa pagbuhay-buhay huli kan mga circunstancias na mayo sa saiyang poder.
25-01	An pagkani-ina asin pagkani-aki dapat na tawan nin especial na pag-ataman asi pagtabang. Gabos na aki, sa laog o luwas nin kasal, igwa nin derecho sa parehong proteccion social.
26-00	Articulo 26
26-00	An lambang saro igwa nin derecho sa educacion. An educacion dapat na libre, kun mapupuede sa elementaria asin sa fundamental na mga grado nin pagtalubo. An educacion sa elementaria dapat na sarong obligacion. An educacion tecnica o profesional dapat na bukas sa gabos, asin an mas halangkaw na pag-adal dapat na bukas man sa gabos basado sa merito kan lambang saro.
26-01	An katuyohan nin educacion dapat iyo an completong pagtalubo kan pagkatawo nin lambang saro asin an pagpakusog nin derechos humanos asin mga fundamental na katalinkasan. Iyan man dapat na magbalangibog kan pagkakairintindihan, paggalang sa iba asin kaboronyogan kan mga naciones, etnico o religiosong mga grupo, asin dapat na makatabang sa mga paghingoa kan Naciones Unidas para sa pagmantener nin katoninongan.
26-02	An mga magurang igwa nin na-eenot na derecho sa klase nin educacion na saindang boot ikatao sa saindang mga aki.
27-00	Articulo 27
27-00	An lambang saro igwa nin derecho sa makatalinkasang pakibale sa buhay cultural kan saiyang banwaan, sa pag-ogma kan artes asin sa pagpakinabang kan mga progreso cientifico asin kan mga beneficios kan nasabing mga progreso.
27-01	An lambang saro igwa nin derecho sa proteccion kan ano man na moral asin material na intereses na gikan sa ano man na cientifica o literaria o artisticang gibo na siya an kaggibo.
28-00	Articulo 28
28-01	An lambang saro igwa nin derecho sa social asin internacional na sistema kun saen an mga derechos asin mga katalinkasan na ipinahayag kaining Declaracion bilog na makamtan.
29-00	Articulo 29
29-00	An lambang saro igwa nin mga katungdan sa banwaan na kun saen man sana posible an makatalinkasan asin bilog na pagtalubo kan saiyang pagkatawo.
29-01	Sa mga gawe huli kan saiyang derechos asin mga katalinkasan, lambang saro ikakasairarom sa mga limitaciones nin ley para sa pagkamit sana kan pagmidbid asin pagrespeto sa mga derechos asin katalinkasan nin iba asin uyon sana sa tunay na mga pangangaipo nin moralidad, orden publico asin karahayan kan gabos sa laog nin sarong democratricong banwaan.
29-02	Dai nanggad itinutugot na ining mga derechos asin mga katalinkasan gamiton sa mga gibong laban sa mga katuyohan asin principios kan Naciones Unidas.
30-00	Articulo 30
30-01	Mayo nin ano man sa Declaracion na ini an puedeng saboton na minatao sa ano man na Estado, grupo o siisay man, nin derecho sa mga gawe-gawe o kagibuhan para sa supresion kan ano man na derechos asin mga katalinkasan na ipinahayag kaining Declaracion.
