00-00	Di Stetmɛnt Bɔt Di Rayt Dɛn We ɔlman na Di Wɔl Fɔ Gɛt
10-01	ɛnibɔdi we dɛn arɛst fɔ tiŋ we i du agens di lɔ, fɔ gɛt ful protɛkshɔn frɔm Lɔya dɛn we go tinap fɔ am na kotos.
11-00	Atikul Ilɛvin
11-00	ɛnibɔdi we dɛn kɛr go kot fɔ tiŋ we dɛn se i du agens di lɔ fɔ gɛt di rayt fɔ se in nɔ du da tiŋ de ɛn di kot fɔ biliv am. I go lɛf wit di kot naw fɔ pruv se i du am na pɔblik trayal usay insɛf go gɛt in yon Lɔya dɛn we go fɛt in kes fɔ am.
11-01	Nɔbɔdi nɔ fɔ pas jɔjmɛnt se pɔsin gilti ɔ ipɔnish da pɔsin de fɔ lɛk big ɔfens we pas wetin i du ɛ sɛf, we nɔtɔɔfɛns insay in yon kɔntri ɔɔda kɔntri dɛn na di wɔl.
12-00	Atikul Twelv
12-01	Nɔbɔdi nɔ gɛt rayt fɔ intafia as i lɛk wit ɔda pɔsin in kolat, in fambul, in om ɛn in lɛta dɛn we ɔda pipul rayt to am, ɔ ivin tray fɔ pwɛl in gudnɛm ɔ in rɛspɛkt. Di lɔ fɔ protɛkt ɛvribɔdi fɔ dɛn kanaba molɛsteshɔn yaso.
13-00	Atikul Tɔtin
13-00	ɛvribɔdi gɛt rayt fɔ go ɛnisay ɛn tap ɛnisay na ɛni pan di kɔntri dɛn we de na di Yunaytɛd Neshɔn; pantap dat, i fri fɔ kɔmɔt na in kɔntri ɔɛniwan pan di kɔntri dɛn na di Yunaytɛd Neshɔn ɛn tɔn bak kam na in yon kɔntri we i pliz.
13-01	[Missing?]
14-00	Atikul Fɔtin
14-00	ɛnibɔdi we tink se in layf de pan denja gɛt di rayt fɔ aks mek dɛn alaw am, ɛn in fɔ gɛt da pamishɔn de fɔ tap na ɛni ɔda kɔntri na di wɔl. Bɔt, if di rizin we mek da pɔsin de wan kɔmɔt na in kɔntri go tap ɔdasay nɔ gɛt natin fɔ du with pɔlitiks, ɔ na tiŋ we di Yunaytɛd Neshɔn stetmɛnt de agens, dɛn i nɔ go gɛt da rayt de.
14-01	[Missing?]
15-00	Atikul Fiftin
15-00	ɛvribɔdi gɛt rayt fɔ gɛt wan kɔntri we i go kɔl in yon.
15-01	Nɔbɔdi nɔ gɛt rayt, jɛs bikɔs i fil so, fɔ, mek sɔmbɔdi nɔ ebul fɔ kɔl in kɔntri in yon igen, ɛn, pantap dat, nɔbɔdi nɔ gɛt da pawa de fɔ tap ɛnibɔdi we want fɔ chenj di kɔntri we i go kɔl in yon.
16-00	Atikul Sikstin
16-00	ɛNi man ɛn uman we dɔn ɔfej, no mata if dɛn tu nɔ to di sem trayb, kɔla ɔ rilijɔn, gɛt di rayt fɔ mared, bɔn pikin ɛn bigin dɛn yon famili. Dɛn fɔ gɛt di sem rayt as maredman ɛn mareduman, ivin if di mared brok sɛf.
16-01	Fɔ mek di mared gɛt minin, di man ɛn di uman fɔ no plen wan wetin dɛn de du ɛn dɛn fɔ gri fɔ bi man ɛn wɛf.
16-02	[Missing?]
17-00	Atikul Sɛvintin
17-00	ɛvibɔdi gɛt rayt fɔ gɛt prɔpati fɔ insɛf ɔ fɔ jɔyn wit ɔda pipul dɛn ɛn gɛt di prɔpati.
17-01	Nɔbɔdi nɔ fɔ tek ɛni pɔsin in yon prɔpati kɔmɔt na in an we i jɛs fil nɔmɔ fɔ du so.
18-00	Atikul Etin
18-01	ɛvibɔdi gɛt rayt fɔ tink aw i want, fil aw i want bɔt ɛnitin we de apin ɛnisay, ɛn jɔyn ɛni grup ɔ chɔch ɔɛni ɔda Gɔd wok fɔ prez Gɔd di we i fil, igen sɛf, i fri fɔ chenj in grup ɔ chɔch ɛn ivin di we aw i fil bɔt Gɔd; pantap dat, i fri fɔ wɔship in wangren ɔ wit ɔda pipul dɛn na pɔblik ɔ prayvet.
19-00	Atikul Nayntin
19-01	ɛvribɔdi gɛt rayt fɔ tink wetin i fil ɛn fɔ se wetin i fil. Dis min igen se nɔbɔdi nɔ fɔ ambɔgin ɛni ɔda pɔsin bikɔs ɔf wetin i fil ɔ biliv. I gɛt di raty fɔ sho, tɔk bɔt, fala ɔ ivin tich wetin i biliv to ɔda pɔsin dɛn, ilɛk usay ɔ uskayn we i pas di wɔd.
20-00	Atikul Twenti
20-00	ɛvribɔdi fri fɔ bi mɛmba ɔf ɛni grup we i chuz wans nɔmɔ den nɔ de du ɛnitiŋ de fɔ briŋ ambɔg ɔ trɔbul na di kɔntri.
20-01	Nɔbɔdi nɔ fɔ fos ɛni pɔsin fɔ jɔny ɛni grup we i nɔ want fɔ jɔyn.
21-00	Atikul Twenti Wan
21-00	ɛvribɔdi gɛt rayt fɔ du wetin i ebul du fɔɛp di gɔvamɛnt ɔf in kɔntri. I kin du dis if i wok wit di gɔvamɛnt ɔ if i vot fɔ pipul dɛn we go wok wit di gɔvamɛnt.
21-01	ɛvribɔdi gɛt di sem rayt fɔ yuz ɔl gɔvamɛnt prɔpati we de fɔ di pɔblik.
21-02	Wetin di pipul dɛn want nain di gɔvamɛnt fɔ du. Di pipul dɛn go sho wetin dɛn want we dɛn wan we dɔn big du fɔ vot go vot na jɛnaral ilɛkshɔn frɔm tɛm to tɛm. Nɔbɔdi nɔ fɔ fos dɛn, nɔbɔdi nɔ fɔ tap dɛn fɔ fri fɔ vot usay nɔbɔdi nɔ go si dɛn, ɛn fɔ udat dɛn want.
22-00	Atikul Twenti Tu
22-01	ɛvribɔdi gɛt rayt fɔɛkspɛkt in kɔntri fɔ protɛkt am ɛn gi am chans fɔ divɛlɔp insɛf ɛnisay ɛn bi sɔmbdi wit rɛspɛkt ɛn we go ebul insɛf pan wok ɔ biznɛs ɔ stɔdi te in kɔntri kin si am as wan pɔsin we fɔ abop pan.
23-00	Atikul Twenti Tri
23-00	ɛvribɔdi gɛt rayt fɔ wok, fɔ du di wok we i lɛk ɛn fɔ gɛt gud pe fɔ di wok we i de du.
23-01	ɛvribɔdi fɔ gɛt di sem pe fɔ di sem wok.
23-02	ɛvribɔdi we de wok gɛt rayt fɔ gɛt di kayn pe we go mek in ɛn in famili ebul fɔ liv lɛk nɔmal mɔtalman dɛn, ɛn if i posibul sɛf, dɛn kin gɛt ɔda kayn ɛp fɔ mek layf bɛtɛ fɔ dɛn.
23-03	ɛvribɔdi gɛt rayt fɔ fɔrm tred Yuniɔn ɔ jɔyn an as wokman ɔ wokuman fɔ mek nɔbɔdi nɔ tinap pan dɛn rayt na di wokples.
24-00	Atikul Twenti Fɔ
24-01	ɛvribɔdi gɛt rayt fɔ rɛst ɛn rilaks in bɔdi, insay dat, dɛn fɔ rɛst afta dɛn dɔn wok dɔn ɛvride. Pantap dat, dɛn fɔ gɛt tɛm we dɛn go go ɔlide (ɛvri ia liv) ɛn gɛt dɛn pe fɔ da liv tɛm de.
25-00	Atikul Twenti Fayv
25-00	ɛvibɔdi gɛt rayt fɔ liv di kaynaba layf we go mek in ɛn in famili dɛn nɔ sik, i fɔ ebul gɛt tin fɔ it, klos, os, mɛrɛsin ɛn i fɔ ebul abop se if tiŋ bad fɔ am na layf, lɛkɛ i sik, in patna ɔ pikin sik, i lɛf wok, day mit am ɔ i kam ol tumɔs, i go gɛt ɛp frɔm di gɔvamɛnt.
25-01	Lili pikin ɛn mami we gɛt pikin gɛt rayt fɔ gɛt spɛshal ɛp ɛn dis ɛp nɔ fɔ difrɛn ivin if nɔtɔ di maredwɛf bɛn di pikin. Maredwɛf pikin ɛn switat pikin fɔ gɛt di sem tritmɛnt ɛn bɛnifit ɔlsay.
26-00	Atikul Twenti Siks
26-00	ɛvribɔdi gɛt rayt fɔ gɛt ɛdyukeshɔn; ɛlimɛntri ɛn praymari fɔ bi fri, ɛn ɛlimɛntri ɛn praymari ɛdyukeshɔn fɔ bi bay fos, bay kɔmpɛl. ɛnibɔdi we want, kin gɛt di kayn ɛdukeshɔn we go tren am fɔ spɛshal jab dɛn. Yunivasiti ɛdyukeshɔn go de fɔɛnibɔdi we want am, ɛn we fit fɔ gɛt am.
26-01	ɛdyukeshɔn go tren di lana fɔ gro fɔ rɛspɛkt di rayt ɛn fridɔm we ɔda pipul dɛn gɛt. I go mek pipul dɛn ebul fɔ liv togɛda nɔ mata wɛda dɛn de na di sem kɔntri ɔ sɔm bi frɔm ɔda kɔntri, wɛda dɛn gɛt di sem kɔla ɔ dɛn ivin jɔyn di sem rilijɔn; dis go ɛp mek di Yunaytɛd Neshɔn dɛn wok fɔ gɛt pis ɛn kolat ɔlsay na di wɔl izi.
26-02	Na di mami ɛn di dadi fɔ disayd uskayn ɛdyukeshɔn dɛn pikin fɔ gɛt; if dɛn nɔ ebul ɔ dɛn nɔ de, dɛn, ɔda pɔsin kin du am.
27-00	Atikul Twenti Sevin
27-00	ɛvribɔdi gɛt rayt fɔ tek pat pan ɔl dɛn kaynaba aktiviti we blant in kɔntri lɛkɛ di siŋɛn dans, di dresin ɛn di pichɔ drɔin dɛn we de sho tiŋ dɛn bɔt in kɔntri. I gɛt di rayt igen sɛf fɔ tek pat ɛn bɛnifit frɔm di gud tiŋs dɛn we sayɛns dɔn briŋ kam na in kɔntri.
27-01	ɛvribɔdi gɛt rayt fɔ kip ɛn ɛnjɔy as in yon ɛnitin we insɛf fɛnɔt, du ɔ rayt insay sayɛens, raytin drama ple aktiŋ.
28-00	Atikul Twenti Et
28-01	ɛvribɔdi gɛt rayt fɔ bɛnifit frɔm grup we gɛt pawa ɔlɔba di wɔl fɔ mek shɔ se ɛvribɔdi go ɛnjɔy dɛn rayt ɛn fridɔm dɛn we dis stetmɛnt tɔk bɔt.
29-00	Atikul Twenti Nayn
29-00	ɛvribɔdi gɛt in yon wok we in fɔ du na in sosayti fɔ mek shɔ se i go liv api ɛn ful layf insay de.
29-01	We pɔsin de tray fɔɛnjɔy in rayt dɛn ɛn in fridɔm dɛn na sosayti, i fɔ mɛmba se di lɔ de fɔ mek shɔ se i mɛmba se ɔda pɔsin dɛnsɛf gɛt dɛn yon rayt ɛn fridɔm we i fɔ rɛspɛkt so dat ɔda ɛn kolat go de ɔlɔbɔt (ɔlsay).
29-02	Dɛn rayt ɛn fridɔm dɛn ya we de na dis stetmɛnt we kɔmɔt na Yunaytɛd Neshɔn na fɔ mek pipul dɛn gɛt pis ɛn kolat na dɛn kɔntri. Nɔbɔdi nɔ fɔ tray fɔ mek pipul dɛn fɔ gɛt ɔda tiŋ pas dat.
30-00	Atikul Tati
30-01	Natin nɔ de insay pan dɛn stetmɛnt yaso we min bad fɔɛni pɔsin ɔ grup ɔf pɔsin insay ɛni kɔntri so, mek nɔbɔdi nɔ fil dat.
