00-00	Okpo bo kim’ owoumo tim’ egbei bara
10-01	Kim’se ki gomu oloko gbawari bo, tibi tin mo ye pado aba, mu tie ni emene egberi gbadei ki, ye mie.
11-00	Atikulu Oi mo keni mo
11-01	Ye aki, kimi tibi timein do serise, bisa bobi na ye mieseigha kimi bara ki timi weri, ugula gbawari bo, tufa bibi peledei ki.
11-02	Zini opu oviri akina, mietu numugha kimi la mokumo, amamo, zini ibe mo, enighakpo seiye mieda ba, zini opu vuro gbasa aki kala seiye gbekumo, oloko bi bisa seiye bo gba bara ki di mie.
12-00	Atikulu oi mo manu mo
12-01	Kimi ine yerin buo, zii, wari, eniakpo kimi gbein ni, bisa bo ugula gbawari bo yebi aki mu da ba, zini bo eniakpo zini opu kuro, yebo bibi tuakumo.
13-00	Atikulu oi mo taru mo
13-01	Ibemo-ibemo duo tolugho, kim’se la na emene ibe bo barasin mu zini ibe gho timi ngimi, eniakpo, zini ibe gho barasin na emene ibe gho mungmi.
13-02	[missing]
14-00	Atikulu Oi mo nuwein mo
14-01	kim’se zini ibe gho, uya la emi ifiebo, kii mo ye na,bisa ibe duo dou ngimi.
14-02	Bei kii mo yebi pagha fangimi,kimi politiks sugha bara gho, gomu sei yei mie nimi aba.
15-00	Atikulu Oi mo soron mo
15-01	Kim’se emene dise ibe duo pangimi.
15-02	Kimi la ni, ine duo panimi ibe, enighakpo ine dei mu suo dou emi ibe agho, lkii mogha.
16-00	Atikulu oi mo sondie mo
16-01	Owei mo eremo ni duba bo dudu nana lado seri sebi, kimi kurei ni okimogha, iduo payo, karibuo, mani kimi ozun kpo kurei opu mogha. Odudu nana nimi series, omini keni bara ki emi, keni kuro ki nana nimi, omani dudu ki nanagha kpo.
16-02	Dudu nana yebi, maa kim’ mose dudu na de ki, pangimi.
16-03	Zii bi, eni bei okpose yela dein ogbo bi, eni bemene, kim’se mo, mani ibe se mo, o dii megbei nimi.
17-00	Atikulu oi mo Sonoma mo
17-01	Kim’se kumo tibi, eniakpo zini bo suomein weri la ye nana ngimi.
17-02	Kimi nana wonimi ye, ponimo ni aki kumo.
18-00	Atikulu oi mo niginimo
18-01	Kim’se bubu emene ye iroro ton, dise karibuo nana ngimi, eni bara bi kim’ la ni eme karibuo kpo dei ngimi, lbibe tibi, eniakpo ama se kpo. Eni kpe keni bara bi, bei kari buo bi aki na la, tolumo, mani kim’se emi yokpo kari ngimi.
19-00	Atikulu oi mo ise mo
19-01	Kim’se ye tonni ongo piri, mani gba pa mo, bei ye bi imie na egberi gba wala yokpo duo mie ngimi, kimi la ni ponimo gha bara bo.
20-00	Atikulu ma oi
20-01	Kim’se emene dise kpei ogbo nana ngimi.
20-02	Kimi, kim’ ponumo ni kpei ogbo o suokumo.
21-00	Atikulu ma oi mo keni mo
21-01	Kim’se emene ibe dangi yobo, seleyo, eniskpo eretiemo duo tolugho dangimi.
21-02	Kim’se keni bara ki aki, emene ibe bo firi weni dou ngimi.
21-03	Kim’ mo dou kimi ama ki, o da nigmi. Bei da ngimi yobi, gaan kimi sele ye, eniakpo sowei kimi sele ye ki duo mie ngimi.
22-00	Atikulu ma oi mo mamu mo
22-01	Kim’se ibe bo yela nimi bara bemene, gomet seri mose, oro undu mo kii mo yo mie, kimi emi bara se, eniki, bisa boo kpo emene undu mie bolou buomo doo.
23-00	Atikulu ma oi mo taru mo
23-01	Kim’se emene dise firi ki weni ngimi, firi bo emi yemo kii, bisa bo mie firi wenigha yo duo bo firi weni ngimi.
23-02	Kimi selegha bara bo, kim’se keni firi bo, keni gbeki, fi ngimi.
23-03	Firi weni emi kim’se, emene ongo mo, mani emene wari bolou buo ngi yo dou ngmi, eni bemene, firi weni kimi undu bi serimose di dubamo.
23-04	Firi weni emi kim’se, buomo weri ni ogbo o suo, eniki, ogbo bi la ni, wo firi bi tiemo ngimi.
24-00	Atikulu ma oi mo nuein mo
24-01	Firi weni emi kim’se umbafiyou ifie mo, mani powei ifie mo nana ngimi, bei ifie mo kpo, bisa bo gbe.
25-00	Atikulu ma oi mo soron mo
25-01	Kim’se uya yerin pa yerin megbeigha, kim’se fifiyai, butuwei, wari, undu zuo, mani undu kekere ye nana megbei nimi, numugha timi ni, kimi firi fa, ongo kiriya, yei fidou, uwado, enighakpo zini buduonye nana maba, gometi, bei yemo mie mee egbei denginimi.
25-02	Zii bi yela fa kemi, enini dudu nana do ko zii tobou mo, mani dudu nanagha timi zii tobou mo, keni bara kemi.
26-00	Atikulu ma io mo sondiye mo
26-01	Kim’se fuun tolumo wari o mungimi. Bolou bolou tolumo yobi paa ki tolumo ngimi. Mani fun tolumoye bi kim’se ki mie ngimi ye. Bara firi tolumo yemo, mani bolou guo mo ngimi fun tolumoye bi mie pamo kim’se piri.
26-02	Fun tolumo yebi kim’ tobou mie bolou buo mo ye, mani umie ni wo gomu yo nimi, wo parain nimi bara nimi, nda mani lbemo-lbemo mie dudu tari, doo na okpo se piri ye.
26-03	Dau mo, yengi bo mo ki, emene owouama mungimi fun tolumo wari sele me gbei nimi.
27-00	Atikulu ma oi mo Sonoma mo
27-01	Kim’se emene ibe ama kiri zoru mo gho suo ngimi yobi kimogha, mani kpata zoru mo tuduo bo emi ebimo kpo eri fi.
27-02	Kimi bubu gee nimi ye se, kimi ugbonku gha fangimi.
28-00	Atikulu ma oi mo niginimo
28-01	Bei ekpekpe bi gbele emi yemo se, kim’se emene ibemo, mani okpo se mo ko nana ngimi, eniki bei ekpekpe bi, ye la do.
29-00	Atikulu ma oi mo ise mo
29-01	Ine ama bo, imie bolou buomo ngimi yebi ki, yela dein nimi.
29-02	Enini, bei bara tibi nana yobi kii mo ngimi yese, oloko bi gba nimi bara deingha fangimi, eniki, ine foon wen’gi yo mo, kimi sele ye mo, mani ikiou tonyemo, ye langimi yobi bemene.
29-03	Bei kim’se nana mee gbei nimi kuro mo, bene bene-okpo se dudu nado ogbobi tonb’ra seimogha fangimi.
30-00	Atikulu tara oi
30-01	Bei ekpekpe be emi yemo se, ibe, ogbo, kimi, boomo weri, ye mie bo na ekpe kpe bi gba do ye mo seimogha fangimi.
