00-00	Declaraçon di mundo intêro di Dréto di tudo homi co tudo mudjer
07-01	Tudo nôs é igual diante di lei e, sem distinçon, nu tem drêto pa igual porteçon pa ser difendido dento di lei. Tudo nôs tem drêto di bem ser portegido di mesma manêra, di calquer discriminaçon que podê bem alterâ ès Declaraçon di qui nu sa tâ flâ e contra calquer fomentaçon pa fazê ès discriminaçon.
08-00	Artigo 8º
08-01	Tudo guenti tem drêto pa ricurso efectivo di quêxa na jurisdiçon nacional compitenti, di tudo cusa quê sabê qui tâ violâ nôs drêto qui tem más fundamento e qui é reconhecido na lei ô na Constituiçon.
09-00	Artigo 9º
09-01	Ninguêm podê, di calquer manêra, bai sêr lebádo pa prison, ô ficâ na prison, ô ser mandado di castigo pa longe di sê téra. (Es cusa li ê ta tchomado di "exílio").
10-00	Artigo 10º
10-01	Tudo péssoa tem drêto, por igual, qui sê causa bem ta ser judiciado na igualdade e publicamenti julgado num tribunal indipendenti e justo qui ta bem dicidi di sês drêto e di sês obrigaçon ô di razon di calquer acusaçon na assunto di tribunal qui ês bem pô contra el.
11-00	Artigo 11º
11-01	Tudo arguêm qui ta bem ser pontádo di um acçon di culpa, nu tem qui pensa quel stâ nôcenti tó qui si culpa bem ficâ sclarecido dénto di lei na andamento di um porcesso público undi tudo garantia necessário di difésa debê bem ser garantido pâ el.
11-02	Ninguêm al pode ser condenado por acçon ô por omisson, si na occasion quel ta fazêba el, tudo es cusa ca era proibido dénto di lei di si téra ô di lei internacional. Di mesma manêra um djuiz ca podê sentenciâ castigo más pêsado di quêl que divia di ser na hora qui quel delito baba ta ser fêto.
12-00	Artigo 12º
12-01	Ninguêm podê sofrê di intromisson arbitrário na sê bida di el própi, na di sê familia, na domicilio di sel, ô na sê carta di correio, nim el ca podê ser tacádo na si honra e reputaçon. Ninguêm al pôdi tem intromisson arbitrário na si bida di el própi, na si familia, na si casa ô na carta di sel qui bem di correio, e ninguêm podê flâ mal di honra e reputaçon di cada um. Contra tudo ès intromisson ô ataqui, tudo arguêm tem drêto di ser portegido pa lei.
13-00	Artigo 13º
13-01	Tudo arguêm tem drêto di àndâ pâ tudo lado, e di scôdjê si casa pa morâ dento di um Estado.
13-02	Tudo arguêm tem drêto di bandônâ calquer téra undi quê stâ, mesmo si ê undi ê nacê, e el tem drêto di bolta para si téra cando el crê.
14-00	Artigo 14º
14-01	Tudo péssoa qui sa ta ser persiguido tem drêto di porcurâ e di benificiâ di asilo na ôtos naçon.
14-02	Ês drêto li ca podê, contudo, bai ta ser invocádo na caso di algum porcesso, qui el realmenti tem e qui dja tem crimi di drêto comum ô di actividadi contrário di finalidade e di licerce di Naçon Unido.
15-00	Artigo 15º
15-01	Tudo individe tem drêto di tem sê nacionalidadi.
15-02	Ninguêm ca podê ser, arbitràriamenti, privado di sê nacionalidadi nim di drêto di mudâ di nacionalidadi.
16-00	Artigo 16º
16-01	A partir di idadi nòváti, tudo homi co tudo mudjer tem drêto di cása e di construí sê família sem limitaçon nim di raça, nacionalidadi ô religion. To-qui durâ casamento e na hora di sê separaçon ês dôs tem igual drêto.
16-02	Casamento ca podê ser cèlèbrado sem libi e pleno consentimento di quês qui sa ta bai ser marido e mudjer na futur.
16-03	Família ê um elemento natural e fundamental num sociedadi e el tem drêto di ser portegido di sociedadi e di Estado.
17-00	Artigo 17º
17-01	Tudo péssoa, individual ô juntamenti, tem drêto di tem sê propriedade.
17-02	Ninguêm podi bem ta ser, arbitràriamenti, privado di sê propriedade.
18-00	Artigo 18º
18-01	Tudo péssoa tem drêto di tem liberdadi di pensamento, di concénça e di religion; ês drêto li ta implicâ liberdadi di mudâ di riligion ô di convicçon, asi cumâ quel liberdadi di maniféstâ sê religion ô sê convicçon, si el stâ só, el co el, ô cô ôtos, tanto na meio di público ô em particular, na quê ta fazê sempri, tudo dia, na sê religion e na quêl qui, na Portugal, ês ta tchomâ "ritos".
19-00	Artigo 19º
19-01	Tudo individe tem drêto di tem liberdadi di opinion e di papiâ, sim porblema; assi el tem drêto di ca ser incomodado por causa di sês opinion e el pôdê porcurâ ricebê e spádjâ, sem consideraçon di frontêra, calquer informaçon e idêa, di calquer modo qui el crê fazê êl.
20-00	Artigo 20º
20-01	Tudo arguêm tem drêto na liberdadi di reunion e di associaçon co intençon di paz.
20-02	Ninguêm podi ser obrigado pa fazê parte di calquer associaçon.
21-00	Artigo 21º
21-01	Tudo péssoa tem drêto di fazê parti na direçon di negôce público di sé téra, quer direitamenti ô por intermédi di representanti librementi escodjido.
21-02	Tudo péssoa tem drêto di entrâ na funçon pública di sé téra,ô di sé país.
21-03	Vontadi di pôbo ê quel licérce di ôtoridadi di poder di público; ê debe mostráno-el co eleiçon sério qui ta bem ser fêto, na tempo marcado, por votaçon geral na condiçon di igualdadi co voto sicreto ô si-ma-dja um processo equivalenti podi garanti liberdadi di voto.
22-00	Artigo 22º
22-01	Tudo guenti, qui ê mom di um sociedádi, tem drêto pâ tem segurança social e el pôdê, dénto di lei, com tudo ligitimidade, exigi satisfaçon di sês drêto economico na sociedádi e di cultura indispensave, graça qui nu tem qui dâ na esforço nacional e na cooperaçon internacional, di harmonia co organizaçon e co recurso di cada país.
23-00	Artigo 23º
23-01	Tudo guenti tem di tem trabadjo, di podê scodjê sê trabadjo, co condiçon igual e qui podê satisfazêl na trabadjo e el podê tem proteçon contra falta di trabadjo. (disemprego)
23-02	Tudo arguêm tem drêto, sim discriminaçon ninhum, pâ tem salário di harmonia co sê trabadjo. Salário igual pa trabadjo igual.
23-03	Quem qui trabadja tem drêto di tem remuneraçon equitativo e satisfatório pa podê pirmiti pa el e pâ sê família um existença conformi co dignidadi humano e, completado, si for possive, co tudo ôto meio di porteçon social.
23-04	Tudo péssoa tem drêto di fundâ co ôtos péssoa, quel sindicato, e di bem filiâ na sindicato qui ta bem difendi sês interessi.
24-00	Artigo 24º
24-01	Tudo péssoa tem drêto pâ discansa e pa sê lazer e, naturalmente, ê tem limitaçon qui nu ta cêta, qui ê quel di duraçon di trabadjo e di féria, qui ês tem obrigaçon di pagano.
25-00	Artigo 25º
25-01	Tudo péssoa tem drêto pa tem um condiçon di bida suficienti pa dal sigurança pâ êl e pâ família, na saúde e na larguéza, principalmenti na qui nu ta cumé, na nôs rôpa, pa tem undi el podê alôjâ arguêm, pa ser sistido pâ dôtor e tambê na serviço social necessáre, e ê tem drêto na sigurança social si el sta sim trabadjo, tambê na doénça, e inda naquel qui ê estropiado, qui câ tem marido, qui stâ na bedjiça, ô nôtos caso, di perdê manêra di tem meio di subsistença, por cusa qui podê ser indipendenti di sê vontade.
25-02	Maternidade e infança tem drêto di tem djuda e di ser amparado co muto cudado. Tudo minino qui nacê dénto ô fora di casamento, ta goza di mésmo porteçon social.
26-00	Artigo 26º
26-01	Tudo péssoa tem drêto pa tem educaçon. Educaçon débê di ser di graça, pelo menos quel qui ê parcêdo co quel di scóla elementar fundamental. Quel scola elementar ê obrigatóre. E nes scóla técnica e profissional dêbê di ser pa tudo criança sem distinçon; pa nu èntrâ num scóla superior, el dèbè stâ aberto pâ tudo guenti por igual e, segundo sês capacidadi e sês merecimento.
26-02	Educaçon debê pontâ pa espádjâ um completo expanson di personalidadi di tudo homi co tudo mudjer e pa reforçâ drêto e liberdadi fundamental di tudo homi co tudo mudjer e di liberdadi di más fundamento e ê debê djuda pa nu compreendê midjor quel tolerância e amizadi di naçon co naçon e di tudo grupo racial ou di riligion como tambê quel crescimento di actividadi di Naçon Unido pa conserbâ paz.
26-03	Pai co mai tem prioridadi di tem drêto pa scodjê calquer educaçon pâ dâ sês fidjo ô fidja.
27-00	Artigo 27º
27-01	Tudo pessoa tem drêto di tomâ, parti librimenti, na bida cultural di comunidadi, di gozâ tudo arte e di participâ na porgréss di ciença e na benéfice qui podê resulta di tudo ês cusa li.
27-02	Tudo guenti tem drêto di ser portegido na sê interesse moral e material qui podê stâ ligado na calquer produção di cusas de ciença, di escrita ou di arte di sê lavra.
28-00	Artigo 28º
28-01	Tudo péssoa tem drêto pâ bem pô, na plano social e na plano internacional, um órdi qui podê ser capaz di tornâ completamente efectivo tudo drêto e liberdadi qui nu cabà di flâ nês Declaraçon li.
29-00	Artigo 29º
29-01	Um péssoa tem obrigaçon pâ co sê comunidade, fora di onde ê ca tem possibilidadi di tem quel libri e completo desenvolvimento di sê personalidadi.
29-02	Na exercice dessi drêto e cando é ta gozâ essi liberdadi, ninguêm podê fica dipendenti, sinau naquel limitaçon fêto e estabilicido, exclusivamenti pa fazê pormoçon di reconhecimento e quel respêto di drêto e liberdadi di ôtos guenti pâ podê satisfazê quês exigença justo di môral, di ordi pública e di bem-estar num sociedadi democrata.
29-03	Em ninhum caso essi drêto e liberdadi ta bem podê ser exercido em contrário di fim e di princípos di Naçon Unido.
30-00	Artigo 30º
30-01	Ningum disposiçon di êss Declaraçon li, podê bem ta ser intendido di um manêra qui podê bem involvê pa calquer Estado, grupo di guente ô um sô péssoa, quel drêto di bem fazê calquer actividade ô di particâ algum cusa qui podê bem destroncâ drêto e liberdadi qui nu sa tâ cabâ di flâ.
