00-00	ULUMBUNWISO WAKUTELA WA MUTHU MWESWE
02-01	Mwese kanatela kupwa nyi ululi upema, kutama cipema, nyi kulita nyi ximbi ja ulitelo anakasa, kusakula hanji kutonda cicikupwaho, cipwe kulitonda mu nyaci, ca cikowa, ca kwamba ngo lunga nyi phwo, ca maliji, ca cisamba, hanji kwambango mukwa sango nyi mukwa uto, nyi hanji ngo au mukwa manyonga api, au mukwa cifuci hanji kulita, ca uphici, ca cisemwa cipwe hakutala ha cuma ceswaco.
02-02	Cipicipi keci tutonda kutwala kuphande jaa upulukilo wa malinjekela, hanji mukwa haze lya cifuci hanji kwamba ngo wo ku mbonge ya nganji ximbu mwene mukwa cifuci, cinyonga ca muthu mweswe, kuxi nyumwe yoze mamba ngweni kuci nyi kuci hanji umwe mukwa kutumina munene masa cimwe citanga ca kwalumuna.
03-00	LIJI LYA MUCITATU
03-01	Nyumwe mapwa kupita cipwe ungamba; upinji nyi kusumba kenya ca tupinji hi capwa kukanjisa cipwe myanda yeswe ize akulinga.
04-00	LIJI LYA MUCIWANA
04-01	Nyumwe nawa mapwa kumwesa lamba, cipwe hanji kumutalatala ca mandamba, cixi nyi kheke hanji itumbu ilelu.
05-00	LIJI LYA MUCITANO
05-01	Mweswawo kanatela muze maya kumwe kucihela ceswaco kumutambula nyi uthu nyi kulita nyi ximby ja cyulo.
06-00	LIJI LYA MUCISAMBANO
06-01	Ku ximbi ja cyulo eswe kali cimwikha, nawa kukulita nuci kulisa mu cyulo ufunga umwikha. Eswe kanatela kwafunga cimwikha heci kupwa kulisakula ku cima kuvulumuna ulumbunwiso anakasa nawa kulimika nyi kwihya caa kwalumuna cyulo.
07-00	LIJI LYA MUCIXIMBYALI
07-01	Mweswawo kanatela kupwa nyi umwe ukwasoo wa makulwana akutumina cifuci kumulamwina kuli yoze mazanga kulinga cipi wa kuciza ulite unamutela uli muximbi ja cyulo.
08-00	LIJI LYA MUCINAKE
08-01	Nyumwe mapwa kukwata tungumuku hikumusa mu zuwo lya ususu, cipwe kumutumbika ximbu hanji kumutuma kumwe nyi kumusweka.
09-00	LIJI LYA MUCILIVA
09-01	Mweswawo kanatela ululi, nyi kulita cimwikha, cilumbu ceswaco cipwe kusopha nyi kulita nyi kukunjika ku zumo lya kusophela hanga ipwe kwamba nyi kulita kecikuciza nyi cimwe, mamba, ngwe haulite nawa nyi uxinjilize, hakutala ha yeswe ize amusuma akulinga iye.
10-00	LIJI LYA MUCIKUMI
10-01	Muthu mweswe asuma mulonga wa kuthaci kali wa kulamikiza ndo mulonga weni mupwa kuhwisa kanawa hakaci kambunga haze haswila waze anamukwasa nyi anamukalila anamukwacila nithaci.
11-00	LIJI LYA MUCIKUMI NYI KAXI
11-01	Nyumwe mahasa kuhisa nyi mulonga ximbu, lizelyene au linga, nawa konda ucipwa kwamba nyi kulita nyi cyulo caa cifuci hanji ngwe nawa nyi yulo ya ifuci yeswe mumu cimwikha, ca telele kulinga mulonga ukolo kuhyana ngwe cize anakasa ha ximbu muze mulonga hi wapwa.
11-02	Nyumwe mahasa kunjila kuphande jambala jinalipalikila, hanji ku zuwo, mu cisemuka hanji kuma kweswako kuze kakutambikileko cipwe kwambujola, hanji kuciza vumbi nyi ulemu wenyi.
12-00	LIJI LYA MUCIKUMI NYI AALI
12-01	Muthu mweswe kanatela kupwa nyi uhamwino wa ximbi ja cyulo kukinda waze akunjila kuphande jambala kuze kakutambikeleko.
13-00	LIJI LYA MUCIKUMI NYI ATATHU
13-01	Muthu mweswe kanatela kwenda kweswako kuze anazange nyi kutonda haze muthunga mucima muze muli nguvulu.
13-02	?
14-00	LIJI LYA MUCUKUMI NYI AWANA
14-01	Muthu mweswano kanatela kukathuka mu cifuci cenyi nyi kuya mu ifuci yeswayo, mba mufuna nana mu cifuci cenyi.
14-02	Ha ximbu ya ungeji, muthu mweswawo mahasa nyi kanatela kufupha kuze mahasa kutama nawa mu kumukwasa nyi kutama mu ifuci ikwo.
15-00	LIJI LYA MUCIKUMI NYI ATANO
15-01	Muthu mweswe kanatela kupwa nyi cifuci cimwikha.
15-02	Nyumwe mahasa ku muciza kuthaci mu cifuci cenyi, cipwe kanalela kwalumuna cifuci.
16-00	LIJI LYA MUCIKUMI NYI ISAMBANO
16-01	Cize ha ximbu ya kulimbata, lunga nyi phwo nyi kapwile nyi katonde, wa cikowa, cisemuka, hanji cifuci, matela kuli mbata mapwa usoko. Muze halimbata eswe mapwa nyi ulemu cimwikha ndo hasongo.
16-02	Kulimbata ca kupwa ca kuzanga nyi kulita cize makatama ximbu ya kulute.
16-03	Usoko uli yoze muthu mwene nawa uli mukaci kayi ningi nyi unatela kupulwila mukaci kambunga nyi nguvulu.
17-00	LIJI LYA MUCIKUMI LYA XIMBYALI
17-01	Muthu mweswe, cipwe ukhaweni hanji munji, kanatela kupwa nyi cihela cenyi.
17-02	Nyumwe yoze maha kumutambula kuthaci cihela cenyi.
18-00	LIJI LYA MUCIKUMI NYI NAKE
18-01	Muthu mweswe kanatela kuthama cipema ku xinginyeka ceswe anazange, manyonga nyi mbonge.
19-00	LIJI LYA MUCIKUMI NYI LIVA
19-01	Muthu mweswe kanatela kuhana cyulo nyi kuhanjika liji ali nalyo.
20-00	LIJI LYA MAKUMI AALI
20-01	Muthu mweswe kanatela kulinga cikungulwila nyi nawa kuli kungulula nyi waze akwakuyula.
20-02	Nyumwe mahasa kuhandununa mukwo mu cikukunglwila.
21-00	LIJI LYA MAKUMI AALY NYI LIMWIKHA
21-01	Muthu mweswe kanatela kupwa haze anasophela mbunga phande ja cifuci cenyi kupwa ha cixina cipwe hanji kuli yoze wapwanga kusakula.
21-02	Muthu mweswe mahasa kusalakana, hakutala nyi kulita ca milimo ya mbunga ya mu cifuci cenyi.
21-03	Cize azanga mbunga cee akhikhila akwakutumina ha kutama kanawa ca mbunga; lino zango linatela kuhanjika ha ximbu muze akusakula ca kulita cinatela cihela ha ximbu lya kusakula eswe nyi mbunge imwikha nawa kusakula ca kusweka, hanji kusula itanga inalitela nyi kusakula.
22-00	LIJI LYA MAKUMI AALI NYI AALI
22-01	Muthu mweswe, ximbu kali mukulwana wa cikungulwila, kanatela ufunge wa yeswe, uli nyi xindakenyo ya kuliwahisa ha upite, ulikate nyi yako ya cisemuko ize ya kuneha ulemu nyi ukoleso wa muthu, cize cinalite nyi thaci ja cifuci nyi ya haze, yeswe mumu ha ululiko nyi ha upite wa cifuci.
23-00	LIJI LYA MAKUMI AALI NYI ATATHU
23-01	Muthu mweswe kanatela milimo, kusakula milimo ize azanga feto linalite nyi kwaso linalite nyi milimo nyi ufunga kucina kufa ca milimo.
23-02	Eswe kanatela, heci kupwa katonde, feto limwikha nyi milimo imwikha.
23-03	Yoze wakalakala katela feto linatela mulikwasa kutekula asoko, yuma inatela ha mwono wa muthu nyi mu citela kuhana ukwaso weswe.
23-04	Muthu mweswe kanatela kulinga, nyi akwo, cikunguwila ca kupulwila hanji kupwa ku mwikha nyi kungulwila ufunga wa kupulwila zango lyenyi.
24-00	LIJI LYA MAKUMI AALI NYI AWANA
24-01	Muthu mweswe wakalakala katela kuhwima nyi yuma ikwo ya ciseke ngwe ximbu likehe lya kuhwima milimo nyi kuhana feto ha ximbu akuhana hamwaka.
25-00	LIJI LYA MAKUMI AALI NYI ATANO
25-01	Muthu mweswe katela kutama cipema ha mwono wenyi kupwa nyi imwe ndambu mwikwasa kuka mujimba hanga atame cipema nyi kutekula asoko, kulya, kuzala, kupomba nyi mbuki nyi nawa ku milimo imwe ya mbunga ya cilemu, nawa nawa kanatela ufunga, wa kucina kukatuka ha milimo, ha ikola, nyi yuma ikwo ikehe ikehe ha kufisa ha uxinakaji nyi nawa ha kutokesa ceswaco cize cilemu ca kukwasa ha mwono ucikuhasa kutama kanawa.
25-02	Kufungwila nyi wanuke inatela ukwaso umwe uze unahyana. Ana eswe waze anasemukina kuli waze alimbacile ku usoneko wa kaphutu, mu ingeleja nyi waze anasumuka cize cene, eswe kanatela ufunga wa mbunga yeswe.
26-00	LIJI LYA MAKUMI AALI NYI ASAMBANO
26-01	Muthu mweswe watela kulilongesa. Kulongesa ndo kupwa ca wana, cize kama akuputukila ca wanuke nawa. Kulongesa ca uputukilo uli ca kuzangisa. Kulongesa waze hahasa cinji kutanga nyi kusoneka, kuhasa kulinga milimo, ya kutungisa mazuwo, yawu, kufula kamanga, kufula photololi ikwoyekha nyi yekha; cinatela kuheta kuli eswe nyi ulite umuwikha.
26-02	Kulongesa cinapu kwazulula meso nyi kuningika kupwa nyi mana analite ny muthu, kukolesa vumbi ku ize inatela muthu kutwama kanawa. Kulongesa catamba kukwasa uningikiso, uxixiko nyi usepha mu khaci ka yeswe, mbunga eswe a ikowa hanji a ufulyelo, hanga akolese milimo ya ifuci yalinunga (Nacoes Unidas) hanga ukulungunga utwame.
26-03	Cifuci ceswe cili, nyi ulite wa kusakula ilongesa inatela hali tanuke twenyi.
27-00	LIJI LYA MAKUMI AALI XIMBYALI
27-01	Muthu mweswe kanatela kupwa cimwikha, kuze analilongesela kuhasa yuma ya cifuci, kuningika ulemu wa tuponya akulinga nawa kwezela uningike, mba whase kutala ize ya kutuhukako.
27-02	Mweswe kanatela kupwa nyi ufunga wayeswe, waze akwa itanga ipema nyi kusolola itanga yamana yalitela nyi ize analinga aco yee mwe mukwama.
28-00	LIJI LYA MAKUMI AALI NYI NAKE
28-01	Muthu mweswe katela kupwa nyi cimwe cuma ha kaci kambunga nyi mu ifuci yeswe, umwe utumina ngwenyi ulitele nyi kwecele nyi kulita cize anakasoneka munu hasa kwana itanga yaco.
29-00	LIJI LYA MAKUMI AALI NYI LIVA
29-01	Muthu uli nyi ulite nyi kupwa ha kaci kakwo nawa waze analilulyeka nyi nawa ha kulivaco ce mu cihakupwa.
29-02	Ha kulinga milimo ya ulite we nyi kutama cipema, muthu mweswe alyoze ndo kanatela kuningika ximbi jaa utumino wa nguvulu ize inatela kufunga uningikiso nyi ulite wa vumbi nyi kulinga nawa ikwo yakukwasa haize anambe, hakutala ha kukwasa ca mbunga nyi kutama cipema ha ximbu ino ya kwalumuna itanga kusa nguvulu masa ize inatela hali mbunga nyi ufunga.
29-03	Jino ximbi, ja ulitelo nyi kutama cipema jici kuhasa, ku ceswaco cize mu cipwaho, uputukilo uno wa mbunga aakwa ifuci ya linunga (Nacoes Unidas) jicikuhasa kupwa kuphyangula.
30-00	LIJI LYA MAKUMI ATATHU
30-01	Nyi umwe ha uno milimo mahasa kunyonga ngwe upinjiso hali Nguvulu, milimo cipwe ya athu anji hanji umwikha, cipwe yoze wakutuma hanga akalinge cimwe cuma ca kutala ha kupihisa ino analweza hana ya kutala ca kutama ci pema nyi ulite.
