00-00	Sigai Renquan Xuanyan
09-01	Renho ren bw koyi renyi daibu, jujin huaezai fazw.
10-00	Di se tiao
10-01	Renren wanquan pinden li youquan you yege dwlie er wu pianyi li fatin jinxin gongzen li ho gongkai li senxun, zongkai lai qiodin ta li quanli ho yiwu bin pandin dui ta ticw li renho xinsi zikong.
11-00	Di se ye tiao
11-00	Fansi zao xinsi konggao zai, zai wei jin hodae bianfu sang soxu li yeqie baozen li gongkai senpan er yi fa zense qi you zui yiqian, youquan bei siwei vu zui.
11-01	Renho ren li xinwei huae bw xinwei, zai qi fasen si yi guaejia fa huae guaeji fa jun bw goucen xinsi zui zai, bwdae bei panwei fanyou xinsi zui. Xinfa bwdae zongyu fanzui si seyong li falue guidin.
12-00	Di se er tiao
12-01	Renho ren li guan li senho, jiatin, zuzae ho tongxin bwdae renyi gansae, ta li yongyu ho minyu bwdae jiayi gongjie. Renren youquan xiangsou falue baofu, yi mian sou zizong gansae huae gongjie.
13-00	Di se san tiao
13-00	Renren zai go guae jinlui de you quan ziyou qianxie ho juzu.
13-01	Renren you quan likai renho guaejia, baoko qi ben guae zai lui, bin youquan fanhui ta li guaejia.
14-00	Di se si tiao
14-00	Renren de youquan de qita guaejia xunqiu ho xiangsou bifu yi bimian paehai.
14-01	Zai zenzen youyu fei zenzixin li zuixin huae weibei Lianho Guae li zongzi ho yuanzae li xinwei er bei qisu li qinkuang xia, bwdae yuanyong cizong quanli.
15-00	Di se vu tiao
15-00	Renren de youquan xiangyou guaejie.
15-01	Renho ren li guaejie bwdae renyi bodo, yi bwdae fouren qi gaibian guaejie li quanli.
16-00	Di se lw tiao
16-00	Cenlian lanlü, bw sou zongzw, guaejie huae zongjiao li renho xianzi you quan hun jia ho cenlie jiatin. Tamen zai hunyin fangmian, zai jiehun qijian ho zai gaicu hunyo si, yin you pinden li quanli.
16-01	Ziyou jingo la lanlü suangfang li ziyou ho wanquan li tongyi, cailen di hun.
16-02	Jiatin si tianran li ho jiben li sehui danyuan, bin yin sou sehui ho jiatin li baofu.
17-00	Di se qie tiao
17-00	Renren dae you dandw li caican soyou quan yijie tong taren hoyou li soyou quan.
17-01	Renho ren li caican bw koyi suibian qiang zou.
18-00	Di se ba tiao
18-01	Renren de you sixiang, liangxin ho zongjiao ziyou li quanli; cixiang quanli baoko gaibian ta li zongjiao huae xinyang li ziyou, yijie dandw huae jieti, gongkai huae miemie li yi jiaoyi, sejian, libai ho gailue biaosi ta li zongjiao huae xinyang li ziyou.
19-00	Di se jiu tiao
19-01	Renren de you quan xiangyou zuzang ho fabiao yijian li ziyou; cixiang quanli baoko ciyou zuzang er bw sou gansae li ziyou, ho tonggo renho meigai ho bwlun guaegai xunqiu, jiesou ho cuandi xiaoxie ho sixiang li ziyou.
20-00	Di er se tiao
20-00	Renren de you quan xiangyou hopin jiehui ho jie se li ziyou.
20-01	Renho ren bwdae paesi disw yu mou ye tuanti.
21-00	Di er se ye tiao
21-00	Renren de you zejie huae tonggo ziyou xuanzae li daibiao canyu zili ben guae li quanli.
21-01	Renren de you pinden jihui canjia ben guae gongvu li quanli.
21-02	Renmin li yizi si zenfu quanlie li jicu; zi ye yizi yin yi dinqi li ho zenzen li xuanju yu yi biaoxian, er xuanju yin yiju pubian ho pinden li toupiao quan, bin yi bw jimin toupiao huae xiangdang li ziyou toupiao cenxu jinxin.
22-00	Di er se er tiao
22-01	Mei go ren, zowei sehui li yego cenyuan, youquan xiangsou sehui baozang, bin youquan xiangsou ta li goren zunlian ho rengae li ziyou fazan so biexu li jinji, sehui ho wenhua fangmian gozong quanli li sexian, zizong sexian si tonggo guaejia lulie ho guaeji hozo bin yizao go guae li zuze ho ziyuan qinkuang.
23-00	Di er se san tiao
23-00	Renren de you quan gongzo, ziyou xuanzae zelie, xiangsou gongzen ho hose li gongzo tiaojian bin xiangsou mianyu selie li baozang.
23-01	Renren you tong gong tong cou li quanli, bw sou renho qisi.
23-02	Mei yego gongzo li ren, you quan xiangsou gongzen ho hose li baocou, baozen si ta benren ho jiasw you ye go fwho ren li zunlian li senho tiaojian, bieyao si bin fuyi qita fangsi li sehui baozang.
23-03	Renren you wei weifu qi liye er zuze ho canjia gonghui li quanli.
24-00	Di er se si tiao
24-01	Renren de you xiangyou xiuxie ho xianxia li quanli, baoko gongzo sijian you holi xianzi ho dinqi gei xin xiujia li quanli.
25-00	Di er se vu tiao
25-00	Renren de you quan xiangsou weici ta benren ho jiasw li jiankang ho fwli so xu li senho suizun, baoko sevw, yizo, zufang, yiliao ho bieyao li sehui fwvu; zai zaodao selie, jiebin, canfei, sougua, suailao huae zai qita bwlen kongzi li qinkuang xia sangse mousen lenlie si, you quan xiangsou baozang.
25-01	Muqin ho ertong you quan xiangsou taebie zaogu ho xiezu. Yeqie ertong, vulun hunsen huae fei hunsen, dou yin xiangsou tongyang li sehui baofu.
26-00	Di er se lw tiao
26-00	Renren de you sou jiaoyue li quanli, jiaoyue yindang mianfei, zisao zai cujie ho jiben gaiduan yin ruci. Cujie jiaoyue yin sw yivu xinze. Jisw ho zilie jiaoyue yin pubian saelie. Gaoden jiaoyue yin genju cenjie er dui yeqie ren pinden kaifang.
26-01	Jiaoyue li mwdie zaiyu congfen fazan ren li goxin bin jiaqiang dui renquan ho jiben ziyou li zunzong. Jiaoyue yin cwjin go guae, go zongzw, ho go zongjiao jietuan jian li liaogai, yongren ho youli, bin yin cwjin Lianho Guae weifu hopin li go xiang hodong.
26-02	Fumu dui qi zilü sou yin sou li jiaoyue li zonglui, you youxian xuanzae li quanli.
27-00	Di er se qie tiao
27-00	Renren de youquan ziyou canjia sehui li wenhua senho, xiangsou yisw, bin fenxiang koxio jinbu jie qi cansen li fwli.
27-01	Renren dui youyu ta so cuangzo li renho koxio, wenxio huae meisw zopin er cansen li jinsen li ho vwze li liye, you xiangsou baofu li quanli.
28-00	Di er se ba tiao
28-01	Renren de you quan yaoqiu ye zong sehui li ho guaeji li zixu, zai zizong zixu zong, ben xuanyan so zai li quanli ho ziyou len hodae congfen sexian.
29-00	Di er se jiu tiao
29-00	Renren dui sehui de fuyou livu, yinwei ziyou zai sehui zong ta li goxin cai kolen daedao ziyou ho congfen li fazan.
29-01	Renren zai xinsi ta li quanli ho ziyou si, zi sou falue so qiodin li xianzi, qiodin cizong xianzi li weiye mwdie zaiyu baozen dui pangren li quali ho ziyou geiyu yinyou li cenren ho zunzong, bin zai yego minzu li sehui zong seyin daodae, gonggong zixu ho pubian fwli li zendang xuyao.
29-02	Zixi quanli ho ziyou li xinsi, vulun zai renho qinxin xia jun bwdae weibei Lianho Guae li zongzi ho yuanzae.
30-00	San se tiao
30-01	Zigo xuanyan li renho tiaowen, bw koyi gaisi cen maexu renho guaejia, jietuan huae goren you quan jinxin zizai pohuai ben xuanyan so zai li renho quanli ho ziyou li hodong hua xinwei.
