00-00	АДАМ ҚҰҚЫҚТАРЫНЫҢ ЖАЛПЫҒА БІРДЕЙ ДЕКЛАРАЦИЯСЫ
19-01	Әр адам наным‐сенім бостандығына және өз көзқарасын еркін білдіруіне құқығы бар; бұл құқық өз наным‐сенімін кедергісіз ұстану еркіндігін және мемлекеттік шекаралар тәртібіне тәуелді болып қалмай, ақпараттар мен идеяларды еркін іздеп, кез‐келген құралдар арқылы тарату бостандығын да қамтыйды.
20-00	20 бап
20-01	Әр адамның бейбіт жиналыстар және ассоциацияаларды құру бостандығына құқығы бар.
20-02	Ешкімді де белгілі бір ассоциацияға зорлықпен кіргізуге болмайды.
21-00	21 бап
21-01	Әр адамның, өз елін басқару ісіне тікелей өзі, немесе ерікті түрде сайланған өкілдері арқылы қатысуға құқығы бар.
21-02	Әр адам өз елінде мемлекеттік қызметке тең дәрежеде қол жеткізуге құқылы.
21-03	Халықтың еркі үкімет билігінің негізі болуы тиіс; бұл ерік мерзімді және бұрмаланбаған сайлау арқылы жүзеге асырылуы тиіс . Сайлау жалпыға бірдей тең сайлау құқығы негізінде, жасырын дауыс беру жолымен, немесе осы сияқты сайлау бостандығын қамтамасыз ететін басқа да, осы мәндес әдістер арқылы өткізілүі тиіс.
22-00	22 бап
22-01	Әр адам, қоғам мүшесі ретінде, әлеуметтік жағынан қамсыздандырылуына және оның қадір‐қасиеті қолдау табуына, жеке басы еркін кемелденуіне қажетті экономикалық, әлеуметтік және мәдени салалар бойынша құқықтары әрбір мемлекеттің құрылымы мен рессурстарына сай, ұлттық ыкпал және халыкаралық ынтымақтастық арқылы жүзеге асырылуына құқыгы бар.
23-00	23 бап
23-01	Әр адамның еңбек етуге, жұмыс түрін еркін таңдауға, әділ және қолайлы еңбек жағдайына, жұмыссыздықтан қорғалуына құқығы бар.
23-02	Әр адамның құндылығы тең еңбегі үшін, нендей бір кемсітусіз, тең еңбек ақы алуына құқығы бар.
23-03	Жұмыс істеп жүрген әр адам өзінің және отбасының ылайықты өмір сүруін қамтамасыз ететіндей әділ және қанағаттанарлық, және, қажет болған кезде, басқа әлеуметтік қамсыздандыру құралдары арқылы толықтырылып отыратын, сый‐сияпатқа құқылы.
23-04	Әр адам кәсіподақтарын құруға және өз мүдделерін қорғау үшін, кәсіподақтарына кіруге құқылы.
24-00	24 бап
24-01	Әр адам тынығуға және мәдени демалуға, оның ішінде ақылға қонымды шектеулі жұмыс күніне және мерзімді ақылы демалысқа, кұқылы.
25-00	25 бап
25-01	Әр адам өзінің және отбасы мүшелерінің ден‐саулығын әл‐ауқатын қамтамасыз ететіндей, тамақты, киімді, баспананы, медициналық күтімді қамтыйтын өмір сүру деңгейіне құқылы және де жұмыссыз қалған күнде, науқас болған кезде, мүгедек болып қалған, жесір болып қалған күнде, қартайған шақта, немесе өзіне байланысты емес басқа да себептермен тіршілік ету мүмкіншілігінен айырылып қалған жағдайда қамсыздандырылуына құқылы.
25-02	Ана және нәресте болу жағдайы айрықша қамқорлық пен көмек алуға кұқық береді. Балалардың бәрі, некелі немесе некесіз туған, бірдей әлеуметтік қорғауды пайдаланады.
26-00	26 бап
26-01	Әр адамның білім алуға кұқығы бар. Білім беру, ең болмағанда бастауыш және жалпы білім, тегін болуы тиіс. Бастауыш білім баршаға міндетті болуы тиіс. Техникалық және кәсіптік білім көпшіліктің қолы жетерліктей болуы тиіс және жоғары білім де, әркімнің қабілетіне қарай көпшіліктің қолы жетерліктей болуы тиіс.
26-02	Білім беру адамның жеке басының толық кемелденуіне және кұқықтары мен негізгі бостандықтарына деген құрметті арттыруға бағытталуы тиіс. Білім беру барлық ұлттар, нәсілдік және діни топтары арасында түсіністік, шыдамдылық пен достық қарым‐қатынас орнатуға ықпал жасап және Біріккен Ұлттар Ұйымының бейбітшілікті қуаттау жолындағы жұмысына ыкпал жасап, дем беруі тиіс.
26-03	Ата‐аналардың өздерінің жас балаларына білім беру түрін таңдауда құқығы басымды
27-00	27 бап
27-01	Әр адам қоғамның мәдени өміріне еркін қатысуға, өнерден рахат‐ләззат алуға, ғылыми прогресске ат салысуға әрі оның игілігін пайдалануға құқылы.
27-02	Әр адам өзі автор болып табылатын ғылыми еңбегінің, әдеби немесе көркем шығармаларының нәтижесінде туындайтын рухани және материалды мүдделерін қорғауға құқылы.
28-00	28 бап
28-01	Әр адам осы декларацияда баянды етілген кұқықтар мен бостандықтарды толық жүзеге асыра алатын әлеуметтік және халықаралық тәртіпке құқылы.
29-00	29 бап
29-01	Әр адамның, адам баласының еркін және толық кемелденуіне мүмкіншілік беретін қоғам алдында міндеттері бар.
29-02	Өзінің құқықтары мен бостандықтарын жүзеге асыруда әр адам тек басқа адамдардың құқықтары мен бостандықтарын тиісті түрде тану және құрметтеу мақсаты көзделген жағдайда ғана және демократиялық қоғамдағы моральдің, қоғамдық тәртіп пен игіліктің әділетті талаптарын қанағаттандыру мақсаты көзделген жағдайда ғана, заңмен белгіленген шектеуге ұшырауы тиіс.
29-03	Осы бостандықтар мен құқықтарды жүзеге асырылуы Біріккен Ұлттар Ұйымының мақсаттары мен қағидаларына қайшы келмеуі тиіс.
30-00	30 бап
30-01	Осы Декларациядағы ешбір қағида қасыбір мемлекетке, адамдар тобына немесе жеке адамдарға аталмыш Декларацияда баянды етілген құқықтар мен бостандықтарды жоятын қызметпен айналысу немесе іс‐әрекет жасау құқығын береді деп пайымдалуы тиіс емес.
