00-00	DATGANIAD CYFFREDINOL O HAWLIAU DYNOL
22-01	Y mae gan bawb, fel aelod o gymdeithas, hawl i ddiogelwch cymdeithasol, i allu mwynhau hawliau economaidd, cymdeithasol a diwylliannol sy’n anhepgorol i’w hurddas ac i ddatblygiad rhydd eu personoliaeth, trwy ymdrech genedlaethol a chydweithrediad rhyngwladol ac yn unol â threfniadaeth ac adnoddau pob Gwladwriaeth.
23-00	Erthygl 23
23-01	Y mae gan bawb hawl i waith, i ddewis eu gyrfa yn rhydd, i amodau gwaith cyfiawn a boddhaol, ac i amddiffyniad rhag diweithdra.
23-02	Y mae gan bawb, yn ddiwahân, hawl i dâl cyfartal am waith cyfartal.
23-03	Y mae gan bawb sy’n gweithio hawl i dâl teg a boddhaol gan sicrhau iddo’u hunain ac i’w teulu fodolaeth deilwng o urddas dynol, ac ychwanegu at hynny, os bydd rhaid, drwy ffyrdd eraill o nawdd cymdeithasol.
23-04	Y mae gan bawb hawl i ffurfio undebau llafur ac i ymuno â hwy i amddiffyn eu buddiannau.
24-00	Erthygl 24
24-01	Y mae gan bawb hawl i orffwys a hamdden gan gynnwys cyfyngiad rhesymol ar oriau gwaith, ac i wyliau cyfnodol gyda thâl.
25-00	Erthygl 25
25-01	Y mae gan bawb hawl i safon byw digonol i’w hiechyd a’u ffyniant eu hunain a’u teulu, gan gynnwys bwyd, dillad, annedd a gofal meddygol ac i wasanaethau cymdeithasol angenrheidiol; a hawl i sicrwydd cynhaliaeth os digwydd diweithdra, afiechyd, anabledd, gweddwdod, henaint neu unrhyw fethiant bywoliaeth arall pan fo’r amgylchiadau tu hwnt i’w rheolaeth.
25-02	Y mae gan famolaeth a phlentyndod hawl i ofal a chymorth arbennig. Dylai pob plentyn, p’un ai wedi eu geni o fewn neu du allan i briodas, fwynhau’r un diogelwch cymdeithasol.
26-00	Erthygl 26
26-01	Y mae gan bawb hawl i addysg. Dylai addysg fod yn rhydd, o leiaf addysg elfennol a sylfaenol. Dylai addysg elfennol fod yn orfodol. Dylid gwneud addysg dechnegol a phroffesiynol yn agored i bawb, a dylai fod mynediad llawn a chydradd i bawb i addysg uwchradd ar sail teilyngdod.
26-02	Dylai addysg amcanu datblygu personoliaeth llawn yr unigolyn a chryfhau parch i hawliau dynol a’r rhyddfreintiau sylfaenol. Dylai hyrwyddo dealltwriaeth, goddefgarwch a chyfeillgarwch ymysg yr holl genhedloedd ac ymysg grwpiau hiliol neu grefyddol, a dylai hefyd hyrwyddo gwaith y Cenhedloedd Unedig dros heddwch.
26-03	Gan rieni y mae’r hawl cyntaf i ddewis y math o addysg a roddir i’w plant.
27-00	Erthygl 27
27-01	Y mae gan bawb yr hawl i gymryd rhan ym mywyd diwylliannol eu cymdeithas, i fwynhau’r celfyddydau ac i gyfranogi o gynnydd gwyddonol a’i fuddiannau.
27-02	Y mae gan bawb yr hawl i fynnu diogelwch i’r buddiannau moesol a materol sy’n deillio o unrhyw gynnyrch gwyddonol, llenyddol neu artistig y maent yn awdur iddo.
28-00	Erthygl 28
28-01	Y mae gan bawb hawl i drefn gymdeithasol a rhyngwladol lle y gellir llawn sylweddoli’r hawliau a’r rhyddfreintiau a nodir yn y Datganiad hwn.
29-00	Erthygl 29
29-01	Y mae gan bawb eu dyletswyddau i gymdeithas, lle yn unig y mae datblygiad rhydd a llawn eu personoliaeth yn bosibl.
29-02	Ni ddylid cyfyngu ar neb, wrth iddynt arfer eu hawliau a’u rhyddfreintiau, ond pan bennir hynny gan gyfraith gyda’r unig amcan o sicrhau cydnabod a pharchu hawliau a rhyddfreintiau pobl eraill, ac i gyfarfod â gofynion cyfiawn moesoldeb, trefn gyhoeddus a ffyniant cyffredinol mewn cymdeithas ddemocrataidd.
29-03	Ni ellir arfer yr hawliau a’r rhyddfreintiau hyn mewn unrhyw achos yn groes i amcanion ac egwyddorion y Cenhedloedd Unedig.
30-00	Erthygl 30
30-01	Ni ellir dehongli dim yn y Datganiad hwn i olygu bod gan Wladwriaeth, grp neu berson unrhyw hawl i ymroddi i unrhyw weithgarwch neu i gyflawni unrhyw weithred gyda’r bwriad o ddistrywio unrhyw un o’r hawliau a’r rhyddfreintiau a nodir yma.
