00-00	ᐯᒪᑎᓯᑦ ᑌᐸᑫᑕᑯᓯᐎᓇᓐ ᒥᓯᐌᑲᒥᒃ ᐎᓐᑕᒪᑫᐎᓐ
02-01	ᑲᑭᓇᐌᓄᓐ ᐅᑕᔦᓇᐗ ᑲᑭᓇ ᑌᐸᑫᑕᑯᓯᐎᓇᓐ ᒥᓇ ᑎᐯᓂᒥᑎᓱᐎᓇᓐ ᑲᐃᓇᑌᓂᒃ ᐅᐌᓂ ᐃᑭᑐᐎᓐ ᑲᐎᓐ ᑲᐎᓐ ᒣᒬᒃ ᓂᓯᑕᐎᓇ ᑯᓯᐎᓐ ᐅᒋ ᑕᐱᔥᑯᒃ ᑲᑎᓄᐎᑦ, ᑲᐃᔐᑫᑦ, ᑲᐃᔑᓇᑯᓱᑦ, ᑲᐃᔑᑫᔗᑦ, ᑲᐃᔑᐊᔦᒥᐃᑦ, ᐃᓀᑕᒧᐎᓐ, ᑲᐃᑕᑲᓀᓯᑦ, ᑭᑎᒪᑭᓯᐎᓐ, ᓂᑕᐎᑭᐎᓐ ᒥᓇ ᑯᑕᒃ ᐃᔑᑭᑫᑕᑯᓯᐎᓐ. ᓇᐗᒃ ᒥᓇᐗ ᑲᐎᓐ ᒣᒬᒃ ᓂᓯᑕᐎᓇᑯᓯᐎᓐ ᑕᐊᔭᒪᑲᓯᓄᓐ ᐅᒋ ᐅᒋᒪᐎᓂᒃ. ᑲᐊᑯᑎᐯᑕᑯᓯᒃ ᑫᒪ ᒥᓯᐌᑲᒥᒃ ᑲᐃᔑ ᑎᐯᑕᑯᓯᓇᓂᐗᒃ ᐊᒋᒃ ᒥᓇ ᑲᑎᐯᑕᒧᐗᑦ ᐅᑕᑭᐗ ᑲᐃᔑ ᐯᔑᑯᑦ ᐊᐎᔭ ᑫᒪ ᑲᔦ ᐅᒋᑎᐯᑕᒃ ᐊᑭᓂ ᑎᐱᓇᐌ, ᐊᐯᓂᒧᐎᓂᒃ, ᐅᑭᒪᐅᓂᒃ ᑲᐊᔭᓯᑾ ᒪᑭᔕ ᑲᔦ ᐊᓂᑕ ᑲᓄᑕᔥᑲᒧᐗᑦ ᑭᒋ ᐅᑭᒪᐌᑕᑯᓯᐌᓂ.
03-00	ᐅᔑᐱᐃᑲᓐ ᓂᓯᓐ
03-01	ᑲᑭᓇᐌᓀᓐ ᑌᐸᑫᑕᑯᓯ ᐱᒪᑎᓯᐎᓐ, ᒋᐊᐗᑲᓇᓯᐎᓐᑦ ᒥᓇ ᐊᔭᑾᒥᓯᐎᓂᒃ ᒋᐊᔭᒃ.
04-00	ᐅᔑᐱᐃᑲᓐ ᓂᐎᓐ
04-01	ᑲᐎᓐ ᑕᐃᔑᐌᐸᓯᓄᓐ ᒋᐊᐗᑭᓇᓂᐗᒃ ᐊᐎᔭ ᑫᒪ ᑯᑕᑭᑐᐎᓐ. ᑲᐎᓐ ᑲᔦ ᑕᐃᔑᐌᐸᓯᓄᓐ ᑲᑭᓇ ᑫᑯᓐ ᑲᐃᔑᓇᑾᒃ ᑲᑾᑕᑭᑐᐎᓐᓂᒃ ᒥᓇ ᒋᑭᐱᑎᓂᑲᑌᒃ ᑭᐃᔑᒋᑫᐗᑦ ᒣᔥᑾᒃ ᑲᐅᑎᓇᒥᐎᑡ ᑯᑕᑭᑐ ᐊᓄᑭᐊᑲᓇᓐ.
05-00	ᐅᔑᐱᐃᑲᓐ ᓇᓇᓐ
05-01	ᑫᑯᐗᓐ ᐊᐎᔭ ᑕᑐᒋᑲᓂᐎᓯ ᓇᓀᑲᒋᐃᑎᐎᓂᒃ ᑲᔦ ᒪᒋᑐᑕᑫᐎᓂᒃ ᑲᐅᒋ ᑕᐸᓭᑕᑯᐎᑕ ᐅᐱᒪᑎᓯ ᑫᒪ ᑲᑾᑕᑭᐃᐌᐎᓂᒃ.
06-00	ᐅᔑᐱᐃᑲᓐ ᐃᑺᑕᓱ
06-01	ᒥᓯᐌ ᐱᑯ ᐅᒪ ᑲᑭᓇᐌᓀᓐ ᑌᐸᑫᑕᑯᓯ ᒋᐃᔑᑭᑫᑕᑯᓯᑦ ᑲᐃᓇᓴᒥᓯᒃ ᐃᓇᑯᓂᑫᐎᓐ.
07-00	ᐅᔑᐱᐃᑲᓐ ᓂᔡᓱ
07-01	ᑲᐃᓇᓴᒥᓯᒃ ᐅᓇᑯᓂᑫᐎᓐ ᑲᑭᓇ ᐊᐎᔭ ᑕᐱᑕ ᐃᔑᓇᑯᓯ ᒥᓇ ᒋᐅᒋ ᑲᓇᐌᓂᒥᑯᐗᑦ ᐅᓂᑯᓂᑫᐎᓂᒃ. ᑲᑭᓇ ᐊᐎᔭ ᑕᐱᑕ ᐃᔑᓇᑯᓯ ᒋᑲᐌᓂᒥᑯᑦ ᐅᐌᓂ ᐃᓇᑯᓂᑫᐎᓐ ᐅᒋ ᐱᑯᓂᑲᑌᒃ ᒥᓇ ᐱᑯ ᐃᓂᐌᓂᐗᓐ ᑲᐅᒋ ᐃᔑᓂᔥᑫᑲᓂᐗᒃ.
08-00	ᐅᔑᐱᐃᑲᓐ ᓂᔥᔡᓱ
08-01	ᑲᑭᓇᐌᓀᓐ ᑲᐱᒪᑎᓯᑦ ᐅᑕᔭᓐ ᑌᐸᑫᑕᑯᓯᐎᓐ ᒥᓯᐌ ᑎᐸᑯᓂᑫᐎᓂᒃ ᑲᑭ ᐅᒋ ᐸᑭᑎᓂᑲᑌᑭᓐ ᑯᓂᑫᐎᓇᓐ ᑲᔦ ᐃᓇᑯᓂᑫᐎᓐ ᑫᑐᒋᑲᑌᒃ ᐊᓐᒋᑯ ᑲᐱᑯᓂᑫᑦ ᐅᓄᐌᓂᐗᓐ ᑲᑭ ᐃᔑ ᐅᓇᒋᑲᑌᑭᓐ ᑌᐸᑫᑕᑯᓯᐌᓇᓐ.
09-00	ᐅᔑᐱᐃᑲᓐ ᔕᑲᓱ
09-01	ᑲᐎᓐ ᐊᐎᔭ ᑕᐃᔑᓴᓯ ᐎᓐ ᐁᑕᑯ ᐅᑕᑯᓂᑯᐎᓐ ᒋᐅᑕᑯᐅᓐᑦ, ᑲᓇᐌᑕᑯᓯᐎᓐ ᑫᒪ ᒋᐅᒋ ᓀᐱᒋ ᑭᒋᐎᓇᑲᓂᐎᑦ ᐸᑲᓐ ᐊᑭᒃ.
10-00	ᐅᔑᐱᐃᑲᓐ ᒥᑕᓱ
10-01	ᑲᑭᓇᐌᓀᓐ ᐅᑕᔭᓐ ᒥᓯᐌ ᐌᐌᓂ ᑕᐱᑕ ᑾᔭᒃ ᑭᐃᔑᑲᓇᐗᐸᒋᑲᑌᓂᒃ ᑲᐃᔑᑕᔑᒋᑲᑌᑭᓐ ᐃᔑᓭᐎᓇᓐ ᑎᐸᑯᓂᑫᐎᓂᒃ ᒥᓇᐗ ᐃᒪ ᑎᐸᑯᓂᑫᐎᓇᓐ ᑲᑎᐯᓂᑎᓱᒪᑲᑭᓐ ᑲᒧᒋᓇᐸᓀ ᐁᑕ ᑐᒋᑲᑌᒃ ᒥᓇᐗ ᑎᐯᑯᓂᑫᐎᓐ ᑲᐃᔑ ᑲᑴ ᑭᑫᒋᑲᑌᓂᒃ ᐊᓂᓐ ᒪᔭ ᑲᐃᔑᒪᒪᔑᑦ ᑲᔦ ᐅᐸᐸᒥᓯᐌᓐ ᒥᓇ ᑲᔦ ᑭᒋᒪᒪᒻᔑᐌᓐ ᑲᐃᑕᑾᐅᑎᓇ ᓂᐗᒃ.
11-00	ᐅᔑᐸᐃᑲᓐ ᒥᑕᓯᔑᐯᔑᒃ
11-00	ᑲᑭᓇᐌᓄᓐ ᑲᑎᐸᑯᓂᑡ ᐅᒪᒪᔑᐎᓂᐗ ᐅᑕᔭᓇᐗ ᑌᐸᑫᑕᑯᓯᐎᓐ ᐱᓇᒪ ᒋᑭᔕᑯᓇᑲᓂᐎᑦ ᒋᑄ ᐊᓇᒣᑕᑯᓯᑦ ᑲᐃᓇᑌᒃ ᑎᐸᑯᓂᑫᐎᓐ ᐅᑕᔭᓐ ᑫᐅᒋ ᓇᑕᒪᑯᐨ ᐅᑎᐸᑯᓂᑯᐎᓐ.
11-01	ᑲᐎᓐ ᐊᐎᔭ ᑕᐊᓇᒣᓂᒪᑲᓂᐎᓯ ᐅᒋ ᑫᑯᓐ ᐃᐃᐌ ᐊᐱ ᑲᑭᑐᑕᒃ ᑭᐅᑎᓂᑲᑌᓂᒃ ᑲᐅᒋ ᑎᐸᑯᓂ ᑎᓇᓂᐗᒃ ᐅᐌ ᑫᑲᓐ ᑲᑭᐃᔑᒋᑲᓂᐗᒃ ᑫᒪ ᐊᓇᐌᐎᓯᐎᓐ ᑫᒪ ᑲᐃᔑᓄᑕᔥᑲᒃ ᑫᑯᓐ ᐅᒪ ᒥᓯᐌᑲᒥᒃ ᑲᔦ ᒥᓯᐌᐊᑭᒃ ᑲᔦ ᐃᑕᔥ ᒥᓇᐗ ᑲᐎᓐ ᑕᐃᔑᑐᒋᑲᑌᓂ ᐅᒪᒪᔑᐎᓐ ᓇᐗᒃ ᐊᐗᔑᒣ ᑲᑾᓯᑴᑕᑾᒃ ᒋᐃᓇ ᑾᐃᑲᓂᐎᑦ ᐃᐌ ᐊᐱ ᑲᑭ ᐃᔑ ᐱᑯᓂᑫᑦ.
12-00	ᐅᔑᐱᐃᑲᓐ ᒥᑕᓱᔑᓂᔑᓐ
12-01	ᑲᐎᓐ ᐊᐎᔭ ᑕᑐᒋᑲᓂᐎᓯ ᒋᐅᒋ ᑲᑴᑎᐸᐊᒪᐎᑦ ᐅᒪᒪᔑᐎᓐ ᐅᑎᐱᓇᐌᐎᓯᐎᓂᒃ, ᐅᑎᐯᒋᑫᐎᓂᒃ, ᐅᐗᑲ ᐃᑲᓂᒃ ᑫᒪ ᐅᔑᐱᐊᒪᑎᐎᓂᒃ, ᒥᓇ ᑲᔦ ᒋᐅᒋ ᑕᑯᐱᒋᑲᑌᓂᒃ ᐅᑕᐱᑌᑕᑯᓯᐎᓐ ᒥᓇ ᐅᒋᔑᐌᐱᓯᐎᓐ. ᑲᑭᓇᐌᓀᓐ ᐅᑕᔭᓐ ᑌᐸᑫᑕᑯᓯᐎᓐ ᒋᐅᒋ ᑲᓇᐌᓂᒥᑯᑦ ᐅᓇᑯᓂᑫᐎᓐ ᐅᐌᓂ ᐅᒋ ᐊᑐᓀᐃᑫᐎᓐ ᑲᔦ ᐗᓂᔥᑴᐃᐌᐎᓐ.
13-00	ᐅᔑᐱᐃᑲᓐ ᒥᑕᓱᔑᓂᓯᓐ
13-00	ᑲᑭᓇᐌᓀᓐ ᐅᑕᔭᓐ ᑌᐸᑫᑕᑯᓯᐎᓐ ᑎᐯᓂᒥᑎᓱᐎᓂᒃ ᒋᐸᐸᒥᐊᔭᑦ ᑲᔦ ᒋᐃᔑᑕᑦ ᑲᐊᑯ ᑎᐱᓂᑲᑌᒃ ᐊᑭᒃ.
13-01	ᑲᑭᓇᐌᓀᓐ ᐅᑕᔭᓐ ᑌᐸᑫᑕᑯᓯᐎᓐ ᒋᓇᑲᑕᒃ ᐸᑲᓐ ᐊᒋᒃ ᑲᔦ ᑎᐱᓇᐌ ᐅᑕᑭ ᒥᓇᐗ ᒋᐃᔑᑎᑭᐌᑦ ᑲᑭᐱᐅᒋᑦ ᐅᑕᑭᒃ.
14-00	ᐅᔑᐱᐃᑲᓐ ᒥᑕᓱᔑᓂᐃᓐ
14-00	ᑲᑭᓇᐌᓀᓐ ᐅᑕᔭᓐ ᑌᐸᑫᑕᑯᓯᐎᓐ ᑭᔥᐱᓐ ᑌᐺ ᐃᐌᓂ ᐅᒋ ᒪᒋᐸᐃᐌᑦ ᐊᓂᔕ ᐱᑯ ᑲᐅᒋᑭᑲᓂ ᐎᐗᑦ ᐊᓂᔑᓂ ᓂᐗᒃ ᑲᐃᔑᓇᑯᓯᑦ, ᑲᑎᓄᐎᑦ ᑫᒪ ᐅᑌᐺᔦᑕᒣᐎᓂᒃ ᐅᒋᑎᐸᑯᓇᑲᓂᐎᑦ ᐌᑎ ᐃᑕᔥ ᐸᑲᓐ ᐊᑭᒃ ᐃᔑᐊᐸᐃᐗᑕᒃ ᐱᓴᓐ ᐃᑯ ᒋᐊᑐᐗᐸᑕᒃ ᒥᓇ ᒋᐅᒋᓇᐁᑕᒃ.
14-01	ᐅᐅᐌ ᑌᐸᑫᑕᑯᓯᐎᓐ ᒪᑭᔕ ᑲᐎᓐ ᑕᐃᔑ ᑲᓇᐗᐸᒋᑲᑌᓯᓄᓐ ᑭᔥᐱᓐ ᑌᐺ ᐃᔑᓇᑾᓯᓄᓐ ᑲᐅᒋ ᒪᒋᐸᐃᐌᑦ ᑌᑾᒃ ᐁᑭ ᒪᒪᔑᑲᑕᓱᑦ ᐁᑭ ᐱᑯᓂᑫᑦ ᑲᐃᓇᑌᓂᒃ ᐃᓇᑯᑫᐎᓐ ᐃᒪ ᒥᓯᐌᑲᒥᒃ ᐊᑭᒃ ᒪᒪᐎ ᐎᒋᐎᑎᐎᓂᒃ.
15-00	ᐅᔑᐱᐃᑲᓐ ᒥᑕᓱᔑᓇᓇᓐ
15-00	ᑲᑭᓇᐌᓀᓐ ᐅᑕᔭᓐ ᑌᐸᑫᑕᑯᓯᐎᓐ ᒋᐅᒋ ᐊᔭᐸᓐ ᐅᑕᑲᓀᓯᐎᓐ ᑲᐃᔑᓇᑯᓯᑦ.
15-01	ᑲᐎᓐ ᐊᐎᔭ ᑕᐅᒋᑎᐸᑯᓇᓯ ᐅᐌᓂ ᐅᑐᑕᑲᓀᓯᐎᓐ ᑲᐃᔑᓇᑯᓯᑦ ᑲᔦ ᒋᐊᓇᐌᑕᐎᑦ ᐎᐊᒋᑐᑦ ᐅᑐᑕᑲᓀᓯᐎᓐ.
16-00	ᐅᔑᐱᐃᑲᓐ ᒥᑕᓱᔑᓂᑯᑡᓱ
16-00	ᐃᓂᓂᐗᒃ ᒥᓇ ᐃᑴᐗᒃ ᑲᑌᐱᑕᓱᐱᐯᓀᐗᑦ ᐅᑕᔭᓇᐗ ᑌᐸᑫᑕᑯᓯᐎᓐ ᐱᓴᓐ ᐃᑯ ᒋᑭᒋᐎᑎᑫᐗᐸᓐ ᑲᐎᓄᓐ ᒣᒬᒡ ᐱᓇᒪ ᐊᐌᓀᓂᐎᐗᑦ, ᐊᓂᓐ ᐁᔑᐊᔭᒥᐊᐗᑦ ᒥᓇ ᑲᑕᓇᑭᐗᑦ ᐅᑕᑲᓀᓯᐎᓐ. ᐅᑕᔭᓇᐗᓐ ᑕᐱᑕ ᑌᐸᑫᑕᑯᓯᐎᓐ ᑭᒋ ᐎᑎᑫᐎᓐ, ᒣᑾ ᐎᑎᑫᐎᓐ ᑲᔦ ᑭᔥᐱᓐ ᐊᓂ ᐃᔥᑾᓭᓂᒃ ᐎᑎᑫᐎᓐ.
16-01	ᐎᓇᐗ ᐱᑯ ᑎᐱᓇᐌ ᑲᐃᓀᑕᒣᐗᑦ ᑲᐃᔑᓂᔑᐗᑦ ᑕᐃᔑᒋᑫᐎᒃ ᒋᑭᒋᐎᑎᑫᐗᑦ.
16-02	ᑎᐯᒋᑫᐎᓇᓐ ᑲᐅᑕᑲᓀᓯᓇᓂᐗᒃ ᐃᔑᓂᓯᑕᐎᓇᑾᓄᓐ ᐅᒪ ᑲᐃᔑᐊᔭᓂᐗᒃ ᐁᓂᐌᒃ ᒋᑭᑲᓇᐌᑕᑾᑭᐸᓂᒃ ᑲᔦ ᒋᐊᔦᑾᒥᓂᑲᑌᑭᓐ.
17-00	ᐅᔑᐱᐃᑲᓐ ᒥᑕᓯᔑᓂᔕᓱ
17-00	ᑭᑲᓇᐌᓀᓐ ᐅᑕᔭᓐ ᑭᑎᐯᓐᑕᑭᐸᓐ ᑲᐃᔑᑕᑦ ᒥᓇ ᑲᔦ ᑲᐃᒋ ᐎᒋᐱᒪᑎᓯᒪᑦ ᐅᒪ ᐊᑭᒃ.
17-01	ᑲᐎᓐ ᑕᐃᒋ ᐅᓀᑕᒪᐗᓯ ᑎᐸᑯᓂᑫᐎᓂᒃ ᒋᐊᓇᐌᑕᒪᐎᑦ ᑲᐃᔑᑎᐯᑕᑦ ᐅᑎᔑᑕᐎᓐ.
18-00	ᐅᔑᐱᐃᑲᓐ ᒥᑕᓱᔑᓂᔥᔡᓱ
18-01	ᑲᑭᓇᐌᓀᓐ ᐅᑕᔦᓐ ᑌᐸᑫᑕᑯᓯᐎᓐ ᑎᐯᓂᒥᑌᓱᐎᓂᒃ ᑲᐃᔑᓇᓇᑲᑕᐌᑕᒃ, ᐅᑭᑫᒣᐎᓐ, ᐅᑕᔭᒥᐊᐎᓐ ᒥᑕᔥ ᑲᔦ ᐁᔑ ᑕᑾᑌᒃ ᐊᐌ ᑌᐸᑫᑕᑯᓯᐎᓐ ᐱᓴᓐ ᐃᑯ ᓯ ᐃᔑᐊᒋᑐᑦ ᐅᒋᔭᒥᐊᐎᓐ, ᐅᑌᐺᑕᒣᐎᓐ ᒥᓇ ᑎᐯᓂᒥᑎᓱᐎᓐ, ᐁᔑ ᐯᔑᑯᑦ ᑫᒪ ᑯᑕᑭᔭ ᐅᑕᔑᑫᐎᓂᒃ ᒥᓇᐗ ᓂᔑᑫᓯᐎᓂᒃ ᒪᑭᔕ ᑲᔦ ᑲᐃᔑᐊᔭᓂᐗᒃ ᒋᐃᔑᓇᑾᑐᑦ ᐅᑕᔦᒥᐊᐎᓐ, ᑲᐃᔑ ᑭᑭᓄᐊᒪᑫᓇᓂᐗᓂᒃ ᐅᑌᐺᑕᒧᐎᓂᒃ, ᒋᐃᔑᒋᑫᑦ, ᐊᔭᒥᒋᑫᐎᓐ, ᒥᓇ ᑲᐃᔑ ᐱᒥᓇᐗᐸᑕᒃ.
19-00	ᐅᔑᐱᐃᑲᓐ ᒥᑕᓱᔕᑯᓱ
19-01	ᑲᑭᓇᐌᓀᓐ ᐅᑕᔭᓐ ᑌᐸᑫᑕᑯᓯᐎᓐ ᑎᐯᓂᒥᑎᓱᐎᓂᒃ ᒋᑲᑲᓄᑕᒃ ᑲᔦ ᑭᐃᐃᔑᐗᐸᑕᒃ ᑫᑯᓇᓐ ᒥᑕᔥ ᐅᒪ ᑌᐸᑫᑕᑯᓯᐎᓐ ᐁᔑᑕᑶᒪᑲᒃ ᐱᓴᓐ ᐃᑯ ᒋᐃᔑᐊᑐᓀᐊᑭᓐ ᑫᔭ ᒋᐅᑕᐱᓇᑭᓐ ᒥᓇ ᒋᒥᑭᐌᐸᓐ ᐎᑕᒪᑫᐎᓐ ᐱᑯ ᐊᑎ ᑲᐃᔑᐊᑕᐌᓐᑕᑾᒃ ᑎᐸᒋᒧᐎᓐ ᒥᓯᐌ ᐱᑯ ᑲᐃᔑᓶᐗᓇᑭᓐ ᑲᑎᐸᒋᒧᐎᓂᑫᐗᑦ.
20-00	ᐅᔑᐱᐃᑲᓐ ᓂᔥᑕᓇ
