00-00	Declarasion univarsałe de i deriti umani
18-01	Onjun el ga el derito a ła łibartà de pensier, de cosiensa e de rełijon; ’sto derito el ciapa rento anca ła łibartà de muar rełijon o credensa, e ła łibartà de manifestar, izoładamente o in comun, in pùblego e in privà, ła propia rełijon o ła propia credensa inte l’insenjar, inte’l prategar, inte’l culto e inte l’osarvansa de i riti.
19-00	Artìgoło 19
19-01	Onjun el ga el derito a ła łibartà de opinion e de espresion, ciapà rento anca el derito de no èsar mołestà par ła só opinion, e cueło de sercar, otènjar e devulgar informasion e idèe co onji mezo e sensa revardo par i confini.
20-00	Artìgoło 20
20-01	Onjun el ga el derito a ła łibartà de reunion e de asosiasion pasìfega.
20-02	Nesun el pol èsar costrenzesto a far parte de na asosiasion.
21-00	Artìgoło 21
21-01	Onjun el ga el derito de partesipar a’l governo de’l só paeze, sia par direto che par traverso de raprezentanti łibaramente sielti.
21-02	Onjun el ga el derito de intrar a l’inpiego pùblego de’l só paeze in condision conpanje par tuti.
21-03	Ła vołontà popołar ła ze el fondamento de l’autorità de’l governo; ’sta vołontà ła ga da ndar estarnà par traverso de ełesion pariòdeghe e vere, fate co’l voto univarsałe, conpanjo e segreto, o drio na prosedura de tenor guałivo de łìbara votasion.
22-00	Artìgoło 22
22-01	Onjun, sendo menbro de ła sosietà, el ga el derito a ła segurità sosiałe, e anca a ła reałizasion par traverso de’l sforso nasionałe e de ła cooparasion intarnasionałe e in łigo co l’organizasion e łe resorse de onji Stato, de i deriti econòmeghi, sosiałi e culturałi indespensàbiłi par ła só dinjità e a’l dezviłupo łìbaro de ła só parsonałità.
23-00	Artìgoło 23
23-01	Onjun el ga derito al łavoro, a ła łìbara sielta de’l posto de inpiego, a condision de łavoro juste e asetàbiłe e a ła protesion contra ła dezocupasion.
23-02	Onjun el ga, sensa discriminasion, el derito a na retribusion conpanja par el medèzemo łaoro.
23-03	Onjun che’l łaora el ga derito a na remunarasion justa e co sodisfasion che ła ghe segure a łu medèzemo e a ła só fameja de poder vìvar co dinjità umana e integrà, se ocor, da altri mezi de protesion sosiałe.
23-04	Onjun el ga derito de fondar sindacati e de farghe adezion par ła defension de i só intaresi.
24-00	Artìgoło 24
24-01	Onjun el ga el derito de sponsar e de straviarse, ciapà rento donca anca na łimitasion rasionałe de łe ore de łaoro e ferie pariòdeghe pagàe.
25-00	Artìgoło 25
25-01	Onjun el ga el derito a un tenor de vita che’l baste a garantir ła sałute e el ben èsar suo e de ła só fameja, co ocio partegołar par ła nutrision, el vestir, ła caza, e łe cure mèdeghe e i servisi sosiałi che i ocor; e el ga el derito a ła segurità in cazo de dezocupasion, małatìa, invałidità, vedovansa, ansianità o par onji altro cazo de pèrdita de i mezi de susistensa par sircostanse independenti da ła só vołontà.
25-02	Ła maternità e ła infansia łe ga el derito a cure e asistense spesiałe. Tuti i putełi, nasesti inte’l matrimonio o fora, i ga da gòdar de ła stesa protesion sosiałe.
26-00	Artìgoło 26
26-01	Onjun el ga el derito a l’istrusion. L’istrusion ła ga da èsar gratis almanco par cueło che’l revarda łe clase ełementar e fondamentałe. L’istrusion ełementar ła ga da èsar de òbligo. L’istrusion tècnega e profesionałe ła ga da èsarghe mesa a ła despozision de tuti e l’istrusion suparior ła ga da èsar guałiva e a ła portada de tuti drio el mèrito.
26-02	L’istrusion ła ga da èsar inderisà a’l dezvełupo pien de ła parsonałità umana e a’l renforso de’l respeto de i deriti umani e de łe łibartà fondamentałe. Ła ga da promóvar ła conprension, ła tołaransa, ła amighità intrà de tute łe Nasion, i grupi rasiałi e rełijozi, e ła ga da jovarghe a l’òpara de łe Nasion Unìe par el mantenjimento de ła paze.
26-03	I zenidori i ga el derito de priorità inte ła sielta de’l tipo de istrusion da darghe a i só fiołi.
27-00	Artìgoło 27
27-01	Onjun el ga el derito de ciapar parte łibaramente a ła vita culturałe de ła comunità, de gòdar de łe arte e de partesipar a’l progreso sientìfego e a i só benefisi.
27-02	Onjun el ga derito a ła protesion de i intaresi morałi e matariałi che i vien da onji produsion sientìfega, łetararia e artìstega che’l gapia reałizà.
28-00	Artìgoło 28
28-01	Onjun el ga el derito a un órdene sosiałe e intarnasionałe ndo’ che i deriti e łe łibartà prezentài inte ’sta Declarasion i pose èsar reałizài in pien.
29-00	Artìgoło 29
29-01	Onjun el ga serti òblighi verso de ła comunità, che łà soło ła só parsonałità ła cata posìbiłe el só dezviłupo łìbaro e pien.
29-02	Inte l’ezersitar de i só deriti e de łe só łibartà, onjun el pol catarse de fronte soło che chełe łimitasion che łe ze stabiłìe da ła łeze par segurar el reconosimento e el respeto de i deriti e de łe łibartà de i altri e par sodisfar łe nesesità juste de ła morałe, de l’órdene pùblego e de’l ben èsar zenarałe inte na sosietà democràtega.
29-03	’Sti deriti e ’ste łibartà no i pol, inte nesuna maniera, èsar ezersitài in contrasto co i fini e i prensipi de łe Nasion Unìe.
30-00	Artìgoło 30
30-01	Njente rento de ’sta Declarasion el pol èsar intarpretà inte’l senso de conportar un derito de un Stato, grupo o parsona ch’A se voje, de ezersitar na atività o de conpir un ato mirà a ła destrusion de calchedun de i deriti e de łe łibartà cusì declarài.
