00-00	Адӕймаджы Барты Ӕхсӕнад: Адӕймаджы Барты Ӕппӕтиумӕйаг Деклараци.
11-02	Хъуамӕ макӕмӕн ӕрцӕуа тӕрхонгонд, фыдракӕндыл нымад цы нӕ цӕуы, уыцы фыдракӕнды тыххӕй, националон закъон кӕнӕ ӕхсӕнадӕмон барадмӕ гӕсгӕ. Хъуамӕ ма уа нысангонд ахӕм ӕфхӕрд, кӕцы уыд нысангонд фыдракӕнды рӕстӕг.
12-00	УАЦ 12.
12-01	Мачи хъуамӕ уа хъыгдӕрд йӕхи ӕмӕ йӕ бинонты царды, йӕ корреспонденцийы сусӕгдзинӕдты, стӕй йӕ кады.
13-00	УАЦ 13.
13-01	Алы адӕймагӕн дӕр ис бар хибарӕй цӕуынӕн ӕмӕ йӕхицӕн цӕрӕнбынат ӕвзарынӕн кӕцыфӕнды паддзахады дӕр.
13-02	Алы адӕймагӕн дӕр ис бар кӕцыфӕнды паддзахадӕй ацӕуынӕн, уыимӕ йӕхи паддзахадӕй дӕр, ӕмӕ фӕстӕмӕ йӕхи паддзахадмӕ сыздӕхынӕн.
14-00	УАЦ 14.
14-01	Алы адӕймагӕн дӕр ис бар йӕхицӕн иннӕ паддзахӕдты ӕмбӕхсӕн бынат агурынӕн ӕмӕ уыцы ӕмбӕхсӕн бынатӕй пайда кӕнынӕн.
14-02	Ацы барӕй нӕй пайда кӕнӕн, Иугонд Нациты Организацийы нысантимӕ ӕмӕ уагӕвӕрдимӕ баст цы нӕу, ахӕм фыдракӕнд куы скӕна, уӕд.
15-00	УАЦ 15.
15-01	Алы адӕймагӕн дӕр ис гражданиндзинады бар. Хъуамӕ макӕмӕн уа ист йӕ гражданиндзинад кӕнӕ йӕ гражданиндзинад аивыны бар.
15-02	[Missing 15.2]
16-00	УАЦ 16.
16-01	Йӕ кары чи бацыд, уыцы сылгоймӕгтӕ ӕмӕ нӕлгоймӕгтӕн ӕнӕ исты къуылымпыйы, нӕдӕр адӕмыхаттмӕ гӕсгӕ, нӕдӕр динмӕ гӕсгӕ, ис моймӕ цӕуыны ӕмӕ бинонты кӕныны бар. Уыдонӕн ис ӕмхуызон бартӕ куыд бинонты царды, афтӕ, куы рахицӕн уой, уӕд.
16-02	Бинонтӕ сты ӕхсӕнады бындурон хай, ӕмӕ сын ис ӕхсӕнад ӕмӕ паддзахады `рдыгӕй хъахъхъӕнынад исыны бар.
16-03	[Missing 16.3]
17-00	УАЦ 17.
17-01	Алы адӕймагӕн дӕр ис бар, куыд йӕхӕдӕг, афтӕ иннӕтимӕ дӕр, мулкӕй пайда кӕнынӕн.
17-02	Хъуамӕ мачи уа ӕнӕбары йӕ мулкӕй хицӕнгонд.
18-00	УАЦ 18.
18-01	Алы адӕймагӕн дӕр ис бар йӕхи хъуыды, намыс ӕмӕ динӕн; ардӕм хауы дин ӕмӕ фӕндтӕ ивыны бар, куыд иунӕгӕй, афтӕ иннӕтимӕ бастӕй динон ӕмӕ ритуалон ӕгъдӕуттӕ ӕххӕстгӕнгӕйӕ.
19-00	УАЦ 19.
19-01	Алы адӕймагӕн дӕр ис йӕхи разӕнгарддзинады бар ӕмӕ сӕ сӕрибарӕй равдисын дӕр; ацы бармӕ хауы хи разӕнгарддзинадыл хӕцын ӕмӕ хибарӕй агурын, исын ӕмӕ парахат кӕнын информаци ӕмӕ фӕндтӕ цыфӕнды мадзӕлттӕй паддзахадон арӕнтӕй хицӕнӕй.
20-00	УАЦ 20.
20-01	Алы адӕймагӕн дӕр ис бар ӕмбырдтӕ ӕмӕ ассоциацитӕ аразынӕн. Хъуамӕ мачи уа тыхӕй исты ассоциацимӕ конд.
20-02	[Missing 20.2]
21-00	УАЦ 21.
21-01	Алы адӕймагӕн дӕр ис бар йӕ паддзахады разамынды архайын, хибарӕй кӕнӕ та ӕвзӕрст адӕмы ӕххуысӕй.
21-02	Алы адӕймагӕн дӕр ӕмхуызонӕй ис бар паддзахадон куыстмӕ бацӕуын йӕхи паддзахады.
21-03	Адӕмы фӕндон хъуамӕ уа хицаудзинады бындур, ацы фӕндон хъуамӕ ӕвдыст цӕуа ӕвзӕрстыты, кӕцытӕ хъуамӕ арӕзт цӕуой ӕмхуызон ӕвзӕрстадон барты бындурыл, сусӕг хъӕлӕс дӕттынӕй кӕнӕ ӕндӕр ӕмнысанон мадзӕлтты ӕххуысӕй, кӕцытӕ дӕттынц сӕрибарӕй хъӕлӕс кӕныны бар.
22-00	УАЦ 22.
22-01	Алы адӕймагӕн дӕр, куыд ӕхсӕнады уӕнгӕн, ис бар социалон ӕххуысӕн, стӕй йӕ намысы, хибарӕй рӕзты экономикон ӕмӕ культурон уавӕрты национ, ӕхсӕнадӕмон ӕмӕ алы паддзахады мадзӕлтты ӕххуысы бар.
23-00	УАЦ 23.
23-01	Алы адӕймагӕн дӕр ис фӕллой кӕныны бар, хибарӕй куыст равзарынӕн, рӕстдзӕвин ӕмӕ зӕрдӕмӕдзӕугӕ куыстадон уавӕртӕн, стӕй хи ӕгуыстӕй бахъхъӕнынӕн.
23-02	Алы адӕймагӕн дӕр ис бар йӕ куыстӕн ӕмбӕлгӕ мызд райсынӕн.
23-03	Алы кусӕгӕн дӕр ис бар ӕмбӕлгӕ хӕрзиуӕг райсынӕн, кӕцы фаг кӕна йӕхицӕн дӕр ӕмӕ йӕ бинонтӕн дӕр, ӕмӕ кӕцы ӕххӕстгонд цӕуа хъӕугӕ заманы ӕндӕр социалон мадзӕлттӕй.
23-04	[Missing 23.4]
24-00	УАЦ 24.
24-01	Алы адӕймагӕн дӕр ис бар улӕфынӕн ӕмӕ йӕ рӕстӕг ӕрвитынӕн, уимӕ кусӕн бон ӕмбӕлгӕ къаддӕр кӕнынӕн ӕмӕ фидгӕ ӕрвылазон улӕфӕн рӕстӕгӕн.
25-00	УАЦ 25.
25-01	Алы адӕймагӕн дӕр хъуамӕ уа ахӕм царды уӕлвӕз, уырдӕм хауынц хӕрд, дзаума, цӕрӕнбынат, медицинон ӕххуыс, ӕмбӕлгӕ социалон ӕххуыс, кӕцытӕ хъӕуынц ӕнӕниздзинад хъахъхъӕнынӕн йӕхицӕн ӕмӕ йӕ бинонтӕн, ӕгуысты рӕстӕджы ӕххуысы бар, рынчынӕй, сахъатӕй, идӕдзӕй, зӕрондӕй кӕнӕ ӕндӕр исты хабары, йӕхицӕй ӕнаразгӕ фадӕтты.
25-02	[Missing 25.2]
26-00	УАЦ 26.
26-01	Алы адӕймагӕн дӕр ис ахуырады бар. Ахуырад хъуамӕ уа лӕвар, ӕппынкъаддӕр райдайӕн ӕмӕ астӕуыккаг ахуыргӕнӕндӕтты. Ӕнӕмӕнг хъуамӕ уа райдайӕн ахуырад. Техникон ӕмӕ профессионалон ахуырадмӕ хъуамӕ уа иумӕйагӕй ӕнцон бацӕуӕн, уӕллаг ахуырад дӕр хъуамӕ уа ахӕм, ӕцӕг алкӕй зонындзинӕдты бындурыл.
26-02	[Missing 26.2]
26-03	[Missing 26.3]
27-00	УАЦ 27.
27-01	Алы адӕймагӕн дӕр ис бар ӕхсӕнады культурон царды архайын, аивадӕй зӕрдӕрухс уын, зонадон прогреммы архайын ӕмӕ йӕ фӕстиуджытӕй пайда кӕнын.
27-02	Алы адӕймагӕн дӕр йӕ бон у моралон ӕмӕ материалон бартӕ, кӕцытӕ сты йӕ зонадон, литературон кӕнӕ аивадон куысты фӕстиуджытӕ бахъахъӕнын.
28-00	УАЦ 28.
28-01	Алы адӕймагӕн дӕр ис бар социалон ӕмӕ ӕхсӕнадӕмон фӕткӕн, кӕцыйы ацы Декларацийы ӕвдыст бартӕ уыдзысты ӕнӕхъӕнӕй ӕххӕстгонд.
29-00	УАЦ 29.
29-01	Алы адӕймагӕн дӕр ис хӕстӕ ӕхсӕнады раз, ӕрмӕст кӕцыйы ис йӕ сӕрибар ӕмӕ ӕххӕст царды мадзӕлттӕ.
29-02	Йӕ бартӕ ӕххӕстгӕнгӕйӕ алы адӕймаг дӕр хъуамӕ уа йӕ бартӕй хицӕн ӕрмӕст закъонмӕ гӕсгӕ, иннӕ адӕмы бартӕ ӕмӕ домӕнтӕ, ӕхсӕнадон фӕтк ӕмӕ амонд бахъахъхъӕныны тыххӕй демократон ӕхсӕнады.
29-03	[Missing 29.3]
30-00	УАЦ 30.
30-01	Ацы Декларацийы фыст уацтӕ хъуамӕ ма уой ӕмбӕрст куыд лӕвӕрд бартӕ цавӕрдӕр паддзахадӕн, адӕмы къордӕн кӕнӕ хицӕн адӕймӕгтӕн исты архайд аразын, кӕцы цӕуа ацы Декларацийы ӕвдыст барты ныхмӕ.
