00-00	Киһи быраабын уопсай Декларацията
03-01	Хас биирдии киһи үчүгэй олоҕу олорор, көҥүллээх уонна тус тыыттыллыбат буолар бырааптаах.
04-00	4 ыстатыйа
04-01	Ким даҕаны кулуттуур, бэйэтин бас билиммэт буолар турукка сылдьыа суохтаах: дьону кулут оҥостуу уонна дьону атыылааһын ханнык да көрүҥнэрэ бобуллар.
05-00	5 ыстатыйа
05-01	Ким даҕаны киһи быһыытыттан тахсыбыт, киһи быһыытынан түһэрэр уонна бэйэ суолтатын суох оҥорор сордооһуҥҥа, накаастабылга, куһаҕан сыһыаҥҥа түбэһиэ суохтаах.
06-00	6 ыстатыйа
06-01	Хас биирдии киһи, ханна да сырыттар, бэйэтин правосубъектнай быһыытынан ааҕынар бырааптаах.
07-00	7 ыстатыйа
07-01	Дьон барыта сокуон иннигэр тэҥ бырааптаахтар уонна сокуон тэҥ көмүскэбилинэн туһанар бырааптаахтар.  Дьон барыта дьиҥнээх Декларацияны кэһэр араас дискриминацияттан көмүскэтэр уонна маннык сарбыйааһыҥҥа киксэрииттэн көмускэтэр бырааптаахтар.
08-00	8 ыстатыйа
08-01	Хас биирдии киһи конституциянан, сокуонунан көрүллүбүт бэйэтин тус бырааптара кэһиллибит түгэнигэр, национальнай сууттар көмөлөрүнэн ол бырааптарын түргэнник уонна толору төннөрөр бырааптаах.
09-00	9 ыстатыйа
09-01	Ханнык да киһини бэйэ талбытынан буруйа суох хаайыллыбат, көҥүлүн сарбыйыллыбат, үүрүллүбэт.
10-00	10 ыстатыйа
10-01	Хас биирдии киһи, холуобунай буруйу оҥорбут диэн дьүүллэнэр буоллаҕына бэйэтин быраабын уонна эбээһинэһин быһаарынаары, маны таһынан киниэхэ тиксэриллибит холуобунай буруй төһө олохтооҕун быһаарар инниттэн, тэҥ бырааптааҕынан туһанан, кини дьыалатын тутулуга суох, кырдьык бары ирдэбиллэрин тутуһар суукка, аһаҕастык көрүллэрин ситиһэр бырааптаах.
11-00	11 ыстатыйа
11-00	Хас биирдии буруйу оҥорууга уорбаланааччы киһи, көмүскэнэргэ кыах барыта бэриллэн туран ыытыллар суут кини буруйдааҕын дакаастыар дылы, буруйа суоҕунан ааҕынар бырааптаах.
11-01	Ким даҕаны ханнык эбит дьайыыны оҥоруу, эбэтэр тугу да гынымыы иһин буруйга, буруйу оҥоруу кэмигэр национальнай сокуон биитэр аан дойдутааҕы быраап быһыытынан буруйу оҥорууннан ааҕыллыбат буоллахтарына, буруйдаммат.  Накаастабыл буруй оҥоһуллар кэмигэр туттулла сылдьыбыт накаастабылтан ыарахан буолуо суохтаах.
12-00	12 ыстатыйа
12-01	Ким даҕаны ханнык да киһи тус олоҕор, дьиэ кэргэнигэр, кини олорор дьиэтин тыытыллыбат буолуутугар, кини суруйсуутун кистэлэҥэр буккуһуо, орооһуо суохтаах.  Кини чиэһигэр, аатыгар-суолугар апчарыйыа суохтаах.  Хас биирдии киһи итинник киһи олоҕор орооһортон сокуонунан көмускэтэр бырааптаах.
13-00	13 ыстатыйа
13-00	Хас биирдии киһи хайа баҕарар судаарыстыба чэрчитигэр көҥүл айанныыр, ханнык баҕарар судаарыстыбаҕа олорор сирин бэйэтэ талынар бырааптаах.
13-01	Хас биирдии киһи хайа баҕарар судаарыстыбаттан, ол иһигэр бэйэтин төрөөбут дойдутуттан, көһөн барар уонна төннөн кэлэр бырааптаах.
14-00	14 ыстатыйа
14-00	Хас биирдии киһи сойуолааһынтан куотунан атын дойдуларга хорҕойор сир көрдүүр уонна онно хорҕойор бырааптаах.
14-01	Бу быраап, Холбоһуктаах нациялар организацияларын сыалларын уонна ылыммыт санааларын утарар дьин чахчы политикаҕа сыһыана суох буруйу оҥоруу түбэлтэтигэр туһаныллыбат.
15-00	15 ыстатыйа
15-00	Хас биирдии киһи гражданство ылар бырааптаах.
15-01	Ким даҕаны бэйэ көҥүлүнэн гражданствотыттан матыа суохтаах, эбэтэр бэйэтин гражданствотын уларытар быраабыттан матыа суохтаах.
16-00	16 ыстатыйа
16-00	Сокуоннай саастарын сиппит эр дьон уонна дьахталлар, расаларыттан, омуктарыттан, итэҕэллэриттэн тутулуга суох эрдии -ойохтуу буолан ыал буолар бырааптаахтар.  Эрдии - ойохтуу буолалларыгар, эр-ойох буолан олорор кэмнэригэр уонна арахсар кэмнэригэр кэргэнниилэр тэн бырааптаахтар.
16-01	Эрдии-ойохтуу буолуу дьайыыта икки өттуттэн күһэйиитэ суох сөбүлэҥ эрэ баар буоллаҕына буолар.
16-02	Ыал диэн общество төрүт уонна сүрүн ячейката буолар, государство уонна общество харыстабылынан туһанар бырааптаах.
17-00	17 ыстатыйа
17-00	Хас биирдии киһи баайын дуолун тус бэйэтэ бас билиэн эбэтэр атын дьону кытары тэҥҥэ бас билиэхтэрин сөп.
17-01	Ким даҕаны бэйэтин баайыттан олоҕо суохтук матыа суохтаах.
18-00	18 ыстатыйа
18-01	Хас биирдии киһи толкуйдуур, суобастанар, итэҕэллэнэр бырааптаах: бу быраап иһинэн киһи хаһан баҕарар бэйэтин итэҕэлин, санааларын уларытар манны таһынан бэйэтин итэҕэлин соҕотохтуу эбэтэр элбэх буолан сылдьан аһаҕастык, биитэр биирдиилээн үөрэтии, таҥара сулууспатын, религиознай уонна ритуальнай сиэри-туому тутуһуу нөҥүө тарҕатыан сөп.
19-00	19 ыстатыйа
19-01	Хас биирдии киһи бэйэтэ итэҕэбил санаалаах буолар, уонна ол итэҕэбил санаатын этэр бырааптаах: бу быраап иһинэн киһи бэйэтин итэҕэбил санаатын мэһэйэ суохтук тутуһар уонна государство границатыттан тутулуга суох ханнык баҕарар ньыманнан информацияны көрдуур, ылар уонна тарҕатар бырааптаах.
20-00	20 ыстатыйа
20-00	Хас биирдии киһи эйэлээх мунньахтарга уонна холбоһуктарга киирэр бырааптаах.
20-01	Кими даҕаны күүс өттүнэн ханнык да ассоциацияҕа киллэриллибэт.
21-00	21 ыстатыйа
21-00	Хас биирдии киһи бэйэтин дойдутун салайыытыгар быһаччы, эбэтэр көҥүллүк талыллыбыт дьон нөҥүө кыттыыны ылыан сөп.
21-01	Хас биирдии киһи бэйэтин дойдутугар государственнай сулууспаҕа киирэр бырааптаах.
21-02	Правительство былааһа норуот көрдөбүлүгэр олоҕуруохтаах; ол көрдөбул кэмтэн -кэмигэр ыытыллар, барыларыгар тэҥ уонна уопсай кистэлэҥ куоластааһын, эбэтэр онно тэҥ суолталаах, куоластааһын көҥүлүн хааччыйар көрүҥ көмөтүнэн чиэһинэй быыбардарга көрдөрүүнү булуохтаах.
22-00	22 ыстатыйа
22-01	Хас биирдии киһи, общество чилиэнин быһыытынан социальнай харалтаны ылар бырааптаах.  Хас биирдии киһи, общество чилиэнин быһыытынан, кини бэйэ суолтатын сөпкө тутууга, кини тус бэйэтэ норуот күүһүнэн, норуоттар икки ардыларыгар баар сибээстэрин туһананан, экономическай, социальнай, культурнай уобаластарга сайдар бырааптаах.
23-00	23 ыстатыйа
23-00	Хас биирдии киһи үлэлиир, көҥүллүк үлэни талар, үлэлииргэ үчүгэй усулуобуйалаах, уонна үлэтэ суох хаалартан харыстанар бырааптаах.
23-01	Хас биирдии киһи, бырааба сарбыллыыта суох төһөну улэлээбитинэн хамнас ылыахтаахтэҥ.
23-02	Хас биирдии үлэлиир киһи улэтигэр сөп тубэһиннэрэн эппиэттэһэр хамнастаныахтаах, хамнаһа киниэхэ бэйэтин тус наадатыгар уонна кини дьиэ кэргэнигэр тиийиэхтээх, тиийбэт буоллаҕына атын социальнай көмөнөн толоруллуохтаах.
23-03	Хас биирдии киһи бэйэтин интэриэстэрин көмүскүүр профессиональнай түмсүүлэри (союз) тэрийэр, бэйэтин интэриэстэрин көмускээри, профессиональнай түмсүү чилиэнэ буолар бырааптаах.
24-00	24 ыстатыйа
24-01	Хас биирдии киһи сынньанар, иллэҥ кэмин атаарар, үлэтин күнэ сөп уһуннаах буолуохтаах, кэмиттэн кэмигэр төлөнөр уоппуска ылар бырааптаах.
25-00	25 ыстатыйа
25-00	Хас биирдии киһи бэйэтэ уонна кини дьиэ кэргэнэ доруобай уонна чөл буолалларын туһугар, аһыыр астаах, таҥнар таҥастаах, олорор дьиэлээх, кэмигэр оҥоһуллар медицинскэй уонна социальнай өҥөҕө, маны таһынан, кини улэтэ суох, эбэтэр босхоҥ (инвалид), огдообо буолар уонна кырдьар түгэннэригэр уонна киниттэн тутулуга суох түгэннэртэн сылтаан тугун барытын сүтэрэр түбэлтэтигэр, араас өҥө уонна көмө көрдүүр бырааптаах.
25-01	Ийэ буолуу уонна саҥа төрөөһүн уһулуччу сыһыаны уонна көмөнү эрэйэллэр.  Дьиэ кэргэҥҥэ төрөөбүт уонна булумньу оҕолор биир тэҥ социальнай харалтанан туһанар бырааптаахтар.
26-00	26 ыстатыйа
26-00	Хас биирдии киһи үөрэнэр бырааптаах.  Маҥнайгы уонна орто сүһүөх үөрэхтээһин төлөбүрэ суох буолуохтаах.  Маҥнайгы үөрэхтээһин булгуччулаах буолуохтаах.  Баҕалаах киһи барыта техническай уонна анал үөрэххэ үөрэниэхтэрин сөп, үрдүк үөрэх кыһатыгар баҕалаах киһи барыта кыаҕыттан көрөн үөрэниэхтээх.
26-01	Үөрэхтээһин киһини личность быһыытынан сайыннарарга, киһи быраабын уонна көҥүлүн убаастыыры элбэтэргэ хайысхалаах буолуохтаах. Үөрэхтээһин норуоттар, расалар уонна религиознай холбоһуктар икки ардыларыгар өйдөһүүнү, тулуйумтуо буолууну, доҕордоһууну үксэтиэхтээх. Холбоһуктаах Нациялар организацияларын эйэни үксэтэр үлэлэригэр көмөлөһүөхтээх.
26-02	Төрөппүттэр кыра саастаах оҕолоругар маҥнайгы үөрэх кыһатын талар бырааптаахтар.
27-00	27 ыстатыйа
27-00	Хас биирдии киһи общество культурнай олоҕор көҥүллүк кыттар, искусствоттан дуоһуйар, научнай сайдыыга кыттар уонна ол сайдыыннан туһанар бырааптаах.
27-01	Хас биирдии киһи бэйэтэ айбыт научнай, литературнай эбэтэр художественнай айымньыларын сиэр майгы уонна үп-харчы өттүнэн көмүскэтэр бырааптаах.
28-00	28 ыстатыйа
28-01	Бу дьиҥнээх Декларацияҕа этиллибитин курдук, хас биирдии киһи бэйэтин бырааба уонна көҥүлэ бүттүүн олоххо киллэрэр социальнай бэрээдэктээх дойдуга олорор бырааптаах.
29-00	29 ыстатыйа
29-00	Хас биирдии киһи общество ортотугар көҥүл уонна бүттүүн сайдар кыахтаах буоларын быһыытынан, общество иннигэр тус эбээһинэстээх.
29-01	Хас биирдии киһи бэйэтин быраабын уонна көҥүлүн олохтооһунугар көрсөр хааччахтааһыннара, сокуон атын дьон быраабын уонна көҥүлүн, сигили (мораль) ирдэбиллэрин толорор инниттэн, уонна норуокка табыгастаах тутулу тутар туһуттан олохтообут бобуулартан атын буолуо суохтаах.
29-02	Бу бырааптары уонна көҥүллэри олоххо киллэрии ханнык да тубэлтэҕэ Холбоһуктаах нациялар организацияларын сыалларыгар уонна ылыммыт санааларыгар утары утарсыа суохтаах.
30-00	30 ыстатыйа
30-01	Дьиҥнээх Декларация ис хоһооно ханнык эмэ дойдуга, дьон түмсүүтүгэр эбэтэр кэккэ дьоннорго бу декларацияҕа суруллубут быраабы уонна көҥүлү суох оҥорорго көҥүлү биэрии курдук тойоннонуо суохтаах.
