00-00	NAN IN KWALOK EO AN LAL IN KIN MARON KO AN ARMIJ
00-11	Nan in Kwalok in Kin Maron Ko An Armij bwe en juon wawin eo einwot juot kien an armij otemjej im lol otomjej kotobar, im kin men in kajojo armij otemjej im kajojo kien ko an lol otemjej, im bwe ien otemjej re drebij Nan in Kwalok in ilo burueir, bwe ren kijenmij im katakin dron kake im kin jelalokijen ren lemanlok wawin kautiej maron kein im anemkwoj kein im kin wawin ko non kokmonmonlok, ilo kajojo lol ko ak ikotan lol ko non dron, non kotobar bwe en bo lemen an lol otemjej boki im lolorjaki, jimor ikotan armij ro ilo lol ko rej Uaan im ikotair im ikotan jikin ko Lol kein rej lali.
01-00	Article 1.
01-01	Armij otemjej rej rujlok ilo anemkwoj im jonon utiej eo im maron ko air wot juon. Emwij lelok non ir maron in bukot non ir make im bareinwot boklikot kin men ko rej tomaki im bwe jerbal non dron ilo juon jitobon jimpenjatin.
02-00	Article 2.
02-01	Kajojo armij renaj jerammon jen maron kein im anemkwoj kein emwij kolajraki ilo Nan in Kwalok in, im ejolok kalijoklok ilo jabrewot wawin ko ikijien men kein, einwot kin jowi, uokan kil, man ak kora, kajin, kabun, lemnok kin kien ak lemnok ko jet, lol ak jukjuk im ber eo ear jebar jene, mweiuk, lotak ak ijo ej ber ie ilo jukjuk im ber.
02-02	Bareinwot, ejelok kalijoklok naj komone non jabrewot armij ikijien lajrak in kien, ijoko eor an lol eo an ak jikin eo an maron ie ak kin karkar in lol eo an non bar lol ko jet, mene lol eo ej make lale e make, juon bar lol ej lale ejelok an lol eo kien non an lale e make ak ej ber iumwin pein bar juon lol ak iroij.
03-00	Article 3.
03-01	Kajojo armij eor an maron bwe en mour ilo mour in, bwe en wor an anemkwoj im bwe en jokane ilo e make.
04-00	Article 4.
04-01	En ejelok en ej dri komakoko ak ber ilo jerbel in komakoko; jerbal in komakoko ak wiakake armij non jerbal in komakoko en mo komoni ilo jabrewot wawin ko.
05-00	Article 5.
05-01	En ejelol armij en ej ber ilo intan im kokkure non enbwin eo an lak ilo wawin ko rellej, ak kaje kin wawin ko ejelok ilo mantin mour an armij ak ilo wawin eo ej men in lelok non e jerata.
06-00	Article 6.
06-01	Kajojo armij eor an maron bwe en wor watoke ijoko otemjej ke e ej bar juon armij iman kien.
07-00	Article 7.
07-01	Aolep armij otemjej rej jonair wot juon iman kien im bwe kien en kejbarok ir ilo ejelok kalijoklok. Armij otemjej jonair wot bwe en wor kejbarok ir elane ej wor kalijoklok im ej rub Nan in Kwalok in im elane ej wor jabrewot wawin kalijoklok.
08-00	Article 8.
08-01	Kajojo armij eor an maron in kajitok ak bukot wawin ko non lomoren ilo iman dri ekajet ro ak jikin ekajet ko ilo lol ko air nae wawin ko rej kokkure maron ko air rellaptata im kien ko ak jemen e ko rar lilok non e.
09-00	Article 9.
09-01	En ejelok armij en ej balbuj, ber ilo balbuj ak emwij jilkinlok e jen ailin eo kin kilan jeb.
10-00	Article 10.
10-01	Kajojo armij eor im jonon an maron wot bar ro jet bwe en ber im jutak iman dri ekajet ro ak ilo jikin ekajet eo emon im ejelok jeb, ilo bukot maron ko an im ijoko kwonan kin jabrewot nana eo ear komone im eor liakelok e kake.
11-00	Article 11.
11-00	Kajojo armij eo im emwij liakelok e eor an maron non lemnok kake e ke ejelok ruon mae ien eo emwij kamol ke eor ruon ekkar non kien iman dri ekajet eo ak jikin ekajet eo ebellok non armij otemjej im bwe emwij an bok jabrewot wawin ko rekkar im emaron loi non jojomar ikijien.
11-01	En ejelok armij emwij liakelok e kin jabrewot jerbal eo enana ikijien kien eo ak kien eo emwij joloke im bwe men eo ear komone ejab nae jabrewot kien, ekkar non kien lol eo an ak kien ko ikotan lol non lol, ilo ien ear komone nana. Bareinwot en ejelok armij en kaje en ej boke im errolok jen jonan kaje eo emkij karoke nae nana eo ear komone.
12-00	Article 12.
12-01	En ejelok armij en ej ber ilo aban kin kilan jeb nae mour im men ko an make, bamle eo an, kabijuknen eo an ak leta ko an, ak bareinwot en ejelok men in kokkure utiej eo an im mwilin. Kajojo armij otemjej eor an maron bwe kien en kejbarok e jen men in aban ak kokkure.
13-00	Article 13.
13-00	Kajojo armij eor an anemkwoj bwe en itoitaik ak jokwe ilo kajojo lol.
13-01	Kajojo armij eor an maron in driojlok jen jabrewot lol, bareinwot lol eo an make, im bareinwot jeblak non lol eo an.
14-00	Article 14.
14-00	Kajojo armij eor an maron in bukot im jerammon jen jikin kane ilo jabrewot lol ko jet ne ej ko jen wawin kaje ko ejelok uaan air nana.
14-01	Ejamin jerbal maron in ikijien liakelok ko im rar jebar jen nana jo rej jab nae lemnok ko im tomak ilo kien ak jebar jen jerbal ko im rej nae un ko im karok ko an United Nations.
15-00	Article 15.
15-00	Kajojo armij eor an maron bwe en eor an lol.
15-01	En ejelok armij en ej joko jen lol eo an kin kilan jeb ak bobrae jen an bukot bar juon an lol.
16-00	Article 16.
16-00	Man im kora ro emwij air tobare yio eo ekkar, ilo ejelok jabrewot wawin bobrae ir, eor air maron in belele im ejak juon air bamle. Jonon maron ko airro wot juon non belele, ilo ien air belele im mour iben dron, im ilo ien eo ej jemlok belele eo airro.
16-01	Lio im Leo rej lemnok im belek dron ren belele wot ne irro ej make karoke im ej emon ibeirro jimor.
16-02	Bamle eo jen jinoin ej einwot juon dreka im jabon em non juon jukjuk im ber im ekkar bwe jukjuk im ber eo im lol eo ren kejbaroke.
17-00	Article 17.
17-00	Kajojo armij eor an maron bwe en wor im komon mweien e make im bareinwot bwe en kobalok iben ro jet.
17-01	En ejelok armij en rej boki men ko mweien jen e kin kilan jeb.
18-00	Article 18.
18-01	Kajojo armij otemjej eor an maron non anemkwoj kin lemnok, boklikot im tomak im kabun; maron in ekoba na iben anemkwoj in ukot kabun ak tomak eo an, im anemkwoj, iben make ak iben ro jet im iman bwijin armij ak iben make, im bwe en kwalok kin kabun ak tomak eo ilo katakin ro jet kake, ak lori ran non ran, kabun im kejbaroke.
19-00	Article 19.
19-01	Kajojo armij eor an maron in anemkwoj non komon an lemnok im kwalok kin lemnok eo an; maron ekoba na iben dror lemnok eo ilo buruen im en ejelok men in kaban e kin lemnok eo an im bukot, bok im bwebwenato kake melele ko an im lemnok ko an ilo jabrewot wawin ko jekdron ta eo ej ber iman.
20-00	Article 20.
20-00	Kajojo armij eor an maron in kwelok lok im ber ilo ien kwelok im drolul ko reinemon.
20-01	En ejelok armij emwij kiele bwe en ber im uaan juon drolul.
21-00	Article 21.
21-00	Kajojo armij eor an maron in make bok kwonan ilo kien eo an ailin eo an, ak kin dri kwelok ro ear make kelet ir.
21-01	Kajojo armij eor an maron bwe en bukot an jerbal ilo kien eo an ailin eo an.
21-02	Konan eo an armij ro en berber in kien eo air; im konan in en walok im komon ilo ien ekelel ko rejjet im rej komon jen ien non im bwe otemjej jonan kilair wot juon rej bok kwonair ie im bwe rar vote ilo itino ak bar wawin ko jet uaair wot ilo air kejerbal air anemkwoj.
22-00	Article 22.
22-01	Kajojo armij, ke ej uaan juon jukjuk im ber, eor an maron in jokwane ilo jukjuk im ber eo im ber en bok leen, ilo kate eo an lol eo an ak ilo an lol ko buru kuk iben dron im ekkar non drolul eo ak jen ijoko men in jokwane in ej itok jen ilo kajojo Lol, maron in bijnej, ilo jukjuk im ber eo im ilo mantin mour ko eor tokjeir non aurok eo an im bwe en anemkwoj non an kadreklok ak kokomonmonlok e make.
23-00	Article 23.
23-00	Kajojo armij eor an maron in jerbal, anemkwoj in make kelete jerbal eo an, ilo wawin ko re jejjit im emon im non kejbarok e jen an ejelok jerbal.
23-01	Kajojo armij, ilo ejelok kalijoklok, eor an maron bwe en bok wonan ekkar non jonan jerbal eo ej komone.
23-02	Kajojo armij eo ej jerbal eor an maron in wonan eo ejejjit im emon bwe en jokane mour eo an im bamle eo an im eor tokjen non aurok in armij, im en wor jibon, elane ekkar, kin wawin kejbarok ko ilo jukjuk im ber eo an.
23-03	Kajojo armij eor an maron in ejake im kobalok im drolul ko ekkar non jerbal eo an non an maron kejbaroki maron ko an.
24-00	Article 24.
24-01	Kajojo armij eor an maron in kakije im bukot monono koba na iben aua im ien jerbal ko re jejjit im bwe en bok wonan ilo ran in kakije ko jen ien non ien.
25-00	Article 25.
25-00	Kajojo armij eor an maron in bok wawin mour eo ebwe non ejmour eo an im bamle eo an, koba na iben mona, ballin, imon im uno (takto) im jerbal rej ilok non e jen jukjuk im ber eo, im bwe eor an maron in bok jokane ne ej ejelok an jerbal, ilo ien nanimij, mojino, emij leo ak lio belen, ebwijwola ak ne ej ejelok men in an mour ilo wawin eo ejelok an maron in bobrae.
25-01	Kora ro im ajiri ro rekkar bwe ren bok men in kejbarok ir im jibon ir.
26-00	Article 26.
26-00	Kajojo armij eor an maron in bukot jelalokijen. En bok jelalokijen eo ejelok wonan, elaptata ilo elementary im jikin ko elaptata tokjeir ilo jinoin. Ej aikuij in bok jelalokijen ilo elementary skul ko. Jelalokijen kin jerbal in kabel ko ak kain jerbal rot en juon armij ej komone ilo aolepen mour eo an en wor non e im non an bukot jelalokijen jen skul ko reutiejlok en bellok non ekkar non jonon jela kab maron.
26-01	Jelalokijen en ilok non kokmonmonlok juon armij im non kokajuror kautiej maron ko an armij im anemkwoj ko an relaptata tokjeir. Ej aikuij in lemnok im kokmonmonlok melele, bwe en ejelok kalijoklok im en wor jimjera ikotan lol ko, jowi ko ak drolul in kabun ko, im bwe en men in ko-wonmanlok jerbal ko an United Nations non an kejbarok im drebij ainemon eo.
26-02	Ro jinen im jemen ajiri ro eor air maron in kelet kain jelalokijen eo ajiri ro nejeir bok e.
27-00	Article 27.
27-00	Kajojo armij eor air maron in bok kwonair ilo mour in jukjuk im ber eo rej ber ie ilo lol eo air, bwe ren bukot lemonono jen jerbal in kainoknok ko im bwe ren bok men in jerammon ko jen men ko rej walok jen jerbal in kabel ko.
27-01	Kajojo armij eor an maron bok men in kejbarok konan ko an ikijien manit im men ko mweien ko ej loi jen jerbal in kabel ko an, buk ko ej jei ak jerbal in kainoknok ko an.
28-00	Article 28.
28-01	Kajojo armij eor an maron in mour ilo jukjuk im ber eo ebolomen ilo lol eo an ak ilo lol in ijo im maron ko an im anemkwoj ko an im ej kolajraki ilo Nan in Kwalok in enaj kanuij in wor lemnok kaki ie.
29-00	Article 29.
29-00	Kajojo armij eor ijo kwonan non ailin eo an ijo im enaj anemkwoj ie im enaj maron in emonlok non wawin an mour.
29-01	Ilo an komoni maron ko im anemkwoj ko an, kajojo armij enaj mour ekkar non wawin ko emwij karoki kin kien ko kin un eo non lemnok kake im kautiej maron ko im anemkwoj ko an ro jet im non kottobari wawin ko re jejjit kin manit, ainemon non armij otemjej im mour eo an jabrewot armij ilo jukjuk im ber eo an ro rej mour iumwin kien eo rar ejake jen konan ko air make.
29-02	Maron kein im anemkwoj kein naj mour kaki im en jab ilo wawin ko rej nae un ko an karok ko an United Nations.
30-00	Article 30.
30-01	En ejelok men en im naj watok ilo Nan in Kwalok in bwe en non juon wot Lol, juon drolul ak juon armij bwe en wor an maron in komone jabr ewot wawin ko non kokkure jabrewot ian maron im anemkwoj kein emwij kolajraki ijin.
