00-00	AENTSU NINIURIN CHICHAME MASHINIU AMIKTIN
18-00	TÁMA NÁWE YARUSH
18-01	Aents pachitsuk ni wakeramun, ánkan enentaimin aátiniati, tura niísha ARÚTMARIN enentaimtin árhliniaiti. Tura pachitsuk ni ARÚTMARIN, ni enentai yapajia, ankan pénker pachitsuk pujusmin aíniawai. Nuna turuiniakuinkia úmas turúskesh paánt ajásar warinkish ARÚTMAN wararsamnia aíniawai.
19-00	TÁMA NÁWE USÚMTAI
19-01	Aents ni enentaimmian, ishamtsuk chikich aetns ainia aún ujaktin ainiawai. Tura aentsank chikich aents ainia au, metekrakka enentaimin ainiatsui, tumaitiak itiurchat aents chichaku asarmatai, itiurchat amasashtiniaiti. Chicham pénker nekar tuinkish etsérkamu atiniaiti ishamtsuk.
20-00	TÁMA NÁWE JÍMIAR
20-01	Aents maánitsuk pénker pujuinia shiir awajsar yainkiar iruntrar nuamtak pénker pujustiniaiti.
20-02	Turasha aents irunar nuámtak tsanink pujustajtsa nakitia, antrar utsukchatnuiti.
21-00	TÁMA NÁWE JÍMIAR CHIKÍCHIK
21-01	Mash aents Ekuatura untri chichame etserkui, umirkatnuitji. Ekuatura untri, aents anaík takákmasta tusa apújsamujai pénker iruntrar takakmastiniaitji.
21-02	Aents Ekuaturnum pachitkia asa tuinkish pachiniaik takakmastiniaiti.
21-03	Aents ni aentsrijiai, anaik ekentsamu, Ekuatura untri arantuktiniaiti. li aentsri anaikiar ekemtsami tusarkia, papinium ajaptainiam anaikiar, ekentsamu atiniaiti.
22-00	TÁMA NÁWEJÍMIAR JÍMIAR
22-01	Aents mash ankán uyúmatsuk pénker enentaimsar pujusarat tusar, Ekuatura untri ii aentsri yaintiniaíti. Chikich nunkanmaya uunt anaikiamu akusha, Ekuatura uuntri pachitsuk yainkiartin aíniawai.
23-00	TÁMA NÁWE JÍMIAR MENAÍNT
23-01	Aents ni takátan wakérak emkéma takakmasminiaiti. Chíkich aents takákmana aentsank niisha métek iísma atiniaiti. Uchi takákma puja ajápamu akuish tuke ayámrukma atiniaiti.
23-02	Aents nuwa, tura aishman akusha chikich aentSjai métek íisma atiniaiti. Aents nakitrar muijkiamu achatnuiti.
23-03	Aents ni aijiai métek takákma puja, kuit métek 'akikma atiniaiti. Waras kuitiah achik ni nuwen, ni aishrin, ni uchirin pushi sumarak, apatkun sumarat ayurat tusar. Ni aentsrijai pénker irunar, wárás wariniaksha sumak yuawarat tusar. Nuna Ekuatura uuntri ayamruktiniaiti.
23-04	Ni matsatkamurin, ni irutkamurin aents iruntrar, ni nunkén tesawar achikman ayamrumakar pénker pujúsarat tusar, chicham jurúkmia áwai.
24-00	TÁMA NÁWE JÍMIAR AÍNTlUK
24-01	Aentsun tuke takákmas ayamratin tama áwai. Tura tsawant ankán akuish tuke ayamratin aíniawai. Ni wakéramun takákmasar, ayamratin aíniawai, tura ankántan jusar tuinkish wear ayamratin aíniawai.
25-00	TÁMA NÁWE JÍMIAR EWÉJ
25-01	Aents tsukamtsuk, entsatairincha tuke taku, ni jeé pujutairi ankan pénker pujusartiniaiti. Sunkúrmaku akusha tsuamatainiam weár tsuakan sumakar tsuamartin aíniawai. Yurumtainiash tuke takáku aártiniaiti. Aentsan aents takatnum ajápamu akuish Ekuatura untrinkia tuke ayamruktin atiniaiti. Aents tunamar jaákuish, sunkúrmak pujakuish, wajema pujakuish, untach ajas pujakuish, tura warinkish ni pujamurin eménkakmataish túke ayamrumakma atiniaiti.
25-02	Nuwa ajamtin, tura uchi kuir ainiana ausha, pénker yainma atiniaiti. Uchi takusar ajapamu akuish, Ekuatura untrin ayámrukma atiniaiti tama aárma áwai.
26-00	TÁMA NÁWE JÍMIAR UJÚK
26-01	Uchi kuér ainia aú tuke unuimiatainiam unuimiartin ainiawai. Uchi unuimiartinkia kuitchaiti, Ekuatur yaimiu asamtai. Uchikia mash tuke unuimiartin aíniawai, Ekuatura untri útsua asamtai. Aentsan natsasha nuú nankámas unuimiarmin aíniawai. Ninki kakáram ajasar unuimiarartin aíniawai.
26-02	Aents unuimian emtikia, nuú arán nankámaki unuimiaki weán yayáwai. Tura jú aentska tumaki weak warinkish nekaki, pénker chikich aentsjaish irunar amikrnanaiki wetin aíniawai.
26-03	Apawach, nukuach ainia aúka, ni uchirin nií wakeramu unuimiarat tusar utsuktin ainiawai.
27-00	TÁMA NÁWE JÍMIAR TSÉNKENT
27-01	Aents ni pu]ustinrin, ni nekatairin, iis pénker pujustaj tau tuinkish pachinaik irunar pénker pujusmij taun útsukma atiniaiti. Tura aents mash iruntrar emkatin enentai achikiar, ará arant unuimiarar, emkatin enentai achikiar pujustin aíniawai.
27-02	Aents imiatkinia najánan, chikich aents níi najána aitkiash jukichminiaiti, nuna Ekuatura uuntri tuke ayamrukma atiniaiti.
28-00	TÁMA NÁWE JÍMIAR YARUSH
28-01	Kákaram papi jui aarmaka, mash ju nunkanam pujati tuke umiktiniaitji. Wari Ekuaturnum tura yajánunkanam aents tuákar jú papin pénker aáraru asamtai.
29-00	TÁMA NÁWE JÍMIAR USÚMTAI
29-01	Aents mash iruntrar ankan pénker enentaimsarpujusarmi tusar, uunt anairamu matskamuham pujuinia yainma atiniaiti.
29-02	Aents ainia au ankan pénker pujusarmi tusar wakeriniaka, chikich aents ainia aujai kajernaitsuk, manitsuk pujusartin aíniawai. Tuma asamtai mash iruntrar métek pujuiniak, Ekuatura uuntri kákaram papi arman umikiartin ainiawai.
29-03	Aents mash ankán pénker pujúsarmij tusar wakeruiniaka, ju kákaram papi arma tuke umikiartin ainiawai.
30-00	TÁMA MENAINTIU NÁWE
30-01	Ju kákaram papi arman nekáwaru asar aents túke umikiartin aíniawai. Aents junanekawar, ankán pénker pujusarat tusar, uunt chikichkimsar surimkiartiniaiti. Tura chikich aents ainiana ausha nunaká surimkiachartin ainiawai. Jú kakaram chicham apipium aarman mash aentstikia umikiartin ají.
