00-00	ⴰⵍⵖⵓ ⴰⵎⴰⴹⵍⴰⵏ ⵏ ⵉⵣⵔⴼⴰⵏ ⵏ ⵓⴼⴳⴰⵏ
02-00	ⴰⵎⴰⴳⵔⴰⴷ 2
02-01	ⴽⵓ ⵢⴰⵏ ⵉⵥⴹⴰⵕ ⴰⴷ ⵉⵟⵟⴼ ⴽⵓⵍⵍⵓ ⵉⵣⵔⴼⴰⵏ ⴷ ⵜⴷⵔⴼⵉⵢⵉⵏ ⵍⵍⵉ ⵉⵍⵍⴰⵏ ⵖ ⵓⵍⵖⵓ ⴰⴷ, ⴰⴷ ⵓⵔ ⵢⵉⵍⵉ ⵓⵙⵏⵓⵃⵢⵓ, ⵣⵓⵏⴷ ⵡⵉⵏ ⵓⵥⵓⵕ, ⵏⵖ ⴰⴽⵍⵓ, ⵏⵖ ⴰⵏⴰⵡ, ⵏⵖ ⵜⵓⵜⵍⴰⵢⵜ, ⵏⵖ ⴰⵙⴳⴷ, ⵏⵖ ⵜⴰⵏⵏⴰⵢⵜ ⵜⴰⵙⵔⵜⴰⵏⵜ ⵏⵖ ⵜⴰⵏⵏⴰⵢⵜ ⵢⴰⴹⵏ, ⵏⵖ ⵎⴰⴷ ⵉⵥⵍⵉⵏ ⵙ ⴰⵙⵓⵔⵙ ⴰⵎⴰⴷⴰⵏ, ⵏⵖ ⵡⵉⵏ ⴰⵢⴷⴰ ⵏⵖ ⵡⵉⵏ ⵜⵍⴰⵍⵉⵜ ⵏⵖ ⴰⵙⵓⵔⵙ ⵢⴰⴹⵏ. ⴰⵎⵔ ⴰⵙⵏⵓⵃⵢⵓ ⵏⴳⵔ ⵉⵔⴳⴰⵣⵏ  ⵜⵉⵎⵖⴰⵔⵉⵏ.
02-02	ⵓⵔ ⴷ ⵉⵇⵇⴰⵏ ⴰⴷ ⵢⵉⵍⵉ ⵓⵙⵏⵓⵃⵢⵓ ⵉⵟⵟⴼⵏ ⵙ ⵡⴰⴷⴷⴰⴷ ⴰⵙⵔⵜⴰⵏ, ⵏⵖ ⴰⵣⵔⴼⴰⵏ ⵏⵖ ⴰⵎⴰⴹⵍⴰⵏ ⵏ ⵜⴰⵎⵓⵔⵜ ⵏⵖ ⴰⴽⴰⵍ ⵖ ⵉⴷⴷⵔ ⵓⴼⴳⴰⵏ, ⴰⴷ ⵜⴳ ⵜⵎⵓⵔⵜ ⴰⴷ ⵏⵖ ⴰⴽⴰⵍ ⴰⴷ ⴰⴷⵔⴼⵉ, ⵏⵖ ⴰⵎⵙⵏⴰⵍ ⵏⵖ ⵡⴰⵔⴰⵙⵉⵎⴰⵏ ⵏⵖ ⴰⵙ ⵉⵜⵜⵓⴳⴰ ⴽⵔⴰ ⵏ ⵓⵡⵜⵜⵓ.
03-00	ⴰⵎⴰⴳⵔⴰⴷ 3
03-01	ⴽⵓ ⵢⴰⵏ ⵉⵍⵍⴰ ⴷⴰⵔⵙ ⵓⵣⵔⴼ ⵖ ⵜⵓⴷⵔⵜ ⴷ ⵜⴷⵔⴼⵉⵜ ⴷ ⵜⵏⴼⵔⵓⵜ ⵜⴰⵏⵉⵎⴰⵏⵜ.
04-00	ⴰⵎⴰⴳⵔⴰⴷ 4
04-01	ⴰⵡⴷ ⵢⴰⵏ ⵓⵔ ⵉⵣⴹⴰⵔ ⴰⴷ ⴷⴰⵔⵙ ⵉⵍⵉⵏ ⵉⵙⵎⴰⴳⵏ , ⵓⵍⴰ ⴰⴷ ⵉⵣⵣⵏⵣⴰ ⴰⵔ ⵉⵙⵙⴰⵖ ⴰⴼⴳⴰⵏ.
05-00	ⴰⵎⴰⴳⵔⴰⴷ 5
05-01	ⵓⵔ ⴷ ⵉⵇⵇⴰⵏ ⴰⴷ ⵢⵉⵍⵉ ⴰⵙⵔⴼⵓⴼⵏ ⵏ ⴰⵡⴷ ⵢⴰⵏ, ⵓⵍⴰ ⵜⵉⵎⵙⴽⵔⵜ ⵉⵅⵯⵛⵏⵏ ⵍⵍⵉ ⵉⵙⵙⵎⵥⵥⵉⵢⵏ ⴰⴷⴷⵓⵔ ⵏ ⵓⴼⴳⴰⵏ.
06-00	ⴰⵎⴰⴳⵔⴰⴷ 6
06-01	ⴽⵓ ⵢⴰⵏ ⵉⵍⵍⴰ ⴷⴰⵔⵙ ⵓⵣⵔⴼ ⵏ ⵜⵓⴽⵣⴰ ⵏ ⵉⵎⴰⵏ ⵏⵙ ⴰⵣⵔⴼⴰⵏ ⵖ ⴽⴰⵢⴳⴰⵜ ⴰⴷⵖⴰⵔ.
07-00	ⴰⵎⴰⴳⵔⴰⴷ 7
07-01	ⵎⴳⴰⴷⴷⴰⵏ ⴰⴽⵯ ⵎⵉⴷⴷⵏ ⵎⵏⵉⴷ ⵏ ⵓⵍⵓⴳⵏ ⵢⵉⵍⵉ ⴷⴰⵔⵙⵏ ⵓⵣⵔⴼ ⵏ ⵓⵃⵟⵟⵓ ⵏ ⵓⵍⵓⴳⵏ ⴰⵎⵔ ⴰⵙⵏⵓⵃⵢⵓ, ⵖⵉⴽⵍⵍⵉ ⴷⴰⵔⵙⵏ ⵉⵍⵍⴰ ⵓⵣⵔⴼ ⵖ ⵓⵃⵟⵟⵓ ⵉⵎⴳⴰⴷⴷⴰⵏ ⵎⵏⵉⴷ ⵏ ⴰⵙⵏⵓⵃⵢⵓ ⵏⵏⴰ ⴷ ⵓⵔ ⵉⵎⵛⵓⵛⴽⵉⵏ ⴷ ⵓⵍⵖⵓ ⵢⴰⴷ.
08-00	ⴰⵎⴰⴳⵔⴰⴷ 8
08-01	ⴽⵓ ⵢⴰⵏ ⵉⵍⵍⴰ ⴷⴰⵔⵙ ⵓⵣⵔⴼ ⴰⴷ ⵉⴼⵜⵓ ⵙ ⵜⵉⵏⴼⴳⴰⵔⵉⵏ ⵜⵉⵏⴰⵎⵓⵔⵉⵏ ⵉⵖ ⵉⵍⵍⴰ ⴽⵔⴰ ⵓⵣⴳⴳⴰⵍ ⵖ ⵉⵣⵔⴼⴰⵏ ⵏⵏⵙ ⵍⵍⵉ ⵢⴰⵙ ⵉⴼⴽⴰ ⵓⵍⵓⴳⵏ.
09-00	ⴰⵎⴰⴳⵔⴰⴷ 9
09-01	ⵉⵜⵜⵓⴽⴽⴰⵙ ⴰⴷ ⵉⵜⵜⵢⵉⵎⵉⵥ ⵓⴼⴳⴰⵏ ⵏⵖ ⴰⴷ ⵉⵜⵜⵓⴽⵔⴰⴼ ⵏⵖ ⴰⴷ ⵜⵉⵣⵣⵓⴳ ⵢⴰⵏ ⴰⵎⵔ ⴰⵍⵓⴳ.
10-00	ⴰⵎⴰⴳⵔⴰⴷ 10
10-01	ⴳⴰⴷⴷⴰⵏ ⴰⴽⵯ ⵎⵉⴷⴷⵏ ⵖ ⵓⵣⵔⴼ, ⵏ ⴰⴷⵣⵔⵉⵏ ⵖ ⵓⵎⵏⵉⴷ ⵏ ⵜⴰⵏⴼⴳⴰⵔⵜ ⵜⴰⵙⵉⵎⴰⵏⵜ ⵜⴰⵔⴰⵡⵙⴰⵏⵜ, ⵏⵏⴰ ⵉⵜⵜⴳⴳⴰⵏ ⵜⴰⵖⵜⴰⵙⵜ, ⵉⵥⵍⵉⵏ ⵙ ⵉⵣⵔⴼⴰⵏ ⵏⵏⵙ ⵏⵖ ⵉⵣⵓⵛⵛⵍⵏ ⵏⵏⵙ, ⵏⵖ ⵜⵉⵍⴰⵡⵜ ⵏ ⵓⵢⵏⵏⴰ ⴰⵙ ⵉⵜⵜⵓⵙⴱⴰⴱⴱⴰⵏ ⴳ ⵉⴳⵔ ⵏ ⵉⵣⴳⴳⴰⵍⵏ ⵉⵣⵔⴼⴰⵏⵏ.
11-00	ⴰⵎⴰⴳⵔⴰⴷ 11
11-00	ⵓⵔⵉⵜⵜⵉⵍⵉ ⵓⴱⴽⴽⵉⴹ ⵅⴼ ⴽⵔⴰ ⵏ ⵢⴰⵏ ⴰⵔⴷ ⵉⴱⴰⵢⵏ ⵖ ⵎⵏⵉⴷ ⵏ ⵜⴷⴰⴱⵓⵜ ⵉⵍⵉⵏⵜ ⴳⵉⵙ ⵜⵏⴼⵔⵓⵜⵉⵏ ⵏ ⵓⵎⵣⴰⵖ.
11-01	ⵓⵔ ⵉⵜⵜⵉⵍⵉ ⵉⵜⵜⵢⴰⵎⵥ ⴽⵔⴰ ⵏ ⵢⴰⵏ ⵅⴼ ⵜⵡⵓⵔⵉ ⵏⵖⴷ ⵉⵖ ⵓⵔ ⵉⵔⵉ ⴰⴷ ⵉⵙⴽⵔ ⵜⴰⵡⵓⵔⵉ ⵖⴰⵙ ⵉⵖ ⵉⴳⴰ ⵎⴰⵢⴰⵏ ⵓⴱⴽⴽⵉⴹ ⴳ ⵎⵏⵉⴷ ⵏ ⵓⵍⵓⴳⵏ ⴰⵏⴰⵎⵓⵔ ⵏⵖⴷ ⴰⴳⵔⴰⵖⵍⴰⵏ ⵖ ⵜⵉⵣⵉ ⵏⵏⵙ, ⴷ ⵓⵔ ⴼⵍⵍⴰⵙ ⵜⵜⵉⵍⵉ ⴽⵔⴰ ⵏ ⵜⵎⵎⴰⵔⴰ ⴰⴱⵍⴰ ⵜⵉⵏ ⵜⵉⵣⵉ ⴰⵏⵏ ⵍⵍⵉⵖ ⵉⵜⵜⵓⵙⴽⴰⵔ ⵓⴱⴽⴽⵉⴹ.
12-00	ⴰⵎⴰⴳⵔⴰⴷ 12
12-01	ⵓⵔ ⵉⵅⵚⵚⴰ ⴰⴷ ⵢⵉⵍⵉ ⴽⵔⴰ ⵓⴽⵛⵛⵎ ⵉⵅⵛⵛⵏ ⵖ ⵜⵓⴷⵔⵜ ⵉⵥⵍⵉⵏ ⵙ ⴽⵔⴰ ⵏ ⵢⴰⵏ ⵏⵖⴷ ⵜⵉⵏ ⵜⵡⵊⴰ ⵏⵏⵙ ⵏⵖⴷ ⴰⵣⴷⴷⵓⵖ ⵏⵏⵙ ⵏⵖⴷ ⵉⵎⵢⴰⵡⴰⴹⵏ ⵏⵏⵙ ⵖⴷ ⴰⴷⴷⵓⵔ ⵏⵏⵙ. ⵢⵉⵍⵉ ⴷⴰⵔ ⴽⵓ ⵢⴰⵏ ⵓⵣⵔⴼ ⵏ ⵓⵃⵟⵟⵓ ⵏ ⵓⵍⵓⴳⵏ ⵖ ⵣⵓⵏⴷ ⴰⴽⵛⵛⵓⵎ ⴰⴷ.
13-00	ⴰⵎⴰⴳⵔⴰⴷ 13
13-00	ⴽⵓ ⵢⴰⵏ ⴷⴰⵔⵙ ⵜⴰⴷⵔⴼⵉⵜⵏ ⵓⵙⵉⴽⵍ ⴷ ⴰⴷ ⵉⵙⵜⵉ ⴰⴷⵖⴰⵔ ⵏ ⵓⵣⴷⴷⵓⵖ ⵏⵏⵙ ⵖ ⵉⵡⵓⵜⵜⴰ ⵏ ⵓⵡⴰⵏⴽ.
13-01	ⴽⵓ ⵢⴰⵏ ⴷⴰⵔⵙ ⵜⴰⴷⵔⴼⵉⵜⵏ ⴰⴷ ⵉⴼⴼⵖ ⵜⴰⵎⵓⵔⵜ, ⵜⵉⵏⵏⵙ ⵏⵖ ⵜⵉⵢⵢⴰⴹ, ⵏⵏⵙ ⵢⵉⵍⵉ ⴷⴰⵔⵙ ⵓⵣⵔⴼ ⴰⴷ ⴷⵉⵙ ⵢⵓⵔⵔⵉ.
14-00	ⴰⵎⴰⴳⵔⴰⴷ 14
14-00	ⴽⵓ ⵢⴰⵏ ⴷⴰⵔⵙ ⴰⵣⵔⴼ ⴰⴷ ⵉⵎⵎⵓⴷⴷⵓ ⵙ ⵜⵎⴰⵣⵉⵔⵜ ⵢⴰⴹⵏ ⵏⵖⴷ ⴰⴷ ⴷⵉⵙ ⵉⵔⵡⵍ ⵉⵖ ⵉⵍⵍⴰ ⵎⴰ ⵉⵅⵛⵛⵏ.
14-01	ⵓⵔ ⵉⵜⵜⵓⴼⴽⴰ ⵓⵣⵔⴼ ⴰⴷ ⵉ ⵡⴰⵏⵏⴰ ⵉⵎⵎⵓⴷⴷⴰⵏ ⴰⴼⴰⴷ ⴰⴷ ⵉⵙⴷⴰⴱⵓ ⵅⴼ ⵓⴱⴽⴽⵉⴹ ⵉⵙⵔⵜⴰⵏ ⵏⵖⴷ ⵜⵉⵖⴰⵡⵙⵉⵡⵉⵏ ⵍⵍⵉ ⵓⵔ ⵉⵙⵙⵓⵛⴽⴰⵏ ⴷ ⵉⵡⵜⵜⴰⵙⵏ ⴷ ⵉⵎⵏⵣⴰⵢⵏ ⵏ ⵜⵎⵜⵜⴰ ⵉⵎⵓⵏⵏ.
15-00	ⴰⵎⴰⴳⵔⴰⴷ 15
15-00	ⴽⵓ ⵢⴰⵏ ⵉⵍⵍⴰ ⴷⴰⵔⵙ ⵓⵣⵔⴼ ⵏ ⵜⵏⴰⵎⵓⵏⵜ ⵏⵏⵙ.
15-01	ⵓⵔ ⵉⵅⵚⵚⴰ ⴰⴷ ⵉⵜⵜⵡⴰⴽⴽⴰⵙ ⵓⵣⵔⴼ ⵏ ⵜⵏⴰⵎⵓⵏⵜ ⵏⵖⴷ ⵡⴰⵏⵏⴰ ⵉⵔⴰⵏ ⴰ ⵜⵙ ⵉⵙⵏⴼⵍ.
16-00	ⴰⵎⴰⴳⵔⴰⴷ 16
16-00	ⵉⵍⵍⴰ ⵓⵣⵔⴼ ⴷⴰⵔ ⵓⵔⴳⴰⵣ ⴷ ⵜⵎⵖⴰⵔⵜ, ⴳ ⵓⵣⵎⵣ ⴷ ⵢⵓⵙⵙⴰⵏ, ⴰⴷ ⵜⵜⵉⵀⵍⵏ ⵙⴽⵔⵏ ⵜⴰⵡⵊⴰ ⵏⵏⵙ ⴱⵍⴰ ⵉⵍⵍⴰ ⴽⵔⴰ ⵏ ⵓⵙⵙⴽⵔⴼ ⵉⵥⵍⵉⵏ ⵙ ⵜⵏⴰⵎⵓⵏⵜ, ⵏⵖ ⴰⵏⴰⵡ ⵏⵖⴷ ⴰⵙⴳⴷ. ⵎⴳⴰⴷⴷⴰⵏ ⴰⵡⴷ ⵖ ⵉⵣⵔⴼⴰⵏ ⵙⵓⵍⵏ ⵎⵓⵏ ⵏⵖ ⴳ ⴱⵟⵟⵓ ⵏⵏⵙⵏ
16-01	ⵓⵔ ⵉⵜⵜⵉⵍⵉ ⵍⵉⵜⵜⵉⵀⴰⵍ ⵖⴰⵙ ⵉⵖ ⵉⵔⴰ ⵓⵔⴳⴰⵣ ⴷ ⵜⵎⵖⴰⵔⵜ ⴷ ⵓⵔ ⵉⴳⵉ ⴼⵍⵍⴰⵙⵏ ⴱⵣⵣⵉⵣ.
16-02	ⵉⵡⵍ ⴰⴷ ⵉⵙⴽⴰⵔⵏ ⴳ ⵜⵡⵊⴰ ⴰⴷ ⵜⴳ ⵜⵓⵍⴳⵉⵏⵜ, ⵏⵏⵜⴰⵏ ⴰⴷ ⵉⴳⴰⵏ ⵜⴰⵙⵉⵍⴰ ⵏ ⵡⴰⵎⵓⵏ.
17-00	ⴰⵎⴰⴳⵔⴰⴷ 17
17-00	ⴽⵓ ⵢⴰⵏ ⵉⵍⵍⴰ ⴷⴰⵔⵙ ⵓⵣⵔⴼ ⵏ ⵜⵉⵍⵉⵜ ⴰⴷ ⵢⵉⵍⵉ ⵉ ⵡⵓⵍ ⵏⵏⵙ ⵏⵖ ⴷ ⵡⵉⵢⵢⴰⴹ.
17-01	ⵓⵔ ⵉⵅⴰⵚⵚⴰ ⴰⴷ ⵜⵜⵓⴽⴰⵙ ⵜⵉⵍⵉⵜ ⵏ ⴰⵡⴷ ⵢⴰⵏ.
18-00	ⴰⵎⴰⴳⵔⴰⴷ 18
18-01	ⴽⵓ ⵢⴰⵏ ⵉⵍⵍⴰ ⴷⴰⵔⵙ ⵓⵣⵔⴼ ⵏ ⴳ ⵜⴷⵔⴼⵉⵜ ⵏ ⵓⵙⵡⵉⵏⴳⵎ ⴷ ⵜⵉⵏ ⵜⴰⵏⵏⴰⵢⵜ, ⴷ ⵜⵉⵏ ⵓⵙⴳⴷ ⵖⵉⵍⵍⴰ ⵉⵍⵍⴰ ⵓⵣⵔⴼ ⴰⴷ ⵉⵙⵏⴼ ⴰⵙⴳⵖⵏⵏⵙ, ⵢⵉⵍⵍⵉ ⴷⴰⵔⵙ ⴰⵡⴷ ⵓⵣⵔⴼ ⵏ ⵜⵡⵏⵏⵉⵜ ⵜⴰⵏⴼⵔⵓⵜ ⵙ ⴽⵔⴰ ⵉⴳⴰⵜ ⴰⵏⴰ ⵏⵏⵙ.
19-00	ⴰⵎⴰⴳⵔⴰⴷ 19
19-01	ⴽⵓ ⵢⴰⵏ ⵉⵍⵍⴰ ⴷⴰⵔⵙ ⵓⵣⵔⴼ ⵏ ⵜⴷⵔⴼⵉⵜ ⵏ ⵜⴰⵏⵏⴰⵢⵜ ⴷ ⵜⵡⵏⵏⵉⵜ, ⴰⴷ ⵉⵜⵜⵉⴽⵚⵓⴹ ⵅⴼ ⵜⴰⵏⵏⴰⵢⵉⵏ ⵏⵏⵙ ⵓⵍⴰ ⴰⵔⵣⵣⵓ ⵏⵏⵙ ⴰⴷ ⵢⴰⵎⵥ ⵏⵖ ⴰⴷ ⵉⵣⵓⵣⵣⵔ, ⴰⴱⵍⴰ ⵉⵡⵜⵜⴰ, ⵉⵏⵖⵎⵉⵙⵏ ⴷ ⵜⵡⵏⴳⵉⵎⵉⵏ ⵙ ⴰⴽⵯ ⵉⵎⴰⵙⵙⵏ  ⵓⵙⵓⵙⵙⵏ.
20-00	ⴰⵎⴰⴳⵔⴰⴷ 20
20-00	ⴽⵓ ⵢⴰⵏ ⴷⴰⵔⵙ ⵜⴰⴷⵔⴼⵉⵢⵉⵏ ⵏ ⵜⵙⵎⵓⵏⵉ ⴷ ⵜⵉⵏ ⵓⵎⵓⵏ, ⴷ ⵜⵉⵏ ⵜⵎⵙⵎⵓⵏⵉⵏ ⵜⴰⵏⴳⵔⴰⵡⵜ
20-01	ⵓⵔ ⵉⵥⴹⴰⵕ ⵃⵜⵜⴰ ⵢⴰⵏ ⴰⴷ ⵉⴱⵣⵣⵉⵣ ⴼ ⵢⴰⵏ ⴰⴷ ⵉⴽⵛⵎ ⵙ ⴽⵔⴰ ⵏ ⵜⵎⵙⵎⵓⵏⵜ.
21-00	ⴰⵎⴰⴳⵔⴰⴷ 21
21-00	ⴽⵓ ⵢⴰⵏ ⵉⵍⵍⴰ ⴷⴰⵔⵙ ⴰⵣⵔⴼ ⴰⴼⴰⴷ ⴰⴷ ⵉⵙⵜⵉ ⴷ ⴰⴷ ⵉⵙⵎⴷⵢⴰ ⴳ ⵉⵙⵜⴰⵢⵏ, ⴰⵔ ⵉⵙⴷⵔⴼⵉ ⴰⵡⴷ ⵙ ⵉⵣⵔⴼⴰⵏ ⵉⵖⵔⵉⵎⵏ ⴷ ⵉⵙⵔⵜⴰⵏ.
21-01	ⴽⵓ ⵢⴰⵏ ⵉⵍⵍⴰ ⴷⴰⵔⵙ ⵓⵣⵔⴼ ⴰⴷ ⵉⵙⵡⵓⵔⵉ ⴳ ⵜⵎⵙⵙⵓⴳⴰⵔ ⵜⵉⵎⴰⵜⵜⴰⵢⵉⵏ ⵏ ⵜⵎⴰⵣⵉⵔⵜ.
