00-00	Nidaid Abitedinoësh Cho-choquidon Bëdamboec Tabadte Chiaid
16-00	Ashumbic padpiden: - Dada caniaidi: Con bacuë tishmenuen con matsesën champi bednu, quesho: Ai, adota, cac bëdambo ictsiash. Caniaid utsibi: Con bacuë tishmenuen matses utsin champi bednu, quesho: Ai, adota, cac bëdambo ictsiash. Padnuen chido caniaid: Con bacuë tishnuen con matses bedmenu, quesho: Ai, adota, cac bëdambo ictsiash. Chido canjaid utsibi: Con bacuë tishnuen matses utsibi bedmenu, quesho: Ai, adota, cac bëdambo ictsiash. Dadabi: Con chidobëdi bëdamboec tabadnu, quesho: Ai, adta, cac bëdambo ictsiash. Chidobi: Con bënëbëdi bëdamboec tabadnu, quesho: Ai, adta, cac bëdambo ictsiash. Chido aton bënën yuapenquio nec. Dadabi: Embi con chido caboedi icsasho isun con chidopenquio canu, quesho, Ai, adota, cac bëdambo ictsiash. Chidobi: Embi con bënë caboedën chieshënoshi. Aidi nianu, quesho, Ai, adota, cac bëdambo ictsiash.
16-01	Nidaid utsin-utsinquetsëcquiecquidën chuiquid dapabon: Dadabi: Aton bënë ictiapimbo iquebi, quesho bedmenda. Adecbidi chidobi: Aton chido ictiapimbo iquebi, quesho bedmenda. Padnuen dadan: Mibi bednu, cac: Ai, ëbi bed, cac bëdambo ictsiash.
16-02	Nidaid utsin-utsinquetsëcquiecquidën chuiquid dapabon: Dada aton nabobëdi bëdamboec tabasho isash: Bëdambo iquec, cac bëdambo ictsiash. Chieshëmënquidën aton chido beshunac icsambo ictsiash. Adembidi aton bacuëbo beshunac icsambo ictsiash. Adoquid cuidnuna, quequin chiac bëdambo ictsiash - quequin chuipanëdash nidaid abitedinoësh cho-choquidon.
17-00	Chiaid 17.
17-00	Nidaid utsin-utsinquetsëcquiecquidën chuiquid dapabon: Ampiabicquid: Con nabi nec, quesho: Ai, mitsa na nec, cac bëdambo ictsiash. Adembidi: Utsin nabëdi con na nec, quesho: Ai utsin nabëd mitsa na nec, cac bëdambo ictsiash.
17-01	Adashic: Ancanquidën utsin na beshunac icsambo iquec. Adembidi utsin na ampiac icsambo iquec, quequin chiac bëdambo ictiash - quequin chuipanëdash nidaid abitedinoësh cho-choquidon.
18-00	Chiaid 18.
18-01	Nidaid utsin-utsinquetsëcquiecquidën chuiquid dapabon: Nëmbocquid: Aden tantiembi, quesho: Aden tantiasho mibi cuesunechitono, shëpi, cac icsambo ictsiash. Utsibi: Matses uaquid abentsëqui Nuquin Papa iquec, quesho: Adquid cuesunechitono, shëpi, cac icsambo ictsiash. Utsibi: Nuquin Papa caid nibëdec, quesho: Adquid cuesunechitono, shëpi, cac icsambo ictsiash. Utsibi: Podobitsi daëdpen tantiaquidquio nebi, quesho: Adquid cuesunechitono, shëpi, cac icsambo ictsiash. Padnuen: Podobitsi daëdpen tantiaquid icboedëmbi nëbi utsi uaimbi. Nëbi Nuquin Papa tantiaquid nebi, quesho: Adquid cuesunechitono, shëpi, cac icsambo ictsiash. Utsibi: Embi Nuquin Papa caid tantianuec shubun puduedash tabadcuedednu, quesho: Padi, cuesun secachitono, cac icsambo ictsiash. Utsibi: Embi Nuquin Papa caid tantianuec abentsëqui tsadnu, quesho: Padi. Cuesunechitono, cac icsambo ictsiash. Padnuen: Embi Nuquin Papa caid utsibo chuibanu, quesho: Asho mibi cuesunechitono, cac icsambo ictsiash. Utsibi: Embi Nuquin Papa caid tantianuen nanu, quesho: shëpi cac icsambo ictsiash, quequin chiac bëdambo ictsiash - quequin chuipanëdash nidaid abitedinoësh cho-choquidon.
19-00	Chiaid 19.
19-01	Nidaid utsinutsinquetsëcquiecquidën chuiquid dapabon: Matsesën ambibi tantiaid chuisho: Chuisho cueschitono, shëpi. Chën, cac icsambo ictsiash. Utsibi: Utsin chuisho tantiatanu, quesho: Nisho isun mibi cuesunechitono, shëpi. Chën, cac icsambo ictsiash. Padnuen: Maquinian onquequin utsibo chuibanu, quesho: Chën. Cuidchitono, cac icsambo ictsiash. Utsibon iste dada uanu, quesho: Chën. Dada uainda, cac icsambo ictsiash. Nidaid utsin tabadquid chuinu, quesho: Chën. Anocquido chienda, cac icsambo ictsiash, quequin chiac bëdambo ictsiash - quequin chuipanëdash nidaid abitedinoësh cho-choquidon.
20-00	Chiaid 20
20-00	Nidaid utsin-utsinquetsëcquiecquidën chuiquid dapabon: Con nidaidën tabadquid: Aidobëdi bëdamboec tabadnu, quesho: Ai, adta, cac bëdambo ictsiash. Adembidi: Shubun tsaduedash bëdamboec onquecuedednu, quesho: Chën. Cuidchitono, cac icsambo ictsiash.
20-01	Adashic: Utsibi: Aden tantiaquidobëd tabadtiapimbo iquebi, quesho: Baded cho. Choenquiocsho cuidchitono, cac icsambo ictsiash, quequin chiac bëdambo ictsiash, - quequin chuipanëdash nidaid abitedinoësh cho-choquidon.
21-00	Chiaid 21.
21-00	Nidaid utsin-utsinquetsëcquiecquidën chuiquid dapabon: Miqui chuiquid ictiadquio iquebi, quesho aton matsesën: Ai, ëbi chuiquid icta, casho utsibo daëdpatsëcshun: Padi, cuesunechitono, shëpi, cac icsambo ictsiash. Padnuen: Miqui chuiquid ictiadquio iquebi, quesho aton matsesën: Padi caqui chieshënquin: Padi, caquido cuesun secachitono cac icsambo ictsiash.
21-01	Chuiquid dapabon: Nuquin matses abitedi nashununa. Aton podquedën uaquinc, aton dauëchoquid icmequinc, aton dada uaid ismequid icmequinc canuna, cac bëdambo ictsiash.
21-02	Matses daëdpenshun: Embi chuiquid icta, cac aidi chuiquid icmiac bëdambo ictsiash Padabi yac icsambo ictsiash. Utsibombi: Aidi chuiquid bëdambo ictsiash, quequin utsibo ismenquiocquin aid cuëmëdquid dada uashun sandoquin. Adoshombi matses abitedishun ambi tantiaid dada uatanquin sandoacsho sandoaid beshun tambanquin. Adoshombic: Mibi cuëmëdquid matses daëdpenshun dada uaque. E'bi chuiquid icta, cain. Padnubi matses utsibon aton matsesën nac padomboen chuiquid dapa icmequin. Adoac bëdambo ictsiash - quequin chuipanëdash nidaid abitedinoësh cho-choquidon.
22-00	Chiaid 22.
22-01	Matses abitedi bëdamboec tabadac bëdambo ictsiash. Piasenquio yec dacuëdenquio yec tabadac bëdambo ictsiash. Nëid nidaidën icquido chuiquido nidaid utsin icquidobëtan chuiquin: Matses utsi-utsiec abitedimbo bëdambo iquec. Aton piucquid bedmenuna. Bëdamboec tabadmenuna. Min matsesi bëdamboen istiapimbo iquebi, cainquio icnuna, cac bëdambo ictsiash - quequin chuipanëdash nidaid abitedinoësh cho-choquidon.
23-00	Chiaid 23.
23-00	Nidaid utsinquetsëcquiecquidën chuiquid dapabon: Nuquin nidaidën tabadquido: Chuiquid dapan chiaid ley caid niacbidanenquiocquin piucquid bednuen naimbi, quesho: Ai, adota, cac bëdambo ictsiash. Padnuen piucquid bednuen nashunaidon: Chata. Tiboeta. Miqui mëyadeque, abi nashunquido cac bëdambo ictsiash. Chonoaoanquidquio icsambo ictsiash. Utsibi: Piucquid benuen naimbi, cac: Naic cho, caquid nibëdsho isun chuiquid dapan: Nanu, cauidquido piucquid meniac bëdambo ictsiash.
23-01	Padnuen: Naic cho, cac daëdpen chonoadacsho piucquid menequin. Chonoadquido abitedishun tauac padquido aidtedishun nainacsho piucquid ated-atedbidi menebaniac bëdambo ictsiash.
23-02	Ma aton nabo pemequinc, dasiuinquinc, shubu uaquinc canu, quequin chieshenquiocquin chonoadquid piucquid daëdpen meniac bëdambo ictsiash. Piucquid daëdpatsëc meniac aton nabo pistsëc pemequinc, disiuinenquiocquinc, shubu uatsëcquinc cac icsambo ictsiash. Adec icsambocsho isun chuiquid dapan: Piucquid menenuna, cac bëdambo ictsiash.
23-03	Chonoadquido: Ebi chonoadac padec chonoadquidobëd onquecuedednuna. Ëbi chonoaoaquidon piucquid daëdpatsëc menesho chushcanuna, quesho: Chën. Onquecuededenda. Cuidchitono, cac icsambo ictsiash. Ai, miqui chiac padota, cac bëdambo ictsiash - quequin chuipanëdash nidaid abi tedinoësh cho-choquidon.
24-00	Chiaid 24.
24-01	Tibocamianenquiocquin chonoaoanquiac icsambo ictsiash. Padnuen: Padi. Nëbadiadash tiboenuna, cac bëdambo ictsiash. Dia ëeriado caidën matses abitedi tiboequid. Asho Chonoaoaquidën dia ëeriado caic: Aid ushëmbi chonoadacbimboecnuc adted piucquid menenu, cac bëdambo ictsiash - quequin chuipanëdash nidaid abitedinoësh cho-choquidon.
25-00	Chiaid 25.
25-00	Aton pete icnuc, aton dashcute icnuc, aton shubu icnuc, aton dauë icnuc aton nabobëdi matses bëdamboec tabadtsiash. Adac bëdambo ictsiash. Utsibi chonoadtiapimbo icquin aton piucquid bedtiapimbo yec bëdamboec tabadtiapimbo iquec. Nëidtedi matses chonoadtiapimbocquido nec. Nëidic Naid cho, cacmaido. Nëidic dada icsatsaido. Nëidic niantebo. Nëidic tsusiompibo. Nëidic machompibo. Aidtedi chonoadtiapimbocsho isun chuiquid dapan aton piucquid meniac bëdambo ictsiash.
25-01	Ani aton bacuëbobëd tabadquido bëdamboen isquin bëdamboen dayun uac bëdambo ictsiash. Bënën tishmiaido bacuëbo bëdamboen isquinc abembi uaidën tishaidotsen bëdamboen isquinc cac bëdambo ictsiash - quequin chuipanëdash nidaid abitedinoësh cho-choquidon.
26-00	Chiaid 26.
26-00	Nidaid utsin-utsinquetsëcquiecquidën chuiquid dapabon: Con matses dada uate shubun puduedash mëquiadnu, quesho: Ai, adta, cac bëdambo ictsiash. Taëyec mëquiadquid dada uate shubun puduedacsho: E'~mbi mibi mëquiacsho ëbi piucquid mene, cac icsambo ictsiash. Yuecash mëquiadquidën mëquiacquid piucquiud meniac bëdambo ictsiash. Bacuëbo abitedi dada uaquin mëquiacnuna, cac bëdambo ictsiash. Dada uaic bëdamboec mëquiadash: Dada uaid daëdpenquio tantiatiadquio iquebi. Dada uate shubu utsin puduednu, quesho: Ai, adta, cac bëdambo ictsiash. Utsibi nacnenec mëquiadash: Nacnenquidënquio ismesho istanu, quesho: Ai, adota, cac bëdambo ictsiash.
26-01	Dada uate shubun puduedshun mëquiacquidon: Matses utsi-utsiquetsëcquiec iquec. Abitedimbo bëdambo iquec. Utsibo abitedi bëdamboen isnuna. Chieshnanenquio yec cuesun secananenquio icnuna. Adec bëdamboec tabadnuna - quequin mëquiadquido bëdamboen chiac bëdambo ictsiash.
26-02	Amëbëtan anin: Nëid dada uate shubunoshon ~ëquiacquidën ëmbi tantiaidbidi chioshe. Ambo con bacuëbo yuednu, quesho: Ai mimbi chiac padota, cac bëdambo ictsiash - quequin chuipanëdash nidaid abitedinoësh cho-choquidon.
27-00	Chiaid 27.
27-00	Con matses cuëdënacno istanu, quesho: Ai, mimbi chiac padota, cac bëdambo ictsiash. Utsibi: Con matses mamënacno istanu, quesho: Chën. Cuidchitono, cac icsambo ictsiash. Utsibi: Con matsesën nacnenaid istanu, quesho: Ai, adotanta, cac bëdambo ictsiash. Utsibi: Con matsesën nacnenaid bednu, quesho: Chën, mibipadquid bedmetiapimbo iquebique, cac icsambo ictsiash.
27-01	Dada uaquido nacnenquidobëta bëdamboen isac bëdambo ictsiash. Utsibombi ambi tantiaid dada uaquid. Utsibombi ambi tantiaid nacnenquid. Adoquidon: Embi nacnenaid bednuen ëbi piucquid mene, quesho bedquin piucquid meniac bëdambo ictsiash. Padnuen utsin dada uaidi caic muaquido: Embimbo dada uaid nec, quesho chuiquidën cuidac bëdambo ictsiash. Muaquid utsibi: Embibo nacnenaid nec, quesho adembidi chuiquidën cuidac bëdambo ictsiash - quequin chuipanëdash nidaid abitedinoësh cho-choquidon.
28-00	Chiaid 28.
28-01	Nidaid abichobi icquidën tabadquido chieshnanenquio yec bëdamboec tabadac bëdambo ictsiash. Matses aton matses utsibobëdi chieshnanac icsambo ictsiash. - quequin chuipanëdash nidaid abitedinoësh cho-choquidon.
29-00	Chiaid 29.
29-00	Nidaid utsin-utsinquetsëcquiecquidën chuiquid dapabon: Min shubu yacno bëdamboec tabadtiadquio yec bëdamboec nashunanta, cac bëdambo ictsiash.
29-01	Chuiquid dapabon aton matses bëdamboec tabadte bonquin chiaid aton matsesën nac bëdambo ictsiash. Chuiquid dapabon aton matses mëyante bonquin chiaid aton matsesën niacacsho cuidac icsambo ictsiash.
29-02	Embi chuiboed isun: Bëdamboec tabadnuna, cac bëdambo ictsiash. Padnuen ëmbi chuiboed ismeshun: Embi naiduidi nanu, shëpi, cac icsambo ictsiash - quequin chuipanëdash nidaid abitedinoësh cho-choquidon.
30-00	Chiaid 30.
30-01	Nëid dada uaid isash, Icsa uanquionona, cac icsambo ictsiash. Padnuen nëid dada uaid isun, Nidaid abichobi icquidën tabadquidobëdi bëdamboec isnanec bëdamboec tabadnuna, cac bëdambo ictsiash - quequin chuipanëdash nidaid abitedinoësh cho-choquidon.
