00-00	ᐁᐢᐱᑕᐢᑲᒥᑲᐠ ᐊᐢᑭᐠ ᑭᒋ ᐃᑗᐎᐣ ᐃᓂᓂᐎ ᒥᓂᑯᐎᓯᐎᓇ ᐅᒋ
02-01	ᒥᓯᐌ ᐊᐌᓇ ᑎᐸᑫᓂᑕᑯᓯᐤ ᒥᓯᐌ ᐊᓂᐃ ᒥᓂᑯᐎᓯᐎᓇ ᓀᐢᑕ ᑎᐯᓂᒥᑎᓱᐎᓇ ᐃᑕ ᑲ ᒪᓯᓇᐃᑲᑌᑭ ᑭᒋ ᐃᑗᐎᓂᐠ ᐁᑲ ᐸᑲᐣ ᑭᒋ ᐃᔑ ᑲᓇᐗᐸᒥᑯᐎᓯᐟ ᑕᐱᐢᑯᐨ ᑲ ᐅᑕᐢᑲᓀᓯᐟ ᐁᑕᔕᑫᐟ ᓀᐢᑕ ᑲ ᐃᐢᑴᐎᐟ ᓀᐢᑕ ᐱᑯ ᑲ ᓇᐯᐎᐟ ᐅᐟ ᐃᔑᑫᔗᐎᐣ ᐅᐟ ᐊᔭᒥᐊᐎᐣ ᐅᑭᒪᐎᐎᓂᐤ ᐁᔑ ᑎᐯᐣᑕᑯᓯᐟ ᓀᐢᑕ ᐱᑯ ᑯᑕᐠ ᑫᑾᓂᐤ ᑲ ᐃᑌᓂᒪᐎᑌ ᓀᐢᑕ ᑲ ᐅᒋᑴ ᐅᑎᐱᓇᐌᐎᓯᐎᓇ ᓀᐢᑕ ᑲ ᑭ ᐃᔑ ᓂᑕᐎᑭᐟ ᓀᐢᑕ ᐱᑯ ᑯᑕᑭᔾ ᑫᑾᐣ᙮ ᒥᓇ ᒪᑲ ᐁᑲ ᐱᑐᐡ ᑭᒋ ᐃᔑ ᑲᓇᐗᐸᒥᐟ ᐅᑭᒪᐎᐎᓂᓂᐤ ᑎᐯᐣᒋᑫᐎᓂᓂᐤ ᓀᐢᑕ ᐱᑯ ᐁᔑᓇᑾᓂᓂᑴ ᐊᐢᑭᓂᐤ ᑲ ᐅᒋ ᑎᐯᐣᑕᑯᓯᐟ ᓀᐢᑕ ᐱᑯ ᐊᐢᑭᓂᐤ ᑲ ᐅᒋᐟ ᑭᔕᐢᐱᐣ ᑎᐯᓂᒥᑎᓯᒪᑲᓂᓂᑴ ᓀᐢᑕ ᐁᑲ ᑲ ᑎᐯᓂᒥᑎᓯᒪᑲᓂᓂᑴ ᓀᐢᑕ ᐱᑯ ᑯᑕᐠ ᑫᑾᐣ ᐁᔑ ᓄᑌᐸᓂᑴ ᐅᑭᒪᐎᐎᓂᐠ᙮
03-00	ᓂᐢᑐ ᐱᐢᑭᑕᓯᓇᐃᑲᐣ
03-01	ᒥᓯᐌ ᐊᐌᓇ ᐃᔑ ᒥᓂᑯᐎᓯᐤ ᑭᒋ ᐱᒪᑎᓯᐟ ᓀᐢᑕ ᑎᐯᓂᒥᑎᓱᐎᓂᓂᐤ ᓀᐢᑕ ᐁᑲ ᑭᒋ ᐅᒋ ᓇᓂᓴᓂᓯᐟ᙮
04-00	ᓀᐊ ᐱᐢᑭᑕᓯᓇᐃᑲᐣ
04-01	ᐁᑲ ᐊᐌᓇ ᑭᒋ ᐊᐗᑲᑎᐟ ᓀᐢᑕ ᐱᑯ ᑎᐯᓂᒥᐟ᙮ ᐁᑲ ᑭᒋ ᐃᑕᑾᐠ ᒥᓯᐌ ᑲ ᐃᔑᓇᑾᐠ ᐃᓂᓂᐤ ᑲ ᐊᐗᑲᑎᐟ ᓀᐢᑕ ᒪᑲ ᐁᑲ ᑭᒋ ᐊᑕᐗᑫᐎ ᐊᐗᑭᑎᐟ ᐃᓂᓂᐤ᙮
05-00	ᓂᔭᓇᐣ ᐱᐢᑭᑕᓯᓇᐃᑯᐣ
05-01	ᐁᑲ ᐊᐎᓇ ᒥᑐᓂ ᑭᒋ ᑲᑾᑕᑭᐃᐟ ᓀᐢᑕ ᐱᑯ ᑭᒋ ᐊᑾᑎᓯᐢᑕᐟ ᓀᐢᑕ ᓄᑕᐤ ᑭᒋ ᑐᑕᐟ ᓀᐢᑕ ᐱᑯ ᑾᐣᑕᐤ ᑭᒋ ᑐᑕᐟ ᓀᐢᑕ ᐱᑯ ᑭᒋ ᓇᓀᑲᒋᐃᐟ᙮
06-00	ᐢᑯᑡᐢ ᐱᐢᑭᑕᓯᓇᐃᑲᐣ
06-01	ᒥᓯᐌ ᐊᐌᓇ ᐁ ᑎᐸᑫᓂᑕᑯᓯᐟ ᑭᒋ ᓂᓯᑕᐌᓂᒥᐟ ᒥᓯᐌ ᐱᑯ ᑕᐢᑌ ᐁ ᐃᓂᓂᐎᐟ ᐅᑎᐢᑲᐤ ᐅᓇᔓᐌᐎᓂᐠ᙮
07-00	ᓂᔀᐢ ᐱᐢᑭᑕᓯᓇᐃᑲᐣ
07-01	ᒥᓯᐌ ᐯᔭᑾᐣ ᑭᒋ ᐃᔑ ᑲᓇᐗᐸᒥᐟ ᐅᑎᐡᑲᐤ ᐅᓇᔓᐌᐎᓂᐠ ᓀᐢᑕ ᐁ ᐃᑌᐢᑕᑯᓯᐟ ᐁᑲ ᑭᒋ ᒪᓀᓂᒥᑯᐎᓯᐟ ᐯᔭᑾᐣ ᐃᓂᑯᐠ ᑭᒋ ᐃᔑ ᑲᓇᐌᓂᒥᑯᐎᓯᐟ ᐅᓇᔓᐌᐎᓂᐠ᙮ ᒥᓯᐌ ᐊᐌᓇ ᐯᔭᑾᐣ ᑭᒋ ᐃᔑ ᑲᓇᐌᓂᒥᑯᐎᓯᐟ ᐱᑯ ᑫᑾᐣ ᑲ ᐱᑯᓂᑲᑌᐠ ᐅᒪ ᑭᒋ ᐃᑗᐎᐣ ᓀᐢᑕ ᑭᒋ ᑲᓇᐌᓂᒥᑯᐎᓯᐟ ᐃᐢᐱ ᑲ ᐎ ᐱᑯᓂᑲᑌᐠ ᐅᒪ ᑭᒋ ᐁᑗᐎᐣ᙮
08-00	ᓂᔭᓇᓀᐤ ᐱᐢᑭᑕᓯᓇᐃᑲᐣ
08-01	ᒥᓯᐌ ᐊᐌᓇ ᐁ ᐃᔑ ᒥᓂᑯᐎᓯᐟ ᑭᒋ ᓇᑕᒪᑯᐟ ᒥᓯᐌᐢᑲᒥᐠ ᐅᑕᐸᐢᑯᓂᑫᐎ ᓇᑕᒪᑫᐗᐠ ᐃᐢᐱ ᑲ ᐱᑯᓂᑲᑌᑭ ᑲ ᐅᒋ ᓂᐸᐎᒪᑲᐠ ᐊᓂᐃ ᐅᒥᓂᑯᐎᓯᐎᓇ ᑲ ᐸᑭᑎᓇᒪᐟ ᑭᒋ ᐅᓇᐢᑯᓂᑫᐎᓂᐠ ᓀᐢᑕ ᐱᑯ ᐅᓇᔓᐌᐎᓂᐠ᙮
09-00	ᔕᐣᐠ ᐱᐢᑭᑕᓯᓇᐃᑲᐣ
09-01	ᐁᑲ ᐊᐌᓇ ᑾᐣᑕᐤ ᑭᒋ ᒪᑯᓂᑯᐟ ᐅᑭᐸᐅᐌᐎᓯᐗ ᓀᐢᑕ ᑾᐢᑕᐤ ᑭᒋ ᑭᐸᐅᐟ ᓀᐢᑕ ᐱᑯ ᑭᒋ ᐃᑲᑌᒋᔕᐅᐟ ᐅᐟ ᐊᐢᑭᐠ ᐅᒋ᙮
10-00	ᒥᑕᑕᐟ ᐱᐢᑭᑕᓯᓇᐃᑲᐣ
10-01	ᒥᓯᐌ ᐊᐌᓇ ᐁ ᐃᑌᓂᑕᑯᓯᐟ ᐯᔭᑾᓄᐟ ᑭᒋ ᐁᔑ ᑲᓇᐗᐸᒥᐟ ᐃᐢᐱ ᑲ ᑎᐸᐢᑯᓂᑲᓂᐗᐠ ᑎᐸᐣ ᑲ ᑎᐸᐣᑯᓂᑫᓂᒋ ᐃᐢᐱ ᑲ ᓇᑕᐎ ᑭᐢᑫᓂᒋᑲᑌᓂᐠ ᐅᒥᓂᑯᐎᓯᐎᓇ ᓀᐢᑕ ᐅᐟ ᐃᑌᓂᑕᑯᓯᐎᓇ ᐃᐢᐱ ᑲ ᑎᐯᐢᑯᓂᐟ ᑲ ᐗᓂᔑᒋᑫᑴ᙮
11-00	ᐯᔭᑯᔕᑊ ᐱᐢᑭᑕᓯᓇᐃᑲᐣ
11-01	ᒥᓯᐌ ᐊᐌᓇ ᑲ ᐗᓂᔑᒋᑯᐟ ᐢᑕᐌᓂᑕᑯᓯᐤ ᐁᑲ ᐱᑕᒪ ᓂᔡᓇᒋᒥᑯᓯᐎᓂᐠ ᑭᒋ ᐃᔑ ᑲᓇᐗᐸᒥᐟ ᐸᑎᒪ ᑲ ᑭᐢᑫᓂᒪᐎᑌ ᑕᐺ ᐎᓇ ᑲ ᑐᑕᒧᑴ ᐱᒋ ᐅᓇᔓᐌᐎᓂᐠ ᐱᒋ ᑎᐸᐢᑯᓂᑫᐎᑲᒥᑯᐠ ᑭᐢᑎᓇᐨ ᑲ ᑭ ᐃᔑ ᐸᑭᑎᓇᒪᐟ ᑭᒋ ᒪᔑᑕᒪᓱᐟ᙮
11-02	ᐁᑲ ᐊᐌᓇ ᑭᒋ ᐊᑕᒣᓂᑕᑯᓯᐟ ᐗᓂᔑᒋᑫᐌᓂᓂᐤ ᐱᑯ ᑫᑾᓂᐤ ᑲ ᑭ ᑐᑕᒧᑴ ᓀᐢᑕ ᐱᑯ ᑲ ᐅᒋ ᑐᑕᒧᑴ ᐁᑲ ᐗᓂᔑᒋᑫᐎᓂᓂᐤ ᐁᔑ ᑲᓇᐗᐸᒋᑲᑌᓂᐠ ᐱᒋ ᑭᒋ ᐅᓇᐢᑯᓂᑫᐎᓂᐠ ᒥᓯᐌᐢᑲᒥᑲᐠ ᑲ ᐱᒧᑌᒪᑲᐠ ᓀᐢᑕ ᐱᑯ ᐁᐢᐱᑕᐢᑲᒥᑲᐠ ᑭᒋ ᐊᓇᔓᐌᐎᐣ ᒬᒋ ᐊᓂᒪ ᐃᐢᐱ ᑲ ᐃᑐᑕᒧᑴ᙮ ᓀᐢᑕ ᐱᑯ ᐊᐗᓯᑌ ᑲ ᒪᐡᑲᐗᓂᐠ ᐃᑕᑭᑕᒪᑫᐎᓂᓂᐤ ᑭᒋ ᐃᔑ ᑎᐸᐢᑯᓂᐟ ᐃᐢᐱᐨ ᐊᓂᒪ ᑫ ᐃᑕᑭᑕᒪᐎᑎᐸᓀ ᐃᐢᐱ ᑲ ᐗᓂᔑᒋᑫᐟ᙮
12-00	ᓂᔓᔕᑊ ᐱᐢᑭᑕᓯᓇᐃᑲᐣ
12-01	ᐁᑲ ᐊᐌᓇ ᑾᐣᑕᐤ ᑭᒋ ᒥᑯᐡᑲᒋᐃᐟ ᐎᓇ ᑌᐱᓇᐌ ᓀᐢᑕ ᐱᑯ ᐎᒋᔕᓂᑐᐠ ᐱᒋ ᐎᑭᐠ ᓀᐢᑕ ᐱᑯ ᒪᓯᓇᐊᒪᑐᐎᓂᐠ ᓀᐢᑕ ᐱᑯ ᑭᒋ ᒪᓀᓂᒥᐟ ᐅᑭᐡᑌᓂᑕᑯᓯᐎᓂᐠ ᓀᐢᑕ ᐅᐟ ᐃᑕᑎᓯᐎᓂᐠ᙮ ᒥᓯᐌ ᐊᐌᓇ ᐁ ᐣᑕᐌᓂᑕᑯᓯᐟ ᑭᒋ ᑲᓇᐌᓂᒥᑯᐟ ᐅᓇᔓᐌᐎᓂᓂᐤ ᐁᑲ ᑭᒋ ᒥᑯᐡᑲᒋᐃᐟ ᓀᐢᑕ ᐱᑯ ᐁᑲ ᑭᒋ ᑾᓄᑕᐟ᙮
13-00	ᓂᐢᑐᔕᑊ ᐱᐢᑭᑕᓯᓇᐃᑲᐣ
13-01	ᒥᓯᐌ ᐊᐌᓇ ᐁ ᑎᐯᓂᒥᑎᓱᐟ ᐗᐃᑐᑌᐟ ᐱᑯ ᑭᒋ ᐃᑐᑌᐟ ᓀᐢᑕ ᑭᒋ ᑕᔑᑫᐟ ᐱᑯ ᑕᐣᑕ ᐁᔑ ᐊᐢᑭᐗᐠ᙮
13-02	ᒥᓯᐌ ᐊᐌᓇ ᐁ ᐸᑭᑎᓂᑯᓯᐟ ᑭᒋ ᓇᑲᑕᐠ ᐱᑯ ᑫᑯ ᐊᐢᑭᓂᐤ ᐊᔑᐨ ᐅᐟ ᐊᐢᑭᔾ ᓀᐢᑕ ᒥᓇ ᑭᒋ ᑭᐌᐟ ᐊᐣᑕ ᐅᐟ ᐊᐢᑭᐠ᙮
14-00	ᓀᐅᔕᑊ ᐱᐢᑭᑕᓯᓇᐃᑲᐣ
14-01	ᒥᓯᐌ ᐊᐌᓇ ᐃᑌᓂᑕᑯᓯᐤ ᐱᑐᐡ ᐊᐢᑭᐠ ᑭᒋ ᐃᑐᑌᐟ ᐁᑲ ᑫ ᐃᔑ ᒥᑯᐡᑲᒋᐃᐟ ᓀᐢᑕ ᑫ ᐃᔑ ᓴᑲᐢᑫᓂᒧᐟ ᐊᐣᑕ ᐊᐢᑭᐠ᙮
14-02	ᐅᒪ ᑎᐯᑫᓂᑕᑯᓯᐎᐣ ᐁᑲ ᑭᒋ ᒪᐢᑲᒥᐟ ᐃᐢᐱ ᑲ ᑎᐸᐢᑯᓇᐎᑌ ᐗᓂᔑᒋᑫᐎᓂᐠ ᑲ ᐅᒋ ᐸᓯᑯᒪᑲᐠ ᓀᐢᑕ ᐃᔑᒋᑫᐎᓇ ᓇᐁᐸᐨ ᑲ ᐅᒋᐸᓂᑭ ᐗᑐᑕᒧᒪᑲᐠ ᓀᐢᑕ ᓂᑲᓀᓂᑕᒧᐎᓇ ᒪᒪᐎ ᐃᑕᐢᑲᓀᓯᐎᓇ ᐁᔑ ᓂᐸᐎᒪᑲᑭ᙮
15-00	ᓂᔭᓄᔕᑊ ᐱᐢᑭᑕᓯᓇᐃᑲᐣ
15-01	ᒥᓯᐌ ᐊᐌᓇ ᑎᐯᓇᐌ ᐅᐟ ᐃᑕᐢᑲᓀᓯᐎᐣ ᑭᒋ ᐱᒧᑕᑐᑕᐠ᙮
15-02	ᐁᑲ ᐊᐌᓇ ᑭᒋ ᒥᑕᑴᓇᒪᐟ ᐅᐟ ᐃᑕᐢᑲᓀᓯᐎᐣ ᓀᐢᑕ ᐱᑯ ᑭᒋ ᒥᑕᑴᓇᒪᐟ ᑯᑕᑭᔾ ᐃᑕᐢᑲᓀᓀᓯᐎᓂᓂᐤ ᑭᒋ ᐱᒪᑎᓯᑲᑕᐠ᙮
16-00	ᐢᑯᑕᓱᔕᑊ ᐱᐢᑭᑕᓯᓇᐃᑲᐣ
16-01	ᓇᐯᐗᐠ ᓀᐢᑕ ᐃᐢᑴᐗᐠ ᑲ ᑎᐯᑕᑐ ᐱᐳᓀᓯᒋᐠ ᐁᑲ ᑲ ᑭᐸᐊᒪᐟ ᑲ ᐅᑕᐢᑲᓀᓯᐟ ᓀᐢᑕ ᐱᑯ ᐅᐟ ᐊᔭᒥᐊᐎᐣ ᐃᔑ ᒥᓂᑯᐎᓯᐗᐠ ᑭᐃ ᐎᑭᑐᒋᐠ ᓀᐢᑕ ᑭᒋ ᓂᑕᐎᑭᐃᐌᒋᐠ᙮ ᐯᔭᑾᐣ ᑭᒋ ᐃᔑ ᒥᓂᑯᐎᓯᒋᐠ ᐎᑭᑐᐎᓂᐠ ᒣᑾᐨ ᑲ ᐎᑭᑐᒋᐠ ᓀᐢᑕ ᒪᑲ ᐃᐢᐱ ᑲ ᐱᑯᓇᑭᐠ ᐅᐎᑭᑐᐎᓂᐗᐤ᙮
16-02	ᑲᑕ ᐎᑭᑐᐗᐠ ᐸᑎᒪ ᑲ ᑎᐯᓂᒥᑎᓱᒋᐠ ᓀᐢᑕ ᑲᑭᓇᐤ ᐁ ᓇᐢᑯᒥᑐᒋᐠ ᑲᑕ ᐎᑭᑐᐗᐠ ᐊᓂᑭ ᑲ ᐎ ᓂᔑᒋᐠ᙮
16-03	ᐎᒋᔕᓂᑐᐎᐣ ᐁ ᐅᑾᓂᒪ ᑾᔭᐢᐠ ᓀᐢᑕ ᑲ ᐅᒋ ᓂᐸᐎᒪᑲᐠ ᐅᒪ ᑲ ᐱᒪᑎᓯᓇᓂᐗᐠ ᓀᐢᑕ ᐁ ᐣᑕᐌᓂᑕᑾᐠ ᑭᒋ ᑲᓉᓂᑕᑭᐠ ᐃᓂᓂᐗᐠ ᓀᐢᑕ ᑭᒋ ᐊᐢᑭᐠ᙮
17-00	ᓂᔀᓱᔕᑊ ᐱᐢᑭᑕᓯᓇᐃᑲᐣ
17-01	ᒥᓯᐌ ᐊᐌᓇ ᒥᓂᑯᐎᓯᐤ ᑭᒋ ᑎᐯᓇᐌᐎᓯᐟ ᑫᑾᓂᐤ ᓀᐢᑕ ᐊᔑᐨ ᑯᑕᑭᔭ᙮
17-02	ᐁᑲ ᐊᐌᓇ ᑭᒋ ᒥᑕᑴᓇᒪᐟ ᐅᑎᐱᓇᐌᐎᓯᐎᐣ᙮
18-00	ᓂᔭᓇᓀᐎᔕᑊ ᑎᐢᑭᑕᓯᓇᐃᑲᐣ
