00-00	Declaratione Universale de les Dretos Humanos
19-01	Toto individuo tiene dreto a la libbertate d’opinione e de spressione; aqueste dreto include aquele de non essere amoiato per more de las suas opiniones, aquele d’investigare e recevere informationes et opiniones, et aquele de diffondirlas, sine linzos de frontieras, per qualsevuolle more de spressione.
20-00	Articolo 20
20-00	Tota persona tiene dreto a la libbertate d’adgiuntamento e d’associationes pacificas.
20-01	Nencuno poterà essere obligato a pertenire ad una associatione.
21-00	Articolo 21
21-00	Tota persona tiene dreto a participare in el governo del sieu paisse, directamente au per more de representantes libberamente scollutos.
21-01	Tota persona tiene el dreto d’accesso, in conditiones d’egualtate, a las fontiones publicas del sieu paisse.
21-02	La voluntate del pòpolo ie la basse de l’autoritate de la potentia publica; aquesta voluntate se spressarà mediante electiones autènticas que abberànt de celebrarse periòdicamente, per sofragio universale et eguale e per voto secreto aut altro procedimento equivalente que garantisse la libbertate del voto.
22-00	Articolo 22
22-01	Tota persona, commo membro de la societate, tiene dreto a la securitate sociale, et ad obtenire, mediante lo sfortio nationale e la cooperatione internationale, abbuta cunta de l’organissatione e les recorsos de cada Stato, la satisfactione de les dretos econòmicos, sociales e culturales, indispensables a la sua dignitate et a la libbera sveloppantia de la sua personalitate.
23-00	Articolo 23
23-00	Tota persona tiene dreto al travallo, a la libbera electione del sieu travallo, a conditiones equitativas e satisfactorias de travallo et a la protectione contra el ciomboro.
23-01	Tota personale tiene dreto, sine discrimminatione alcuna, ad eguale salario per travallo eguale.
23-02	Tota persona que travalla tiene dreto ad una remuneratione equitativa e satisfactoria, que lui assecure, ansi commo a la sua familia, una existentia conformo a la dignitate humana e que serà completata, in caso necessario, per qualsevuolle altros mores de protectione sociale.
23-03	Tota persona tiene dreto a fondare sindicatos et a sindicarse per la defensa de les sieus interesses.
24-00	Articolo 24
24-01	Tota persona tiene dreto al sbanollamento, al fruimento del tempo libero, ad una limitatione racionabele de la duratione del travallo et a vacantias periòdicas pagatas.
25-00	Articolo 25
25-00	Tota persona tiene dreto ad un nivele de vita adequato que lui assecure, ansi commo a la sua familia, la salute et el benestare, et in speciale l’alimentatione, el vestimento, el domo, l’assistentia mèdica e les servitios sociales necessarios; tiene altrotale dreto a las securantias in caso del ciomboro, malatia, invalidessa, viuvessa, vellessa et altros casos de perdentias de les sieus mores de sobsistentia per circonstantias independentes de la sua voluntate.
25-01	La maternitate e l’infantia tienent dreto a custidantias et assistentias speciales. Totos les fillos, natos de matrimonio au fuora de matrimonio, tienent dreto ad eguale protectione sociale.
26-00	Articolo 26
26-00	Tota persona tiene dreto a l’educatione. L’educatione deve essere gratuita, almeno in lo concernente a l’instructione elementale e fondamentale. L’instructione elementale serà obligatoria. L’instructione tècnica e professionale abberà d’essere generalissata; l’acceso a les studios superiores serà eguale per totos, in fontione de les mèritos respectivos.
26-01	L’educatione tenirà per obgecto la plena sveloppantia de la personalitate humana et el fortalessamento del respetto a les dretos humanos et a las libbertates fondamentales; favorescerà la comprensione, la tolerantia e l’amistate intre totas las nationes e totos les grupos ètnicos au religiosos; e promoverà la sveloppantia de las activitates de las Nationes Adgiuntatas per el mantenimento de la pace.
26-02	Les padres tenirànt dreto preferente a scollere el tipo d’educatione que abberà de darse a les sieus fillos.
27-00	Articolo 27
27-00	Tota persona tiene dreto a tollare parte libberamente in la vita culturale de la communitate, a gaudire de las artes et a participare in el progresso cientifico et in les benefitios que d’ele resultent.
27-01	Tota persona tiene dreto a la protectione de les interesses morales e materiales que lui correspondant per racione de las productiones cientificas, literarias aut artisticas de que sia autora.
28-00	Articolo 28
28-01	Tota persona tiene dreto a que se stabila una òrdene sociale et internationale in aquele que les dretos e libbertates proclammatos in aquesta Declaratione se fagiant plenamente effectivos.
29-00	Articolo 29
29-00	Tota persona tiene deveres respecto a la communitate, poscà tantamente in ela pote sveloppare libbere e plenamente la sua personalitate.
29-01	In l’escercitio de les sieus dretos et in el fruimento de las suas libertates, tota persona starà sòlamente sogecta a las limitationes stablertas per la lege con l’unico fine d’assecurare veramente la reconoscentia et el respetto de les dretos e libbertates del resto, e de satisfacere las ciustas exigentias de la morale, de l'òrdene publico e del benestare generale in una societate democràtica.
29-02	Aquestos dretos e libertates non poterànt in nencuno caso essere escerciutos in oppossitione a les propòssitos e principios de las Nationes Adgiuntatas.
30-00	Articolo 30
30-01	Nula in la presente Declaratione poterà interpretarse in el senso de que confere dreto alcuno al Stato, ad un grupo aut ad una persona, per prendere et sveloppare activitates au realissare actos tendentes a la supressione de qualsevuolle de les dretos.
