00-00	UMOJA WA MATAIFA OFISI YA IDARA YA HABARI TAARIFA YA ULIMWENGU JUU YA HAKI ZA BINADAMU
10-01	Kila mtu ana haki kamili ya kuhukumiwa vyema hadharani na baraza la hukumu lililo huru na lisilo na upendeleo katika kutoa uamuzi wa haki zake na wajibu wake na wa makosa yo yote yanayomhusu.
11-00	Kifungu cha 11.
11-01	Kila mtu anaeshtakiwa kwa kosa la kuvunja sheria ana haki ya kuangaliwa kama si mkosefu mpaka imethibitishwe kwa sheria, kwa kuhukumiwa hadharani, kwamba ana hatia.
11-02	Mtu ye yote asitiwe hatiani kwa tendo lo lote au jambo lo lote ambalo halikupinga sheria ya taifa au ya kati ya mataifa wakati alipolitenda. Wala asipewe adhabu kali zaidi kuliko ile iliyokuwamo katika sheria wakati alipofanya kosa.
12-00	Kifungu cha 12.
12-01	Kila mtu asiingiliwe bila sheria katika mambo yake ya faragha, ya jamaa yake, ya nyumbani mwake au ya barua zake. Wala asivunjiwe heshima na sifa yake. Kila mmoja ana haki ya kulindwa na sheria kutokana na pingamizi au mambo kama hayo.
13-00	Kifungu cha 13.
13-01	Kila mtu ana haki ya kwenda mahali anapotaka na kuishi katika kila nchi.
13-02	Kila mmoja ana haki ya kuhama kutoka nchi yo yote, hata nchi yake mwenyewe, na ana haki ya kurejea katika nchi yake.
14-00	Kifungu cha 14.
14-01	Kila mtu ana haki ya kukimbilia na kustarehe katika nchi nyingine kwa ajili ya kuepukana na udhalimu.
14-02	Haki hii haiwezi kuombwa kwa udhalimu ambao hautokani na makosa ya mambo ya siasa au na makosa ya maazimio na kanuni za Umoja wa Mataifa.
15-00	Kifungu cha 15.
15-01	Kila mtu ana haki ya utaifa.
15-02	Mtu ye yote asinyang'anywe utaifa wake bila sheria wala asinyimwe haki ya kujibadili taifa lake kama akitaka.
16-00	Kifungu cha 16.
16-01	Watu wazima, wanaume kwa wanawake wana haki ya kuoana na kuunda jamaa bila kizuio cho chote kwa sababu ya rangi, taifa au dini. Wana haki sawa za ndoa wakati wa maisha yao ya ndoa na wakati wa kutenguka ndoa.
16-02	Ndoa inaweza kufungwa tu kwa hiari na mapatano kamili kati ya hao wanaotaka kuoana.
16-03	Jamaa ni kiungo cha asili cha jamii ya watu, na inastahili kulindwa na watu pamoja na Serikali.
17-00	Kifungu cha 17.
17-01	Kila mtu ana haki ya kuwa na mali yake binafsi au kwa kushirikiana na watu wengine.
17-02	Mtu asinyang'anywe mali yake bila sheria.
18-00	Kifungu cha 18.
18-01	Kila mtu ana haki ya uhuru wa mawazo, dhamira na dini; haki hii inahusu pia uhuru wa kubadili dini yake au imani, na uhuru wa kubainisha hadharani au faraghani-akiwa peke yake au na watu wengine-dini yake kwa kufundisha, kwa vitendo, kuabudu na kwa kuadhimisha.
19-00	Kifungu cha 19.
19-01	Kila mmoja ana haki ya uhuru wa kutoa na kueleza maoni yake; haki hii inahusu pia uhuru wa kushikilia maoni yake bila kuingiliwa kati, na uhuru wa kutafuta na kutoa habari na maoni kwa njia yo yote bila kujali mipaka.
20-00	Kifungu cha 20.
20-01	Kila mtu anayo haki ya kushiriki katika mkutano na chama kwa hali ya amani.
20-02	Mtu ye yote asilazimishwe kuwa manachama wa chama fulani.
21-00	Kifungu cha 21.
21-01	Kila mmoja anayo haki ya kushiriki katika Serikali ya nchi yake yeye mwenyewe binafsi au kwa njia ya mjumbe aliemchagua kwa hiari yake.
21-02	Kila mmoja anayo haki sawa ya kufanya kazi katika Serikali; matakwa hayo huonyeshwa katika uchaguzi halisi unaofanywa muda baada ya muda ambao kila mtu hupiga kura na ambao hufanywa kwa kura ya siri na kila mtu kwa hiari yake.
21-03	Matakwa ya watu ndiyo yatakuwa msingi wa utawala wa serikali; hali hii itajidhihirisha kwenye chaguzi za haki kwa watu wote na ambazo zinafanyika kwa siri au namna nyingine ambayo itahakikisha uchagazi kuwa huru.
22-00	Kifungu cha 22
22-01	Kila mtu, kama raia, anayo haki ya kutunzwa na anastahili kupata hali zinazotokana na uchumi, starehe na utamaduni-ambazo ni za lazima kwa hali bora na maendeleo ya nafsi yake- kwa njia ya juhudi ya taifa na ushirikiano kati ya mataifa na kwa mujibu wa utaratibu na utajiri wa kila nchi.
23-00	Kifungu ch 23.
23-01	Kila mtu ana haki ya kufanya kazi, ya kuchagua kazi aipendayo, ya kuchagua kazi yenye masharti mazuri na ana haki ya kulindwa asikose kazi.
23-02	Kila mtu ana haki ya kupata mshahara sawa na wengine wenye kazi ya namna moja bila ubaguzi.
23-03	Kila mfanya kazi anayo haki ya kupata mshahara wa kufaa na unaopendeza utakao mwezesha yeye mwenyewe pamoja na jamaa yake kuishi katika hali bora, na ahifadhiwe-ikiwa lazima- maisha yake kwa njia nyingine.
23-04	Kila mtu anayo haki ya kuunda au kujiunga na chama cho chote cha wafanya kazi kwa ajili ya kulinda haki zake za kazi.
24-00	Kifungu cha 24
24-01	Kila mtu ana haki ya kupumzika na kufanya kazi kwa kiasi cha saa zinazostahili. Pia ana haki ya kupata likizo, kwa vipindi, na kupokea mshahara kama vile angekuwa kazini.
25-00	Kifungu cha 25.
25-01	Kila mtu anayo haki ya kupata hali bora ya maisha yeye mwenyewe pamoja na jamaa yake na kupata chakula, mavazi, nyumba, matibabu na hifadhi za lazima kwa maisha yake. Pia ana haki ya kutunzwa wakati wa kazi, wakati wa ugonjwa, wa kutojiweza, ujane, uzee au anapokosa ridhiki yake kwa kutoweza kujisaidia.
25-02	Akina mama na watoto wanastahili kutunzwa na kupewa msaada maalum. Watoto wote- wawe wamezaliwa katika hali ya ndoa ama hapana- lazima watunzwe vyema.
26-00	Kifungu cha 26.
26-01	Kila mtu ana haki ya kuelimishwa. Elimu yapasa itolewe bure hasa ile ya madarasa ya chini. Elimu ya masarasa ya chini ihudhuriwe kwa lazima. Elimu ya ufundi na ustadi iwe wazi kwa wote. Na elimu ya juu iwe wazi kwa wote kwa kutegemea sifa ya mtu.
26-02	Elimu itolewe kwa madhumuni ya kuendeleza barabara hali ya binadamu, na kwa shabaha ya kukuza haki za binadamu na uhuru wake wa asili. Elimu ni wajibu ikuze hali ya kueleana, kuvumiliana na ya urafiki kati ya mataifa na kati ya watu wa rangi na dini mbali-mbali. Kadhalika ni wajibu iendeleze shughuli za Umoja wa Mataifa za kudumisha amani.
26-03	Ni haki ya wazazi kuchagua aina ya elimu ya kufunzwa watoto wao.
27-00	Kifungu cha 27.
27-01	Kila mtu anayo haki ya kushiriki katika maisha ya utamaduni ya jamii yo yote, na ana haki ya kufurahia ustadi wa kazi na kushiriki katika maendeleo ya mambo ya sayansi na faida zinazotokana nayo.
27-02	Kila mtu ana haki ya kulindwa kwa kila hali kutokana na mambo ya sayansi aliyoandika, aliyochora au aliyogundua.
28-00	Kifungu cha 28.
28-01	Ni haki kila mtu alindwe na taratibu au kanuni za jamii na zinazohusu mataifa mbalimbali ambazo ndani yake uhuru na haki zilizoelezwa katika Taarifa hii zinaweza kuhifadhiwa barabara.
29-00	Kifungu cha 29.
29-01	Kila mtu ana wajibu kwa watu wa jamii yo yote ambao kati yao tu ndio yanaweza kupatikana maendeleo kamili ya hali bora ya maisha yake.
29-02	Katika kutumia haki na uhuru wake, kila mtu itambidi kufuata kanuni zile tu zilizowekwa na sheria kwa ajili ya kulinda heshima inayotakiwa juu ya haki na uhuru wa watu wengine, na kwa ajili ya kuhifadhi kanuni za haki, usalama na hali njema ya maisha katika jamii ya kidemokrasi.
29-03	Uhuru huu na haki hizi kamwe visitumiwe kinyume cha maazimio na kanuni za Umoja wa Mataifa.
30-00	Kifungu cha 30.
30-01	Hakuna maneno yo yote katika Taarifa hii yanayoweza kubashiriwa kwamba yanaruhusu nchi yo yote, kikundi cha watu au mtu fulani kufanya au kushughulika na jambo lo lote ambalo nia yake ni kuharibu uhuru haki zilizoelezwa humu.
