00-00	Ɩgooyoo bɔ gbɛɛɩnɲɔ maraʋn
07-01	Yʋʋn lɛ yʋʋn pɛɛ hʋn taa mara lɛ yɩɩndɩ.Hɔ tiri dɛ hɔ ya hɛrɛ mara rɛ jinan yʋʋn pɛɛ bɔ zɩka.
08-00	Nʋʋnŋɔ 8
08-01	Yʋʋn’n dan bɔ gbɛɛɩnŋɔ mara wɩnnɩn ba bɔ dɩ ti hɔ nʋʋnŋɔ rii, hʋn maan yaa trebenan lɛ aban dʋ mara rɛ lɛ yaan.
09-00	Nʋʋnŋɔ 9
09-01	Haa ya bɔ gbe yʋʋn wɛɛ lɛ saa tɛtɛgɛ’n jɩgaɩ, laa lɛ dɛ hʋn yʋgʋ bɔ saakɔ rɩ laa nɩɩn saakɔ nankɔ rɩ.
10-00	Nʋʋnŋɔ 10
10-01	Hʋʋn’n yɩn gʋʋn, a hɔ yaa kɔɔtʋ pɛɛ, hɔ ya bɔ bʋnŋʋnnɩn-ɛ, lɛ dɛ hʋn da bɔ nʋʋnŋɔ. Haa ya bɔ gbege lɛ sa tɛtɛgɛ’n jɩgaɩ.
11-00	Nʋʋnŋɔ 11
11-01	Yʋʋn’n hɛ kpʋʋnkɔ a bɔ gbege pɛɛ, mʋʋnm baa bʋnŋʋnnɩɩn, lɛ yaan bɔɔŋɔ a hʋn da bɔ nʋʋnŋɔɩ, haa ya bɔ baga hʋnrɩ gʋʋn - ɩ.
11-02	Mʋnm aban haan sa mara lɛ sa bɔɔɩ, baa maan tiiti lɛ sa yʋʋn wɛɛ tɛtɛgɛnɩn- ɩ.
12-00	Nʋʋnŋɔ 12
12-01	Haa ya yʋʋn wɛɛ su yʋʋnnankɔ bɔ gʋʋn lɛ tɔɩ .Hɔ ya mara rɛ jinan yʋʋn pɛɛ bɔ zika.
13-00	Nʋʋnŋɔ 13
13-01	Yʋʋn wɛɛ pɛɛ, hʋn maan yaa bɔɔ hʋn kori druyan rɛ dɩ pɛɛ.
13-02	Hʋn maan yʋgʋ lɛ yaa saakɔ nankɔ ri, lɛ goi lei bɔ saakɔ rɩ.
14-00	Nʋʋnŋɔ 14
14-01	Mʋnm bɔ sa tɔkprɩgɔ yʋʋn wɛɛ rɩ bɔ saakɔ rɩ, hʋn maan yʋgʋ laa nɩɩn saakɔ nankɔ rɩ.
14-02	A mʋnm hʋn hɛ kpʋʋnkɔ wɛɛ lɛ hɔ koi, hɛrɛ mara rɛ haa maan jinan bɔ zikaɩ.
15-00	Nʋʋnŋɔ 15
15-01	Yʋʋn pɛɛ hɔ ya saakɔ hʋnnʋn hʋn gu ti. Haa ya bɔ ba yʋʋn wɛɛ lɛ hʋn kaɩ saak’rɛ hʋn gu tii.
15-02	A mʋnm hʋn wɛɛ gori, hʋn maan yeleka lɛ hɛ saakɔ nankɔ sɛɛ.
16-00	Nʋʋnŋɔ 16
16-01	Mʋnm hɛɛn lɛ yɛrɛ bɔ dan le, mara rɛ yan bɔɔŋɔ lɛ bɔ le wɔɔ lɛ sa gusɛgɛ taa.
16-02	Haa ya bɔ ba yʋʋn wɛɛ lɛ hʋn lei.
16-03	[missing]
17-00	Nʋʋnŋɔ 17
17-01	Yʋʋn lɛ yʋʋn pɛɛ hʋn maan hɛ zʋnŋɔ tɔsɛɛ.
17-02	Haa ya bɔ su yʋʋn wɛɛ bɔ zʋnŋɔ hʋnnʋn jɩgaɩ.
18-00	Nʋʋnŋɔ 18
18-01	Yʋʋn lɛ yʋʋn pɛɛ hʋn maan jaba mɩɩn hʋn kori. Mʋnm hʋn kori, hʋn maan kpɛrɛ yeego, mʋnm hʋn kori, hʋn maan yaa asɔ’n, mʋnm hʋn kori, hʋn maan nja gbɔkɔ. Hʋn maan hɛgɛ bɔɔ hʋn kori pɛɛ.
19-00	Nʋʋnŋɔ 19
19-01	Yʋʋn lɛ yʋʋn pɛɛ hʋn maan dʋ gʋʋn’n hʋn kori.Ba maan ka gʋʋn’n hʋn dʋ tiri lɛ gbegeɩ lɛ sa tɛtɛgɛ nɩɩn.
20-00	Nʋʋnŋɔ 20
20-01	Yʋgɔ bɛrɛ kori pɛɛ bɔ maan yogo’m mɩɩn bɔ kori.
20-02	Haa ya bɔ ba yʋʋn wɛɛ lɛ hʋn san yogomiyo wɛɛ nɩɩn.
21-00	Nʋʋnŋɔ 21
21-01	Yʋʋn lɛ yʋʋn pɛɛ hʋn maan hɛ aba’n bɔ hɛɛʋn walɔɔgɔ.
21-02	A hʋn maan si bɛrɛ hɔ ya bɔ hɛ hɛrɛ hɛɛʋn wɩnnɩn saak’ rɛ dɩ.
21-03	[missing]
22-00	Nʋʋnŋɔ 22
22-01	Hɔ ya aba’n daa yʋʋn pɛɛ lɛ hʋn maan yɩn bɔ gbɛɛ, lɛ hɛrɛ hʋʋn hɛ pɛɛ, maan cɛrɛ lɛ yaan, lɛ bɔ yɩnŋmɔ maan gu bara.
23-00	Nʋʋnŋɔ 23
23-01	Mara rɛ yan bɔɔŋɔ yʋʋn pɛɛ lɛ hʋn hɛ hɛɛʋn, lɛ yɩn hɔ pɛmweyo, lɛ mɩnnɩn bɔ gusɔgɔ.
23-02	Yʋʋn pɛɛ hʋn maan san yogomiyo rɛ hʋn kori’n, lɛ hɔ daa hʋnrɩ bɔ hɛɛhɛbeni.
23-03	[missing]
23-04	[missing]
24-00	Nʋʋnŋɔ 24
24-01	Yʋʋn’n hʋn hɛ hɛɛʋn pɛɛ, hɔ ya bɔ yaan prɛʋn lɛ hʋn wuni.
25-00	Nʋʋnŋɔ 25
25-01	Yʋʋn wɛɛ pɛɛ, hɔ ya hʋn yɩn nɩɩnlɔm cɛrɛsɛgɛ lɛ maan lɛ mɩnnɩn bɔ gbɛɛ, lɛ maan lɔ bɔ gbɛɛ rɩ, lɛ maan si bɔ nʋʋndɩgɔ, lɛ maan yɩn yɔgɔ cɛrɛsɛgɛ lɛ dɩɔ, hɩnnɩn lɛ bɔ yɛrɛ, lɛ bɔ bugo.
25-02	Hɔ ya bɔ daa kunlaasɔgɔ, lɛ bugo rɩ. Biin lɛ biin pɛɛ, hɔ ya bɔ daa hʋnrɩ.
26-00	Nʋʋnŋɔ 26
26-01	Yʋʋn lɛ yʋʋn pɛɛ hɔ ya bɔ bɩlayɛɛ. Haa ya bugo bɛrɛ wei sʋga lɛ bɔ ji lɛ bɩlabɛɩ. Bugo bɩlagɔ rɛ hɛ bakɔ lɛ yan yʋʋn pɛɛ.
26-02	Hɛrɛ bɩlagɔ rɛ lɛ hɔ tɩɩnka bɛ ɩgooyoo bɔ gbɛɛɩnŋɔ mara wɩnnɩn. Hɛrɛ lɛ hɔ dɛ bɔ ji mɩɩn hɔ ya bɔ nɩnsɩ yʋgɔ kasayɔ’n lɛ dan.
26-03	Biin bɔ sɩra lɛ bɔ yɩnnan, bɛrɛ hɔ ya bɔ si bɩlag’rɛ koi bɔ kori bɔ yan bɔ biin.
27-00	Nʋʋnŋɔ 27
27-01	Yʋʋn lɛ yʋʋn pɛɛ hʋn maan daa lɛ bɔ tɩɩnka dugu zʋnnʋn, lɛ dugu hɛlɔm.
27-02	Mʋnm wɛɛ tɩɩ bɔ yɩnhalɩjɔ lɛ si zʋnŋɔ wɛɛ, lɛ hɩnnɩn tɔgɔ. Hɔ ya mara lɛ jinan bɔ zika lɛ yʋʋn wɛɛ para hɔ suko hʋnnʋn.
28-00	Nʋʋnŋɔ 28
28-01	Hɔ ya saak’rɛ pɛɛ hɔ yɩn tɔtogoniŋɔ, lɛ kwanŋɔ baɩ bɔɔwɛɛ, lɛ hʋʋn pɛɛ hʋn maan dɩ hɛrɛ mara wɩnnɩn gʋʋn bɩɩ dʋ mʋnnʋn.
29-00	Nʋʋnŋɔ 29
29-01	Yʋʋn wɛɛ pɛɛ, mararɛ tɩɩnka hɛrɛ hɔ ya hʋn hɛ lɛ yan yʋgɔ bɛrɛ bɔ lɛ bɛrɛ nɩɩn wɔɔrɩ.
29-02	Hɔ ya hʋʋn taa pɛɛ bɔ yɩnŋmɔ kaa yʋgɔ bɛrɛ tu bɔ gbɛɛɩnɲɔ mara wɩnnɩn.
29-03	[missing]
30-00	Nʋʋnŋɔ 30
30-01	Mara wɩnnɩn bɩ tɩɩnka’m pɛɛ, wɛɛ’a ɲan bɔɔŋɔ yʋʋn wɛɛ, laa aba’n wɛɛ, lɛ hʋn maan dʋ lɛɛ han-ʋn dɩ tɩɩ.
