00-00	Deklarasi Sadunia Hak-Hak Asasi Manusia
10-01	Tiok urang punyo hak nan samo mandapek paradilan nan adil dan tabuka di pangadilan nan bebas dan tak mamihak, dalam mampatahankan hak dan kawajibannyo, sarato dalam tiok tuntutan pidana nan didakwakan ka inyo.
11-00	Pasal 11
11-01	Tiok urang nan didakwa malakukan palanggaran pidana punyo hak dianggap tak basalah sampai inyo tabukti basalah sacaro hukum dalam paradilan umum, dan inyo mandapek sagalo jaminan nan paralu untuak mambela diri.
11-02	Indak surang pun dapek dianggap basalah malakukan tindakan pidana nan disababkan malakukan atau tidak malakukan sasuatu, nan bukan tamasuak palanggaran hukum nasional atau internasional katiko paristiwa itu tajadi. Baitu pulo, indak buliah mahukum labiah barek dari katantuan hukum nan balaku katiko palanggaran pidana itu dilakukan.
12-00	Pasal 12
12-01	Indak surang pun buliah diganggu hak pribadinyo, kaluarga, rumah-tanggo atau surek-manyureknyo (pargaulannyo); baitu pulo kahormatan jo namo baiaknyo. Tiok urang punyo hak mandapek linduangan hukum taradok gangguan atau palanggaran saroman ko.
13-00	Pasal 13
13-01	Tiok urang punyo hak taradok kamardekaan marantau dan punyo kadiaman di dalam bateh wilayah tiok negara.
13-02	Tiok urang punyo hak untuak ka lua dari suatu negara – tamasuak negaranyo surang, dan baliak lai ka negaranyo.
14-00	Pasal 14
14-01	Tiok urang punyo hak mancari dan manikmati suaka di negara lain untuak malinduangi diri dari panganiayoan (di negaranyo).
14-02	Hak ko indak balaku untuak dakwaan kajahatan non-politik, atau karano tindakan nan batantangan jo tujuan dan asas-asas Perserikatan Bangsa-Bangsa.
15-00	Pasal 15
15-01	Tiok urang punyo hak mamiliki kawarga-negaraan.
15-02	Indak surang pun buliah dicabuik kawarga-negaraannyo atau ditulak haknyo untuak manuka kawarga-negaraan.
16-00	Pasal 16
16-01	Laki-laki jo padusi nan akil-baligh, apopun ras, banso, atau agamonyo, punyo hak manikah dan bakaluarga. Mareka punyo hak nan samo dalam urusan kawin-mawin, baiak di maso parkawinan atau katiko carai.
16-02	Parkawinan hanyo dapek dilakukan badasar piliahan bebas dan pasatujuan panuah pasangan nan basangkutan.
16-03	Kaluarga adolah kalompok alamiah dan mandasar dari masyarakat, punyo hak mandapek linduangan masyarakat jo Negara.
17-00	Pasal 17
17-01	Tiok urang punyo hak mamiliki harato surang, baitu pulo basamo-samo jo urang lain.
17-02	Indak satu urang pun buliah dirampok haratonyo sacaro sawenang-wenang.
18-00	Pasal 18
18-01	Tiok urang punyo hak kamardekaan untuak bapikia, bahati nurani dan ba-agamo, tamasuak hak batuka agamo atau kaparcayaan; dan punyo kamardekaan untuak manyatokan agamo atau kaparcayaannyo malalui ajaran, amalan, pamujaan dan ibadat, baiak surang atau dalam kalompok, di tampek umum ataupun sacaro pribadi.
19-00	Pasal 19
19-01	Tiok urang punyo hak taradok kamardekaan bapandapek dan mangamukokan pandapeknyo, tamasuak kabebasan untuak mampatahankan pandapek – jan ditakan, dan untuak mancari, manarimo dan manyampaikan barito dan buah pikiran malalui media apopun nan indak diampang-ampang dek bateh negara.
20-00	Pasal 20
20-01	Tiok urang punyo hak untuk kamardekaan bakumpua dan basyarikat sacaro damai.
20-02	Indak surang pun buliah dipaso masuak suatu parkumpulan.
21-00	Pasal 21
21-01	Tiok urang punyo hak untuak sato dalam pamarintahan di negaranyo, lansuang atau malalui wakia-wakia nan dipiliah sacaro bebas.
21-02	Tiok urang punyo hak mandapek kasampatan nan samo untuak diangkek dalam jabatan pamarintahan negaranyo.
21-03	Kandak rakyat musti manjadi landasan kakuasaan pamarintah; kandak ko musti dinyatokan dalam pamiliahan umum nan diadokan sacaro barkala dan murni jo hak piliah nan basifat umum dan sadarajat, sarato pamungutan suaro sacaro rasio atau pakai caro lain nan samo-samo manjamin kabebasan manantukan piliahan.
22-00	Pasal 22
22-01	Sabagai anggota masyarakat, tiok urang punyo hak mandapek jaminan sosial dan punyo hak pulo untuak talaksananyo hak-hak ekonomi, sosial jo budaya, nan mutlak paralu untuak martabat dan parkambangan bebas dari pribadinyo, malalui usaho-usaho nasional dan karajo samo internasional, sesuai jo pangaturan sarato sumber-sumber kakayaan di tiok Negara.
23-00	Pasal 23
23-01	Tiok urang punyo hak mandapek karajo, bebas mamiliah jinih karajo, punyo hak taradok syarat-syarat karajo nan adil dan pantas, baitu pulo punyo hak mandapek linduangan katiko manganggur.
23-02	Tiok urang – indak bakacuali, punyo hak dapek upah samo untuak karajo nansamo.
23-03	Tiok urang nan bakarajo punyo hak dapek upah nan adil dan pantas untuak manjamin iduiknyo surang dan kaluarga, nan sasuai jo martabatnyo salaku manusia, dan jiko paralu ditambah jo linduangan sosial lainnyo.
23-04	Tiok urang punyo hak mandirikan dan masuak syarikat-syarikat karajo untuak malinduangi kapantiangannyo.
24-00	Pasal 24
24-01	Tiok urang punyo hak untuak baistirahat dan liburan, tamasuak pambatasan nan layak taradok jam karajo, dan tatap dapek upah di hari perai atau katiko cuti.
25-00	Pasal 25
25-01	Tiok urang punyo hak taradok taraf iduik nan manjamin kasehatan dan kasajahteraan diri jo kaluarga, tamasuak makanan, pakaian, sarato palayanan sosial nan paralu, dan punyo hak jaminan katiko manganggur, sakik, cacat, marando, maso tuo, atau kailangan nafkah sabagai akibat hal-hal nan di lua kamauannyo.
25-02	Kaum ibu jo anak-anak punyo hak mandapek linduangan dan bantuan khusus. Sakalian anak, nan dilahiakan di dalam maupun di lua parkawinan, musti mandapek linduangan sosial nan samo.
26-00	Pasal 26
26-01	Tiok urang punyo hak mandapek pandidikan. Pandidikan musti perai, paliang tidak tingkek sikola randah jo pandidikan dasar. Pandidikan dasar musti diwajibkan. Pandidikan kajuruan dan kaahlian musti tasadio untuak tiok urang, baitu pulo paguruan tinggi musti tasadio untuak tiok urang sasuai jo kamampuan.
26-02	Pandidikan andaknyo diarahkan untuak mangambangkan kapribadian sapanuah-panuahnyo, dan untuak mampakokoh raso hormat taradok hak-hak asasi manusia dan kamardekaan nan mandasar. Pandidikan diadokan untuak manggiatkan saliang mangarati, toleransi dan pasahabatan di antaro sagalo banso, kalompok ras, sarato agamo, dan untuak manunjang kagiatan-kagiatan Perserikatan Bangsa Bangsa dalam mamaliaro pardamaian.
26-03	Para urang tuo sah punyo hak untuak mamiliah jinih pandidikan untuak anak-anaknyo.
27-00	Pasal 27
27-01	Tiok urang punyo hak mardeka untuak sato dalam kahidupan kabudayaan masyarakat, baitu pulo untuak sato dalam mamajukan ilmu pangatahuan, dan mandapek manfaatnyo.
27-02	Tiok urang punyo hak mandapek linduangan taradok kapantiangan moril jo materil bakaitan jo hasil karajo ilmiah, sastra atau kasenian nan diciptakannyo.
28-00	Pasal 28
28-01	Tiok urang punyo hak mandapek katartiban sosial dan katartiban internasional untuak mawujudkan saluruah hak-hak dan kabebasan sasuai jo Deklarasi ko.
29-00	Pasal 29
29-01	Tiok urang punyo kawajiban taradok masyarakat nan marupokan satu-satunyo tampek kapribadiannyo dapek bakambang sacaro bebas dan sapanuah-panuahnyo.
29-02	Bateh-bateh dalam mawujudkan hak-hak dan kabebasan tiok urang ko hanyo buliah ado jiko ditatapkan jo undang undang nan batujuan samato-mato untuak manjamin diharagoi dan dihormatinyo hak-hak dan kabebasan-kabebasan urang lain, sasuai jo syarat-syarat nan adil dari kasusilaan, katantraman dan kasajahteraan umum dalam suatu masyarakat nan demokratis.
29-03	Hak-hak dan kabebasan-kabebasan ko jan sakali-kali dipagunokanuntuak tujuan nan balawanan jo prinsip-prinsip Perserikatan Bangsa-Bangsa.
30-00	Pasal 30
30-01	Indak ciek pun pasal dari Deklarasi ko buliah ditafsirkan sabagai manyatujui adonyo hak suatu negara, kalompok atau sasaurang, untuak malakukan kagiatan apopun, atau malakukan sasuatu nan batujuan marusak hak-hak dan kabebasan-kabebasan nan diuraikan dalam Deklarasi ko.
