00-00	ڤراشتهارن حق اساسي مأنسي سجاڬت
12-01	تياد سسياڤا ڤون يڠ بوليه دكناكن كڤد سبارڠ ڬڠڬوان سوينڠ وينڠڽ ترهادڤ كأدأن ڤريبادي، كلوارڬ، رومهتڠڬ اتاو سورت مڽورتڽ، اتاو ڤرچروبوهن كأتس مرواه دان نام بائقڽ. ستياڤ اورڠ برحق كڤد ڤرليندوڠن اوندڠ٢ ترهادڤ ڬڠڬوان اتاو ڤرچروبوهن سدمكين.
13-00	ڤركارا 13.
13-01	ستياڤ اورڠ عداله برحق كڤد كبيبسن برڬرق دان برمستوطين د دالم سمڤادن سسبواه نڬارا.
13-02	ستياڤ اورڠ برحق منيڠڬلكن مان٢ نڬارا، ترماسوق نڬاراڽ سنديري، دان كمبالي سمولا كنڬاراڽ.
14-00	ڤركارا 14.
14-01	ستياڤ اورڠ برحق مموهون دان منعمتي ڤرليندوڠن ڤوليتيك دالم نڬارا لائن درڤد سبارڠ انياي.
14-02	حق اين تيدق بوليه دتونتوت باڬي ڤندعوأن يڠ بنر٢ تيمبول درڤد كسالهن بوكن ڤوليتيك اتاو درڤد تيندقن يڠ برتنتڠن دڠن توجوان٢ دان ڤرينسيڤ٢ بڠسا٢ برساتو.
15-00	ڤركارا 15.
15-01	ستياڤ اورڠ عداله برحق كڤد سواتو كورڬانڬارأن.
15-02	تياد سسياڤا ڤون بوليه دلوچوتكن كورڬانڬارأنڽ سچارا سوينڠ وينڠڽ اتاو دنافيكن حق منوكر كورڬانڬارأنڽ.
16-00	ڤركارا 16.
16-01	للاكي دان ڤرمڤوان ديواس، تنڤا مڠيرا بڠسا، كورڬانڬارأن اتاو اڬام، برحق بركهوين دان منوبوهكن كلوارڬ. مريك عداله برحق كڤد حق٢ سامرات برهوبوڠ دڠن ڤركهوينن، دالم تيمڤوه ماس ڤركهوينن دان ڤادا ڤمبوبرنڽ.
16-02	ڤركهوينن هاڽ بوليه دلقساناكن دڠن ڤرستوجوان بيبس دان سڤنوهڽ اوليه ڤيهق٢ يڠ برچادڠ اونتوق بركهوين.
16-03	كلوارڬ عداله يونيت كومڤولن سمولاجادي دان اساسي دالم مشاركت دان عداله برحق كڤد ڤرليندوڠن اوليه مشاركت دان نڬارا.
17-00	ڤركارا 17.
17-01	ستياڤ اورڠ برحق مميليقي هرتا سچارا برسنديرين سرتا سچارا بركوڠسي دڠن اورڠ لائن.
17-02	تياد سسياڤا ڤون بوليه دلوچوتكن هرتا بنداڽ سچارا سوينڠ وينڠڽ.
18-00	ڤركارا 18.
18-01	ستياڤ اورڠ عداله برحق كڤد كبيبسن برفيكير، ڤراسأن هاتي دان اڬام; حق اين ترماسوقله كبيبسن منوكر اڬام اتاو كڤرچايأنڽ، دان كبيبسن، سمادا سچارا برسنديرين اتاو سچارا برسام سام دڠن اورڠ٢ لائن دان سچارا تربوك اتاو برسنديري، مڠانوتي اڬام اتاو كڤرچايأنڽ ملالؤي ڤڠاجرن، عملن، ڤموجأن دان ڤماتوهن.
19-00	ڤركارا 19.
19-01	ستياڤ اورڠ عداله برحق كڤد كبيبسن ڤنداڤت دان مڠلواركن فيكيرن; حق اين ترماسوقله كبيبسن ممڬڠ ڤنداڤت تنڤا ڬڠڬوان دان منونتوت، منريما دان مڽيباركن معلومت دان بواه فيكيرن ملالؤي سبارڠ ميديا دان تنڤا مڠيرا سمڤادن.
20-00	ڤركارا 20.
20-01	ستياڤ اورڠ عداله برحق كڤد كبيبسن برهيمڤون سچارا امان دان منوبوهكن ڤرساتوان.
20-02	تياد سسياڤا ڤون بوليه دڤقسا منجادي اهلي مان٢ ڤرتوبوهن.
21-00	ڤركارا 21.
21-01	ستياڤ اورڠ برحق مڠمبيل بهاڬين دالم كراجأن نڬاراڽ، سچارا لڠسوڠ اتاو ملالؤي واكيل٢ يڠ دڤيليه دڠن بيبس.
21-02	ستياڤ اورڠ عداله برحق كڤد ڤلواڠ سامرات كڤد ڤرخدمتن عوام دالم نڬاراڽ.
21-03	كماهوان رعيت هندقله منجادي اساس كويباوأن كراجأن; كماهوان اين هندقله دبوقتيكن ملالؤي ڤيليهنراي بركالا يڠ سجاتي يڠ مان هندقله دأداكن سچارا سجاڬت دان سامرات دان هندقله دأداكن سچارا اوندي سوليت اتاو ملالؤي اچارا ڤڠوندين بيبس يڠ كتارا.
22-00	ڤركارا 22.
22-01	ستياڤ اورڠ، سباڬاي اڠڬوتا مشاركت، عداله برحق كڤد كسلامتن سوسيال دانس برحق منجاديكن سواتو كڽاتأن، ملالؤي اوسها نڬارا دان كرجاسام انتارا بڠسا دان منوروت اورڬانيساسي دان سومبر٢ دالم نڬارا ماسيڠ٢، حق٢ ايكونومي، سوسيال دان كبودايأن يڠ ترمستي باڬي كموليأنڽ دان ڤركمبڠن بيبس كڤريبادينڽ.
23-00	ڤركارا 23.
23-01	ستياڤ اورڠ عداله برحق كڤد ڤكرجأن، كڤد ڤميليهن ڤكرجأنڽ سچارا بيبس، كڤد كأدأن٢ ڤكرجأن يڠ عاديل دان برفائده باڬيڽ دان كڤد ڤرليندوڠن درڤد ڤڠڠڬورن.
23-02	ستياڤ اورڠ، تنڤا سبارڠ ڤمبيذأن، عداله برحق كڤد ڤڠڬاجين يڠ سام باڬي كرجا يڠ سام.
23-03	ستياڤ اورڠ يڠ بكرجا عداله برحق كڤد ڤمبايرن سارأن يڠ عاديل دان برفائده باڬيڽ يڠ مان ممڤستيكن بوات ديري دان كلوارڬڽ سواتو كهيدوڤن سسواي دڠن كموليأن مأنسي، دان يڠ مان دتمبه، جك ڤرتو، اوليه چارا٢ ڤرليندوڠن سوسيال يڠ لائنڽ.
23-04	ستياڤ اورڠ برحق منوبوه دان منجادي اهلي كساتوان سكرجا باڬي ممڤرليندوڠي كڤنتيڠن كڤنتيڠنڽ.
24-00	ڤركارا 24.
24-01	ستياڤ اورڠ عداله برحق كڤد ريهات دان ماس لاڤڠ، ترماسوق باتسن مناسبه كأتس ماس بكرجا دان چوتي برڬاجي يڠ بركالا.
25-00	ڤركارا 25.
25-01	ستياڤ اورڠ عداله برحق كڤد سواتو طرف هيدوڤ يڠ ممادائ باڬي كصيحتن دان كباجيقن ديري دان كلوارڬڽ، ترماسوقله ماكنن، ڤاكاين، ڤرومهن دان ڤڠاوسن ڤراوبتن سرتا ڤرخدمتن سوسيال يڠ ڤرلو، دان برحق كڤد ڤرليندوڠن كتيك برلاكوڽ ڤڠڠڬورن، كساكيتن، كتيدقاوڤايأن، دڤرجندأن، كعزورن اتاو لائن٢ ككورڠن كهيدوڤن دالم كأدأن د لوار كاولنڽ.
25-02	ايبو دان انق عداله برحق كڤد جاڬأن سرتا بنتوان خاص. سموا كانق٢، سمادا دلاهيركن د دالم ماهوڤون د لوار نكاح، هندقله منعمتي ڤرليندوڠن سوسيال يڠ سام.
26-00	ڤركارا 26.
26-01	ستياڤ اورڠ عداله برحق كڤد ڤلاجرن. ڤلاجرن هندقله دبريكن ڤرچوما، سكورڠ كورڠڽ ڤادا ڤريڠكت اول دان اساسڽ. ڤلاجرن ڤريڠكت اول هندقله دواجبكن. ڤلاجرن تيكنيكل سرتا ڤروفيسيونل هندقله دسدياكن اونتوق عموم دان ڤلاجرن تيڠڬي هندقله ممڤوڽاي اكسيس يڠ سامرات كڤد سموا اورڠ اتس داسر كبوليهن.
26-02	ڤلاجرن هندقله دتوجوكن كڤد ڤركمبڠن سڤنوهڽ كڤريبادين مأنسي دان كأره ممڤركوكوهكن لاڬي راس حرمت باڬي حق٢ دان كبيبسن اساسي مأنسي، لاڽ هندقله مموڤوق ڤرسفهمن، كصبرن دان ڤرصحابتن د كالڠن سموا نڬارا، بڠسا اتاو كومڤولن٢ اڬام، دان هندقله مماجوكن سڬالا كڬياتن بڠسا٢ برساتو دمي ممليهارا كأمانن.
26-03	ايبو باڤ ممڤوڽاي حق تردهولو اونتوق مميليه جنيس ڤلاجرن يڠ اكن دبريكن كڤد انق٢ مريك.
27-00	ڤركارا 27.
27-01	ستياڤ اورڠ برحق سچارا بيبس مڠمبيل بهاڬين دالم كڬياتن كبودايأن مشاركتڽ، منعمتي كسنين دان سام٢ مراسائ كماجوان سائنس دان فائده فائدهڽ.
27-02	ستياڤ اورڠ عداله برحق كڤد ڤرليندوڠن كڤنتيڠن٢ مورل دان كبندأن حاصيل دري سبارڠ ڤڠحاصيلن سائنس، كسوسسترأن اتاو كسنين يڠ مان اياڽ عداله ڤنچيڤتاڽ.
28-00	ڤركارا 28.
28-01	ستياڤ اورڠ عداله برحق كڤد سواتو سوسونن سوسيال دان انتارابڠسا دالم مان حق٢ اساسي دان كبيبسن يڠ ترمكتوب دالم ڤراشتهارن اين بوليه دجاديكن كڽاتأن سڤنوهڽ.
29-00	ڤركارا 29.
29-01	ستياڤ اورڠ ممڤوڽاي كواجيڤن ترهادڤ مشاركت هاڽ دالم مان ڤركمبڠن كڤريبادينڽ سچارا بيبس دان سلوروهڽ ترموڠكين.
29-02	دالم مڠعملكن حق٢ دان كبيبسنڽ، ستياڤ اورڠ ترتعلوق هاڽ كڤد باتسن٢ سڤرتي يڠ دتنتوكن اوليه اوندڠ٢ سماتا مات باڬي توجوان منجامين ڤڠيعترافن دان ڤڠحرمتن يڠ سڤاتوتڽ ترهادڤ حق٢ دان كبيبسن اورڠ لائن دان اونتوق مندكتي كڤرلوان٢ سڤاتوتڽ باڬي اخلاق، كتنترمن عوام دان كباجيقن عموم دالم سواتو مشاركت يڠ ديموكراتيك.
29-03	حق٢ دان كبيبسن اين تيدق بوليه سام سكالي دعملكن سچارا برتنتڠن دڠن توجوان٢ دان ڤرينسيڤ٢ بڠسا٢ برساتو.
30-00	ڤركارا 30.
30-01	تياد اڤ٢ جوا دالم ڤراشتهارن اين بوليه دتفسيركن سباڬي سديا ترسيرت ممبريكن كڤد مان٢ نڬارا، كومڤولن اتاو ڤرسأورڠن سبارڠ حق اونتوق مليبتكن ديري دالم اڤ٢ كڬياتن اتاو ملاكوكن اڤ٢ ڤربواتن دڠن توجوان مموسنهكن اڤ٢ حق دان كبيبسن يڠ ترمكتوب دالم ڤراشتهارن اين.
