00-00	DECLARACHON UNIVERSALLA DAI DRAI DÂI DZEIN.
07-01	Trétî sant parâi dèvant la lâi et l’ant lo drâi sein distincchon à ître trétî protèdzî pè la lâi de la mîma manâire. Trétî dussant recâidre la mîma protecchon contro tot cein que porrâi contrèyî sta Dèclarachon et contro tot cein que porrâi amenâ à ’nna discriminachon.
08-00	Articllio 8
08-01	Tsaque persena l’a lo drâi de portâ sè tsausse, l’è bin veré, dèvant lè djuridicchon nachonâle qu’ant ètâ nommâïe esseprè po cein, contro tot cein qu’è pas permet pè lè drâi premî que lâi sant recognu pè la constituchon âo pè la lâi.
09-00	Articllio 9
09-01	Nion pâo ître arretâ, eingabioûlâ, ne tsampâ fro dâo payî sein ’nna bouna réson.
10-00	Articllio 10
10-01	Tsaque persena a lo drâi de la mîma fachon po trétote lè dzein, de sè fére à oûre djustameint dèvant lo mondo pè on tribunà fro dè tot et djûsto. L’è li que vâo dècidâ su sè drâi et sè z’obligachon et dere se faut allâ ein-an avoué la pllieinta que l’è deredjà contro la persena.
11-00	Articllio 11
11-01	Tota persena accusâïe d’onna tsaravoutèrî è d’à premî yûssa quemeint einnoceinta tant qu’à qu’on pouésse provâ que l’è copâblya d’aprî la lâi tandu on procès publico yô l’a reçu l’âide nècesséra po sè rècriâ, sè dèfeindre.
11-02	Nion porrâ ître condanâ po dâi z’acchon âo dâi z’ âoblyâ que n’îrant pas dâi cavilye d’aprî lo drâi nachonà âo internachonà dein lo tein que l’ant ètâ fé. Mîmameint foudrâ pas balyî onna punechon pe granta que clliaque qu’avâi ètâ prèyûva âo momeint de la cavilye.
12-00	Articllio 12
12-01	Nion porrâ ître tsecagmî sein réson dein sa vyà privâïe, sa famelye, s’n ottô âo sa correspondeinça, assebin pas dein son honneu et sa rèputachon.Tsacon a lo drâi d’ître protèdzî pè la lâi contro clliâo tsoûsè.
13-00	Articllio 13
13-01	Tsaque persena a lo drâi d’allâ et venî à s’n ése et chèdre yô ye vâo dèmorâ dein on Età.
13-02	Tsaque persena a lo drâi de fotre lou camp fro de tsaque payî, lo sein assebin, et de s’è reintornâ dein son payî.
14-00	Articllio 14
14-01	Dèvant la persècuchon, tsaque persena a lo drâi de tsertsî asîlo et de pouâi recâidre asîlo dein dâi z’autro payî.
14-02	Clli drâi pâo pas ître invoquâ se lâi a z’u vretâblyameint dâi retsertse à dè bon po on crîmo de drâi coumon âo bin que lâi a z’u dâi manegance contrére âi principo dâi Nachon Accolâïe et à cein que tsertsant.
15-00	Articllio 15
15-01	Tsaque coo a drâi à onna nachonalitâ.
15-02	Nion pâo ître privâ de sa nachonalitâ, sein onna bouna réson, assebin pas dâo drâi de tsandzî de nachonalitâ.
16-00	Articllio 16
16-01	Quand on bouîbo et onna bouîba sant mâo, que sant dan on hommo et onna fenna, l’ant lo drâi de lâo mariâ et de crèâ onna famelye sein retreinta po quant à la raça, la nachonalitâ âo la religïon. L’ant dâi drâi parâi rappoo âo mariâdzo, tandu lo mariâdzo et quand ye trosse.
16-02	Lo mariâdzo pâo pas ître segnî que se l’hommo et la fenna sant bin d’accoo tî doû et lo diant.
16-03	La famelye l’è la colonda natouralla et lo fondemeint de la sociètâ et dusse ître eimparâïe pè la sociètâ et pè l’Età.
17-00	Articllio 17
17-01	Tsaque dzein, que sâi soletta âo bin que vive avoué dâi z’autrè a drâi à la propriètâ.
17-02	Nion pâo ître privâ de sa propriètâ se cein l’è pas djustifiyî.
18-00	Articllio 18
18-01	Tsacon a lo drâi de peinsâ cein que vâo. L’a la libertâ de concheince et de religïon ; cein fâ que l’a lo drâi de tsandzî de religïon âo de convicchon et l’è libro de portâ dèvant lè dzein sa religïon et sa convicchon, que sâi solet âo ein coumon, atant dèvant lo mondo qu’ein tsî li, ein recordeint, ein faseint vère et oûre, dein n’on prîdzo et tote lè ritoûle que vant avoué.
19-00	Articllio 19
19-01	Tsaque coo a drâi à la libertâ de peinsâïe et d’esprèchon cein que lâi balye lo drâi dè pas ître intiètâ po sa manâire de vère. L’a lo drâi de tsertsî, de recâidre, d’èpardzemallâ, sein sè tsouyî lè bouènne, lè z’informachon et lè z’idé avoué lè moyan que l’a po s’esprimâ .
20-00	Articllio 20
20-01	Tsaque persena a drâi à la libertâ de rèunïon et d’associachon dein la pé.
20-02	Nion pâo ître dobedzî de participâ à onn’associachon.
21-00	Articllio 21
21-01	Tsacon l’a lo drâi de participâ à la direcchon dâi z’affére publico de son payî, que sâi li-mîmo âo bin que sâi represeintâ pè dâi dzein qu’ant ètâ chè librameint.
21-02	Tsacon l’a lo drâi d’ître nommâ âi foncchon publique de son payî dein dâi condechon d’ègalitâ.
21-03	La volontâ dâo peuplyo l’è lo fondemeint de l’autoritâ dâi povâi publico ; sta volontâ dusse s’esprimâ ein faseint dâi z’èlecchon proûpre que dussant laô tenî pè tsauda âo suffrâdzo universà et âo vôte sècret âo d’aprî ’nna procèdoûra parâire que dusse assurâ la libertâ de vôte.
22-00	Articllio 22
22-01	Tsaque persena, du que l’è meimbra de la sociètâ, a drâi à la sècuritâ sociâla ; l’a lo drâi de recâidre satisfacchon quant âi drâi èconomico, dâo socià et de la cultura que l’a fauta po sa dignitâ et po fére à clliorî librameint sa persenalitâ, pè la mau dâi veindzeince nachonâle et la coopèrachon internachonâla, d’aprî l’organisachon et lè retsesse de tsaque payî.
23-00	Articllio 23
23-01	Tsaque persena a lo drâi d’âovrâ ; ye dusse pouâi chèdre librameint son travau à dâi condechon djûste, plliéseinte et l’a drâi à la protecchon contro lo chomâdzo.
23-02	Trétî ant lo drâi, sein discriminachon, à on gâdzo parâi por on travau parâi.
23-03	Cllique qu’âovre a drâi à onna rèmunèrachon djûsta et bouna po que pouésse dinse assurâ à sa famelye on vityù qu’eimpare la dignitâ humaine, que pâo ître mèliorâïe se lâi a fauta pè dâi z’autro moyan de protecchon sociâla.
23-04	Tsacon l’a lo drâi de fondâ avoué dâi z’autro dâi syndicà et de fére on accordâiron avoué dâi syndicà po tsouyî sè z’interêt.
24-00	Articllio 24
24-01	Tsacon a lo drâi âo repoû et âi lesî et mîmameint à ’nna limitachon resenâblya dâo tein dâo travau et à dâi condzî pâyî bin rélyâ.
25-00	Articllio 25
25-01	Tsaque dzein a lo drâi d’avâi cein que faut po vivre et assurâ sa santâ, sè cheintre benéso et que cein sâi dinse po clliâosique de sa famelye rappoo à la pedance, à la vetîre, âo lodzemeint, po pouâi sè fére à mâidzî de mîmo que por tot cein que totse lè serviço nécesséro dein lo domâino dâo socià; ye dusse pouâi comptâ su la sècuritâ se l’è âo chomâdzo, malârda, invalida, vèvo âo bin vèva, dein la vîlyondze et dein tî lè z’autro casse yô l’è incapâblya de fére mîma po s’ein terî soletta po cein que l’a dâi malapanâïe que lâi sant tsesûve dèssu et que lè z’a pas tchertchè.
25-02	La mére et l’einfant l’ant drâi à onn’âide et à onna protecchon tot’espèchâla. Tî lè boute, que sèyant vegnu âo mondo dein âo bin fro dâo mariâdzo reçâivant la mîma protecchon sociâla.
26-00	Articllio 26
26-01	Tsaque coo a drâi à ître einduquâ. L’einducachon dusse rein cotâ, omeinte po l’einseignemeint èlèmentéro qu’è à la base de tot. Lè bonié sant dobedzî de lo frequeintâ. La recordeince de la tèquenique et dâi metî dusse ître organisâïe pertot ; po quant âi grantè z’écoûlè, ye dussant ître âoverte à trétî d’aprî lo mereto.
26-02	L’einducachon dâi âidyî à la dzein humaine à sè cheintre bin et à mèliorâ lo respè dâi drâi dâi dzein et dâi libertâ premîre. Dusse fére que lè nachon sè comprègnant mî eintre leu, que pouéssant mèliorâ la tolèreinça et l’ametî eintre tote lè nachon et tote lè dzein sein sè tsetî de lâo raça et de lâo religïon dinse qu’à mèliorâ cein que lè Nachon Accolâïe prepârant po mantenî la pé.
26-03	Sant lè pareint, dèvant tot, qu’ant lo drâi de chèdre quemeint lâo boute dussant ître einduquâ.
27-00	Articllio 27
27-01	Tsacon a lo drâi de participâ librameint à la vyà culturella, qu’è offerta à trétî, de dzoûre de tot cein qu’è propousâ : lè z’art, de preindre pâ âo progrès dâi scieince et de la tsevance qu’ein salye.
27-02	Tsacon a drâi à la protecchon dâo savâi et dâo bon balyî pè la producchon scieintifiqua, littérérâira âo bin artistiqua que l’a li-mîmo créâïe.
28-00	Articllio 28
28-01	Tsacon a drâi, âo pllian socià et internachonà, qu’on oodro sâi ètablî et que doûre po que lè drâi et lè libertâ ècrit dein sta Dèclarachon pouéssant ître chèvu et respètâ à tsavon.
29-00	Articllio 29
29-01	Lo coo a dâi dèvâi devè la communautâ yô ye porrâ ître benéso et fére à clliorî sa persenalitâ quemet nion cein autra pâ.
29-02	Quand ye fâ à valyâi sè drâi et quand pâo dzoûre de sè libertâ, tsacon dusse rein qu’obèyî âi limitachon coumandâïe pè la lâi po assurâ la recougnesseinça et lo respè dâi drâi et dâi libertâ de son seimblyâblyo et po s’adenâ à cein que la morâla dèmande, que l’è djûsto, po l’oodro publico et po que tsacon sè cheinte bin benéso dein ’nna sociètâ dèmocratiqua.
29-03	Clliâo drâi et libertâ, on porrâ pas s’ein servî à l’eincontro dâi principo et de cein que sohîtant lè Nachon Accolâïe.
30-00	Articllio 30
30-01	Lâi a min de disposechon dein sta Dèclarachon que porrâi balyî à on Età, on groupemeint âo à on coo quauque drâi que sâi po s’adenâ à fére ôquie por abolî dâi drâi et dâi libertâ que lâi sant meinchounâ.
