00-00	Hattak Mó̱ma I̱holisso
11-02	Nannakat ikchokmoho̱ ishyámmo̱htok ki'yokya naapiisa' alhihaat nannalhpisa'a̱ i̱lánchikma̱ falammisht anompa achonhochi banna'nihookya yahma' ki'yo, naalhpisa'at ikshokí̱shtokootoko̱.
12-00	AnompaKanihmo'si12
12-01	Nanna ishkani̱htok ki'yohootoko̱ kanahaat nanna chiikani̱hcha' ki'yo.
13-00	AnompaKanihmo'si13
13-01	Kaniya'o̱ aya chibannakmat ishiyya'hi bíyyi'ka. Kaniya'o̱ ánta chibannakmat ishánta'hi bíyyi'ka.
13-02	Yaakni' kaniya'ookya ishiyya'hi bíyyi'ka. Aatokmat falamat ishaa-attatokma̱ aya chibannakmat ishiyya'hi bíyyi'ka.
14-00	AnompaKanihmo'si14
14-01	Kaniya'o̱ ishántaka̱ kanahaat ikayoppachokma̱ kaniya'ookya ishiyya'hi bíyyi'ka.
14-02	Nanna ikchokmoho̱ ishyammohmikmat kaniya'ookya ishiyya' ki'yo.
15-00	AnompaKanihmo'si15
15-01	Kaniya'o̱ ishaa-attattookookya kaniya'o̱ aya chibannakmat ishiyya'hi bíyyi'ka.
15-02	Kaniya'o̱ ishaa-attattookmat ánta chibannakmat ishánta'hi bíyyi'ka.
16-00	AnompaKanihmo'si16
16-01	Hattakat ihoo táwwa'at kaniya'o̱ ittihaalalli bannakmat ittihaalalla'nikat imalhpi'sa.
16-02	Ittihaalalli ikbannokmat ittihaalalla' ki'yo kaniya'ookya.
16-03	Kanahaat ittihaalallittookat inchokka' chaffaat áyya'shakmano holítto'pa.
17-00	AnompaKanihmo'si17
17-01	Hattak mó̱makat nannakat imáyya'sha bíyyi'ka.
17-02	Kanahoot imaaisha' ki'yo immi'ootoko̱.
18-00	AnompaKanihmo'si18
18-01	Kanahaat nanna aayimmikat ittimi̱layyokha bíyyi'kahookya, nannaho̱ ayoppachi bannakmat ayoppacha'ni.
19-00	AnompaKanihmo'si19
19-01	Nannaho̱ anokfilli chibannakmat ishanokfilla'ni. Nannaho̱ holissochi chibannakmat ishholissocha'ni. Holisso nannaho̱ ittimanompoli chibannakmat istimanompola'ni.
20-00	Anompa Kanihmo'si20
20-01	Nannaho̱ ishtittanahaat áyya'shcha ittibaanokfillika̱ ibaafóyyokha chibannakmat ishibaafóyyokha'ni.
20-02	Nanna ishtáyya'shaka̱ ibaafokha ikchibannokmat ishibaafokha' ki'yo.
21-00	AnompaKanihmo'si21
21-01	Ittibaachaffahookmat hattak mó̱makat naalhpisa' ikba'ni.
21-02	Kanahaat naalhtoka' nannaho̱ malili bannakmat malila'ni.
21-03	Hattak mó̱makat kanaho̱ naalhtoka' atookoli bannakmat imvoota'chi.
22-00	AnompaKanihmo'si22
22-01	Kanihmit ánta chibannakat ishahánta'ni. Kanaho̱ ishhottopacha' ki'yo.
23-00	AnompaKanihmo'si23
23-01	Aatoksali' chokmakillaho̱ hattakat aatoksala'ni.
23-02	Kaniya'o̱ ishaatoksalikat hattakat toksalikat kanihmi imalhtobahookma̱ ittíllawwihoot chimalhtoba'ni.
23-03	Ta'osso lawaho̱ ishikbihookmakoot aa-atta ishhayocha'chi.
23-04	Uniono̱ ibaafokha chibannakmat ishibaafokha'ni.
24-00	AnompaKanihmo'si24
24-01	Ishtoksali bíyyi'kaka̱ hashi' kanalli kanihmika̱ chí̱mahookmako̱ ishfó̱ha'ni.
25-00	AnompaKanihmo'si25
25-01	Nanna mó̱maka̱ ishatahlihookmaka'chi — ishimpa'chi; naafokha; ishaa-atta'chi; alikchi' ishimayya'chi — mó̱maka̱ ishatahlihookmaka'chi. Nannahoot chikanihmihookma̱ kanahmat achipilakmaka'chi.
25-02	Chipotaat kaniya'o̱ aamintihoot áyya'shahookya kanahmat apilakmaka'chi. Ishki' mó̱maho̱ apilakmaka'chi.
26-00	AnompaKanihmo'si26
26-01	Chipota mó̱makat holissaapisa' aya'nikat imalhpi'sa, ta'osso nannikimikshohookya. Kana mó̱makat nanna aaithana' aya bannakmat aya'ni.
26-02	Hattakat nanna aaithana' ayakma̱ nannakat alhpi'saho̱ imano̱likma̱ chokma'ni.
26-03	Chipota áyya'shakma̱ ishki' inki' táwwa'akoot holissaapisa' kaniya'o̱ ayachi bannakmat ayacha'ni.
27-00	AnompaKanihmo'si27
27-01	Kaniya'o̱ nanna ishtáyya'shakma̱ kanahoot ayyacha ibaayahmi bannakmat yahma'ni.
27-02	Kanahookya nanna ikbicha kanchi bannakmat kancha'ni, ta'osso isha'chikat.
28-00	AnompaKanihmo'si28
28-01	Anompa kanihmo'si yappa̱ hattakat haklocha kani̱hchit anokfilli bannakmat anokfilla'ni. Nannaho̱ kanihmi bannakmat yahma'ni.
29-00	AnompaKanihmo'si29
29-01	Kana mó̱makat ittapilakmakilla.
29-02	Hattakat naalhpisa' ikbi, hattak apila bannahoot. Naalhpisa' kobaffa' ki'yo.
29-03	Anompa kanihmo'si yappat alhkaniya' ki'yo.
30-00	AnompaKanihmo'si30
30-01	Holisso tobattooko̱ kanahookya ikimalhkaniyyoka'ni.
