00-00	VISPĀRĒJĀ CILVĒKA TIESĪBU DEKLARĀCIJA
02-02	Turklāt nedrīkst noteikt nekādu atšķirību pēc tās valsts vai teritorijas, politiskā, tiesiskā vai starptautiskā statusa, pie kuras cilvēks pieder neatkarīgi no tā, vai šī teritorija ir neatkarīga, aizbildnībā esoša, bez pašpārvaldes vai kaut kā citādi ierobežota savā suverenitātē.
03-00	3. pants
03-01	Ikvienam ir tiesības uz dzīvību, brīvību un personas neaizskaramību.
04-00	4. pants
04-01	Nevienu nedrīkst turēt verdzībā vai dzimtbūtniecībā; visa veida verdzība un vergu tirdzniecība ir jāaizliedz.
05-00	5. pants
05-01	Nevienu nedrīkst pakļaut spīdzināšanai vai cietsirdīgi, necilvēcīgi ar viņu apieties vai sodīt, pazemojot viņa cilvēcisko cieņu.
06-00	6. pants
06-01	Ikvienam, visur, ir tiesības būt atzītam par personu likuma priekšā.
07-00	7. pants
07-01	Visi ir vienlīdzīgi likuma priekšā un viņiem ir tiesības, bez jebkādas diskriminācijas, uz vienādu likuma aizsardzību. Visiem ir tiesības uz vienādu aizsardzību pret jebkādu diskrimināciju, pārkāpjot šo Deklarāciju, un pret jebkuru kūdīšanu uz tādu diskrimināciju.
08-00	8. pants
08-01	Ikvienam ir tiesības uz efektīvu viņa tiesību atjaunošanu kompetentās nacionālajās tiesās gadījumos, par nodarījumiem, kas pārkāpj viņa pamattiesības, kas garantētas konstitūcijā vai likumā.
09-00	9. pants
09-01	Nevienu nedrīkst patvaļīgi arestēt, aizturēt vai pakļaut izraidīšanai.
10-00	10. pants
10-01	Ikvienam viņa tiesību un pienākumu noskaidrošanai, kā arī viņam izvirzītās kriminālās apsūdzības pamatotības noteikšanai, ir tiesības, lai viņu lietu atklāti un, ievērojot visas taisnīguma prasības, uz pilnīgas līdztiesības pamata izskatītu neatkarīga un objektīva tiesa.
11-00	11. pants
11-00	Katram, kas ir apsūdzēts kriminālnoziegumā, ir tiesības tikt uzskatītam par nevainīgu, kamēr viņa vaina nav pierādīta saskaņā ar likumu atklātā tiesas procesā, kurā viņam ir bijušas nodrošinātas visas savai aizstāvībai nepieciešamās garantijas.
11-01	Nevienu nedrīkst notiesāt par sodāmu tiesībpārkāpumu tādas darbības vai bezdarbības dēļ, kas saskaņā ar izdarīšanas brīdī spēkā bijušajiem nacionālajiem likumiem vai starptautiskajām tiesībām nebija sodāms tiesībpārkāpums. Tāpat nedrīkst piespriest smagāku sodu nekā tas, kas bija jāpiemēro laikā, kad tika izdarīts sodāmais tiesībpārkākums.
12-00	12. pants
12-01	Nedrīkst patvaļīgi iejaukties neviena personiskajā un ģimenes dzīvē, patvaļīgi pārkāpt viņa dzīvokļa vai korespondences neaizskaramību vai apdraudēt viņa godu un reputāciju. Katram ir tiesības uz likuma aizsardzību pret šādu iejaukšanos vai apdraudējumiem.
13-00	13. pants
13-00	Ikvienam ir tiesības brīvi pārvietoties un izvēlēties sev dzīvesvietu ikvienā valstī.
13-01	Ikvienam ir tiesības atstāt jebkuru, arī savu valsti un atgriezties savā valstī.
14-00	14. pants
14-00	Ikvienam ir tiesības meklēt un izmantot patvērumu no vajāšanas citās valstīs. Šīs tiesības nevar tikt izmantotas tādas vajāšanas gadījumā, kas īstenībā nav saistīta ar politiskiem noziegumiem vai ar darbībām, kas ir pretrunā ar Apvienoto
14-01	Nāciju Organizācijas mērķiem un principiem.
15-00	15. pants
15-00	Ikvienam ir tiesības uz pilsonību.
15-01	Nevienam patvaļīgi nedrīkst atņemt tā pilsonību vai atteikt tiesības mainīt savu pilsonību.
16-00	16. pants
16-00	Pilngadīgajiem vīriešiem un sievietēm ir tiesības bez jebkādiem ar rasi, nacionalitāti vai reliģiju saistītiem ierobežojumiem stāties laulībā un nodibināt ģimeni. Viņiem ir vienlīdzīgas tiesības, stāties laulībā, laulības laikā un šķirot laulību.
16-01	Laulība var tikt slēgta tikai ar abu personu, kas stājas laulībā, brīvu un pilnīgu piekrišanu.
16-02	Ģimene ir dabiska sabiedrības pamatvienība, un tai ir tiesības uz sabiedrības un valsts aizsardzību.
17-00	17. pants
17-00	Ikvienam ir tiesības uz īpašumu kā vienam, tā arī kopīgi ar citiem.
17-01	Nevienam patvaļīgi nedrīkst atņemt viņa īpašumu.
18-00	18. pants
18-01	Ikvienam ir tiesības uz domu, apziņas un reliģijas brīvību; brīvību mainīt reliģiju vai pārliecību, brīvību nodoties savai reliģijai un pārliecībai tiklab vienatnē, kā arī kopā ar citiem publiski vai nošķirti, piekopt reliģiju vai ticību, sludinot mācību, izpildot, pielūdzot un ievērojot to.
19-00	19. pants
19-01	Ikvienam ir tiesības uz pārliecības un izteiksmes brīvību; šīs tiesības ietver brīvību bez iejaukšanās palikt pie saviem uzskatiem un meklēt, saņemt un izplatīt informāciju un idejas ar jebkuriem informācijas līdzekļiem neatkarīgi no valstu robežām.
20-00	20. pants
20-00	Ikvienam ir tiesības uz miermīlīgu sapulču un asociācijas brīvību.
20-01	Nevienu nedrīkst piespiest piederēt kādai asociācijai.
21-00	21. pants
21-00	Ikvienam ir tiesības piedalīties savas valsts pārvaldē tieši vai ar brīvi izvēlētu pārstāvju starpniecību.
21-01	Ikvienam ir tiesības uz līdztiesīgu pieejamību valsts dienestam savā zemē.
21-02	Tautas gribai ir jābūt valdības varas pamatam; šai gribai jāizpaužas periodiskās un nefalsificētās vēlēšanās, kam jānotiek uz vispārēju un vienlīdzīgu vēlēšanu tiesību pamata, aizklāti balsojot vai arī citās līdzvērtīgās brīvās balsošanas procedūrās.
22-00	22. pants
22-01	Katram kā sabiedrības loceklim ir tiesības uz sociālo drošību un viņam ir tiesības īstenot ar nacionālo centienu palīdzību un starptautiskās sadarbības ceļā, un atbilstoši katras valsts struktūrai un resursiem, viņa pašcieņai un personības brīvai attīstībai nepieciešamās ekonomiskās, sociālās un kultūras tiesības.
23-00	23. pants
23-00	Ikvienam ir tiesības uz darbu, uz brīvu darba izvēli, uz taisnīgiem un labvēlīgiem darba apstākļiem un uz aizsardzību pret bezdarbu.
23-01	Ikvienam, bez jebkādas diskriminācijas, ir tiesības uz vienādu atlīdzību par līdzvērtīgu darbu.
23-02	Katram strādājošam ir tiesības uz taisnīgu un pienācīgu darba algu, kas nodrošina cilvēka cienīgu dzīvi viņam un viņa ģimenei. Nepieciešamības gadījumā tā jāpapildina ar citiem sociālās nodrošināšanas līdzekļiem.
23-03	Katram ir tiesības dibināt arodbiedrības un iestāties tajās savu interešu aizsardzībai.
24-00	24. pants
24-01	Ikvienam ir tiesības uz atpūtu un brīvo laiku, ieskaitot saprātīgu darbadienas ierobežojumu un apmaksātu periodisku atvaļinājumu.
25-00	25. pants
25-00	Ikvienam ir tiesības uz viņa un viņa ģimenes veselības uzturēšanai un labklājībai atbilstošu dzīves līmeni, ieskaitot uzturu, apģērbu, mājokli, medicīniskos pakalpojumus un nepieciešamo sociālo apkalpošanu, un tiesības uz nodrošinājumu bezdarba, slimības, darba nespējas, atraitnības, vecuma vai citos iztikas līdzekļu zaudējumu gadījumos, kas radušies no viņa neatkarīgu apstākļu dēļ.
25-01	Mātēm un bērniem ir tiesības uz īpašu aizsardzību un palīdzību. Visiem bērniem, laulībā un ārlaulībā dzimušajiem, ir jābauda vienāda sociālā aizsardzība.
26-00	26. pants
26-00	Ikvienam ir tiesības uz izglītību. Izglītībai, vismaz pamata un vispārējai izglītībai, ir jābūt bezmaksas. Pamatizglītībai ir jābūt obligātai. Tehniskajai un profesionālajai izglītībai ir jābūt vispār pieejamai, un augstākajai izglītībai jābūt vienādi pieejamai visiem atbilstoši spējām.
26-01	Izglītības mērķim jābūt pilnīgai personības attīstībai, kā arī cilvēka tiesību un pamatbrīvību respektēšanas stiprināšanai.
26-02	Izglītībai ir jāsekmē saprašanās, iecietība un draudzība starp visām tautām, rasu vai reliģiskajām grupām un jāsekmē Apvienoto Nāciju Organizācijas miera uzturēšanas pasākumi.
27-00	27. pants
27-00	Ikvienam ir tiesības brīvi piedalīties sabiedrības kultūras dzīvē, baudīt mākslu, piedalīties zinātnes progresā un izmantot tā labumus.
27-01	Ikvienam ir tiesības uz morālo un materiālo interešu aizsardzību, kas izriet no zinātniskajiem, literārajiem vai mākslas darbiem, kuru autors viņš ir.
28-00	28. pants
28-01	Ikvienam ir tiesības uz sociālo un starptautisko kārtību, kurā var tikt pilnībā īstenotas šajā Deklarācijā izklāstītās tiesības un brīvības.
29-00	29. pants
29-00	Ikvienam ir pienākumi pret sabiedrību, kurā vienīgi ir iespējama viņa personības brīva un pilnīga attīstība.
29-01	Izmantojot savas tiesības un brīvības, katram cilvēkam ir jāpakļaujas tikai tādiem ierobežojumiem, kas ir noteikti ar likumu, vienīgi ar mērķi nodrošināt citu cilvēku tiesību un brīvību pienācīgu atzīšanu un cienīšanu un morāles, sabiedriskās kārtības un vispārējas labklājības taisnīgu prasību apmierināšanu demokrātiskā sabiedrībā.
29-02	Šīs tiesības un brīvības nekādā ziņā nedrīkst izmantot pretrunā ar Apvienoto Nāciju Organizācijas mērķiem un principiem.
30-00	30. pants
30-01	Neko šajā Deklarācijā nedrīkst tulkot tādējādi, lai kādai valstij, personu grupai vai atsevišķām personām būtu tiesības iesaistīties jebkādā pasākumā vai veikt jebkuru darbību, kuru mērķis ir iznīcināt šajā Deklarācijā izklāstītās tiesības un brīvības.
