00-00	《ꋧꃅꊽꌅꅍꄜꋊꄯꒉ》
02-02	ꄷꀋꁨꊿꂷꀉꆍꋩꈌꌺꌠꇩꏤꏲꄸꍔꍞ，ꏱꏦꀋꉬꀐꇬꇩꏤꇢꊭꐥꐯꀋꒉꒉꄸ，ꏲꄸꋋꈚꆹꊨꏦꏲꄸ，ꀊꉬꀐꇬꄻꌠꁳꏲꄸ，ꊨꏦꀋꏲꌠꏲꄸꌋꆀꀉꁁꈍꃅꏲꄸꉬꂿꐯꀋꌠꀋꉆꌠꉬ。
03-00	ꌔꏢꏡꌠ
03-01	ꊿꂷꈀꐥꌠꀑꇬ，ꄿꐨꌋꆀꇭꀧꇖꌋꋬꂻꌠꌅꅍꐥ。
04-00	ꇖꏢꏡꌠ
04-01	ꊿꑞꂷꉬꂿꐚꁨꀋꉆ，ꀋꉬꀐꇬꌌꐚꃅꑘꁨꎻꀋꉆ，ꐚꁦꄹ ꏦꌋꆀꐚꌌꃷꃼꌠꑠꆹ，ꉬꇮꃅꏢꇈꄉꄡꑟ。
05-00	ꉬꏢꏡꌠ
05-01	ꊿꑞꂷꉬꂿꁴꍂꅿꀋꉬꀐꇬꀋꁨꃴꆉꑠꑠꃅꀋꉆ，ꊿꇕꀋꊒꀋꉬꀐꇬꍍꋉꌋꆀꑽꃤꅓꀋꉆ。
06-00	ꃘꏢꏡꌠ
06-01	ꊿꂿꈀꐥꌠꑞꈚꉬꂿꏦꃤꂴꆽꆹꐥꐯꒈꌠꉬ。
07-00	ꏃꏢꏡꌠ
07-01	ꏦꃤꂴꆽꐯꒈꃅꐥ，ꄷꀋꁨꐯꒈꃅꐥꌠꏦꃤꇬꀧꌋꃅꌠꋩꅍꐥ，ꊿꃅꇫꉜꄸꀊꉆ，ꄜꋊꄯꒉꇬꀋꊒꌠꌋꆀꇬꉚꄸꌠꃅꇏꋋꈨꇬꊢꐳꑠꅠꇧꎭ。
08-00	ꉆꏢꏡꌠ
08-01	ꊿꑞꂷꉬꂿꏦꃀꌋꆀꏦꃤꇬꋌꐥꋭꌠꌅꅍꇬꉮꄮꇬ，ꇩꏦꇎꏦꑟꇴꅇꎹꌤꀞꈉꅉꁳꃅꇏꉮꐪꑠꏭꅇꎹꄉꊌꊒꎻꌠꌅꅍꐥ。
09-00	ꈬꏢꏡꌠ
09-01	ꊿꑞꂷꉬꄿꂿꀙꀋꐥꃅꒃꇬꈢꀋꉆ，ꈹꃅꋯꑌꎭꀋꉆ。
10-00	ꊰꏢꏡꌠ
10-01	ꊿꂷꈀꐥꌠꐯꒈꃅꐥ，ꄂꃅꉆꅇꎹꌤꀞꈉꁳꊒꆽꃅꌋꆀꄇꄜꋊꃅꌌꇔꅲ，ꌠꋋꏯꅇꎹꌠꑽꃤꐥꅀꀋꐥꌠꍞꇽꌠꆹꋍꌅꅍꌋꆀꋭꌠꌅꐨꐥꌠꉬ。
11-00	ꊯꊪꏡꌠ
11-01	ꊿꌌꅇ ꎹꌠꑞꂷꉬꅉꂿ，ꅔꀥꌠꌋꆀꄉꀧꈀꄻꅐ，ꄇꄜꋊꃅꌌꏦꃤꈴꄉꑿꀋꐥꀐꄷꍞꇽꂲꆽ，ꌌꑽꃤꀋꐥꃅꉜꌠꌅꐨꐥ。
11-02	ꊿꑞꂿꉬꄿꂿꋍꃅꐪꑽꑌꈂꃅꃅꇬꅜꄉꂿ，ꇩꏤꃤꀋꉬꀐꇬꋧꃅꏦꃤꇬꉜꇬꑽꃤꀋꉬꆏ，ꌌꑽꀋꐥꃅꍞꇽꀋꉆ。ꍞꇽꄮꑌꏦꃤꑞꏢꇬꈾꋭꆏꑞꏢꇬꈴꄉꍞꇽ。
12-00	ꊰꑋꏡꌠ
12-01	ꊿꑞꂷꉬꅉꂿ，ꋍꐥꐨ、ꑱꈐ、ꀀꅉꌋꆀꅇꈴꋍꑠꈀꏾꃅꇬꏢꇋꀋꉆ，ꋍꂒꅉꌋꆀꂒꉻꑠꏯꑌꁒꐀꀋꉆ，ꊿꂷꇬꐥꆏꏦꃤꇬꀧꌋꃅꌠꌅꐨꐥ，ꇬꏢꇋꇬꁒꐀꀋꉆ。
13-00	ꊯꌕꏢꌠ
13-01	ꊿꂷꈀꐥꌠꑞꇩꏤꉬꅉꂿꋌꇬꀀꌠꄿꐨꐥ。
13-02	ꊿꂷꈀꐥꌠꋌꄓꀉꁁꇩꏤꀀꁧ，ꄷꀋꁨꀱꉈꑴꋍꇩꏤꇬꀀꇁꌠꄿꐨꑌꐥ。
14-00	ꊯꇖꏢꌠ
14-01	ꊿꂷꈀꐥꌠꌠꋍꏯꉻꏂꇁꌠꅐꇁꂯꄉꀉꁁꇩꏤꎹꂽꄉꇇꀤꌠꄿꐨꐥ。
14-02	ꋋꆹꃹꐚꃅꍔꍞꃆꂱꑽꃤꀋꉬꀐꇬꉻꏑꇩꏤꏤꄉꌠꏥꏦꑠꒉꄷꀋꉬꃅꌌꅇꎹ，ꋌꀋꉬꆏꄿꐨꑠꄻꇬꁳꀋꉆ。
15-00	ꊯꉬꏢꌠ
15-01	ꊿꂷꈀꐥꌠꇩꏤꊿꐛꌠꄿꐨꐥ。
15-02	ꊿꑞꂷꉬꅉꂿꋌꇩꏤꊿꀋꉬꄷꇑꑣꀋꉆ，ꉈꑴꋌꀉꁁꇩꏤꊿꐛꉆꌠꄿꐨ ꑌꇑꑣꀋꉆ。
16-00	ꊰꃘꏢꌠ
16-01	ꊰꉆꈓꊂ，ꑞꊿꋅ、ꇩꏤꀋꉬꀐꇬꊿꑞꑇꌠꉬꂿ，ꌟꅍꐛꌠꌋꆀꑮꒃꑱꋦꌠꌅꐨꐤ。ꊿꊇꃝꐨꃆꂱꀂꏽꇬꌋꆀꃝꇽꄮꇬꌅꐨꆹꐯꌟꃅꐥꄡꑟ。
16-02	ꌺꃰꌋꅪꑍꂷꐯꇯꇬꉌꃹꈴꑲꆀꑮꉆ。
16-03	ꑱꈓꆹꐧꋦꅉꃀꉬꑵ，ꑠꅹꐧꋦꌋꆀꇩꏤꇬꀧꌋꃅꄡꑟ。
17-00	ꊰꏁꏢꌠ
17-01	ꊿꂷꈀꐥꌠꋍꋧꁧꃅꁨꇐꐥꄷꀋꁨꀉꁁꊿꌋꆀꐯꇯꁨꇐꑌꐥꉆꌠꋩꐨꐥ。
17-02	ꊿꑞꂷꉬꅉꂿꋍꁨꇐꈀꏾꃅꇑꑣꀋꉆ。
18-00	ꊰꉆꏢꌠ
18-01	ꊿꂷꈀꐥꃅꉪꇐ，ꂄꉈꑌꌋꆀꑞꑇꃅꄿꐨꌅꅍꐥ：ꌅꅍꋋꏢꆹꑇꌠꃆꂱꄺꀱꉈꌠꄿꐨꑌꄚꐊ，ꉈꑴꊨꏦꀋꉭꀐꇬꋍꉻꄇꄜꋊꀋꉬꀐꇬ，ꂁꄉꑇꌠꌋꆀꌦꌋꂘꃅꍬꏦꇬꈴꄉꑇꌠꄿꐨꑠꑌꐥ。
19-00	ꊯꈬꏢꌠ
19-01	ꊿꂷꈀꐥꌠꃅꋍꉜꐨꐥꌠꌋꆀꉜꐨꉉꉆꄿꐨꌅꅍꐥ，ꋌꉜꐨꈍꃅꐙ ꌠꇬꏢꇋꀋꉆꌠꄿꐨꌅꅍꑌꄚꐊ，ꉈꑴꋌꑞꈚꈴꄉꑞꇩꏤꉬꂿ，ꈨꅍꂿꅍꌋꅿꉪꇐꑠꊪꅲꄿꐨ ꌅꅍꐥ。
20-00	ꑍꊏꏢꌠ
20-01	ꊿꂷꈀꐥꌠꄮꐽꃅꉻꏑꌠꌋꆀꋍꉻꃅꌠꄿꐨꌅꅍꐥ。
20-02	ꊿꑞꂷꉬꅉꂿꊋꏗꇱꄉꌟꋍꉻꋋꈨꌌꀉꁁꋍꈚꇱꄷꑠꃅꀋꉆ。
21-00	ꑍꊏꋋꏢꌠ
21-01	ꊿꂷꈀꐥꌠꋍꊨꏦꀋꉬꀐꇬꁧꇊꌋꄉꊨꏦꇩꏤꄹꂡꌠꄿꐨꌅꅍꐥ。
21-02	ꊿꂷꈀꐥꌠꊨꏦꇩꏤꋍꏅꌤꆿꃅꈽꐊꉆꌠꄿꐨꌅꅍꐥ。
21-03	ꉹꁌꋍꏅꌠꉪꅉꍔꃛꌅꈌꅉꃀꉬ，ꉪꅉꋋꏢꆹꃅꑍꏤꄉꇯꍝꃅꌌꌋꌠꇬꄉꉜꅐꇁꉆꄡꑟ，ꄚꌋꌠꆹꁊꈴꃅꐯꌟꃅꌋꄡꑟ，ꄷꀋꁨꌋꄯꒉꇬꂓꇬꄀꄉꄿꐨꐥꃅꌋꌠꇬꈴꄉꌋꌶ。
22-00	ꑍꊏꑋꏢꌠ
22-01	ꊿꂷꈀꐥꌠꋌꐧꋦꇬꊿꂷꉬꆏ，ꐧꋦꀧꏢꃅꐥꋭꌠꌅꅍꐥ，ꄷꀋꁨꋌꋍꊨꏦꐥꐨꐤꏦꌋꆀꋍꄿꐨ ꅢꎆꌠꇬꀋꈁꀋꉆꌠꎆꏣ，ꐧꋦꌋꆀꌧꇐꃆꂮꋍꑠꋍꑵꇬꋯꐨꑠꃅꇬꅜꌠꌅꅍꐥ，ꋌꆹꇩꏤꊋꇤꌠꌋꆀꇩꏤꏓꐯꇯꄉꇩꏤꋋꈨꎀꍹꌋꆀꅐꇐꃆꂮꇬꈴꄉꃅꇬꅜꌠ。
23-00	ꑍꊎꌕꏢꌠ
23-01	ꊿꂷꈀꐥꌠꌤꃅ，ꄿꐨ ꃅꌤꃅꅉꌋ，ꀋꉬꀋꉈꐥꌠꌋꆀꄉꄐꌤꃅꇎꏦꄷꀋꁨꌤꃅꅍꀋꐥꇁꂯꄉꀧꌠꌅꅍꐥ。
23-02	ꊿꂷꈀꐥꌠꃅꌠꐯꌟꃄ ꎆꐯꑋꃅꊌꌠꌅꅍꐥ，ꀉꒉꆧꊭꃅꉜꀋꉆ。
23-03	ꂿꌤꃅꌠꑞꂷꉬꅉꂿ，ꀋꈐꀋꉈꃅꐥꌠꌋꆀꃄ ꎆꄉꄐꃅꊌꌠꌅꅍꐥ，ꄉꀧꄉꋍꊨꏦꌋꆀꋍꀁꇬꊿꁳꐥꐨꇎꏦꐛꃅꐥꎻ，ꀋꉬꀋꉆꄮꆏꉈꑴꐧꋦꄉꀧꀉꁁꑵꃅꇬꈴꄉꇬꇇꀤꉆ。
23-04	ꊿꂷꈀꐥꌠꋍꊨꏦꈲꐪꌋꃅꂿꄷꇪꉼꏓꈹꌋꆀꇪꉼꇬꐊꉆꌠꌅꅍꐥ。
24-00	ꑍꊎꇖꏢꌠ
24-01	ꊿꂷꈀꐥꌠꑬꆏꌋꆀꆷꃹꌠꌅꅍꐥ，ꌤꃅꄮꈉꄉꄐꃅꏢꄉꌠꌋꆀꏤꄉꃄꎆꁵꑬꆏꎻꌠꌅꅍꑌꄚꐊ。
25-00	ꑍꊎꉬꏢꌠ
25-01	ꊿꂷꈀꐥꌠꋍꊨꏦꌋꆀꋍꀁꇬꊿꇭꀧꌋꆀꈲꏣꈁꇖꋭꐥꐨꌋꃅꌠꌅꅍꐥ，ꄚꈐꏭꆏꋠꅍꅝꒉ、ꃢꇓꃢꈜ、ꀀꅉꑋꅉ、ꆅꉚꆄꄻꌠꌋꆀꐧꋦꃤꃅꄻꅐꌠꄚꐊ，ꃅꅍꀋꐥ、ꆅ、ꇭꀧꆐꅑ、ꃆꍸꃀꐛ、ꀉꃀꀋꉬꀐꇬꌤꃅꀋꄐꄮꆏ，ꄉꀧꊌꉆꌠꌅꅍꐥ。
25-02	ꀉꂿꌋꆀꀉꑳꈜꈜꇈꇬꇇꀤꇇꄻꌠꌅꅍꐥ。ꀉꑳꂷꈀꐥꌠꀉꄉꀉꂿꐥꅀꀋꐥ，ꉬꇮꐯꌟꃅꐧꋦꇬꀧꌋꃅꌅꅍꐥꄡꑟ。
26-00	ꑍꊎꃘꏢꌠ
26-01	ꊿꂷꈀꐥꌠꊌꉙꂘꌠꌅꅍꐥ，ꉙꂘꁌꆹꇖꄡꀋꑟ，ꈍꃅꑌꉙꂘꀁꂥꊐꌠꆹꑠꃅꄡꑟ。ꉙꂘꀁꂥꊐꌠꆹꋭꑘꃅꉜꄡꑟ。ꇮꆹꌋꆀꃅꅍꉙꂘꑠꆹꄻꄉꌶ。ꉙꂘꀉꂥꊐꌠꆹꊿꂷꈀꐥꌠꐯꌟꃅꉜꄉꌷꐨ ꎕꏦꇬꈴꌋꌊꉙꂘ。
26-02	ꉙꂘꌠꆹꊿꃅꇏꂶꄟꁳꋒꃅꀻꎆꆹꎻ，ꄷꀋꁨꊿꌅꅍꐥꌋꆀꅉꀨꄿꐨꁌꒉꌠꊋꀥꇱ。ꉙꂘꌠꆹꇩꏤꌋꆀꊿꋅꈀꐥꌠꀋꉬꀐꇬꌦꑇꌊꑇꏓꉺꇢꊭꐮꅉꐚ，ꋰꋭꌠꌋꆀꐮꉂꐮꅉꌠꇬꄹꇔꄡꑟ。ꉈꑴꇬꏑꇩꏤꐯꇯꄉꄮꐽꃅꐥꌠꋍꑠꋍꑵꇬꑌꄹꆷꄡꑟ。
26-03	ꀉꄉꀉꂿꊨꏦꌳꃈꅮꂴꑞꑵꉙꂘꌋꌠꌅꅍꐥ。
27-00	ꑍꊎꏁꏢꌠ
27-01	ꊿꂷꈀꐥꌠꐧꋦꇬꌧꇐꐥꐨ，ꋭꇐꑠꇬꐊꉆꌠꄿꐨ ꌅꅍꐥ，ꄷꀋꁨ ꈆꑪꋌꎆꒉꄸꄉꈲꏣꅐꇁꑠꇬꊌꐨꌅꅍꐥ。
27-02	ꊿꂷꈀꐥꌠꋍꊨꏦꁧꀿꅐꇁꌠꈆꑪꑞꑵꉬꂿ，ꁱꑴꅐꇁꌠꌧꇐꁱꁱꌋꆀꋽꇐꁱꁱꑞꑵꉬꂿ，ꋋꈨꇬꈲꏣꆹꄉꀧꊌꋭꌠꌅꅍꐥ。
28-00	ꑍꊎꉆꏢꌠ
28-01	ꊿꂷꈀꐥꌠꐧꋦꇬꌋꆀꋧꃅꇩꏤꇬꐥꀹꋍꑵꇖꂠꌠꌅꅍꐥ，ꐥꀹꑞꑵꇬꄜꋊꄯꒉꇬꄜꌠꌅꅍꌋꆀꄿꐨꑌꋒꃅꃅꇬꑟꄎꌠꄚꄉꉜꅐꇁꀐ。
29-00	ꑍꊎꈬꏢꌠ
29-01	ꊿꂷꈀꐥꌠꐧꋦꏭꃅꋭꐥ，ꑟꆹꐧꋦꇬꑲꆀꋍꊨꏦꄐꅍꌋꆀꄿꐨ ꋒꃅꀻꎆꇓꄎ。
29-02	ꊿꂷꈀꐥꋍꊨꏦꌅꅍꌋꆀꄿꐨ ꌬꄮꇬ，ꏦꃤꇬꉉꄉꈧꌠꀉꄂꇬꏢꇈꉆ，ꏢꇈꋋꏢꆹꏢꁮꇬꊿꌅꅍꌋꆀꄿꐨꅠꃅꇬꏚꍆꌋꆀꇬꁌꒉꄉꀧꌠꄜ。ꉈꑴꋯꁦꐥꌠꐧꋦꇬꄉꄐꃅꌠꃅꇏꂶꄟ，ꋍꏅꐥꀹꌋꆀꁊꈴꃅꐥꌠꈲꏣꌋꆀꐥꋭꌠꈉꐨꐛꎻ。
29-03	ꌅꅍꌋꆀꄿꐨꋋꈨꌬꇬ，ꃆꂱꈍꃅꐙ ꄮꇬꑌꉻꏑꇩꏤꉪꃆꁢꊧꌋꆀꏥꏦꇬꆼꄙꀋꉆ。
30-00	ꌕꊰꏡꌠ
30-01	ꄜꋊꄯꒉꇬꑞꏢꉬꂿ，ꇩꏤ，ꉻꏑ ꀋꉬꀐꇬꊿꑞꂷꉬꂿ，ꄚꈐꏭꌅꅍ ꌋꆀꄿꐨ ꇬꀜꐆꃅꈧꑠꉌꃹꉗꃅꈌꁧꇬꁳꀋꉆꌠꉬ。（ꃅꆜꌭꉐꁏꌠ）
