00-00	Declaraziun universala digls dretgs umans
10-01	Mintga persunga ò igl dretg, an egualitad cumplagna, tgi igl sies cass vigna tracto gistamaintg e publicamaintg d’en tribunal independent ed imparzial, tgi decida davart igls sies dretgs e las sias obligaziuns u davart la validitad da totta tgisa penala drizzada cunter ella.
11-00	Art. 11:
11-00	Mintga persunga inculpada d’en act punibel è innocenta anfignen tgi la sia colpa è cumprovada legalmaintg ainten en process public, noua tgi tot las garanzeias necessarias per la sia defensiun l’èn neidas sieradas.
11-01	Nign na vign condemno per acziuns u omissiuns tgi valevan igl mument tgi ellas èn neidas commessas betg scu act punibel tenor igl dretg naziunal ed internaziunal. Mademamaintg na dastga la pagna betg esser pi gronda tgi chella applitgabla igl mument tgi igl act punibel è nia commess.
12-00	Art. 12:
12-01	Nign na dastga davantar igl object d’intervenziuns arbitrarias ainten la sia veta privata, la sia famiglia, igl sies domicil u la sia correspondenza, ni d’attatgas cunter la sia onour e la sia reputaziun. Mintga carstgang ò igl dretg da protecziun legala cunter talas intervenziuns u talas attatgas.
13-00	Art. 13:
13-00	Mintga persunga ò igl dretg da circular libramaintg e d’eliger igl sies domicil aint igl intern d’en stadi.
13-01	Mintga persunga ò igl dretg da bandunar mintga paeis, er igl sies agen, e da returnar aint igl sies paeis.
14-00	Art. 14:
14-00	An cass da persecuziun ò mintga persunga igl dretg da tschartger asil e da survagneir asil ainten oters paeis.
14-01	Chel dretg na pò betg esser invoco an cass da persecuziun perveia da delicts betg politics u perveia d’acziuns tgi cunterfon allas fegnameiras ed agls prancepis dallas Naziuns Uneidas.
15-00	Art. 15:
15-00	Mintga carstgang ò igl dretg d’ena naziunalitad.
15-01	Nign na dastga neir privo arbitrarmaintg dalla sia naziunalitad u digl dretg da midar naziunalitad.
16-00	Art. 16:
16-00	Om e donna cun vigliadetna adattada on igl dretg da maridar e da fundar ena famiglia sainza restricziuns concernent la razza, la naziunalitad u la religiun. Els on igls  medems dretgs arisguard igl matrimoni, durant igl matrimoni e tar la sia dissoluziun.
16-01	Igl matrimoni pò esser conclus sulettamaintg cun igl consentimaint liber e cumplagn digls conjugals futurs.
16-02	La famiglia è igl element natural e fundamental dalla societad e stò neir protegeida dalla societad e digl stadi.
17-00	Art. 17:
17-00	Mintga persunga ò igl dretg d’aveir ena proprietad atgna u communabla cun oters.
17-01	Nign na dastga neir privo arbitrarmaintg dalla sia proprietad.
18-00	Art. 18:
18-01	Mintga persunga ò igl dretg dalla libertad da patratg, da schientscha e da religiun; chel dretg cumpeglia la libertad da midar religiun u persvasiun scu er da manifestar l’atgna religiun u l’atgna persvasiun sulet u an communitad, publicamaintg u privat, ainten l’instrucziun, ainten la practica, aint igl cult ed ainten l’execuziun da ritus.
19-00	Art. 19:
19-01	Mintga persunga ò igl dretg dalla libertad d’opiniun e d’expressiun, chegl tgi cumpeglia igl dretg da betg neir mulesto perveia dall’atgna opiniun scu er igl dretg da tschartger, retschever, derasar, sainza risguardar cunfegns, las infurmaziuns e las ideas cun tot igls meds d’expressiun.
20-00	Art. 20:
20-00	Mintga persunga ò igl dretg dalla libertad da reuniun e d’associaziun paschevla.
20-01	Nign na dastga neir obliia da far part d’ena associaziun.
21-00	Art. 21:
21-00	Mintga persunga ò igl dretg da participar agl guvern digl agen paeis, directamaintg u cun l’intermediaziun da represchentants eligias libramaintg.
21-01	Mintga persunga ò sot cundiziuns egualas igl dretg d’access allas funcziuns publicas digl sies agen paeis.
21-02	La voluntad digl pievel è igl fundamaint dall’autoritad dallas pussanzas publicas; chesta voluntad duess s’exprimer an elecziuns periodicas ed onestas cun dretg d’elecziun general ed egual an votaziun secreta u tenor ena procedura equivalenta tgi garantescha la libertad da votar.
22-00	Art. 22:
22-01	Mintga persunga ò scu commembra dalla societad igl dretg da siertad sociala; ella pò pretender d’obtigneir igls  dretgs economics, socials e culturals indispensabels per la sia dignitad e per igl svilup liber dalla sia persunalitad, chegl antras sforzs interns digl stadi ed ainten la cooperaziun internaziunala, risguardond l’organisaziun e las resursas da mintga paeis.
23-00	Art. 23:
23-00	Mintga persunga ò igl dretg da lavour, da tscherna libra dalla sia lavour, da cundiziuns da lavour gistas e cunvignaintas e dalla protecziun cunter disoccupaziun.
23-01	Tots on igl dretg, sainza discriminaziun, d’en salari egual per lavour eguala.
23-02	Tgi tgi lavoura ò igl dretg d’ena remuneraziun gista e commensurada tgi sierescha ad el ed alla sia famiglia en’existenza conforma alla dignitad umana e tgi vign cumplettada, schi necessari, cun oters meds da protecziun sociala.
23-03	Mintga persunga ò igl dretg da fundar ansemen cun oters sindicats e da s’affiliier a sindicats per defender igls sies interess.
24-00	Art. 24:
24-01	Mintga persunga ò igl dretg da repôss, particularmaintg d’ena limitaziun raschunevla digl taimp da lavour, e da vacanzas periodicas paedas.
25-00	Art. 25:
25-00	Mintga carstgang ò igl dretg d’en standard da veiver suffiziaint per sierar la sanadad ed igl bagnstar da sasez e dalla sia famiglia. Chegl concerna particularmaintg l’alimentaziun, la vistgadeira, l’abitaziun, la tgira medicinala scu er igls  sarvetschs socials necessaris. El ò igl dretg da siertad an cass da disoccupaziun, da malsogna, d’invaliditad, da vivanza, da vigliadetna u aint igls oters cass da perdita da meds da subsistenza tras circumstanzas independentas dalla sia voluntad.
25-01	Mamma ed unfant on igl dretg d’ageid e d’assistenza speziala. Tot igls  unfants, tg’els seian naschias aint igl matrimoni u ordvart igl matrimoni, gioldan la madema protecziun sociala.
26-00	Art. 26:
26-00	Mintga persunga ò igl dretg d’instrucziun. L’instrucziun stò esser gratuita, aglmanc chegl tgi concerna l’instrucziun elementara e fundamentala. L’instrucziun elementara è obligatorica. L’instrucziun tecnica e professiunala stò esser accessibla a tots; igl access agls studis superiours stò esser liber a tots an cumplagna egualitad tenor lour marets.
26-01	L’instrucziun duess aveir an meira igl svilup cumplagn dalla persunalitad umana e rinforzar igl respect digls dretgs umans e dallas libertads fundamentalas. Ella duess promover la tgapientscha, la toleranza e l’amiceztga tranter tot las naziuns e tot las gruppas da razza u da religiun scu er sustigneir las activitads dallas Naziuns Uneidas per igl mantignamaint dalla pasch.
26-02	Igls  genitours on da prioritad igl dretg d’eliger igl gener dall’instrucziun per lour unfants.
27-00	Art. 27:
27-00	Mintga carstgang ò igl dretg da sa participar libramaintg alla veta culturala dalla communitad, da galdeir igls arts e da participar agl progress scientific ed agls benefizis tgi sa resultan da chel.
27-01	Mintga carstgang ò igl dretg da protecziun digls interess morals e materials derivonts da totta producziun scientifica, litterara u artistica, dalla quala el è l’autour.
28-00	Art. 28:
28-01	Mintga persunga ò igl dretg tgi rigia sen igl camp social e sen igl camp internaziunal en urden, aint igl qual igls dretgs e las libertads menziunadas ainten la Declaraziun preschainta possan contanscher en effect cumplagn.
29-00	Art. 29:
29-00	Mintga carstgang ò dueirs anvers la communitad, ainten la quala suletta è pussebel igl svilup liber e cumplagn dalla sia persunalitad.
29-01	Ainten la realisaziun digls dretgs e dallas libertads è mintga carstgang sottamess sulettamaintg allas limitas stabileidas antras la lescha per sierar la rancunaschientscha ed igl respect digls dretgs e dallas libertads digls oters e per satisfar allas exigenzas dalla morala, digl urden public e digl bagnstar general ainten ena societad democratica.
29-02	Chests dretgs e chestas libertads na dastgan an nign cass neir realisos cunter las fegnameiras ed igls prancepis dallas Naziuns Uneidas.
30-00	Art. 30:
30-01	Nigna disposiziun dalla Declaraziun preschainta na dastga neir interpretada uscheia tgi en stadi, ena gruppa u ena persunga vegia igl dretg da sviluppar en’activitad u d’accumplaneir en act tgi ò an meira la destrucziun digls dretgs e dallas libertads menziunadas ainten chesta Declaraziun.
