00-00	Delaraciö' Ki' DERECHO H Ki' la' la köö jmu guue kíä guía' su'
20-00	Ka-la ju' dsa e sía Derecho ki', na-jua e tíä ku siä' dsa tía' i hïa' dsuu'.
20-01	A sía ta la i jni' já sa jne dsa dsa i'.
21-00	Artículo 21
21-00	La-ju dsa e sía derecho e li jmo dsa-tá o-e li kä' dsa tä' fuu ki' dsa.
21-01	E-la juu' dsa sía derecho. E i' dsa o e jmo dsa tä' nacio' ki-dsa.
21-02	E-jua' dsa fuu e jä i jmo dsa tä', nia dsa fuu jua' e jä e li' la-jä na-juä e jna' dsa-dsa tä ñi ta'. Fuu voto e a síä dsa jue na jmo dsa. votá'.
22-00	Artículo 22
22-01	La-ju dsa tíä' kö je fuu e ti' dsa –e jma ó dsa na lu' ta' nacíö' ki' dsa, o nacíö' suu ki' dsa o li ä dsa nia kuú' sía nacío ki' dsa ma-jä' a e li' e sa' sía jï kä' dsa.
23-00	Artículo 23
23-00	La-ju dsa tï' e jno' dsa tá' i tu dsu-a e sía derecho e kó rue jmo-dsa-tá'
23-01	La-ju dsa sía derecho e rue li líä' dsa tá e jmo dsa'.
23-02	La-ju dsa jmo tá' e síá derecho ki' dsa e li lía' lo já' l jmo dsa-ejä e a sía no jmo, jí kä Familia kía dsa nía e ma, h'iä dsa ñi ta na jua na jmo jï' jï ka dsa.
23-03	La ju' dsa sñia juú' dsa i tä' dsa síndicato e li jma ki' dsá.
24-00	Artículo 24
24-01	La ju dsa sía derecho e jia' dsa kö jmu. La-kö' kö su-ma' e –asía jmo dsa ta la jï sa ma të' dsa nía e tu dsa vacacíö'
25-00	Artículo 25
25-00	La-ju dsa síá Derecho ki'-dsa e tä' dsa e a síá e na-jmo jï kä' dsa La ma-níá dsa síä kiä dsa é sa dsö'-dsa, e sá e li ku' dsa, e sía o-mu' nía la-ju e na-jmo j'I kä dsa nía la jä a sía eli' e-na.jmo', ki' dsa na-jua a sía tä' síá ki' dsa, e asíä e na-jmo' na-jua ka lu j'un' dsa o e jï' e-su. Eli' jï dsa.
25-01	Hi'e. Nía guï nía la ju si mi', e dsa jmo i' rue mi ma-jä asía e li jï dsa.; la-Ju guï lu-síä na-jï' osa' na-jï' guó së' jmi guï ko-ñii derecho sía kï guï.
26-00	Artículo 26
26-00	La ju-dsa sía derecho ki' dsa e li tu dsa guí, a síä jma mä dsa ñi tu ja dsa jnia dsa, e li tu dsa e eo guí e jnía dsa La ju guí-mí'. Na-jua jne h'uu dsa dsa jnía ñi tu a sía jua' esa li dsa jnia dsa.
26-01	E-Ja ba dsa-jnía dsa ñi tu mä-jä li-tu-dsa, ma-ja joe dsa e-ja e dsi li jmo-dsa nía ma-jä li kuu' dsa E-jä Dereco Humano, ma-ja jma ó-dsa, nía ma-jä un dsi'-dsa e jï' dsa nía dsa tíä' naciö' su' nía la ju dsa goó síä gua-uo' ma-jä jï dsá nía dsa na-kiä religiö su'. nía ma-ja ma-jnía dsa e jï tä ejmo Nacíones Unidás.
26-02	Sé'-jmi' gui-mi' e sía Dereco e jno' dsa e jä jne' dsa jma-tu gui jo dsá.
27-00	Artículo 27
27-00	La-ju dsa sía dérecho. E-i' dsa nia e li kuu' dsa e jä lu tu dsa, nia-jma tu nía jue, li kuu'. la jue dsí lí' siä.
27-01	La-ju dsa sía Derecho e jmo dsa ta i' e ti' dsa jua' e ki' Científico, mo-guí' o e jï e su.
28-00	Artículo 28
28-01	La-ju dsa sía Derecho, e ti tä dsa ñi ta. La ru-lue' Derecho y chi tö ñi declaracío ma-jä li' ti' la rutö.
29-00	Artículo 29
29-00	La-ju dsa tï' ma-ti' e jä e jmo' dsa geé' fuu uu jï jä síä dsa.
29-01	La-ju dsa, ju ï ja sa li jmo dsa eja e sa-ru jua' bu leé ki fuu goo-dsa ma-ja jmo dsa ki' Derecho, ki' Dsa suu- nia-jä jma tï lö' e ja e dsi' e a sía e sa dsi dsa-li' geé fu di' dsa.
29-02	La-ju Derecho ru tö ñi mo-gui la, a sía e li jma-suu' ha.jua a sía la jä ru-tö – o – no lue la ja juä' Nacíones Unidas.
30-00	Artículo 30
30-01	Ji-jua-e I ru-tö ñi Declaraciö la a jne jua' tu chi-ñi' Na-jua kö Estado, o kö siä' dsa o jä dsa li-jne' jmo' dsa o kï' dsa Derecho sa ru tö ñi Declaracíö la.
