00-00	SATIIN CAA CHAURUATANE QUE NENACAAURU CACHAAURU RAl RAUHI
09-01	Jiaonriha, atiin joaenreein leera colane cacha mucuhin caresero cuhane teein, naojoain neeuruha cocoainanacaihurine. Chaen chu, coa nii natane caje sitaaln, leeocha ataneu letoauruha cocoainanacaihuri, joaenreein leera colane.
10-00	Articulo 10.
10-01	Satiin cachauru raite ne rauhi, casetecaa cocoainanacaihurine ajiiniha ereein naojoaunruha en coina. Baaso ichaain, chatohaneein cacha basijiauhin naojoaain neeuruha cocoainanacaihurine leeocha cocoainanacai, n ii cocoainanacai arai nihei, que rucuerateeuruhine cachaauru. Chaen chu chatohaneein cocoainanacaihuri rai chatohaneein ichaain asijiauhin, naojoaain niha cacha ne, jericha nejeein leeocha cocoainanacai, nii cacha arai nihei cocoainanacai que rucuerateeuruhine. Chaen nii neruujue bana, aonaa ne coina turuha cacha ne, jiaonriha sitaain, naojoaain niha cocoainanacai te neruujiha nii ine aonaain, neeuruhine cachaauru.
11-00	Articulo 11.
11-01	Caohachaai, rucujuelanaala cacha casetecaain niha cocoainanacai ine. Caohachaain coitucuhin, "Esihaen te chuhisi, baaso ichae," naain caohachaain coitucuera lanaala joaenreein cacha casetecaain niha cocoainanacaine caohachaai.
11-02	Jiaonriha jaiti cocoaaerae nihane jana chatohanai ichaa cacha ne mucuhin neeuruha cocoainanacaihurine.
12-00	Articulo 12.
12-01	Satiin cachauru coaramii cocoainanacaihuri. Nabana leijiiin cacha nenajau turuhin reroecanaa coacuhin ninahuene. Aca te naojoaain, n e chu aansaaineein ne, "naain joaenreein que ereein ita reroecanaa coacuhin naojoaain neeuruhane, nabana cocoainanacaihuri netonai nii esenetaain, cacha reroecanaa coaucuruha ne coataa. Jiaonriha chu chaen, leijiin cacha rai, letono quiricha raain, coaraain naojoaunruha nejelaauru ne.
13-00	Articulo 13.
13-01	Niha rauhi, satiin cacha rai, chunijiu ichaonaa jerihana jaun ichaoha ne coina.
13-02	Chaente chu ne, satiin cachaauru rai rauhi, chunijiu atane cuhin ichaonaa jeriha ne ichaoha cuuruha ne coina. Chaen te chu ne, acaauru rai rauhi, jeliha natane caunaa jerecuruha ne, caauruha ne coina.
14-00	Articulo 14.
14-01	Niha rauhi, niha reroecaera natane ne, chunijiu nejelau atane cuin raotojoeein ichaaouruha cachaauru ne jaan nu.
14-02	Jana, chatohaneein soserena neein, asijiauto neein, naojoaain niha cacha ne, nihei rai rauhi, nejelau atane cuhin soroha ne coina.
15-00	Articulo 15.
15-01	Satiin cacha rai te ne rauhi, nataneu-nenacaauru laurijira niha ne baiha nejelau atane nenacaauru laurijira niha cuha cacha ne.
15-02	Niichuru jericha nejeein nataneu caoachaain coaracuruha naraichuru ne rijijiein caoachaain coaracurumii nejelau atane nenacaauru.
16-00	Articulo 16.
16-01	Niha rauhi, ita rijijiein ichauhena neeuruhane, ene aina ita raain naaojoaunruha cachaauru ne jaan nu. Jericha nejeeinte quicha rai niha rauhi ne rijijiein, ne, enecuru rai rauhi. Coa chu chaen, chatohaneein bacauha, cocoamo, ijiaen, naaojoaainejeein ranaa jeriha joaenreein, ene, quicha, naaojoaaine, coa caóhateeuruha.
16-02	Aca jeria ne jana, jereniha nii ene ne jana, raa cacha ne, caohachaai.
16-03	Ene raain niha quicha ne, coaracurumiin cocoainanacaihuri; nabana charijieinejeein ita que nererojoecaain ita jianecuruha ne coataa.
17-00	Articulo 17.
17-01	Satiin cachauru rai te ne rauhi, rai rucuheleeuru, rai atane, naaojoaain erora neein niha ne coina.
17-02	Chaen chu, joaenreein coreniha rai rucuheíeeuru, rai atane, naaojoaain caje sitaanaa nainihei cacha, nihei cocoainanacaihuri niha natiin.
18-00	Articulo 18.
18-01	Niha satiin cachauru rai rauhi, Cana Coaunera ere esenetaain tonorana jeriha ne, tonoraauruha jianacoo neein cha que tonajelanaala ne coina.
19-00	Articulo 19.
19-01	Niha chu chaen rauhi cachaauru rai, niicha coacui, cachauru rai beein, naaojoaunruha ne coina. Nainihei nii coreniaa acaauru mucuhin niha cocoainanacaihuri ne.
20-00	Articulo 20.
20-01	Niha chu chaen, cachaauru rai rauni ita taojiaain chaelai que ereereena jerecuruha ne, ichacuruha chaelai que tonajelanaalane coina.
20-02	Niha chu chaen, cachaauru rai rauhi, ita taojieraauru aina nenaa jereniha ne, cuheniha ne coina.
21-00	Articulo 21.
21-01	Niha chu chaen, cachaauru rai rauhi, necoriha cocoainanacaine jerecuruha ne, "Aca aca nemii", naain leijiin coaraain aca jeriha cachaauru ne aca cocoainanacainein neme.
21-02	Niha cachaauru rai rauhi, "Aca aca nemii," naain ereeuruha saain cachaauru ne coina.
21-03	[Missing?]
22-00	Articulo 22.
22-01	Niha satiin cachaauru rai rauhi, reroecaerae lanaala, raotojoeein neeuruha cachaauru ne coina. Niha acaauru reroecaera ne, acaauru coroatajaneine acaauru gobierno.
23-00	Articulo 23.
23-01	Niha chu rauhi amihaniha cachaauru ne coina. Niicha rautaai amihanenaa coaraain que amihaneeuruha cachaauru ne coina. Niicha rautaai amihanenaa coaraain que amihaneeuruha cachaauru ne coma.
23-02	Chaen chu, ita rijijiein amiania cacha ne, ita rijijieein core raauruha ne te, caohachae.
23-03	Raujiaain caohachajeein canaauruhine amihanenacaaurute, raotojoeein sinij iera aina jiniiquiiin, bereecuru aina raotojoeein ichaooruhine chacaauru.
23-04	Niha chu cachaauru rai rauhi, niha chatohanai, ne, ita taojiaain jiniiquiin fatoroon aina rucuhecuruha ne coina.
24-00	Articulo 24.
24-01	Niha chu rauhi, le janonaa cuhane nesuruhin basiijiin nebetacaain naaojoaain neeuruha cachaauru en jaan nu. Niha chu cachaauru rai rauhi carajaain amihaneeuruha ne, acaauru rai nebetacanaa tiha fatoroon core aina ne coina.
25-00	Articulo 25.
25-01	Niha chu chaen rauhi, biinaa, camotojoe, canaanaihuru, cunaitenacaauru, naaojoaihunri coroatajaniha gobierno ne coina. Nabana escoela que lanaain, nabana itolere que lanaain neeuruha itolere cachaauru ne coataa.
25-02	Chaen chu, leeochaauru coroatajaniha ne amuritoheriin, jelai neein canaanai siirichaauru enecuru coroatajaneeine, nii beree aina curuaecaain gobierno. Chaen chu ujuateje rijijiein, nenacaauru canaanaihuru coroatajaneeine gobierno.
26-00	Articulo 26.
26-01	Niha satiin cachaauru rai rauhi, core colane nirijiein nerelaain naaojoaain, quiricha inain naaojoaain niha cacha ne coina.
26-02	Chaen escoela cuhane nerelaauruhine itolere que, raotojoeein j iniiquiiin, ichaonaa nijianai que, nerelaauruhine te, joaenreein bacauha aina nia natiin, raotojoeein ichaooruhine.
26-03	Niha rauhi, bereecuru rai, niicha rautai escoela coaraain, cuu bereecuru teein naaojoaain niha inacaauru ne jaan nu.
27-00	Articulo 27.
27-01	Niha chu chaen, cachauru rai rauhi, niha besta ne, niha chatohanaine, ita taojiaain, naaojoaain neeuruha cachauru ne, cunaa jerei cuhin, naaojoaan ne coina.
27-02	Niha rauhi, cachaauru rai, chatohanai niicha coitucui ichaain que necoreteein core raa cachaauru ne coma.
28-00	Articulo 28.
28-01	Satiin cachaauru rai te ne rauhi, esihaen rauijiriin caa rauhi cuhane aitoha ne rijijiein.
29-00	Articulo 29.
29-01	Chaen chu, ita coroatajaneeuruhine cachaauru, ita acatiha tacaain.
29-02	Nihei, chunei cacha rai rauhi, leeocha cacha rai rauhi que nererojoecaain niha cacha ne jaan nu.
29-03	Chaen chu, nainihei caa icharaauru aina nererojoecaain niha cachaauru ne jaan nu.
30-00	Articulo 30.
30-01	Nainihei chu, chunei gobierno, atane curuanaa, naaojoaain niha natiin, caa rauhi ichara nichaanu ne aina nererojoecaain neeuruha ne jaan nu.
